"ensembl"	"symbol"	"baseMean"	"FoldChange"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"ENSG00000169972.12"	"PUSL1"	391.394053734582	0.989960877667686	-0.0145565825335623	0.0448570171325556	0.213618858161106	0.779686764890354
"ENSG00000175756.14"	"AURKAIP1"	4151.71148919612	1.00900564060512	0.0129342395089763	0.0413221333585262	0.445402199307023	0.891322771577717
"ENSG00000242485.6"	"MRPL20"	1948.8908145909	1.00473817960002	0.00681960468429068	0.0403615033364819	0.502454663141435	0.908798307984818
"ENSG00000160072.20"	"ATAD3B"	1391.23292742075	0.993056116757472	-0.0100528493590902	0.0439439534803164	0.225372860107785	0.779686764890354
"ENSG00000197785.14"	"ATAD3A"	1443.16896825141	0.998975858399918	-0.00147828112147945	0.0418664034255558	0.879334518648837	0.979369338167054
"ENSG00000097021.20"	"ACOT7"	727.573889887477	1.01489277840264	0.0213273173239959	0.0490814727751332	0.077749598842668	0.61724674912034
"ENSG00000007923.17"	"DNAJC11"	1171.25658611294	1.00104143076413	0.00150168518391677	0.0414338408261395	0.759607520945511	0.961183063024099
"ENSG00000116288.13"	"PARK7"	5984.2053099601	1.00990150918415	0.0142146007590869	0.0431213186272279	0.345264113762266	0.82332867118675
"ENSG00000171612.7"	"SLC25A33"	1051.35858813435	1.00282908756913	0.00407574799681895	0.042774752428359	0.55390662174083	0.91222013785847
"ENSG00000116688.18"	"MFN2"	6623.36146087738	0.992026120416374	-0.0115499870785884	0.0407917913539663	0.494311939230388	0.908798307984818
"ENSG00000048707.15"	"VPS13D"	2765.06519733052	1.00414220196983	0.0059635915491434	0.0412215199698373	0.657314660041692	0.929354545480665
"ENSG00000132906.18"	"CASP9"	797.36541225946	1.0073563216302	0.0105740830676131	0.0438025543227484	0.271900650546922	0.789690431862516
"ENSG00000116771.6"	"AGMAT"	3367.91843962638	1.00336342197817	0.00484425013873111	0.0422604293467795	0.621219802844216	0.918264187878505
"ENSG00000162461.8"	"SLC25A34"	413.319649514807	0.998334436740961	-0.00240490316970005	0.0428953935051345	0.604341721321013	0.917475321873514
"ENSG00000117118.10"	"SDHB"	5956.11371657835	1.01402644873992	0.020095282487488	0.0475766711877731	0.129766165313048	0.701756418474692
"ENSG00000159423.17"	"ALDH4A1"	34806.5504595442	1.00368954185752	0.00531308832614592	0.0418067942389793	0.647127594973666	0.929354545480665
"ENSG00000053371.13"	"AKR7A2"	1816.23278933039	1.00083115341875	0.00119860287297613	0.0399764108808295	0.89608207389825	0.979369338167054
"ENSG00000173436.15"	"MICOS10"	1099.72977215841	0.99581036239619	-0.00605706673002414	0.0405687369790373	0.681649310965648	0.932912067024366
"ENSG00000090432.7"	"MUL1"	1494.87976671159	0.990887493076641	-0.013206834039366	0.0436254681245204	0.314331192942056	0.809063918618558
"ENSG00000158828.8"	"PINK1"	1256.21494759948	1.00406525524405	0.0058530345851777	0.04268490280171	0.506889486895767	0.908798307984818
"ENSG00000117305.15"	"HMGCL"	11307.2588155268	1.00566551421019	0.00815054248782313	0.0427514304458168	0.442033393002063	0.887504207716616
"ENSG00000117640.18"	"MTFR1L"	3986.31350579177	1.0001796142	0.000259105246820727	0.0418281381752165	0.981316909302799	0.993638974461953
"ENSG00000116353.16"	"MECR"	801.746038153628	1.00979926799097	0.0140685366844867	0.0413893456956171	0.421023795866939	0.872427171839345
"ENSG00000004455.17"	"AK2"	7619.94442910953	1.00325485440612	0.00468813684125185	0.0367004537294584	0.810467154148708	0.969400410117463
"ENSG00000116898.12"	"MRPS15"	3091.88800416407	1.01790956811064	0.0256093969406367	0.0468745322406085	0.189905371070608	0.750337476314506
"ENSG00000196449.4"	"YRDC"	561.806778400207	0.995808486324939	-0.00605978471865208	0.0426705962547805	0.50018059569617	0.908798307984818
"ENSG00000168653.11"	"NDUFS5"	3165.16308652171	1.01467776752456	0.0210216416929308	0.0472253165173429	0.162858215985367	0.742860611249177
"ENSG00000198754.5"	"OXCT2"	10.6896893980572	0.998879222800573	-0.00161784649973752	0.0429166955204034	0.671589456593321	0.929893093744598
