Human_gene_stable_ID	symbol_human
ENSG00000178074	C2orf69
ENSG00000135776	ABCB10
ENSG00000102794	ACOD1
ENSG00000005187	ACSM3
ENSG00000183549	ACSM5
ENSG00000113492	AGXT2
ENSG00000004455	AK2
ENSG00000158578	ALAS2
ENSG00000164904	ALDH7A1
ENSG00000121691	CAT
ENSG00000111666	CHPT1
ENSG00000240230	COX19
ENSG00000021826	CPS1
ENSG00000120915	EPHX2
ENSG00000137714	FDX1
ENSG00000166123	GPT2
ENSG00000105793	GTPBP10
ENSG00000106049	HIBADH
ENSG00000087299	L2HGDH
ENSG00000002549	LAP3
ENSG00000008394	MGST1
ENSG00000156968	NA
ENSG00000048544	MRPS10
ENSG00000186205	MTARC1
ENSG00000137513	NARS2
ENSG00000185633	NA
ENSG00000165028	NIPSNAP3B
ENSG00000136783	NIPSNAP3A
ENSG00000213965	NUDT19
ENSG00000145247	OCIAD2
ENSG00000128050	PAICS
ENSG00000107537	PHYH
ENSG00000140451	PIF1
ENSG00000116171	SCP2
ENSG00000164466	SFXN1
ENSG00000124523	SIRT5
ENSG00000122912	SLC25A16
ENSG00000162971	NA
ENSG00000173208	ABCD2
ENSG00000136754	NA
ENSG00000111271	ACAD10
ENSG00000123130	ACOT9
ENSG00000154930	ACSS1
ENSG00000143199	ADCY10
ENSG00000198074	AKR1B10
ENSG00000103507	BCKDK
ENSG00000153094	BCL2L11
ENSG00000134905	CARS2
ENSG00000135469	COQ10A
ENSG00000161281	COX7A1
ENSG00000187581	NA
ENSG00000169169	CPT1C
ENSG00000095321	CRAT
ENSG00000104936	DMPK
ENSG00000130299	GTPBP3
ENSG00000116882	HAO2
ENSG00000049860	NA
ENSG00000182054	IDH2
ENSG00000185028	NA
ENSG00000151376	ME3
ENSG00000125871	MGME1
ENSG00000180488	MIGA1
ENSG00000146729	NIPSNAP2
ENSG00000141698	NA
ENSG00000083720	OXCT1
ENSG00000004799	PDK4
ENSG00000164951	PDP1
ENSG00000115840	SLC25A12
ENSG00000162461	SLC25A34
ENSG00000078269	NA
ENSG00000164983	TMEM65
ENSG00000175567	UCP2
ENSG00000076248	UNG
