Human_gene_stable_ID	symbol_human
ENSG00000173208	ABCD2
ENSG00000111271	ACAD10
ENSG00000172482	AGXT
ENSG00000198074	AKR1B10
ENSG00000137124	ALDH1B1
ENSG00000159423	ALDH4A1
ENSG00000134463	ECHDC3
ENSG00000116882	HAO2
ENSG00000049860	NA
ENSG00000182054	IDH2
ENSG00000178074	C2orf69
ENSG00000109576	AADAT
ENSG00000111666	CHPT1
ENSG00000168275	COA6
ENSG00000093010	COMT
ENSG00000172115	CYCS
ENSG00000120915	EPHX2
ENSG00000181061	HIGD1A
ENSG00000072506	HSD17B10
ENSG00000136003	ISCU
ENSG00000168924	LETM1
ENSG00000008394	MGST1
ENSG00000177427	NA
ENSG00000204316	MRPL38
ENSG00000105364	MRPL4
ENSG00000173141	MRPL57
ENSG00000169340	NA
ENSG00000107537	PHYH
ENSG00000126432	PRDX5
ENSG00000101417	PXMP4
ENSG00000116171	SCP2
ENSG00000174032	SLC25A30
