ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CC	GO:0005746	mitochondrial respirasome	71	-0.554049718590138	-2.66327787729689	2.94215772302161e-10	3.78655698952881e-07	2.83995645474823e-07	290	tags=56%, list=27%, signal=44%	COX5B/COX6A2/COX7A2/NDUFA9/SDHB/UQCRH/UQCC3/COX5A/FOXRED1/NDUFB4/NDUFB5/NDUFA1/UQCR10/NDUFB9/NDUFS5/NDUFS8/UQCRC2/DMAC2/C15orf48/NDUFB3/COX8A/NDUFC1/NDUFA8/SDHD/NDUFC2/COX7B/SDHC/NDUFB1/UQCRFS1/COX7C/NDUFA4/NDUFV2/NNT/NDUFAF1/UQCRB/NDUFB10/NDUFB6/COX6C/NDUFAB1/NDUFA5
BP	GO:0006119	oxidative phosphorylation	108	-0.455474309101859	-2.35706393558417	5.65731009418625e-09	1.28575870315047e-06	9.64332172566953e-07	290	tags=53%, list=27%, signal=43%	COX5B/COX6A2/COX7A2/SDHAF2/ATP5PO/NDUFA9/SDHB/ATP5MF/UQCRH/UQCC3/COX5A/ATP5PF/DNAJC30/NDUFB4/ATP5MG/NDUFB5/NDUFA1/UQCR10/NDUFB9/NDUFS5/NDUFS8/UQCRC2/NDUFB3/STOML2/COA6/AFG1L/COX8A/ATP5F1B/NDUFC1/ATP5F1A/ATP5PB/DLD/NDUFA8/PPIF/SDHD/NDUFC2/COX7B/SDHC/NDUFB1/UQCRFS1/COX7C/NDUFA4/NDUFV2/NDUFAF1/NIPSNAP2/GHITM/UQCRB/CYCS/NDUFB10/NDUFB6/COX6C/ATP5F1C/SLC25A33/NDUFAB1/FXN/NDUFA5/DNAJC15
BP	GO:0009060	aerobic respiration	143	-0.415392961170665	-2.26103547919316	6.53682056204148e-09	1.28575870315047e-06	9.64332172566953e-07	290	tags=50%, list=27%, signal=42%	COX5B/COX6A2/COX7A2/SDHAF2/ATP5PO/NDUFA9/SDHB/ATP5MF/UQCRH/IDH3A/FH/UQCC3/COX5A/MTFR2/IDH3B/ATP5PF/DNAJC30/NDUFB4/ATP5MG/NDUFB5/NDUFA1/UQCR10/NDUFB9/NDUFS5/NDUFS8/UQCRC2/ACO2/MDH2/DLAT/NDUFB3/STOML2/COA6/AFG1L/COX8A/ATP5F1B/NDUFC1/ATP5F1A/CS/ATP5PB/DLD/NDUFA8/PPIF/SDHD/NDUFC2/COX7B/SDHC/CAT/NDUFB1/UQCRFS1/COX7C/NDUFA4/NDUFV2/NNT/NDUFAF1/NIPSNAP2/GHITM/UQCRB/OGDH/CYCS/NDUFB10/NDUFB6/COX6C/PDHA1/SUCLA2/ATP5F1C/SLC25A33/PDHB/COX10/NDUFAB1/FXN/NDUFA5/DNAJC15
CC	GO:0098798	mitochondrial protein-containing complex	260	-0.335450258446185	-1.97688770315915	6.99324857968401e-09	1.28575870315047e-06	9.64332172566953e-07	305	tags=42%, list=29%, signal=40%	SLC25A4/COX6A1/ATP5MC1/MRPL36/ATP5MJ/MICOS13/DNAJC19/COX5B/COX6A2/COX7A2/ATP5PO/NDUFA9/SDHB/MPC2/DNAJC11/ATP5MF/UQCRH/IDH3A/MRPL28/UQCC3/COX5A/MRPS34/IDH3B/ATP5PF/FOXRED1/TIMM21/MRPS22/MRPS30/TOMM40L/NDUFB4/MRPL39/MRPL58/ATP5MG/NDUFB5/APOOL/NDUFA1/UQCR10/NDUFB9/NDUFS5/MRPS33/MRPS16/MRPS14/NDUFS8/UQCRC2/CHCHD3/MRPL48/MRPL21/MRPS10/TOMM70/DMAC2/C15orf48/DLAT/NDUFB3/MRPS9/COX8A/ATP5F1B/IMMT/NDUFC1/ATP5F1A/MRPS23/MRPL15/MRPL19/MTX1/TIMM17A/ATP5PB/DLD/NDUFA8/CHCHD1/PPIF/SDHD/MRPL35/NDUFC2/MRPL1/COX7B/MTX2/SDHC/NDUFB1/UQCRFS1/COX7C/NDUFA4/NDUFV2/CLPX/HADHA/NDUFAF1/MRPS31/MRPL50/HADHB/ATP5MC3/UQCRB/NDUFB10/NDUFB6/MRPL44/COX6C/PDHA1/MRPS35/ATP5F1C/PDHB/APOO/NDUFAB1/MRPS17/TRMT10C/MICU2/FXN/NDUFA5/MRPS28/DNAJC15/MRPS18C/MRPL27/MRPL16
BP	GO:0015986	proton motive force-driven ATP synthesis	58	-0.563738261268498	-2.61041518491807	1.03184502174216e-08	1.65998067872769e-06	1.245002480181e-06	303	tags=57%, list=29%, signal=43%	ATP5MC1/ATP5MJ/ATP5PO/NDUFA9/SDHB/ATP5MF/ATP5PF/DNAJC30/NDUFB4/ATP5MG/NDUFB5/NDUFA1/NDUFB9/NDUFS5/NDUFS8/NDUFB3/STOML2/ATP5F1B/NDUFC1/ATP5F1A/ATP5PB/NDUFA8/SDHD/NDUFC2/SDHC/NDUFB1/NDUFV2/ATP5MC3/NDUFB10/NDUFB6/ATP5F1C/NDUFAB1/NDUFA5
CC	GO:0098800	inner mitochondrial membrane protein complex	127	-0.428183699775342	-2.24491567448126	1.30766559996251e-08	1.7466841512608e-06	1.31003097101064e-06	304	tags=52%, list=29%, signal=42%	COX6A1/ATP5MC1/ATP5MJ/MICOS13/DNAJC19/COX5B/COX6A2/COX7A2/ATP5PO/NDUFA9/SDHB/MPC2/DNAJC11/ATP5MF/UQCRH/UQCC3/COX5A/ATP5PF/FOXRED1/TIMM21/NDUFB4/ATP5MG/NDUFB5/APOOL/NDUFA1/UQCR10/NDUFB9/NDUFS5/NDUFS8/UQCRC2/CHCHD3/DMAC2/C15orf48/NDUFB3/COX8A/ATP5F1B/IMMT/NDUFC1/ATP5F1A/MTX1/TIMM17A/ATP5PB/NDUFA8/PPIF/SDHD/NDUFC2/COX7B/MTX2/SDHC/NDUFB1/UQCRFS1/COX7C/NDUFA4/NDUFV2/NDUFAF1/ATP5MC3/UQCRB/NDUFB10/NDUFB6/COX6C/ATP5F1C/APOO/NDUFAB1/MICU2/NDUFA5/DNAJC15
MF	GO:0009055	electron transfer activity	69	-0.484809466016582	-2.31887069445167	3.90179111387351e-07	3.34773677570347e-05	2.51083680801545e-05	277	tags=52%, list=26%, signal=41%	COX5B/NDUFA9/SDHB/UQCRH/ETFDH/COX5A/IDH3B/NDUFB4/NDUFB5/NDUFA1/UQCR10/NDUFB9/NDUFS5/ETFB/NDUFS8/FDX1/NDUFB3/MAOB/COX8A/NDUFC1/QDPR/NDUFA8/SDHD/NDUFC2/COX7B/SDHC/NDUFB1/UQCRFS1/NDUFA4/NDUFV2/CYCS/NDUFB10/NDUFB6/ME2/GSR/NDUFA5
CC	GO:0005747	mitochondrial respiratory chain complex I	38	-0.593532077018478	-2.44137293011892	1.40682224646177e-06	0.000100587790622017	7.54418713453478e-05	241	tags=53%, list=23%, signal=42%	FOXRED1/NDUFB4/NDUFB5/NDUFA1/NDUFB9/NDUFS5/NDUFS8/DMAC2/NDUFB3/NDUFC1/NDUFA8/NDUFC2/NDUFB1/NDUFA4/NDUFV2/NDUFAF1/NDUFB10/NDUFB6/NDUFAB1/NDUFA5
MF	GO:0003954	NADH dehydrogenase activity	31	-0.611083892703128	-2.42871381538023	2.56216944225089e-06	0.000149886912371677	0.00011241671667675	234	tags=55%, list=22%, signal=44%	NDUFB4/NDUFB5/NDUFA1/NDUFB9/NDUFS5/NDUFS8/NDUFB3/NDUFC1/AIFM1/NDUFA8/NDUFC2/NDUFB1/NDUFA4/NDUFV2/NDUFB10/NDUFB6/NDUFA5
MF	GO:0015453	oxidoreduction-driven active transmembrane transporter activity	45	-0.524351464987816	-2.27552215984013	6.16037764707886e-06	0.00031713624127162	0.00023785542325774	290	tags=53%, list=27%, signal=40%	COX5B/NDUFA9/UQCRH/COX5A/NDUFB4/NDUFB5/NDUFA1/UQCR10/NDUFB9/NDUFS5/NDUFS8/NDUFB3/COX8A/NDUFC1/NDUFA8/NDUFC2/COX7B/NDUFB1/UQCRFS1/NDUFA4/NDUFV2/NDUFB10/NDUFB6/NDUFA5
