representative	grouped_terms	genes
positive regulation of programmed cell death	positive regulation of programmed cell death;positive regulation of apoptotic process	MTCH1;BID;BAX;BCL2;BCL2A1;PARK7;HTRA2;BAD;FIS1;BBC3;PRELID1;BNIP3L;TSPO;STYXL1;BOK;ADCY10;BNIP3;CASP9;FAM162A;CASP3;AIFM2;PMAIP1;HSPD1;SEPTIN4;BAK1;HTATIP2
protein localization	protein localization;cellular macromolecule localization;establishment of protein localization;macromolecule localization;cellular localization	RAB24;MTCH1;SLC25A22;BID;BAX;BCL2;GOLPH3;MARCHF5;PARK7;STOM;TOMM34;COMT;AHCYL1;HTRA2;BAD;FIS1;TIMM17B;ARF5;TOMM40;SLC8B1;ROMO1;BNIP3L;FKBP8;TSPO;ARL2;PHB2;NDUFAF2;STX17;TOMM6;ADCY10;BCL2L1;PMPCA;TIMM9;DNLZ;MGARP;TOMM5;IMMP2L;TIMM13;CRY1;PRELID1;PISD;PRELID3A;RHOT2;SLC25A23
positive regulation of apoptotic signaling pathway	positive regulation of apoptotic signaling pathway;positive regulation of intrinsic apoptotic signaling pathway	BID;BAX;PARK7;HTRA2;BAD;FIS1;BBC3;STYXL1;BOK;ADCY10
cell death	cell death;programmed cell death;apoptotic process	MTCH1;BID;BAX;BCL2;BCL2A1;GOLPH3;PARK7;COA8;PYCR1;AHCYL1;MTFP1;HTRA2;BAD;RHOT2;FIS1;BBC3;PRELID1;PDK1;BNIP3L;FKBP8;TSPO;PHB2;ARG2;MUTYH;STYXL1;ALKBH1;BOK;GPX1;FASTK;DELE1;ADCY10;BCL2L1;ATAD3A;RMDN3;GPX4;BNIP3;CASP9;SLC25A6;FAM162A;DAP3;BCL2L10;SLC25A27;ALKBH7;NME3;FABP1;CASP3;AIFM2;DMPK;PMAIP1;HSPD1;SEPTIN4;BAK1;HTATIP2;GFER;SPG7;AIFM3;OGG1;TIMM50;TRAP1;HIGD2A;FHIT
regulation of cell communication	regulation of cell communication;regulation of signaling;regulation of signal transduction	MTCH1;PDE2A;SLC25A22;BID;BAX;BCL2;CRY1;GOLPH3;PARK7;PYCR1;HTRA2;BAD;FIS1;BBC3;SLC8B1;LONP1;PRELID1;FKBP8;TSPO;PHB2;STYXL1;BOK;NDUFAF2;GPX1;ADCY10;BCL2L1
regulation of programmed cell death	regulation of programmed cell death;regulation of apoptotic process	MTCH1;BID;BAX;BCL2;BCL2A1;GOLPH3;PARK7;PYCR1;HTRA2;BAD;FIS1;BBC3;PRELID1;BNIP3L;FKBP8;TSPO;PHB2;ARG2;MUTYH;STYXL1;ALKBH1;BOK;GPX1;ADCY10;BCL2L1;ATAD3A;GPX4;BNIP3;CASP9;SLC25A6;FAM162A;BCL2L10;SLC25A27;FABP1;CASP3;AIFM2;PMAIP1;HSPD1;SEPTIN4;BAK1;HTATIP2;GFER
regulation of hydrolase activity	regulation of hydrolase activity;regulation of endopeptidase activity;regulation of peptidase activity;regulation of cysteine-type endopeptidase activity;regulation of cysteine-type endopeptidase activity involved in apoptotic process;positive regulation of endopeptidase activity;regulation of proteolysis	MTCH1;BID;BAX;PARK7;HTRA2;BAD;FIS1;BBC3;PRELID1;ARL2;PHB2;STYXL1;BOK;GPX1;CASP9;FAM162A;BCL2L10;HSPE1;FABP1;PMAIP1;HSPD1;BAK1;AURKAIP1
regulation of organelle organization	regulation of organelle organization;regulation of mitochondrion organization	PDE2A;BID;BAX;GOLPH3;MARCHF5;PARK7;HTRA2;BAD;FIS1;BBC3;PRELID1;BNIP3L;FKBP8;TSPO;ARL2;STYXL1;BOK;GPX1;PISD;ADCY10;BCL2L1;MGARP;BNIP3;SLC25A6;FAM162A;MCU
regulation of intracellular signal transduction	regulation of intracellular signal transduction;regulation of signal transduction	PDE2A;BID;BAX;BCL2;CRY1;GOLPH3;PARK7;PYCR1;HTRA2;BAD;FIS1;BBC3;PHB2;STYXL1;BOK;GPX1;ADCY10;BCL2L1;MTCH1;LONP1;PRELID1;FKBP8
positive regulation of intracellular signal transduction	positive regulation of intracellular signal transduction;positive regulation of signal transduction;positive regulation of response to stimulus	BID;BAX;GOLPH3;PARK7;BAD;FIS1;BBC3;PHB2;STYXL1;BOK;GPX1;ADCY10;HTRA2;FKBP8;PDE2A;BCL2
