ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0019646	aerobic electron transport chain	70	-0.577320678321945	-2.65235905961865	1e-10	2.782627815654e-08	2.0141705450078e-08	321	tags=70%, list=30%, signal=52%	DLD/DNAJC15/PINK1/COX6A2/NDUFB10/COX5B/SDHD/COX7A1/NDUFA9/SDHA/UQCRH/NDUFA5/NDUFS7/NDUFB8/NDUFB9/COX4I1/SDHC/NDUFB5/NDUFA1/NDUFS8/COX6B1/NDUFAF1/NDUFB1/NDUFS6/NDUFC1/UQCR11/COQ9/UQCRC2/NDUFV1/CYC1/NDUFV2/NDUFB4/UQCRB/COX6C/UQCRC1/UQCRFS1/COX7C/CYCS/NDUFAB1/COX8A/NDUFB3/NDUFS2/NDUFA8/COX5A/COX7B/NDUFB6/NDUFA4/NDUFB2/NDUFC2
CC	GO:0070469	respirasome	78	-0.559602659529699	-2.6414903939183	1.08105198743357e-10	2.782627815654e-08	2.0141705450078e-08	325	tags=69%, list=31%, signal=52%	NNT/DMAC2/COX6A2/NDUFB10/COX5B/FOXRED1/SDHD/COX7A1/NDUFA9/SDHA/UQCRH/NDUFA5/NDUFA13/NDUFS7/RAB5IF/NDUFB8/NDUFB9/COX4I1/SDHC/NDUFB5/NDUFA1/NDUFS8/COX6B1/NDUFA11/NDUFAF1/NDUFB1/HIGD2A/NDUFS6/NDUFC1/UQCR11/UQCRC2/NDUFV1/CYC1/NDUFV2/NDUFB4/UQCRB/COX6C/UQCRC1/UQCRFS1/COX7C/CYCS/NDUFAB1/DMAC1/COX8A/NDUFB3/NDUFS2/NDUFA8/COX5A/COX7B/COA6/NDUFB6/NDUFA4/NDUFB2/NDUFC2
BP	GO:0006119	oxidative phosphorylation	108	-0.514624959112236	-2.5779962890346	1e-10	2.782627815654e-08	2.0141705450078e-08	321	tags=64%, list=30%, signal=50%	DLD/DNAJC15/PINK1/STOML2/COX6A2/FXN/NDUFB10/COX5B/ATP5F1E/SDHD/COX7A1/NDUFA9/SDHA/UQCRH/NDUFA5/NDUFA13/NDUFS7/NDUFB8/NDUFB9/COX4I1/ATP5MG/SDHC/NDUFB5/NDUFA1/NDUFS8/COX6B1/GHITM/ATP5PO/NDUFA11/NDUFAF1/ATP5MF/NDUFB1/ATP5F1A/NDUFS6/NDUFC1/UQCR11/ATP5PF/COQ9/ATP5PB/UQCRC2/NDUFV1/PPIF/CYC1/NDUFV2/NDUFB4/UQCRB/COX6C/UQCRC1/UQCRFS1/CHCHD2/COX7C/CYCS/NIPSNAP2/ATP5F1B/NDUFAB1/COX8A/NDUFB3/ATP5F1C/NDUFS2/NDUFA8/COX5A/COX7B/COA6/NDUFB6/NDUFA4/DNAJC30/NDUFB2/SLC25A23/NDUFC2
CC	GO:0098798	mitochondrial protein-containing complex	260	-0.443895070479861	-2.52721643561221	1e-10	2.782627815654e-08	2.0141705450078e-08	323	tags=53%, list=31%, signal=49%	TOMM40/AFG3L2/DLD/MRPL51/PMPCA/DMAC2/DNAJC15/GADD45GIP1/COX6A2/TIMM8A/ATP5MJ/MRPL27/DLAT/FXN/NDUFB10/TIMM17B/COX5B/FOXRED1/ATP5MC2/MRPL3/MCCC1/TIMM8B/MRPS22/ATP5F1E/TOMM70/SDHD/COX7A1/NDUFA9/IDH3B/SDHA/NFS1/PDHX/MRPS34/TIMM23/UQCRH/MRPL33/NDUFA5/NDUFA13/TIMM13/TIMM21/NDUFS7/NDUFB8/ATP5MK/NDUFB9/COX4I1/ATP5MG/MRPS30/SDHC/NDUFB5/NDUFA1/MRPL47/NDUFS8/DAP3/COX6B1/ATP5PO/NDUFA11/SUCLG1/MRPL39/AURKAIP1/MRPS7/MRPL24/MRPL1/NDUFAF1/ATP5MF/MRPL20/NDUFB1/IDH3A/ATP5F1A/NDUFS6/MRPS35/DNAJC19/MRPS11/NDUFC1/UQCR11/MRPL4/ATP5PF/ATP5PB/MRPS27/UQCRC2/NDUFV1/MRPL13/PPIF/CYC1/MICU2/NDUFV2/VDAC1/APOO/MRPL48/MRPL36/PDHB/MRPL35/MRPL37/MRPS24/BCKDK/ATP5MC1/NDUFB4/MRPL28/UQCRB/MRPL58/COX6C/UQCRC1/UQCRFS1/TIMM17A/COX7C/MRPL14/MRPL16/ATP5F1B/NDUFAB1/DMAC1/MRPL12/MRPL15/PDHA1/COX8A/MRPL44/NDUFB3/ATP5F1C/MRPS33/MRPL10/NDUFS2/MRPS28/NDUFA8/COX5A/MRPL30/COX7B/MRPS9/ATP5MC3/TOMM40L/MRPL57/MRPS10/MPC2/NDUFB6/NDUFA4/NDUFB2/MTX2/MRPS16/NDUFC2/MRPS17
CC	GO:0032991	protein-containing complex	388	-0.3437474347669	-2.02105702061491	1e-10	2.782627815654e-08	2.0141705450078e-08	323	tags=45%, list=31%, signal=49%	TOMM40/AFG3L2/DLD/MRPL51/PMPCA/DMAC2/DNAJC15/PINK1/GADD45GIP1/COX6A2/PXMP2/TIMM8A/ATP5MJ/MRPL27/DLAT/FXN/NDUFB10/TIMM17B/COX5B/FOXRED1/ATP5MC2/MRPL3/MCCC1/TIMM8B/GLRX5/SOD1/MRPS22/ATP5F1E/CLPP/TOMM70/OGDH/GRSF1/ETFB/SDHD/COX7A1/NDUFA9/IDH3B/VDAC2/KARS1/SDHA/NFS1/BAK1/BAD/PDHX/MRPS34/TIMM23/LDHB/LRPPRC/UQCRH/MRPL33/NDUFA5/NDUFA13/TIMM13/TIMM21/NDUFS7/RAB5IF/NDUFB8/ATP5MK/NDUFB9/COX4I1/ATP5MG/MRPS30/SDHC/SLIRP/NDUFB5/NDUFA1/MRPL47/NDUFS8/DAP3/COX6B1/ATP5PO/PRDX3/NDUFA11/SUCLG1/MRPL39/AURKAIP1/COQ7/VDAC3/MRPS7/MRPL24/MRPL1/PCCB/NDUFAF1/ATP5MF/MRPL20/NDUFB1/IDH3A/COX10/ATP5F1A/NDUFS6/MRPS35/DNAJC19/MRPS11/NDUFC1/UQCR11/MRPL4/ATP5PF/BOLA1/COQ9/ATP5PB/MRPS27/UQCRC2/NDUFV1/MRPL13/PPIF/CYC1/PDSS2/MICU2/NDUFV2/VDAC1/APOO/ETFA/MRPL48/MRPL36/PDHB/MRPL35/MRPL37/MRPS24/BCKDK/ATP5MC1/NDUFB4/MRPL28/UQCRB/MRPL58/COX6C/UQCRC1/UQCRFS1/TIMM17A/COX7C/MRPL14/FH/MRPL16/CYCS/ATP5F1B/NDUFAB1/DMAC1/MRPL12/MRPL15/PDHA1/COX8A/MRPL44/NDUFB3/ATP5F1C/MRPS33/DECR1/MRPL10/NDUFS2/MRPS28/NDUFA8/HINT1/COX5A/MRPL30/COX7B/COQ3/MRPS9/COA6/ATP5MC3/BOLA3/GATB/OGDHL/TOMM40L/MRPL57/PRKN/DMAC2L/MRPS10/MPC2/NDUFB6/NDUFA4/NDUFB2/MTX2/MRPS16/NDUFC2/MRPS17
BP	GO:0015986	proton motive force-driven ATP synthesis	58	-0.61755632250268	-2.76214516949893	1.78254991331149e-10	2.86767717303985e-08	2.07573246484298e-08	312	tags=74%, list=29%, signal=55%	STOML2/ATP5MJ/NDUFB10/ATP5MC2/ATP5F1E/SDHD/NDUFA9/SDHA/NDUFA5/NDUFA13/NDUFS7/NDUFB8/ATP5MK/NDUFB9/ATP5MG/SDHC/NDUFB5/NDUFA1/NDUFS8/ATP5PO/NDUFA11/ATP5MF/NDUFB1/ATP5F1A/NDUFS6/NDUFC1/ATP5PF/ATP5PB/NDUFV1/NDUFV2/ATP5MC1/NDUFB4/ATP5F1B/NDUFAB1/NDUFB3/ATP5F1C/NDUFS2/NDUFA8/ATP5MC3/NDUFB6/DNAJC30/NDUFB2/NDUFC2
MF	GO:0009055	electron transfer activity	69	-0.554901879947636	-2.5504752339511	1.40737769338266e-09	1.81129509138349e-07	1.31108343015122e-07	272	tags=61%, list=26%, signal=48%	ETFB/SDHD/COX7A1/NDUFA9/IDH3B/SDHA/UQCRH/NDUFA5/NDUFS7/NDUFB8/NDUFB9/COX4I1/SDHC/NDUFB5/NDUFA1/NDUFS8/COX6B1/NDUFB1/NDUFS6/NDUFC1/UQCR11/NDUFV1/CYC1/NDUFV2/ETFA/NDUFB4/UQCRC1/UQCRFS1/CYCS/COX8A/NDUFB3/NDUFS2/NDUFA8/COX5A/COX7B/QDPR/FDX1/NDUFB6/NDUFA4/ME2/NDUFB2/NDUFC2
CC	GO:0098800	inner mitochondrial membrane protein complex	127	-0.450479139904281	-2.31257826334743	3.59330163747789e-09	4.20416291584913e-07	3.04313105183534e-07	322	tags=59%, list=30%, signal=47%	AFG3L2/DMAC2/DNAJC15/COX6A2/ATP5MJ/NDUFB10/TIMM17B/COX5B/FOXRED1/ATP5MC2/ATP5F1E/SDHD/COX7A1/NDUFA9/SDHA/TIMM23/UQCRH/NDUFA5/NDUFA13/TIMM21/NDUFS7/NDUFB8/ATP5MK/NDUFB9/COX4I1/ATP5MG/SDHC/NDUFB5/NDUFA1/NDUFS8/COX6B1/ATP5PO/NDUFA11/NDUFAF1/ATP5MF/NDUFB1/ATP5F1A/NDUFS6/DNAJC19/NDUFC1/UQCR11/ATP5PF/ATP5PB/UQCRC2/NDUFV1/PPIF/CYC1/MICU2/NDUFV2/APOO/ATP5MC1/NDUFB4/UQCRB/COX6C/UQCRC1/UQCRFS1/TIMM17A/COX7C/ATP5F1B/NDUFAB1/DMAC1/COX8A/NDUFB3/ATP5F1C/NDUFS2/NDUFA8/COX5A/COX7B/ATP5MC3/MPC2/NDUFB6/NDUFA4/NDUFB2/MTX2/NDUFC2
MF	GO:0015453	oxidoreduction-driven active transmembrane transporter activity	45	-0.621419011317662	-2.6052000268335	7.38286014321089e-09	6.33449400287495e-07	4.58514472052045e-07	299	tags=73%, list=28%, signal=55%	NDUFB10/COX5B/COX7A1/NDUFA9/UQCRH/NDUFA5/NDUFS7/NDUFB8/NDUFB9/COX4I1/NDUFB5/NDUFA1/NDUFS8/COX6B1/NDUFB1/NDUFS6/NDUFC1/NDUFV1/CYC1/NDUFV2/NDUFB4/UQCRC1/UQCRFS1/COX8A/NDUFB3/NDUFS2/NDUFA8/COX5A/COX7B/NDUFB6/NDUFA4/NDUFB2/NDUFC2
CC	GO:1990204	oxidoreductase complex	81	-0.508741248934024	-2.41027937504449	1.47058956429647e-08	1.11332280544092e-06	8.05864869598994e-07	301	tags=62%, list=28%, signal=48%	DLD/DMAC2/DLAT/NDUFB10/FOXRED1/OGDH/SDHD/NDUFA9/IDH3B/SDHA/PDHX/LDHB/UQCRH/NDUFA5/NDUFA13/NDUFS7/NDUFB8/NDUFB9/SDHC/NDUFB5/NDUFA1/NDUFS8/NDUFA11/NDUFAF1/NDUFB1/IDH3A/NDUFS6/NDUFC1/UQCR11/UQCRC2/NDUFV1/CYC1/NDUFV2/PDHB/BCKDK/NDUFB4/UQCRB/UQCRC1/UQCRFS1/NDUFAB1/DMAC1/PDHA1/NDUFB3/NDUFS2/NDUFA8/OGDHL/NDUFB6/NDUFA4/NDUFB2/NDUFC2
