representative	grouped_terms	genes
regulation of mitochondrial membrane permeability	regulation of mitochondrial membrane permeability;regulation of membrane permeability	RHOT2;SPG7;BAX;BCL2L1;BCL2;PMAIP1;BNIP3L;BNIP3;BID;SLC25A6;BOK;ALKBH7
positive regulation of programmed cell death	positive regulation of programmed cell death;positive regulation of apoptotic process	BBC3;BAX;BCL2;AIFM2;ADCY10;PMAIP1;SEPTIN4;BCL2A1;BNIP3L;BNIP3;BID;CASP8;TSPO;CASP9;BOK;FIS1;MTCH1;HTRA2;HSPD1;DIABLO;HTATIP2;BAD;SPHK2
aerobic respiration	aerobic respiration;cellular respiration;energy derivation by oxidation of organic compounds;generation of precursor metabolites and energy	UQCRC1;ATP5MF;IDE;COX8A;NDUFA9;NDUFA1;COX10;NDUFA12;DHTKD1;COX7C;NDUFV2;SLC25A51;STOML2;COA6;COX6C;NDUFB2;IDH2;COX5A;NDUFC1;UQCRB;COQ9;ATP5PF;FXN;ACO2;SUCLG1;OGDH;DNAJC15;PPIF;OGDHL;UQCRH;NDUFA8;NNT;COX7B;PINK1;NDUFAB1;ATP5F1C;ATP5F1A;NDUFB3;ATP5F1B;NIPSNAP2;NDUFB6;NDUFB5;IDH3A;GHITM;NDUFA4;UQCRC2;DLD;NDUFS2;FH;MDH2;DNAJC30;SDHD;DLAT;UQCRFS1;ATP5PB;SUCLA2;NDUFA5;CS;NDUFC2;SLC25A23;CYCS;NDUFAF1;PDHA1;SDHC;PDHB;SLC25A12;ETFDH;ETFRF1;ETFA;LYRM7;CISD1;ACADM;FECH;FDX1;QDPR;GSR;ACAT1;COX17;ME2
extrinsic apoptotic signaling pathway via death domain receptors	extrinsic apoptotic signaling pathway via death domain receptors;extrinsic apoptotic signaling pathway	DELE1;BAX;BCL2L1;BCL2;PMAIP1;BID;GPX1;CASP8;BCL2A1
cell death	cell death;programmed cell death;apoptotic process	DELE1;BBC3;RHOT2;SPG7;BAX;SLC25A27;MUTYH;BCL2L1;BCL2;AIFM2;ADCY10;PMAIP1;GPX4;SEPTIN4;BCL2A1;BNIP3L;BNIP3;NME3;BID;RMDN3;GPX1;EXOG;CASP8;FKBP8;PHB2;FABP1;TSPO;GFER;SLC25A6;CASP9;BOK;GOLPH3;ALKBH7;FIS1;ATAD3A;PDK1;MTCH1;COA8;HTRA2;MRPL41;AHCYL1;HSPD1;MTFP1;FASTK;DIABLO;HTATIP2;BAD;GLRX2;SPHK2;OGG1;TIMM50;DHRS2
proton motive force-driven ATP synthesis	proton motive force-driven ATP synthesis;proton motive force-driven mitochondrial ATP synthesis	NDUFS5;NDUFB1;SDHB;ATP5MF;NDUFA9;NDUFA1;NDUFA12;NDUFV2;STOML2;NDUFB2;NDUFC1;ATP5PF;ATP5MC1;NDUFA8;NDUFAB1;ATP5F1C;ATP5F1A;NDUFB3;ATP5F1B;NDUFB6;NDUFB5;NDUFS2;DNAJC30;SDHD;ATP5PB;ATP5MC3;NDUFA5;NDUFC2;SDHC
respirasome	respirasome;mitochondrial respirasome;respiratory chain complex	SDHB;UQCRC1;DMAC1;COX8A;NDUFA9;NDUFA1;HIGD1A;NDUFA12;COX7C;NDUFV2;COA6;COX6C;NDUFB2;COX5A;NDUFC1;UQCRB;RAB5IF;UQCRH;NDUFA8;NNT;COX7B;NDUFAB1;NDUFB3;NDUFB6;NDUFB5;NDUFA4;UQCRC2;NDUFS2;SDHD;UQCRFS1;NDUFA5;NDUFC2;CYCS;NDUFAF1;SDHC
proton-transporting two-sector ATPase complex	proton-transporting two-sector ATPase complex;proton-transporting ATP synthase complex;ATPase complex;mitochondrial proton-transporting ATP synthase complex	ATP5PF;ATP5MC1;PPIF;ATP5F1C;ATP5F1A;ATP5F1B;DMAC2L;ATP5PB;ATP5MC3
mitochondrial respiratory chain complex I	mitochondrial respiratory chain complex I;NADH dehydrogenase complex;respiratory chain complex I;NADH dehydrogenase (ubiquinone) activity;NADH dehydrogenase activity;NADH dehydrogenase (quinone) activity	NDUFS5;NDUFB1;DMAC1;NDUFA9;NDUFA1;NDUFA12;NDUFV2;NDUFB2;NDUFC1;NDUFA8;NDUFAB1;NDUFB3;NDUFB6;NDUFB5;NDUFA4;NDUFS2;NDUFA5;NDUFC2;NDUFAF1;AIFM1
aerobic electron transport chain	aerobic electron transport chain;ATP synthesis coupled electron transport;mitochondrial ATP synthesis coupled electron transport	COX6B1;AFG1L;NDUFS5;NDUFB1;SDHB;UQCRC1;COX8A;NDUFA9;NDUFA1;COX7C;NDUFV2;SLC25A51;COX6C;NDUFB2;COX5A;NDUFC1;UQCRB;COQ9;DNAJC15;UQCRH;NDUFA8;COX7B;PINK1;NDUFAB1;NDUFB3;NDUFB6;NDUFB5;NDUFA4;UQCRC2;DLD;NDUFS2;SDHD;UQCRFS1;NDUFA5;NDUFC2;CYCS;NDUFAF1;SDHC;NDUFA12;COA6;GHITM
