ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0006082	organic acid metabolic process	215	-0.390295417638769	-2.04846810366101	2.07788149366412e-08	1.33711674117286e-05	1.13299222496633e-05	189	tags=32%, list=18%, signal=33%	SDHA/GOT2/VDAC1/CPT2/DGLUCY/TST/PC/DECR1/SUCLG2/PPM1K/ETFB/ME2/QDPR/NAT8L/UCP2/GLYAT/MDH2/HOGA1/LDHB/ACSL1/ACAA2/ETFA/LDHD/MRS2/ACAT1/PDHA1/DBT/CPT1B/PRODH/ECHDC3/PCCB/GCSH/FASN/ACACB/DLD/GCDH/MLYCD/MTARC1/IDH3A/ACADSB/ALDH6A1/SUCLA2/FH/RIDA/SLC25A12/ACOT2/PDK2/DHTKD1/HADH/L2HGDH/HADHB/ABCD2/CS/BCO2/HADHA/ETFDH/OGDH/ACO2/ABAT/PCCA/EHHADH/GPAM/HSD17B4/ALDH1L1/DLAT/MCCC1/MMUT/STAR
BP	GO:0032787	monocarboxylic acid metabolic process	139	-0.424993954313868	-2.11031612901038	9.52743627685659e-08	3.06545262207861e-05	2.59747999547985e-05	131	tags=28%, list=12%, signal=28%	UCP2/GLYAT/HOGA1/LDHB/ACSL1/ACAA2/ETFA/LDHD/MRS2/ACAT1/PDHA1/CPT1B/ECHDC3/PCCB/FASN/ACACB/DLD/GCDH/MLYCD/ACADSB/ACOT2/PDK2/DHTKD1/HADH/HADHB/ABCD2/BCO2/HADHA/ETFDH/OGDH/ABAT/PCCA/EHHADH/GPAM/HSD17B4/DLAT/MCCC1/MMUT/STAR
CC	GO:1902494	catalytic complex	175	-0.374974635960016	-1.90188962688323	2.67961071123605e-06	0.000599679286634229	0.000508132123627417	250	tags=36%, list=24%, signal=33%	DMAC1/NDUFS2/HSD17B10/IDH3G/MAVS/UQCRC1/ATP5F1C/NDUFA4/COX8A/CLPX/NDUFAF1/PDHB/NDUFA9/SUCLG1/NDUFV3/TRMT10C/MRPL44/PRORP/CAT/SDHA/SDHB/DMAC2L/NDUFA8/NDUFC1/DECR1/SUCLG2/COX10/UQCRFS1/NDUFA12/ATP5PB/PDP1/TRMT61B/ATP5MC3/UQCRC2/SDHC/LDHB/UQCRH/PRKN/PDHA1/GATB/DBT/PCCB/GCSH/ATP5F1B/ATP5F1A/ACACB/DLD/MTARC1/PDSS2/IDH3A/SUCLA2/FH/NDUFA5/PDK2/FXN/HADHB/HADHA/AFG3L2/OGDH/ABAT/PCCA/DLAT/MCCC1
MF	GO:0016491	oxidoreductase activity	207	-0.356198953026846	-1.86019274145311	2.79570762999641e-06	0.000599679286634229	0.000508132123627417	272	tags=38%, list=26%, signal=35%	CYC1/MGST3/HIBADH/MGST1/NDUFB6/AKR1B10/ALDH5A1/NDUFS2/PYCR2/HSD17B10/IDH3G/COQ7/UQCRC1/NDUFA4/AIFM3/COX8A/RTN4IP1/ALDH4A1/ALDH9A1/PDHB/ACAA1/ALDH7A1/NDUFA9/ACADM/NDUFV3/AASS/CHCHD4/PRDX3/CAT/SDHA/SDHB/NDUFA8/NDUFC1/DECR1/UQCRFS1/NDUFA12/ME2/QDPR/PRDX2/PRDX6/MDH2/SDHC/OXNAD1/LDHB/UQCRH/ETFA/LDHD/PDHA1/MAOB/PRODH/AIFM1/FASN/DLD/GCDH/MTARC1/NNT/SUOX/IDH3A/ACADSB/ALDH6A1/TXNRD1/NDUFA5/DHTKD1/HADH/MAOA/L2HGDH/FXN/HADHB/BCO2/HADHA/GSR/ETFDH/OGDH/TMLHE/EHHADH/HSD17B4/ALDH1L1/DLAT/CYP11B1
BP	GO:0044281	small molecule metabolic process	394	-0.305990091922812	-1.71072696469329	4.08842590097546e-06	0.000751686304936487	0.000636933719309861	273	tags=33%, list=26%, signal=39%	FDPS/GPT2/SLC25A21/MGST3/ACSM5/HIBADH/CPT1A/NDUFB6/AKR1B10/ALDH5A1/NME6/NDUFS2/PYCR2/HSD17B10/ACOT11/IDH3G/COQ7/SLC25A10/ATP5F1C/COQ8A/FECH/ALDH4A1/COQ2/LIPT2/CLPX/PDHB/ACAA1/AK3/NDUFA9/ACADM/SUCLG1/NDUFV3/AASS/PPTC7/CAT/SDHA/GOT2/VDAC1/MMADHC/SDHB/CPT2/DMAC2L/DGLUCY/NDUFA8/TST/COQ9/PC/NDUFC1/DECR1/SUCLG2/OXCT1/PPM1K/SIRT5/ETFB/NDUFA12/ME2/OPA1/QDPR/ATP5PB/NAT8L/UCP2/ATP5MC3/GLYAT/MDH2/SDHC/COQ3/HOGA1/LDHB/ACSL1/ACAA2/ETFA/LDHD/MRS2/PRKN/ACAT1/PDHA1/DBT/CPT1B/PRODH/ECHDC3/PCCB/GCSH/ATP5F1B/ATP5F1A/FASN/ACACB/DLD/GCDH/MLYCD/MTARC1/NNT/COQ10A/PDSS2/IDH3A/ACADSB/CHPT1/ALDH6A1/SUCLA2/FH/RIDA/SLC25A12/ACOT2/NDUFA5/PDK2/DHTKD1/HADH/L2HGDH/HADHB/ABCD2/CS/BCO2/MFN1/HADHA/ETFDH/OGDH/ACO2/PINK1/ABAT/PCCA/EHHADH/GPAM/HSD17B4/ALDH1L1/DLAT/MCCC1/MMUT/HMGCS2/CYP11B1/STAR
BP	GO:0006091	generation of precursor metabolites and energy	206	-0.35100399065408	-1.82992485078631	6.88049513447245e-06	0.00110689965475826	0.000937920126225456	261	tags=37%, list=25%, signal=35%	NDUFB6/SIRT3/SLC25A33/NDUFS2/IDH3G/UQCRC1/GHITM/CYCS/ATP5F1C/NDUFA4/FECH/COX8A/ALDH4A1/NDUFAF1/PDHB/NDUFA9/ACADM/SUCLG1/NDUFV3/CHCHD4/BLOC1S1/CAT/SDHA/SDHB/NDUFA8/COQ9/NDUFC1/SUCLG2/IDE/COX10/UQCRFS1/OXCT1/ETFB/NDUFA12/NIPSNAP2/ME2/QDPR/MFN2/ATP5PB/UCP2/UQCRC2/MDH2/SDHC/UQCRH/ETFA/SLC25A4/ACAT1/PDHA1/MAOB/CISD1/ATP5F1B/ATP5F1A/AFG1L/ACACB/DLD/DNAJC15/NNT/COQ10A/IDH3A/SUCLA2/FH/SLC25A12/TRAP1/NDUFA5/DHTKD1/SLC25A18/FXN/CS/GSR/ETFDH/OGDH/ACO2/PINK1/ALDH1L1/DLAT/HMGCS2
BP	GO:0006099	tricarboxylic acid cycle	25	-0.670901845658606	-2.32445371294552	7.89900147559392e-06	0.00112955721100993	0.000957118775288339	213	tags=72%, list=20%, signal=59%	IDH3G/PDHB/SUCLG1/SDHA/SDHB/SUCLG2/MDH2/SDHC/PDHA1/NNT/IDH3A/SUCLA2/FH/DHTKD1/CS/OGDH/ACO2/DLAT
BP	GO:0009060	aerobic respiration	143	-0.375336593900904	-1.87428177737589	2.13865895788893e-05	0.00229371173233587	0.00194355322839731	360	tags=51%, list=34%, signal=39%	COX7B/COX6B1/IDH3B/UQCRB/NDUFV1/STOML2/ATP5PF/ATP5MG/IDH2/COX7C/SLC25A51/MTFR1/NDUFA1/NDUFB3/SLC25A23/NDUFB5/COX5A/ATP5PD/SDHD/CYC1/NDUFB6/SIRT3/SLC25A33/NDUFS2/IDH3G/UQCRC1/GHITM/CYCS/ATP5F1C/NDUFA4/COX8A/NDUFAF1/PDHB/NDUFA9/SUCLG1/NDUFV3/BLOC1S1/CAT/SDHA/SDHB/NDUFA8/COQ9/NDUFC1/SUCLG2/IDE/COX10/UQCRFS1/NDUFA12/NIPSNAP2/MFN2/ATP5PB/UQCRC2/MDH2/SDHC/UQCRH/PDHA1/ATP5F1B/ATP5F1A/AFG1L/DLD/DNAJC15/NNT/IDH3A/SUCLA2/FH/NDUFA5/DHTKD1/FXN/CS/OGDH/ACO2/PINK1/DLAT
CC	GO:0005759	mitochondrial matrix	418	-0.28914202175077	-1.62162088285003	2.09859332879961e-05	0.00229371173233587	0.00194355322839731	258	tags=32%, list=24%, signal=39%	ALDH5A1/SIRT3/MRPL46/NME6/NDUFS2/PYCR2/HSD17B10/ACOT11/IDH3G/MRPS23/BOLA3/GFM1/MRPS18A/ATP5F1C/MRPL1/FECH/GRSF1/ALDH4A1/ACP6/LIPT2/CLPX/MAIP1/FASTKD2/NDUFAF1/PDHB/MRPS5/ALDH7A1/AK3/NDUFA9/ACADM/SUCLG1/AASS/TRMT10C/PRDX3/MRPL44/HSPA9/BLOC1S1/LACTB2/PRORP/PPTC7/MRPL2/GOT2/VDAC1/GUF1/MRPL35/TUFM/GLRX5/DGLUCY/NFS1/TST/PC/MRPS35/DECR1/SUCLG2/DDX28/COX10/OXCT1/PPM1K/SIRT5/ETFB/MRPS18C/VDAC2/ME2/FASTKD5/MRPS31/ATP5PB/PDP1/LRPPRC/NAT8L/TRMT61B/GLYAT/MDH2/COQ3/HOGA1/IARS2/ACAA2/ETFA/MARS2/MRPL30/ACAT1/MRPS22/PDHA1/DBT/PRODH/PCCB/GCSH/ATP5F1B/ATP5F1A/NUBPL/ACACB/DLD/GCDH/DNAJC15/MLYCD/ACOT13/FASTKD1/TRMT2B/PDSS2/SUOX/IDH3A/ACADSB/MRPS16/ALDH6A1/SUCLA2/FH/RIDA/MRPS9/TRAP1/ACOT2/LARS2/PDK2/DHTKD1/HADH/FXN/ALAS1/GFM2/HADHB/CS/BCO2/HADHA/GSR/ETFDH/OGDH/ACO2/DARS2/ABAT/TMLHE/PCCA/DLAT/MCCC1/MMUT/HMGCS2
BP	GO:0044248	cellular catabolic process	214	-0.334703993266793	-1.75931774649855	3.37636355880226e-05	0.00334259992321424	0.00283231793272805	224	tags=33%, list=21%, signal=33%	GRSF1/ALDH4A1/FASTKD2/ACAA1/ACADM/SUCLG1/AASS/PRDX3/CAT/GOT2/VDAC1/CPT2/TST/DECR1/SUCLG2/IDE/OXCT1/PPM1K/ENDOG/ETFB/QDPR/FASTKD5/MFN2/LRPPRC/FUNDC1/UCP2/PRDX2/SNAP29/PRDX6/HOGA1/ACSL1/ACAA2/ETFA/SLC25A4/LDHD/PRKN/ACAT1/MAOB/DBT/CISD1/CPT1B/PRODH/AIFM1/PCCB/GCSH/ACACB/DLD/GCDH/MLYCD/NNT/FASTKD1/ACADSB/ALDH6A1/SUCLA2/RIDA/DHTKD1/HADH/MAOA/HADHB/ABCD2/BCO2/HADHA/ETFDH/OGDH/PINK1/ABAT/PCCA/EHHADH/HSD17B4/ALDH1L1/MCCC1
