representative	grouped_terms	genes
organic acid metabolic process	organic acid metabolic process;oxoacid metabolic process;carboxylic acid metabolic process	SDHA;GOT2;VDAC1;CPT2;DGLUCY;TST;PC;DECR1;SUCLG2;PPM1K;ETFB;ME2;QDPR;NAT8L;UCP2;GLYAT;MDH2;HOGA1;LDHB;ACSL1;ACAA2;ETFA;LDHD;MRS2;ACAT1;PDHA1;DBT;CPT1B;PRODH;ECHDC3;PCCB;GCSH;FASN;ACACB;DLD;GCDH;MLYCD;MTARC1;IDH3A;ACADSB;ALDH6A1;SUCLA2;FH;RIDA;SLC25A12;ACOT2;PDK2;DHTKD1;HADH;L2HGDH;HADHB;ABCD2;CS;BCO2;HADHA;ETFDH;OGDH;ACO2;ABAT;PCCA;EHHADH;GPAM;HSD17B4;ALDH1L1;DLAT;MCCC1;MMUT;STAR
generation of precursor metabolites and energy	generation of precursor metabolites and energy;cellular respiration	NDUFB6;SIRT3;SLC25A33;NDUFS2;IDH3G;UQCRC1;GHITM;CYCS;ATP5F1C;NDUFA4;FECH;COX8A;ALDH4A1;NDUFAF1;PDHB;NDUFA9;ACADM;SUCLG1;NDUFV3;CHCHD4;BLOC1S1;CAT;SDHA;SDHB;NDUFA8;COQ9;NDUFC1;SUCLG2;IDE;COX10;UQCRFS1;OXCT1;ETFB;NDUFA12;NIPSNAP2;ME2;QDPR;MFN2;ATP5PB;UCP2;UQCRC2;MDH2;SDHC;UQCRH;ETFA;SLC25A4;ACAT1;PDHA1;MAOB;CISD1;ATP5F1B;ATP5F1A;AFG1L;ACACB;DLD;DNAJC15;NNT;COQ10A;IDH3A;SUCLA2;FH;SLC25A12;TRAP1;NDUFA5;DHTKD1;SLC25A18;FXN;CS;GSR;ETFDH;OGDH;ACO2;PINK1;ALDH1L1;DLAT;HMGCS2
organic acid catabolic process	organic acid catabolic process;carboxylic acid catabolic process;small molecule catabolic process	KMO;GPT2;SLC25A21;HIBADH;CPT1A;ALDH5A1;HSD17B10;ALDH4A1;ACAA1;ACADM;AASS;GOT2;CPT2;TST;DECR1;PPM1K;ETFB;QDPR;HOGA1;ACAA2;ETFA;LDHD;ACAT1;DBT;CPT1B;PRODH;PCCB;GCSH;ACACB;DLD;GCDH;MLYCD;ACADSB;ALDH6A1;RIDA;HADH;HADHB;ABCD2;HADHA;ETFDH;ABAT;PCCA;EHHADH;HSD17B4;ALDH1L1;MCCC1;AKR1B10;OXCT1
cellular catabolic process	cellular catabolic process;catabolic process;organic substance catabolic process	GRSF1;ALDH4A1;FASTKD2;ACAA1;ACADM;SUCLG1;AASS;PRDX3;CAT;GOT2;VDAC1;CPT2;TST;DECR1;SUCLG2;IDE;OXCT1;PPM1K;ENDOG;ETFB;QDPR;FASTKD5;MFN2;LRPPRC;FUNDC1;UCP2;PRDX2;SNAP29;PRDX6;HOGA1;ACSL1;ACAA2;ETFA;SLC25A4;LDHD;PRKN;ACAT1;MAOB;DBT;CISD1;CPT1B;PRODH;AIFM1;PCCB;GCSH;ACACB;DLD;GCDH;MLYCD;NNT;FASTKD1;ACADSB;ALDH6A1;SUCLA2;RIDA;DHTKD1;HADH;MAOA;HADHB;ABCD2;BCO2;HADHA;ETFDH;OGDH;PINK1;ABAT;PCCA;EHHADH;HSD17B4;ALDH1L1;MCCC1;CLPX;ALDH7A1;AFG1L
sulfur compound biosynthetic process	sulfur compound biosynthetic process;thioester biosynthetic process;acyl-CoA biosynthetic process;nucleoside bisphosphate biosynthetic process;ribonucleoside bisphosphate biosynthetic process;purine nucleoside bisphosphate biosynthetic process	ACSL1;ACAT1;PDHA1;ACACB;DLD;GCDH;MLYCD;PDK2;DLAT;MMUT
nucleoside bisphosphate metabolic process	nucleoside bisphosphate metabolic process;ribonucleoside bisphosphate metabolic process;purine nucleoside bisphosphate metabolic process;acyl-CoA metabolic process;thioester metabolic process;sulfur compound metabolic process	GLYAT;ACSL1;ACAT1;PDHA1;ACACB;DLD;GCDH;MLYCD;SUCLA2;ACOT2;PDK2;OGDH;GPAM;HSD17B4;DLAT;MMUT;HMGCS2;SUOX;GSR;MCCC1
cellular lipid catabolic process	cellular lipid catabolic process;monocarboxylic acid catabolic process;fatty acid catabolic process;fatty acid beta-oxidation;lipid catabolic process	ACAA1;ACADM;CPT2;DECR1;ETFB;PRDX6;ACAA2;ETFA;ACAT1;CPT1B;PCCB;ACACB;GCDH;MLYCD;HADH;HADHB;ABCD2;BCO2;HADHA;ETFDH;PCCA;EHHADH;HSD17B4;HOGA1;LDHD;OXCT1
lipid metabolic process	lipid metabolic process;cellular lipid metabolic process;fatty acid metabolic process	ACSL1;ACAA2;ETFA;ACAT1;CPT1B;ECHDC3;PCCB;ATP5F1B;ATP5F1A;FASN;ACACB;GCDH;DNAJC15;MLYCD;ACOT13;PDSS2;ACADSB;CHPT1;OPA3;RIDA;ACOT2;PDK2;HADH;HADHB;ABCD2;BCO2;HADHA;ETFDH;PCCA;EHHADH;GPAM;HSD17B4;MMUT;HMGCS2;CYP11B1;STAR
purine nucleotide metabolic process	purine nucleotide metabolic process;purine ribonucleotide metabolic process;ribonucleotide metabolic process	DCXR;STOML2;ATP5PF;ATP5MG;IDH2;PDK4;NDUFA1;NDUFB3;ACSL6;ACSF2;COX11;OXSM;NDUFB5;PDHX;ATP5PD;SDHD;NADK2;KMO;ACSM5;NDUFB6;NME6;NDUFS2;ACOT11;ATP5F1C;CLPX;PDHB;AK3;NDUFA9;SUCLG1;NDUFV3;AASS;SDHA;SDHB;DMAC2L;NDUFA8;PC;NDUFC1;SUCLG2;NDUFA12;ME2;OPA1;ATP5PB;UCP2;ATP5MC3;GLYAT;MDH2;SDHC;LDHB;ACSL1;ACAT1;PDHA1;ATP5F1B;ATP5F1A;ACACB;DLD;GCDH;MLYCD;NNT;SUCLA2;ACOT2;NDUFA5;PDK2;DHTKD1;MFN1;OGDH;PINK1;GPAM;HSD17B4;ALDH1L1;DLAT;MMUT;HMGCS2;DHODH
lipid modification	lipid modification;fatty acid oxidation;lipid oxidation	ABCD3;AUH;ACADS;CRAT;PDK4;ACADVL;PHYH;AMACR;ECI2;CPT1A;HSD17B10;ACAA1;ACADM;CPT2;DECR1;ETFB;ACAA2;ETFA;ACAT1;CPT1B;ACACB;GCDH;MLYCD;HADH;HADHB;ABCD2;HADHA;ETFDH;EHHADH;HSD17B4
