ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CC	GO:0019814	immunoglobulin complex	118	-0.669308281330402	-3.3338825625563	1e-10	3.3425e-08	2.85921052631579e-08	4875	tags=65%, list=18%, signal=54%	IGKJ1/IGKV1-27/IGKV3D-15/IGHV1-3/IGLV3-21/IGHV4-4/IGHV4-59/IGKV1-9/IGHV6-1/IGHV1-69/IGHV2-5/IGHV4-34/IGHV1-58/CD79A/IGKV3-15/JCHAIN/IGLV8-61/IGHV2-70/IGLV2-8/IGHV3-73/IGHV1-24/IGLJ1/IGHV3-13/IGKV6-21/IGLV5-45/IGHV3-20/IGHV1-18/IGKV1-16/IGKV3D-11/IGHV1-69-2/IGLV3-19/IGHV3-30/IGLV3-9/IGHV2-26/SYK/IGKV2-30/IGHV3-33/IGHV4-61/IGHV1-69D/IGHV3-21/IGLV4-60/IGLV2-14/IGHV3-7/IGKV3-20/IGHV3-49/IGHG2/IGLC1/IGLV2-23/IGLV3-1/IGLV3-25/IGHV3-53/IGKV3D-20/IGHV7-4-1/IGHG1/IGLV7-43/IGKV1-5/IGHV3-11/IGKC/IGKV1-6/IGKV1-39/IGKV4-1/IGHV3-15/IGLC3/IGHD/IGHA1/IGLV1-40/IGLV2-11/IGLV1-44/IGLV6-57/IGHG3/IGKV1-12/IGLC2/IGHV3-43/IGHV4-39/IGHV3-23/IGHM/IGLV1-51
MF	GO:0003823	antigen binding	145	-0.609851227178912	-3.20324135570855	1e-10	3.3425e-08	2.85921052631579e-08	4742	tags=55%, list=17%, signal=46%	HLA-DPB1/IGHV1-3/HLA-DMB/IGLV3-21/IGHV4-4/IGHV4-59/IGHV6-1/IGHV1-69/IGHV2-5/TOPORS/LILRA2/IGHV4-34/B2M/HLA-DRA/IGHV1-58/ITGA4/IGKV3-15/JCHAIN/CD1B/IGHV2-70/IGLV2-8/IGHV3-73/IGHV1-24/IGHV3-13/IGHV3-20/IGHV1-18/IGKV1-16/IGHV1-69-2/SPON2/TRBV7-9/IGLV3-19/IGHV3-30/IGHV2-26/HLA-DRB1/IGKV2-30/HLA-DPA1/IGHV3-33/HLA-DQA1/IGHV4-61/IGHV1-69D/IGHV3-21/IGLV2-14/IGHV3-7/IGKV3-20/TRAV19/IGHV3-49/IGHG2/IGLC1/IGLV2-23/HLA-DQB1/IGLV3-1/IGLV3-25/IGHV3-53/IGHV7-4-1/IGHG1/IGLV7-43/IGKV1-5/TRBV28/IGHV3-11/IGKC/IGKV1-39/IGKV4-1/IGHV3-15/HLA-DRB5/IGLC3/IGHD/CD1E/IGHA1/IGLV1-40/IGLV2-11/IGLV1-44/IGLV6-57/IGHG3/IGLC2/IGHV3-43/IL7R/IGHV4-39/IGHV3-23/IGHM/IGLV1-51
CC	GO:0042101	T cell receptor complex	36	-0.755286810105335	-2.95950609714982	1e-10	3.3425e-08	2.85921052631579e-08	2269	tags=67%, list=8%, signal=61%	ZAP70/ALCAM/TRBV27/TRBV7-9/CD4/SYK/TRBV7-2/PTPN6/SKAP1/CD6/TRAV19/TRGC2/TRBV28/TRBV2/TRBC1/TRBV20-1/TRGC1/TRBV5-1/TRAT1/CD3D/CD8B/TRBC2/CD3E/CD8A
BP	GO:0019724	B cell mediated immunity	183	-0.496514931542833	-2.71741202743224	1e-10	3.3425e-08	2.85921052631579e-08	4615	tags=41%, list=17%, signal=34%	IGHV1-3/UNG/EXOSC6/CD74/CD27/NFKBIZ/IGHV4-4/IGHV4-59/IGHV6-1/IGHV1-69/IGHV2-5/MSH6/IGHV4-34/NBN/IGHV1-58/FCGR1A/FCGR2A/IGHV2-70/TLR8/C6/IGHV3-73/BTK/TP53BP1/IGHV1-24/IGHV3-13/IGHV3-20/IGHV1-18/IGHV1-69-2/CD226/TREM2/PTPRC/FCER1G/IGHV3-30/ZP3/NDFIP1/C1QA/IGHV2-26/PTPN6/IL10/RNF8/C1QC/C1QB/IGHV3-33/MSH2/TNFSF4/IGHV4-61/IGHV1-69D/IGHV3-21/IL2RB/XCL1/IGHV3-7/SLA2/IGHV3-49/IGHG2/IGLC1/CD28/FCGR3A/IGHV3-53/IGHV7-4-1/IGHG1/CD40LG/IGHV3-11/IGKC/IGHV3-15/IGLC3/IGHD/IGHA1/SUSD4/PRKCD/IGHG3/IGLC2/IGHV3-43/IGHV4-39/IGHV3-23/IGHM
BP	GO:0002377	immunoglobulin production	151	-0.458888261288534	-2.43411039039843	1e-10	3.3425e-08	2.85921052631579e-08	6200	tags=56%, list=23%, signal=43%	TBX21/IGKV1-8/IGKV1-17/IGKV3-7/EPHB2/IGLV2-18/APLF/IGLV7-46/SWAP70/CD22/IGKV2D-29/FCGR2B/POLB/KMT5B/MZB1/PAXIP1/IGKV1-13/NHEJ1/IL6/IGLV4-69/FOXP3/SHLD1/TMBIM6/CCR6/IGKV1-27/IGKV3D-15/UNG/EXOSC6/NFKBIZ/IGLV3-21/IGKV1-9/MCM3AP/SASH3/MSH3/DNAJB9/MSH6/FCRL3/PRKDC/NBN/IGKV3-15/YY1/IGLV8-61/IGLV2-8/BTK/TP53BP1/IGKV6-21/IGLV5-45/IGKV1-16/IGKV3D-11/PTPRC/IGLV3-19/NDFIP1/IGLV3-9/IL10/RNF8/IGKV2-30/MSH2/TNFSF4/XCL1/IGLV4-60/IGLV2-14/CYREN/IGKV3-20/TRAV19/IGLV2-23/CD28/IGLV3-1/CTNNBL1/IGLV3-25/IGKV3D-20/POLQ/IGLV7-43/CD40LG/IGKV1-5/IGKV1-6/IGKV1-39/IGKV4-1/IGLV1-40/IGLV2-11/IGLV1-44/IGLV6-57/CD86/IGKV1-12/IGLV1-51
BP	GO:0050851	antigen receptor-mediated signaling pathway	201	-0.437515655255994	-2.40182659685429	1e-10	3.3425e-08	2.85921052631579e-08	4745	tags=43%, list=17%, signal=36%	TRDC/HLA-DPB1/KHDRBS1/TESPA1/NFKBIZ/GATA3/LILRB4/MNDA/PLCL2/VAV3/BLK/MS4A1/PRAM1/UBE2N/LAX1/NFAM1/PIK3CA/FCRL3/PRKCB/LCP2/DENND1B/CD79A/FYB1/CD3G/LYN/NCKAP1L/CD300A/CARD11/SPPL3/PRNP/BTK/THEMIS/ZAP70/FYN/UBASH3A/CD226/CRKL/PTPRC/SPG21/PTPRJ/WNK1/BMX/SYK/IKBKG/MAPK1/HLA-DRB1/PTPN6/PTPN22/CSK/DUSP22/EIF2B1/SKAP1/LCK/LAPTM5/LPXN/SLA2/BTNL2/IGHG2/IGLC1/PRKCH/CD28/HLA-DQB1/TRGC2/MEF2C/IGHG1/SH2D1A/BLNK/IGKC/NFATC2/GPS2/IGLC3/ITK/IGHD/IGHA1/TRBC1/TRGC1/THEMIS2/TRAT1/CD3D/CD8B/IGHG3/TRBC2/CD3E/CTLA4/CD8A/IGHM
BP	GO:0002429	immune response-activating cell surface receptor signaling pathway	310	-0.410635261627141	-2.39227728305358	1e-10	3.3425e-08	2.85921052631579e-08	5296	tags=41%, list=19%, signal=33%	GRB2/TRAC/LIPA/FOXP3/FGR/EZR/KLRK1/CYBA/TLR1/TRDC/HLA-DPB1/KHDRBS1/TESPA1/NFKBIZ/TIRAP/SCIMP/GATA3/LILRB4/MNDA/PLCL2/VAV3/PIK3AP1/BLK/LILRA2/MS4A1/PRAM1/PAK2/UBE2N/LAX1/NFAM1/KLRC1/PIK3CA/FCRL3/PRKCB/EP300/LCP2/TRIM32/PELI1/DENND1B/CD79A/FYB1/CD3G/PIK3R1/LYN/TAX1BP1/PJA2/NCKAP1L/CD300A/CARD11/SPPL3/FPR3/PRNP/BTK/THEMIS/ZAP70/FYN/UBASH3A/CD226/CRKL/TREM2/PTPRC/NINJ1/ITGAM/CREBBP/MFHAS1/SPG21/PTPRJ/FCER1G/TBK1/WNK1/BMX/SYK/IKBKG/MAPK1/HLA-DRB1/PTPN6/PTPN22/CSK/DUSP22/C5AR1/SQSTM1/EIF2B1/SKAP1/APPL2/VAV1/LCK/C5AR2/LAPTM5/LPXN/SLA2/BTNL2/C3AR1/IGHG2/IGLC1/PRKCH/CLEC7A/CD28/HLA-DQB1/TRGC2/MEF2C/TYROBP/IGHG1/CD14/SH2D1A/BLNK/IGKC/NFATC2/GPS2/IGLC3/ITK/IGHD/IGHA1/TRBC1/TRGC1/THEMIS2/TRAT1/CD3D/PRKCD/CD8B/IGHG3/TRBC2/CD3E/CTLA4/CD8A/IGHM/TNIP3
BP	GO:0030098	lymphocyte differentiation	394	-0.387663865177346	-2.30282990589253	1e-10	3.3425e-08	2.85921052631579e-08	4589	tags=36%, list=17%, signal=31%	TNFSF9/TESPA1/ACTL6A/RNF41/TGFBR2/KLF6/CD74/CD27/NFKBIZ/GATA3/LILRB4/CAMK4/PREX1/PLCL2/SASH3/FGL2/ERBB2/GPR18/ATG5/DNAJB9/PTK2B/MS4A1/B2M/SEMA4A/HLA-DRA/CHD7/NFAM1/KLRC1/CMTM7/FCRL3/CD83/PRKDC/EP300/EOMES/ZFPM1/ITGA4/CD79A/HLX/YY1/TUSC2/CD3G/PIK3R1/CYP26B1/LFNG/PBRM1/ARID1B/FADD/JAK1/NCKAP1L/ARMC5/GPR183/DOCK11/WNT10B/CARD11/KAT5/ANXA1/CLPTM1/IRF8/BTK/THEMIS/SOD1/ZAP70/TPD52/FBXO7/PBX1/MTOR/LEPR/PHF14/MIR17HG/PAX5/JUNB/PTPRC/DOCK10/CD4/SPINK5/PTPRJ/FCER1G/DOCK2/NDFIP1/DLL1/IL2RG/GPR89A/IL2RA/SYK/RABL3/HLA-DRB1/PTPN6/PGLYRP1/PTPN22/SPI1/IL10/SOCS3/FZD7/MAFB/VAV1/MSH2/TNFSF4/WNT1/AP3B1/LCK/BCL11B/MERTK/DROSHA/CLEC4E/PRDM1/LEF1/CTSL/TNFSF8/IKZF1/SMARCE1/CD28/IL1B/SMARCA2/KAT7/CD40LG/LY9/BLNK/DUSP10/TOP2B/IL1A/GPS2/RHOH/SLAMF6/ITK/ZMIZ1/EGR1/INHBA/TMEM131L/NFATC3/IKZF3/FLT3/EGR3/CD3D/CD86/CRTAM/NLRP3/BRD7/CD3E/CTLA4/IL7R/CD8A/RUNX3/CD2
CC	GO:0000775	chromosome, centromeric region	242	-0.408849850217882	-2.28344827432852	1e-10	3.3425e-08	2.85921052631579e-08	5926	tags=42%, list=22%, signal=33%	KNSTRN/KMT5B/HJURP/CHMP4B/DCTN5/SMARCA5/SUGT1/BUB1/SIRT6/CENPA/RASSF2/SKA3/SUMO3/CDCA5/SPDL1/PDS5B/SPAG5/CHMP6/NEK2/SMC4/NUP43/BAZ1B/DNMT3A/CHAMP1/CHMP2B/CENPM/NGDN/ACTL6A/ZW10/GPATCH11/WAPL/ANAPC16/MIS12/MACROH2A1/TOP2A/LRWD1/FMR1/DSN1/SEPTIN7/TRAPPC12/POLE3/DYNC1LI1/KAT2B/CCNB1/KDM4D/NUF2/ORC2/SYCP3/CDC20/NUDCD2/SIN3A/KDM4A/PBRM1/NCAPD2/PPP2CA/CENPE/PPP2R5C/SUV39H1/KAT5/BUB1B/CBX3/CENPL/AURKB/TP53BP1/NUP133/FBXW11/CENPF/PSEN2/INCENP/CLASP2/NDC80/CLIP1/C9orf78/CLASP1/MIS18BP1/CHMP4C/SKA1/ITGB3BP/NUP107/PPP1CC/CHMP7/OIP5/CHRAC1/CENPQ/TPR/SGO1/RAD21/CKAP5/SMC1A/ATRX/CTCF/IKZF1/SMARCE1/APC/STAG1/CBX1/KAT7/NSL1/SMC3/GTF2B/BRD7/SGO2
BP	GO:0002449	lymphocyte mediated immunity	329	-0.393064448940927	-2.28124140709869	1e-10	3.3425e-08	2.85921052631579e-08	5321	tags=37%, list=19%, signal=30%	IGHV3-48/IL6/IGHV5-10-1/RAET1E/FOXP3/KLRK1/PPP3CB/SHLD1/CCR6/FBXO38/VAMP7/UNC93B1/IGHV1-3/UNG/CLEC12B/EXOSC6/CD74/CD27/NFKBIZ/GATA3/LILRB4/IGHV4-4/IGHV4-59/WAS/SASH3/RAET1G/IGHV6-1/IGHV1-69/IGHV2-5/MSH6/IGHV4-34/B2M/HLA-DRA/KLRC1/ARL8B/NBN/IGHV1-58/ARRB2/DENND1B/PRDX1/FCGR1A/CLNK/FADD/CD1B/NCKAP1L/FCGR2A/IGHV2-70/TLR8/C6/IGHV3-73/BTK/TP53BP1/IGHV1-24/IGHV3-13/CORO1A/IGHV3-20/IGHV1-18/IGHV1-69-2/CD226/TREM2/PTPRC/FCER1G/IGHV3-30/ZP3/NDFIP1/C1QA/IGHV2-26/SLAMF7/HLA-DRB1/PTPN6/STX7/IL10/RNF8/DUSP22/C1QC/C1QB/IGHV3-33/VAV1/MSH2/TNFSF4/IGHV4-61/IGHV1-69D/IGHV3-21/IL2RB/EBAG9/XCL1/IGHV3-7/SLA2/IGHV3-49/IGHG2/IGLC1/CD28/IL1B/FCGR3A/IGHV3-53/IGHV7-4-1/IGHG1/CD40LG/SH2D1A/KLRB1/IGHV3-11/IGKC/GZMM/IGHV3-15/SLAMF6/IGLC3/IGHD/CD1E/IGHA1/SUSD4/PRKCD/IGHG3/CRTAM/NLRP3/IGLC2/IGHV3-43/CD96/IL7R/IGHV4-39/IGHV3-23/CD8A/IGHM/CD2
