representative	grouped_terms	genes
B cell mediated immunity	B cell mediated immunity;immunoglobulin mediated immune response	IGHV1-3;UNG;EXOSC6;CD74;CD27;NFKBIZ;IGHV4-4;IGHV4-59;IGHV6-1;IGHV1-69;IGHV2-5;MSH6;IGHV4-34;NBN;IGHV1-58;FCGR1A;FCGR2A;IGHV2-70;TLR8;C6;IGHV3-73;BTK;TP53BP1;IGHV1-24;IGHV3-13;IGHV3-20;IGHV1-18;IGHV1-69-2;CD226;TREM2;PTPRC;FCER1G;IGHV3-30;ZP3;NDFIP1;C1QA;IGHV2-26;PTPN6;IL10;RNF8;C1QC;C1QB;IGHV3-33;MSH2;TNFSF4;IGHV4-61;IGHV1-69D;IGHV3-21;IL2RB;XCL1;IGHV3-7;SLA2;IGHV3-49;IGHG2;IGLC1;CD28;FCGR3A;IGHV3-53;IGHV7-4-1;IGHG1;CD40LG;IGHV3-11;IGKC;IGHV3-15;IGLC3;IGHD;IGHA1;SUSD4;PRKCD;IGHG3;IGLC2;IGHV3-43;IGHV4-39;IGHV3-23;IGHM
immune response-activating cell surface receptor signaling pathway	immune response-activating cell surface receptor signaling pathway;immune response-regulating cell surface receptor signaling pathway	GRB2;TRAC;LIPA;FOXP3;FGR;EZR;KLRK1;CYBA;TLR1;TRDC;HLA-DPB1;KHDRBS1;TESPA1;NFKBIZ;TIRAP;SCIMP;GATA3;LILRB4;MNDA;PLCL2;VAV3;PIK3AP1;BLK;LILRA2;MS4A1;PRAM1;PAK2;UBE2N;LAX1;NFAM1;KLRC1;PIK3CA;FCRL3;PRKCB;EP300;LCP2;TRIM32;PELI1;DENND1B;CD79A;FYB1;CD3G;PIK3R1;LYN;TAX1BP1;PJA2;NCKAP1L;CD300A;CARD11;SPPL3;FPR3;PRNP;BTK;THEMIS;ZAP70;FYN;UBASH3A;CD226;CRKL;TREM2;PTPRC;NINJ1;ITGAM;CREBBP;MFHAS1;SPG21;PTPRJ;FCER1G;TBK1;WNK1;BMX;SYK;IKBKG;MAPK1;HLA-DRB1;PTPN6;PTPN22;CSK;DUSP22;C5AR1;SQSTM1;EIF2B1;SKAP1;APPL2;VAV1;LCK;C5AR2;LAPTM5;LPXN;SLA2;BTNL2;C3AR1;IGHG2;IGLC1;PRKCH;CLEC7A;CD28;HLA-DQB1;TRGC2;MEF2C;TYROBP;IGHG1;CD14;SH2D1A;BLNK;IGKC;NFATC2;GPS2;IGLC3;ITK;IGHD;IGHA1;TRBC1;TRGC1;THEMIS2;TRAT1;CD3D;PRKCD;CD8B;IGHG3;TRBC2;CD3E;CTLA4;CD8A;IGHM;TNIP3;PRKCQ;CLEC12B;FCGR1A;MAP2K7;MAP2K4;BTLA;CLEC4E;FCGR3A;MAPK9
lymphocyte mediated immunity	lymphocyte mediated immunity;leukocyte mediated immunity	IGHV3-48;IL6;IGHV5-10-1;RAET1E;FOXP3;KLRK1;PPP3CB;SHLD1;CCR6;FBXO38;VAMP7;UNC93B1;IGHV1-3;UNG;CLEC12B;EXOSC6;CD74;CD27;NFKBIZ;GATA3;LILRB4;IGHV4-4;IGHV4-59;WAS;SASH3;RAET1G;IGHV6-1;IGHV1-69;IGHV2-5;MSH6;IGHV4-34;B2M;HLA-DRA;KLRC1;ARL8B;NBN;IGHV1-58;ARRB2;DENND1B;PRDX1;FCGR1A;CLNK;FADD;CD1B;NCKAP1L;FCGR2A;IGHV2-70;TLR8;C6;IGHV3-73;BTK;TP53BP1;IGHV1-24;IGHV3-13;CORO1A;IGHV3-20;IGHV1-18;IGHV1-69-2;CD226;TREM2;PTPRC;FCER1G;IGHV3-30;ZP3;NDFIP1;C1QA;IGHV2-26;SLAMF7;HLA-DRB1;PTPN6;STX7;IL10;RNF8;DUSP22;C1QC;C1QB;IGHV3-33;VAV1;MSH2;TNFSF4;IGHV4-61;IGHV1-69D;IGHV3-21;IL2RB;EBAG9;XCL1;IGHV3-7;SLA2;IGHV3-49;IGHG2;IGLC1;CD28;IL1B;FCGR3A;IGHV3-53;IGHV7-4-1;IGHG1;CD40LG;SH2D1A;KLRB1;IGHV3-11;IGKC;GZMM;IGHV3-15;SLAMF6;IGLC3;IGHD;CD1E;IGHA1;SUSD4;PRKCD;IGHG3;CRTAM;NLRP3;IGLC2;IGHV3-43;CD96;IL7R;IGHV4-39;IGHV3-23;CD8A;IGHM;CD2;FGR;PTAFR;STXBP2;SCIMP;PIK3CG;PRAM1;PLA2G3;TUSC2;LYN;PDPK1;DHX36;CD300A;RAC2;DDX1;SPON2;ITGAM;ITGB2;SYK;SPI1;AZU1;CLEC7A;VAMP8;TYROBP;NLRP6;CD84;CCL3
lymphocyte differentiation	lymphocyte differentiation;mononuclear cell differentiation	TNFSF9;TESPA1;ACTL6A;RNF41;TGFBR2;KLF6;CD74;CD27;NFKBIZ;GATA3;LILRB4;CAMK4;PREX1;PLCL2;SASH3;FGL2;ERBB2;GPR18;ATG5;DNAJB9;PTK2B;MS4A1;B2M;SEMA4A;HLA-DRA;CHD7;NFAM1;KLRC1;CMTM7;FCRL3;CD83;PRKDC;EP300;EOMES;ZFPM1;ITGA4;CD79A;HLX;YY1;TUSC2;CD3G;PIK3R1;CYP26B1;LFNG;PBRM1;ARID1B;FADD;JAK1;NCKAP1L;ARMC5;GPR183;DOCK11;WNT10B;CARD11;KAT5;ANXA1;CLPTM1;IRF8;BTK;THEMIS;SOD1;ZAP70;TPD52;FBXO7;PBX1;MTOR;LEPR;PHF14;MIR17HG;PAX5;JUNB;PTPRC;DOCK10;CD4;SPINK5;PTPRJ;FCER1G;DOCK2;NDFIP1;DLL1;IL2RG;GPR89A;IL2RA;SYK;RABL3;HLA-DRB1;PTPN6;PGLYRP1;PTPN22;SPI1;IL10;SOCS3;FZD7;MAFB;VAV1;MSH2;TNFSF4;WNT1;AP3B1;LCK;BCL11B;MERTK;DROSHA;CLEC4E;PRDM1;LEF1;CTSL;TNFSF8;IKZF1;SMARCE1;CD28;IL1B;SMARCA2;KAT7;CD40LG;LY9;BLNK;DUSP10;TOP2B;IL1A;GPS2;RHOH;SLAMF6;ITK;ZMIZ1;EGR1;INHBA;TMEM131L;NFATC3;IKZF3;FLT3;EGR3;CD3D;CD86;CRTAM;NLRP3;BRD7;CD3E;CTLA4;IL7R;CD8A;RUNX3;CD2;MED1;LYN;PIR;TREM2;MYC;FOS;CSF1R
regulation of leukocyte differentiation	regulation of leukocyte differentiation;regulation of hemopoiesis	TNFSF9;TESPA1;ACTL6A;RNF41;UBASH3B;TGFBR2;CD74;CD27;NFKBIZ;GATA3;HCLS1;LILRB4;TOB2;CAMK4;SASH3;FGL2;ERBB2;CUL4A;HLA-DRA;NFAM1;CASP8;PLA2G3;FCRL3;CD83;PRKDC;ZFPM1;HLX;PIK3R1;CYP26B1;LYN;PBRM1;ARID1B;FADD;NCKAP1L;MITF;WNT10B;CARD11;KAT5;ANXA1;CLPTM1;RB1;BTK;SOD1;ZAP70;FBXO7;MTOR;MIR17HG;JUNB;TREM2;PTPRC;CD4;SPINK5;NDFIP1;IL2RG;IL2RA;KLF10;SYK;MYC;HLA-DRB1;PTPN6;PGLYRP1;SPI1;IL10;C1QC;MAFB;TNFSF4;AP3B1;EVI2B;FOS;DROSHA;PRDM1;LEF1;SMARCE1;CD28;SMARCA2;TYROBP;ROR2;DUSP10;TRIB1;RHOH;ZMIZ1;TMEM64;INHBA;TMEM131L;IKZF3;GPR137B;EGR3;CARTPT;CD86;CCL3;CRTAM;NLRP3;BRD7;CTLA4;IL7R;RUNX3;CD2;HIF1A;PRMT6;PTK2B;B2M;CNOT4;MAPK14;TSC22D1;MED1;CTR9;ZFP36;BRPF3;LEO1;DLL1;KAT6B;SIGLEC15;SMAP1;MEF2C;GPR171;SCIN
positive regulation of leukocyte activation	positive regulation of leukocyte activation;positive regulation of lymphocyte activation;positive regulation of cell activation;positive regulation of T cell activation;positive regulation of leukocyte cell-cell adhesion;positive regulation of cell-cell adhesion	TNFSF9;TESPA1;ACTL6A;EXOSC6;TGFBR2;HLA-DMB;CD74;CD27;NFKBIZ;TIRAP;GATA3;LILRB4;SASH3;VAV3;B2M;HLA-DRA;DOCK8;PIK3CA;FCRL3;CD83;PRKDC;PELI1;IRGM;HLX;LYN;PBRM1;PDPK1;ARID1B;FADD;CHRNB2;NCKAP1L;GPR183;WNT10B;CARD11;KAT5;ANXA1;BTK;TP53BP1;PLA2G4A;ZAP70;FYN;MTOR;CORO1A;CD226;TREM2;MAP3K8;PTPRC;PYCARD;CD4;ZP3;AIF1;IL2RG;IL2RA;SYK;HLA-DRB1;PTPN6;SPI1;CSK;IL10;HLA-DPA1;VAV1;MSH2;TNFSF4;HLA-DQA1;AP3B1;LCK;XCL1;WNT5A;LEF1;CD6;SMARCE1;CLEC7A;CD28;HLA-DQB1;IL1B;SMARCA2;MEF2C;TYROBP;FCGR3A;CD40LG;DUSP10;IL1A;NFATC2;RHOH;CCL5;HLA-DRB5;ZMIZ1;EGR3;CD86;CCL3;NLRP3;CD5;BRD7;CD3E;SIRPG;IL7R;RUNX3;ICOS;CD2;LILRA2;ITGA4;ITGB2;GCNT1;SKAP1;SOX2;PLPP3;TJP1;JAK1;PODXL;KIFAP3;MMRN1;CITED2
condensed chromosome, centromeric region	condensed chromosome, centromeric region;kinetochore	KNSTRN;KMT5B;HJURP;CHMP4B;DCTN5;SUGT1;BUB1;CENPA;RASSF2;SKA3;SUMO3;SPDL1;SPAG5;CHMP6;NEK2;NUP43;CHAMP1;CHMP2B;CENPM;ACTL6A;ZW10;GPATCH11;ANAPC16;MIS12;LRWD1;DSN1;SEPTIN7;TRAPPC12;DYNC1LI1;KAT2B;CCNB1;NUF2;ORC2;CDC20;NUDCD2;SIN3A;PBRM1;NCAPD2;CENPE;KAT5;BUB1B;CBX3;CENPL;AURKB;TP53BP1;NUP133;FBXW11;CENPF;PSEN2;INCENP;CLASP2;NDC80;CLIP1;CLASP1;CHMP4C;SKA1;ITGB3BP;NUP107;PPP1CC;CHMP7;CENPQ;TPR;SGO1;CKAP5;SMC1A;ATRX;SMARCE1;APC;NSL1;GTF2B;BRD7;SGO2
regulation of T cell activation	regulation of T cell activation;regulation of leukocyte cell-cell adhesion;regulation of cell-cell adhesion;leukocyte cell-cell adhesion	TNFSF9;TESPA1;ACTL6A;TGFBR2;HLA-DMB;CD74;CD27;NFKBIZ;TIGIT;GATA3;LILRB4;CAMK4;SASH3;FGL2;ERBB2;B2M;HLA-DRA;LAX1;DOCK8;PIK3CA;CD83;TNFAIP8L2;PELI1;HLX;CYP26B1;LYN;PBRM1;PDPK1;ARID1B;FADD;NCKAP1L;CD300A;WNT10B;CARD11;KAT5;SIT1;ANXA1;CLPTM1;PRNP;RAC2;SOD1;ZAP70;FYN;MTOR;CORO1A;JUNB;MAP3K8;PTPRC;PYCARD;CD4;SPINK5;VSIG4;ZP3;NDFIP1;AIF1;IL2RG;IL2RA;SYK;HLA-DRB1;PTPN6;PTPN22;CSK;IL10;DUSP22;HLA-DPA1;VAV1;TNFSF4;HLA-DQA1;AP3B1;LCK;XCL1;DROSHA;LAPTM5;PRDM1;LEF1;TNFSF8;CD6;SOCS6;SMARCE1;CD28;HLA-DQB1;IL1B;SMARCA2;GLMN;CD40LG;DUSP10;IL1A;RHOH;CCL5;HLA-DRB5;ZMIZ1;TMEM131L;EGR3;CD86;CRTAM;NLRP3;CD5;BRD7;CD3E;CTLA4;SIRPG;IL7R;RUNX3;ICOS;CD2;ADTRP;ITGA4;PPARA;ITGB2;WNK1;GCNT1;SKAP1;MIA3;KLF4;UBASH3B;CELSR2;SOX2;PLPP3;TJP1;MAPK14;MYADM;YTHDF2;JAK1;BMP6;PODXL;LRFN3;TRPV4;EPHA7;FERMT3;KIFAP3;RDX;SPI1;WNT1;WNT5A;EPCAM;MMRN1;ZDHHC2;PRKCD;CITED2;SEMA4D;ITGAL;SELPLG;SLC39A8
positive regulation of innate immune response	positive regulation of innate immune response;positive regulation of response to biotic stimulus;regulation of innate immune response	UNC93B1;ZBP1;PUM2;TRIM6;NFKBIZ;TIRAP;SCIMP;CTSS;MNDA;PSPC1;ZCCHC3;CASP6;ERBIN;RAET1G;PIK3AP1;MATR3;LACC1;LILRA2;XRCC5;RNF170;PAK2;LSM14A;KLRC1;FCRL3;UBE2K;PRKDC;EP300;RBM47;MED1;TRIM32;PELI1;ARRB2;IRGM;DDX3X;ZDHHC5;SMPDL3B;BECN1;PARP1;PIK3R1;SIN3A;LYN;PDPK1;CLNK;TAX1BP1;FADD;PJA2;POLR3G;PPP2CA;TLR8;CD300A;TSPAN6;TRAF3IP3;PUM1;BTK;AURKB;FYN;SLC15A2;CD226;TREM2;NINJ1;AIM2;PYCARD;CREBBP;MFHAS1;PYHIN1;TOMM70;TBK1;DHX9;SYK;STMP1;POLR3B;USP27X;PTPN22;SPI1;TLR10;SQSTM1;POLR3F;APPL2;VAV1;AP3B1;GBP5;NLRC3;WNT5A;CLEC4E;NEK7;CLEC7A;EREG;TYROBP;RTN4;CD14;SH2D1A;GPS2;CCL5;SLAMF6;GFI1;NLRP6;CRTAM;HEXIM1;TIFA;NLRP3;TNIP3;NLRC4;FBXO38;TLR1;LY86;MMRN2;BMP6;CD180;HLA-DRB1;KLK5;CLEC12B;ATG5;CNOT7;CASP8;N4BP1;YTHDF2;YTHDF3;USP38;VSIG4;PTPN6;GIGYF2;DUSP10;KLRB1;SUSD4;CD96
regulation of response to biotic stimulus	regulation of response to biotic stimulus;regulation of innate immune response	UNC93B1;ZBP1;HERC5;LY86;CLEC12B;PUM2;TRIM6;NFKBIZ;TIRAP;SCIMP;CTSS;MNDA;PSPC1;ZCCHC3;ZDHHC11;CASP6;ERBIN;RAET1G;FGL2;MMRN2;PIK3AP1;ATG5;CNOT7;MATR3;LACC1;LILRA2;XRCC5;RNF170;PAK2;LSM14A;IFNLR1;KLRC1;CASP8;N4BP1;FCRL3;UBE2K;PRKDC;EP300;RBM47;MED1;TRIM32;PELI1;ARRB2;IRGM;DDX3X;ZDHHC5;ILRUN;SMPDL3B;BECN1;PARP1;PIK3R1;SIN3A;LYN;ELMOD2;PDPK1;CLNK;TAX1BP1;YTHDF2;FADD;PJA2;MAPKBP1;POLR3G;PPP2CA;BMP6;TLR8;CD180;CD300A;YTHDF3;TSPAN6;TRAF3IP3;PUM1;BTK;AURKB;USP38;ZMPSTE24;FYN;SLC15A2;CD226;TREM2;NINJ1;AIM2;PYCARD;CREBBP;MFHAS1;PYHIN1;TOMM70;RNF26;SPINK5;VSIG4;TBK1;DHX9;SYK;STMP1;POLR3B;USP27X;HLA-DRB1;PTPN6;GIGYF2;PTPN22;SPI1;TLR10;SQSTM1;POLR3F;APPL2;VAV1;AP3B1;GBP5;NLRC3;WNT5A;CLEC4E;NEK7;CLEC7A;IL1B;EREG;TYROBP;KLK5;RTN4;CD14;SH2D1A;DUSP10;KLRB1;TRIB1;GATA6;GPS2;CCL5;SLAMF6;GFI1;EIF2AK4;NLRP6;SUSD4;CRTAM;HEXIM1;TIFA;NLRP3;CD96;TNIP3
