ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CC	GO:0019814	immunoglobulin complex	118	0.84656865533158	3.6953606253437	1e-10	2.67666666666667e-08	2.10842105263158e-08	2744	tags=83%, list=10%, signal=75%	IGHM/IGLC1/IGHV4-39/IGKV4-1/IGKV3-20/IGLV2-18/IGKV3-15/IGHV1-3/IGHG1/IGLV7-46/IGLV1-36/IGHV6-1/JCHAIN/IGKC/IGLV3-19/IGHV3-23/IGLC2/IGHV4-59/IGKJ1/IGLV2-14/IGKV1-5/IGLV3-21/IGHV4-34/IGLV1-40/IGHV3-49/IGKV1-39/IGHA1/IGHV4-4/IGKV3D-20/IGHV1-18/IGHV5-51/IGHV2-5/CD79A/IGHG2/IGHV4-28/IGLV2-23/IGHA2/IGHG3/IGLC3/IGLV3-25/IGLV1-51/IGHV3-11/IGHV3-33/IGHV3-30/IGHV1-24/IGHV1-69/IGHV3-74/IGKV2-28/IGHV3-7/IGKV1-16/IGHV3-48/IGKV2D-29/CD79B/IGHV3-20/IGHV7-4-1/IGHV4-61/IGLV2-8/IGLV6-57/IGLV3-9/IGKV1-12/IGHV4-31/IGLV4-60/IGHD/IGLV1-44/IGHV1-69D/IGHV3-21/IGHV1-69-2/IGKV2-30/IGHV2-70/IGLV8-61/IGLV3-10/IGKV1-9/IGLV3-1/IGHV2-70D/IGKV2-29/IGKV3D-11/IGKV1D-39/IGKV3D-15/IGLJ1/IGKV1D-13/IGHV2-26/IGHV3-53/IGKV1-8/IGLV3-27/IGLV1-47/IGKV6-21/PIGR/LIME1/IGLV4-69/IGHV3-13/IGHV3-64D/IGHV3-15/IGHV3-73/IGKV1-27/IGHV3-43/IGHV1-58/IGKV1-6/IGKV1-13
MF	GO:0003823	antigen binding	145	0.762381355397408	3.39194237683437	1e-10	2.67666666666667e-08	2.10842105263158e-08	2505	tags=54%, list=9%, signal=49%	IGHM/IGLC1/IGHV4-39/IGKV4-1/IGKV3-20/IGKV3-15/PLG/IGHV1-3/IGHG1/IGHV6-1/JCHAIN/IGKC/IGLV3-19/IGHV3-23/IGLC2/IGHV4-59/IGLV2-14/IGKV1-5/IGLV3-21/IGHV4-34/IGLV1-40/IGHV3-49/IGKV1-39/IGHA1/IGHV4-4/IGHV1-18/IGHV5-51/IGHV2-5/IGHG2/IGHV4-28/IGLV2-23/IGHA2/KLRD1/IGHG3/IGLC3/IGLV3-25/IGLV1-51/IGHV3-11/IGHV3-33/IGHV3-30/IGHV1-24/IGHV1-69/IGHV3-74/IGHV3-7/IGKV1-16/IGHV3-48/IGHV3-20/IGHV7-4-1/IGHV4-61/IGLV2-8/IGLV6-57/IGHV4-31/IGHD/IGLV1-44/IGHV1-69D/IGHV3-21/IGHV1-69-2/HLA-C/IGKV2-30/IGHV2-70/IGLV3-1/IGHV2-70D/IGKV1D-39/IGHV2-26/IGHV3-53/IGLV3-27/IGLV1-47/TGFB1/LAG3/CLEC4M/HLA-E/TRAV19/SLAMF1/IGHV3-13/IGHV3-64D/IGHV3-15/IGHV3-73/IGHV3-43
CC	GO:0072562	blood microparticle	137	0.757054784300219	3.35164787687812	1e-10	2.67666666666667e-08	2.10842105263158e-08	3212	tags=54%, list=12%, signal=48%	IGHM/IGLC1/ITIH2/SERPINC1/AMBP/IGKV4-1/IGKV3-20/IGKV3-15/PLG/GC/IGHG1/F2/FGB/ORM1/C9/ALB/FGG/FGA/HPX/JCHAIN/IGKC/AHSG/IGHV3-23/ITIH1/HRG/IGLC2/APOA2/ORM2/IGKV1-5/IGLV3-21/C4BPA/APCS/IGKV1-39/IGHA1/HBG2/IGHG2/IGHA2/IGHG3/IGLC3/IGLV3-25/GSN/IGHV3-7/TF/IGHD/CFHR1/KNG1/APOA1/SERPING1/IGKV2-30/CPN2/HBA2/HBB/HP/SLC4A1/INTS11/HSPA6/IGLV1-47/TGFB1/DNPEP/HSPA7/SLC2A1/ENG/C1R/AGT/IGHV3-13/HBA1/ANGPTL4/ZNF559-ZNF177/CLU/IGHG4/C1S/HBD/CFB/HPR
BP	GO:0032543	mitochondrial translation	129	-0.596499327469415	-2.95638772923173	1e-10	2.67666666666667e-08	2.10842105263158e-08	6139	tags=55%, list=22%, signal=43%	MRPS21/MRPL14/MRPS18B/MRPL51/MRPL20/MRPL50/MRPL43/AARS2/MRPL58/TACO1/RARS2/MRPL57/MRPL17/TRMT10C/MRPL47/MRPS23/MRPL28/TRUB2/ALKBH1/MRPS11/MRPL15/LARS2/MTIF2/MRPS30/TSFM/MRPS33/MRPL9/MRPL36/TARS2/MRPL16/RPUSD3/MRPL24/MALSU1/MRPS22/FASTKD2/MRPS18A/C1QBP/MRPS18C/MRPL19/MRPL37/HARS1/LRPPRC/MRPS9/MRPL13/MRPL1/DAP3/MRPL45/MRPL35/MRPS28/MRPL39/MTIF3/MRPL10/GFM2/RMND1/EARS2/MRPS16/MRPL44/MRPS35/MRPS14/MRPS27/IARS2/GATB/YARS2/MRPL49/MRPL48/GFM1/MRPS17/MRPL3/DARS2/MRPL30/MRPS10
BP	GO:0019724	B cell mediated immunity	183	0.642234029603265	2.94560965627039	1e-10	2.67666666666667e-08	2.10842105263158e-08	3944	tags=44%, list=14%, signal=38%	IGHM/IGLC1/IGHV4-39/IGHV1-3/IGHG1/C9/IGHV6-1/HPX/IGKC/IGHV3-23/IGLC2/IGHV4-59/C4BPA/IGHV4-34/IGHV3-49/IGHA1/IGHV4-4/IGHV1-18/FCGR3B/IGHV5-51/IGHV2-5/IGHG2/IGHV4-28/IGHA2/IGHG3/IGLC3/IGHV3-11/IGHV3-33/IGHV3-30/IGHV1-24/IGHV1-69/IGHV3-74/IGHV3-7/CD19/IGHV3-48/IGHV3-20/IGHV7-4-1/IGHV4-61/C4BPB/IGHV4-31/IGHD/IGHV1-69D/IGHV3-21/IGHV1-69-2/TBX21/SERPING1/IGHV2-70/AICDA/IGHV2-70D/BATF/IRF7/IGHV2-26/IGHV3-53/LTA/TCIRG1/TGFB1/HLA-E/C1R/CR2/IGHV3-13/C1RL/IGHV3-64D/IGHV3-15/IGHV3-73/IGHV3-43/NFKBIZ/IGHV1-58/CD70/GAPT/CLU/IGHG4/C1S/BCL6/TNF/NOD2/IGHV5-10-1/IGHV3-72/C2/INPP5D/NCR3LG1/IL2RB
BP	GO:0002377	immunoglobulin production	151	0.628624276175671	2.80594382947057	1e-10	2.67666666666667e-08	2.10842105263158e-08	1988	tags=35%, list=7%, signal=33%	IGKV4-1/IGKV3-20/IGLV2-18/IGKV3-15/IGLV7-46/IGLV1-36/HPX/IGLV3-19/IGLV2-14/IGKV1-5/IGLV3-21/IGLV1-40/MZB1/IGKV1-39/IGKV3D-20/IGLV2-23/IGLV3-25/IGLV1-51/IGKV2-28/IGKV1-16/IGKV2D-29/FCRL3/IGLV2-8/IGLV6-57/IGLV3-9/IGKV1-12/IGLV4-60/IGLV1-44/TBX21/IGKV2-30/IGLV8-61/IGLV3-10/IGKV1-9/AICDA/IGLV3-1/TLR9/IGKV2-29/BATF/IGKV3D-11/IGKV1D-39/PKN1/IGKV3D-15/IGKV1D-13/IGKV1-8/IGLV3-27/IGLV1-47/TGFB1/IGKV6-21/TRAF6/HLA-E/RBP4/TRAV19/IGLV4-69
CC	GO:0000313	organellar ribosome	88	-0.574494414905494	-2.65540711421955	1e-10	2.67666666666667e-08	2.10842105263158e-08	6139	tags=52%, list=22%, signal=41%	MRPS21/MRPL14/MRPS18B/MRPL51/MRPL20/MRPL50/MRPL43/MRPL58/MRPL57/MRPL17/MRPL47/MRPS23/MRPL28/MRPS11/MRPL15/MRPS30/MRPS33/MRPL9/MRPL36/MRPL16/MRPL24/MRPS22/MRPS18A/MRPS18C/MRPL19/MRPL37/MRPS9/MRPL13/MRPL1/DAP3/MRPL45/MRPL35/MRPS28/MRPL39/MRPL10/MRPS16/MRPL44/MRPS35/MRPS14/MRPS27/MRPL49/MRPL48/MRPS17/MRPL3/MRPL30/MRPS10
BP	GO:0050853	B cell receptor signaling pathway	74	0.655793611385058	2.64507330233408	1e-10	2.67666666666667e-08	2.10842105263158e-08	3183	tags=43%, list=12%, signal=38%	IGHM/IGLC1/IGHG1/IGKC/IGHA1/MS4A1/CD79A/IGHG2/IGHA2/IGHG3/IGLC3/CD19/CD79B/FCRL3/BLK/IGHD/VAV3/GCSAM/LAT2/BCL2/PIK3CD/CMTM3/STAP1/MNDA/BAX/LPXN/LIME1/FOXP1/GPS2/NFKBIZ/IGHG4/CD300A
BP	GO:0019730	antimicrobial humoral response	104	0.615955439699638	2.63356155663055	1e-10	2.67666666666667e-08	2.10842105263158e-08	5312	tags=50%, list=19%, signal=40%	IGHM/IGKV3-20/IGHG1/F2/FGB/FGA/JCHAIN/HRG/IGHA1/IGHG2/IGHA2/IGHG3/ANG/TF/CXCL10/PF4/CXCL14/LGALS4/MUC7/S100A12/PPBP/CXCL1/KRT6A/HLA-E/SPRR2A/RNASE4/CXCL13/GNLY/ELANE/H2BC12/LEAP2/RPS19/PGLYRP1/IGHG4/KLK3/S100A9/DEFB1/DEFA3/CXCL9/NOD2/DEFA4/PGC/NCR3LG1/AZU1/PF4V1/DEFA6/DEFA5/SLPI/CXCL3/H2BC4/COLEC11/RNASE7
CC	GO:0098798	mitochondrial protein-containing complex	284	-0.466028304635871	-2.62007641053656	1e-10	2.67666666666667e-08	2.10842105263158e-08	8293	tags=60%, list=30%, signal=42%	MRPL55/TIMM8A/NDUFA3/SAMM50/MCCC2/MRPS25/PMPCA/ATP5F1E/MRPL22/MRPL18/HSPA9/NDUFB8/NDUFA13/NDUFV1/COX4I1/MRPS2/MRPS7/ATP5ME/CHCHD1/ATP5MG/ATP5MJ/NDUFA9/PPIF/ATP5PO/IDH3B/TIMM17B/TIMM13/AFG3L2/SUCLG1/MRPS24/IMMT/FOXRED1/NDUFS1/NDUFB4/MICOS10/NDUFB1/COX5A/NDUFA1/NDUFC1/NDUFA8/MCCC1/COX8A/MRPS21/SUCLG2/MRPL14/NDUFA12/MRPS18B/MRPL51/COX6B1/HADHA/TOMM5/ATP5PF/MRPL20/MRPL50/DLAT/TOMM40L/ATP5F1A/ATP5MK/NDUFS5/TIMM21/MRPL43/COX7A2L/NDUFAB1/NDUFV2/MRPL58/ATP5MC2/ATP5MF/GRPEL1/TIMM23/TOMM22/FXN/UQCRB/MRPL57/MRPL17/TRMT10C/UQCRFS1/HADHB/UQCRH/ATP5MGL/MRPL47/NDUFA6/MRPS23/COX7C/NDUFB3/MRPL28/UQCRHL/PDHX/ATP5F1B/BCKDK/ATP5F1C/MRPS11/DNAJC19/UQCRC2/MRPL15/IDH3A/NFS1/ATP5MC1/MRPS30/COX6C/DNAJC15/CLPX/MRPS33/MRPL9/MRPL36/COX7B/VDAC1/APOO/MRPL16/NDUFA4/ATP5PB/DBT/DLD/PNPT1/MRPL24/MRPS22/PDHA1/IMMP1L/NDUFA5/NDUFB2/NDUFB6/NDUFAF1/MPC2/AGK/ATP5MC3/DMAC1/TIMM29/PMPCB/MRPS18A/MICU1/MRPS18C/MRPL19/MRPL37/SDHD/NDUFB5/MRPS9/MRPL13/TIMM17A/MRPL1/DAP3/NDUFS2/TIMM22/TOMM70/MRPL45/MRPL35/SDHC/MRPS28/MRPL39/MTX2/MRPL10/PDHB/MRPS16/MRPL44/TOMM20/MRPS35/MRPS14/MRPS27/PRORP/MRPL49/MRPL48/MICU2/MCU/MRPS17/MRPL3/WDR93/APOOL/NDUFC2/ATP5F1EP2/MRPL30/MRPS10
