representative	grouped_terms	genes
B cell mediated immunity	B cell mediated immunity;immunoglobulin mediated immune response	IGHM;IGLC1;IGHV4-39;IGHV1-3;IGHG1;C9;IGHV6-1;HPX;IGKC;IGHV3-23;IGLC2;IGHV4-59;C4BPA;IGHV4-34;IGHV3-49;IGHA1;IGHV4-4;IGHV1-18;FCGR3B;IGHV5-51;IGHV2-5;IGHG2;IGHV4-28;IGHA2;IGHG3;IGLC3;IGHV3-11;IGHV3-33;IGHV3-30;IGHV1-24;IGHV1-69;IGHV3-74;IGHV3-7;CD19;IGHV3-48;IGHV3-20;IGHV7-4-1;IGHV4-61;C4BPB;IGHV4-31;IGHD;IGHV1-69D;IGHV3-21;IGHV1-69-2;TBX21;SERPING1;IGHV2-70;AICDA;IGHV2-70D;BATF;IRF7;IGHV2-26;IGHV3-53;LTA;TCIRG1;TGFB1;HLA-E;C1R;CR2;IGHV3-13;C1RL;IGHV3-64D;IGHV3-15;IGHV3-73;IGHV3-43;NFKBIZ;IGHV1-58;CD70;GAPT;CLU;IGHG4;C1S;BCL6;TNF;NOD2;IGHV5-10-1;IGHV3-72;C2;INPP5D;NCR3LG1;IL2RB
mitochondrial translation	mitochondrial translation;mitochondrial gene expression	MRPS21;MRPL14;MRPS18B;MRPL51;MRPL20;MRPL50;MRPL43;AARS2;MRPL58;TACO1;RARS2;MRPL57;MRPL17;TRMT10C;MRPL47;MRPS23;MRPL28;TRUB2;ALKBH1;MRPS11;MRPL15;LARS2;MTIF2;MRPS30;TSFM;MRPS33;MRPL9;MRPL36;TARS2;MRPL16;RPUSD3;MRPL24;MALSU1;MRPS22;FASTKD2;MRPS18A;C1QBP;MRPS18C;MRPL19;MRPL37;HARS1;LRPPRC;MRPS9;MRPL13;MRPL1;DAP3;MRPL45;MRPL35;MRPS28;MRPL39;MTIF3;MRPL10;GFM2;RMND1;EARS2;MRPS16;MRPL44;MRPS35;MRPS14;MRPS27;IARS2;GATB;YARS2;MRPL49;MRPL48;GFM1;MRPS17;MRPL3;DARS2;MRPL30;MRPS10;ELAC2;MTERF2;THAP11;PNPT1;MTRES1;TEFM;TFB2M;TFAM;TFB1M;PRORP;TRMT61B
organellar ribosome	organellar ribosome;mitochondrial ribosome;ribosomal subunit	MRPS21;MRPL14;MRPS18B;MRPL51;MRPL20;MRPL50;MRPL43;MRPL58;MRPL57;MRPL17;MRPL47;MRPS23;MRPL28;MRPS11;MRPL15;MRPS30;MRPS33;MRPL9;MRPL36;MRPL16;MRPL24;MRPS22;MRPS18A;MRPS18C;MRPL19;MRPL37;MRPS9;MRPL13;MRPL1;DAP3;MRPL45;MRPL35;MRPS28;MRPL39;MRPL10;MRPS16;MRPL44;MRPS35;MRPS14;MRPS27;MRPL49;MRPL48;MRPS17;MRPL3;MRPL30;MRPS10;RSL1D1;RPS2;NHP2;RPL26L1;RPS23;SNU13;RPL7L1;NPM1;DHX29;RPLP0P6
lymphocyte mediated immunity	lymphocyte mediated immunity;leukocyte mediated immunity	IGHM;IGLC1;IGHV4-39;IGHV1-3;IGHG1;C9;IGHV6-1;HPX;IGKC;IGHV3-23;IGLC2;IGHV4-59;C4BPA;IGHV4-34;IGHV3-49;IGHA1;IGHV4-4;IGHV1-18;FCGR3B;IGHV5-51;IGHV2-5;IGHG2;IGHV4-28;IGHA2;KLRD1;IGHG3;IGLC3;IL18RAP;IGHV3-11;IGHV3-33;IGHV3-30;IGHV1-24;IGHV1-69;ARG1;IGHV3-74;IGHV3-7;CD19;IGHV3-48;IGHV3-20;IGHV7-4-1;IGHV4-61;C4BPB;IGHV4-31;IGHD;IGHV1-69D;IGHV3-21;CRTAM;IGHV1-69-2;TBX21;SERPING1;HLA-C;IGHV2-70;NKG7;AICDA;NCR1;IGHV2-70D;BATF;IRF7;GZMM;NCR3;IGHV2-26;IGHV3-53;SLAMF7;LTA;PRF1;IL20RB;TCIRG1;TGFB1;LAG3;TRAF6;HLA-E;SLAMF1;C1R;CR2;IGHV3-13;PIK3R6;VAV1;C1RL;SH2D1B;IGHV3-64D;IGHV3-15;IGHV3-73;IGHV3-43;NFKBIZ;IGHV1-58;CD70;GAPT;CLU;IGHG4;C1S;BCL6;TRPM4;CLC;MICB;SPN;KLRK1;TNF;NOD2;IGHV5-10-1;IGHV3-72;UNC93B1;C2;LGALS9;INPP5D;NCR3LG1;IL2RB;IL23A;EMP2;IGHV3-66;STAT6;GZMB;LYST;RNF168;TRAF2;CD1E;RFTN1;CSF2RB;KLRB1;HLA-F;CD1C;AGER;ARID5A;KLRC2;FUT7;ARRB2;F2;F2RL1;TREM1;ANXA3;FGR;LAT2;GAB2;TLR9;PIK3CD;STXBP1;RAC2;CD177;STAP1;BST2;DNASE1L3;RAB44;ELANE;CD300A;PRAM1;NDST2;LAT;KMT2E;AZU1;TLR4;PLA2G3;TICAM2;IRAK4;ADORA2B;ADGRE2;PIK3CG
immune response-activating cell surface receptor signaling pathway	immune response-activating cell surface receptor signaling pathway;immune response-regulating cell surface receptor signaling pathway	IGHM;IGLC1;IGHG1;IGKC;F2RL1;IGHA1;MS4A1;CD79A;IGHG2;IGHA2;KLRD1;IGHG3;IGLC3;CMKLR1;CD19;FFAR2;CD79B;PLCG1;FCRL3;BLK;TNIP3;IGHD;VAV3;TLR6;GCSAM;FGR;LAT2;BCL2;NCR3;PIK3CD;CMTM3;CARD11;STAP1;NR1D1;CACNB3;MNDA;BTNL3;TRAF6;BAX;BTN1A1;LPXN;LIME1;RC3H1;CR2;DGKZ;OAS1;NFKBID;VAV1;IRF3;IRAK2;FOXP1;GPS2;NFKBIZ;IKBKB;CD247;GBP1;ADA;IGHG4;PRKD2;EIF2B5;CD300A;RNF31;BTNL8;BTNL9;PRAM1;MICB;KLRK1;NOD2;LAT;FPR1;ZAP70;INPP5D;RELA;ICOSLG;TLR4;SHB;TLR5;NFAM1;TICAM2;TLR1;THEMIS;PVRIG;IRAK4;PELI1;CCR7;RFTN1;CD22;FCN1;LCK;CYBA;KLRC2;FCHO1;THEMIS2;COLEC11;NFKBIA;PTPRC;RBCK1;LCP2;NAGLU;ITGAM;BLNK;MYD88;ZC3H12A;CD8B;HCK;PHPT1;LAX1;TRBC1;HRAS;DAB2IP;TICAM1;C3;LTF;LY96;CSK;FCN2;CD14;BTLA;PIGR;KIR2DL1;CLEC4D;MAP2K7;CLEC4E;MAP3K1
immune response-regulating signaling pathway	immune response-regulating signaling pathway;immune response-activating signaling pathway	IGHM;IGLC1;IGHG1;IGKC;TLR10;F2RL1;IGHA1;MS4A1;CD79A;IGHG2;IGHA2;KLRD1;IGHG3;IGLC3;CMKLR1;CD19;FFAR2;CD79B;PLCG1;FCRL3;BLK;TNIP3;IGHD;VAV3;TLR6;GCSAM;FGR;LAT2;BCL2;TLR9;IRF7;NFKBIL1;NCR3;LRCH4;PIK3CD;IRF1;CMTM3;NLRP1;BTLA;IL20RB;CARD11;STAP1;NR1D1;CACNB3;TRAF3IP3;MNDA;BTNL3;OASL;TRAF6;GPR108;PIGR;BAX;BTN1A1;LPXN;GBP2;TASL;LIME1;HCFC2;RNF135;RC3H1;CR2;KIR2DL1;DGKZ;OAS1;NFKBID;AIM2;VAV1;NOP53;S100A8;CLEC4D;SLC15A3;PYCARD;NR1H4;MAP2K7;IRF3;IRAK2;FOXP1;GPS2;NFKBIZ;IKBKB;CD247;GBP1;GBP5;ADA;IGHG4;S100A9;PRKD2;EIF2B5;CASP1;CD300A;RNF31;BTNL8;BTNL9;PRAM1;MICB;KLRK1;TNF;NOD2;LAT;CD300LF;USP50;UNC93B1;FPR1;ZAP70;INPP5D;RELA;MEFV;NOD1;ICOSLG;TLR4;SHB;TLR5;NFAM1;TICAM2;TLR1;THEMIS;PVRIG;IRAK4;PELI1;DHX58;ZDHHC18;CCR7;HSPA1A;RFTN1;CD22;CACTIN;CLEC4E;FCN1;LCK;CYBA;TRIM25;MAP3K1;KLRC2;FCHO1;THEMIS2;ARRB2;COLEC11;TRIM11;NFKBIA;FBXL2;NAIP;PTPRC;RBCK1;OAS3;CGAS;LCP2;NAGLU;IRAK3;ITGAM;BIRC3;BLNK;MYD88;ZC3H12A;CD8B;SLC15A4
killing of cells of another organism	killing of cells of another organism;disruption of cell in another organism;disruption of anatomical structure in another organism	F2;C9;HRG;F2RL1;ARG1;PF4;MUC7;CFHR1;TREM1;NKG7;S100A12;GZMH;GZMM;GSDMB;PRF1;GBP3;KRT6A;GBP2;GNLY;ELANE;H2BC12;RPS19;PGLYRP1;GBP1;GBP5;DEFA3;MICB;GZMA;DEFA4;AZU1;GZMB;DEFA6;DEFA5
neuron to neuron synapse	neuron to neuron synapse;asymmetric synapse;postsynaptic density;postsynaptic specialization	ROGDI;HNRNPD;SORCS3;RGS7BP;ATP1B2;USP8;GRIA2;GRIN2B;SHANK2;PLEKHA5;ITGA8;CAP2;CDK5;PLXNA4;SLITRK1;CACNG8;AKAP7;EGLN1;DROSHA;CADM1;ARFGEF2;BMPR2;SAMD14;GRID2IP;VPS35;GNG3;NETO2;PRKN;GOPC;DLG3;MAL2;C1QL1;GRIK4;CHRM2;SHANK1;PDLIM5;MPP2;LRRC7;CHD4;DMTN;GRIN3A;SLC16A7;TNIK;SYN1;ERBB4;RTN4;ADD2;GRIN1;SLC30A3;PRKCZ;RGS9;SEMA4B;TIAM1;PSD;SH3GL3;GRIP1;PAK6;PRKCG;GRIK5;SLITRK3;BSN;DCC;HNRNPH2;NSF;EEF2K;PRNP;CAMK2A;NPTN;ABHD17C;ADCY1;LIN7A;PRKAR1B;DNAJC6;RTN3;FBXO45;LRFN5;HOMER2;MAP1B;GPHN;SYT9;PAK2;PPP1R9A;GRIK2;ARHGAP44;SYNDIG1;AURKA;LRFN1;ADORA1;SLC1A1;RTN1;PCLO;CTNND2;ITGB1;EFNB3;NLGN4Y;ZDHHC2;P2RY1;RNF10;PTEN;SYT7;CHRM1;PPP3R1;ABHD17B;ATP1A1;FAM81A;LRRC4B;CHRNA3;SHISA7;NRCAM;CRIPT;MAPK8IP2;NEFH;DLG2;SYT1;ATP2B2;EIF3E;MTMR2;HOMER1;INSYN1;DTNBP1;EIF3A;PCBP1;SLC8A1;LRRTM1;GAP43;GABRA4;PKP4;LRRTM3;KCNB1;CHRNA1;CHRNB2;LHFPL4;GABRA5;ERBIN;CHRNB1;GABRB1;CDH10;GLRB;CHRND
negative regulation of hemostasis	negative regulation of hemostasis;negative regulation of blood coagulation;regulation of hemostasis;regulation of coagulation;negative regulation of coagulation;regulation of blood coagulation;negative regulation of wound healing;negative regulation of response to wounding	PLG;F2;FGB;FGG;FGA;APOH;HRG;CPB2;PROC;KNG1;USF1;SERPING1;ALOX12;PDGFA;ADTRP;COMP;CD9;F12;SERPINB2;ADAMTS18;FAP;KLKB1;SERPINC1;F2RL1;F2R;HPSE;ST3GAL4;APCS;WNT4;TAFA5;MYOZ1;TNF;LRIG2;GIT1
peroxisomal membrane	peroxisomal membrane;microbody membrane	IMPDH2;ABCD1;PEX12;PEX11B;PEX14;NBR1;PEX2;PEX10;PXMP2;PXMP4;CAT;ABCD2;TTC1;ACBD5;PLAAT3;ATAD1;ACSL6;PEX7;DHRS4;PEX19;PEX3;HSD17B4;PNPLA8;DHRS7B;TRIM37;ALDH3A2;ACSL3;FAR2;AGPS;TMEM35A;PEX11G;ACOX1;PEX11A;GNPAT;PEX5;FNDC5;GDAP1;SYT7;PEX13;ACSL4;ABCD3
