ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0002181	cytoplasmic translation	156	-0.728692051591142	-3.05811480748015	1e-10	1.00375e-07	9.28421052631579e-08	3254	tags=58%, list=12%, signal=51%	YBX3/EIF3D/EIF3CL/EIF2B2/FTSJ1/RPS26/RPL26L1/RPL34/EIF3I/RPL11/RPL7/RPS6/RPS23/EIF3F/DRG2/AARS1/RPL12/SARS1/RPL23/RPL6/RPS8/RPL15/RPS12/RPL36A/RPLP0/RPL37/RPS27/RPS20/RPSA/RPS13/RACK1/RPS24/RPS25/RPS27A/EIF3K/RPL26/RPL13A/RPL21/MIF4GD/RPL10/RPL10A/EIF3G/RPS19/RPL39/RPL14/RPL24/RPS18/RPL35A/RPL13/RPL27A/RPS17/RPS15A/RPS9/RPL18/RPL31/FAU/RPL35/RPL30/RPL19/RPL38/RPLP1/RPL29/RPL18A/RPL17/RPS7/RPL32/RPLP0P6/RPS3/RPS16/RPL7A/RPL23A/RPS14/RPL27/RPS10/RPL37A/RPL28/RPS2/RPS21/RPLP2/RPL36/RPS5/UBA52/RPL41/RPS11/RPS15/RPL8/RPS29/RPS28/EIF2S3/RPS4X
CC	GO:0015934	large ribosomal subunit	115	-0.743350337607866	-2.9926501589922	1e-10	1.00375e-07	9.28421052631579e-08	2993	tags=60%, list=11%, signal=54%	RPL36AL/MRPL36/MRPL37/RPL26L1/RPL34/MRPL48/MRPL51/RPL11/RPL7/MRPL12/MRPL41/MRPL43/RPL12/MRPL21/MRPL9/RPL23/MRPL38/RPL6/RPL15/RPL36A/MRPL2/RPLP0/SNU13/RPL37/MRPL11/MRPL55/MRPL57/NHP2/MRPL14/GADD45GIP1/RPL26/RPL13A/RPL21/RPL10/RPL10A/RPL39/RPL14/RPL24/RPL35A/RPL13/RPL27A/MRPL20/RPL18/RPL31/RPL35/RPL30/RPL19/RPL38/RPLP1/RPL29/MRPL17/RPL18A/RPL17/RPL32/RPLP0P6/MRPL52/RPL7A/RPL23A/RPL27/RPL37A/RPL28/RPLP2/RPL36/UBA52/MRPS18A/RPL39L/RPL41/RPL8/MRPL54
CC	GO:0022625	cytosolic large ribosomal subunit	58	-0.831415052822475	-2.97765106788814	1e-10	1.00375e-07	9.28421052631579e-08	2489	tags=81%, list=9%, signal=74%	RPL26L1/RPL34/RPL11/RPL7/RPL12/RPL23/RPL6/RPL15/RPL36A/RPLP0/SNU13/RPL37/NHP2/RPL26/RPL13A/RPL21/RPL10/RPL10A/RPL39/RPL14/RPL24/RPL35A/RPL13/RPL27A/RPL18/RPL31/RPL35/RPL30/RPL19/RPL38/RPLP1/RPL29/RPL18A/RPL17/RPL32/RPLP0P6/RPL7A/RPL23A/RPL27/RPL37A/RPL28/RPLP2/RPL36/UBA52/RPL39L/RPL41/RPL8
CC	GO:0044391	ribosomal subunit	187	-0.577841541650854	-2.46571632258823	1e-10	1.00375e-07	9.28421052631579e-08	2556	tags=56%, list=9%, signal=51%	RPS26/RPL26L1/RPL34/MRPL48/MRPL51/MRPS11/RPL11/MRPS34/RPL7/RPS6/MRPL12/MRPL41/RPS23/MRPL43/RPL12/AURKAIP1/MRPL21/MRPL9/RPL23/MRPS18C/MRPL38/RPL6/RPS8/RPL15/RPS12/RPL36A/MRPL2/RPLP0/SNU13/MRPS6/RPL37/MRPL11/RPS27/MRPS24/RPS20/RPSA/MRPL55/RPS13/RACK1/MRPL57/RPS24/RPS25/NHP2/MRPL14/RPS27A/GADD45GIP1/RPL26/RPL13A/RPL21/RPL10/RPL10A/RPS19/RPL39/RPL14/RPL24/RPS18/RPL35A/RPL13/RPL27A/MRPL20/RPS17/RPS15A/RPS9/RPL18/RPL31/FAU/RPL35/RPL30/RPL19/RPL38/RPLP1/RPL29/MRPL17/RPL18A/RPL17/RPS7/RPL32/RPLP0P6/MRPL52/RPS3/RPS16/RPL7A/RPL23A/RPS14/RPL27/RPS10/RPL37A/RPL28/RPS2/RPS21/RPLP2/RPL36/RPS5/UBA52/MRPS18A/RPL39L/RPL41/RPS11/RPS15/RPL8/MRPL54/RPS29/RPS28/DDX3X/RPS4X
CC	GO:0098798	mitochondrial protein-containing complex	284	-0.545054207838102	-2.44111352911261	1e-10	1.00375e-07	9.28421052631579e-08	6419	tags=51%, list=23%, signal=39%	MRPS25/NDUFAB1/FOXRED1/NDUFS2/PDK2/SDHB/CYC1/COX6A2/NDUFB3/MRPL22/MRPL4/NDUFV1/NDUFB6/MRPS2/MRPL58/DMAC2/MRPS7/NDUFC1/APOO/MRPL40/MRPS12/IMMP1L/ATP5MC3/MRPL28/MRPL18/HADHA/POLRMT/MPC1/MRPL27/TOMM5/NDUFV3/NDUFB9/MRPL32/TIMM22/MRPL34/MRPS26/COX6C/NDUFA7/TIMM44/IDH3B/MRPS15/IDH3G/CHCHD1/NDUFS4/UQCRFS1P1/UQCRHL/NDUFS3/ATP5MC1/NDUFS6/TIMM50/POLG2/PHB2/ATP5MG/COX5A/ATP5PO/MRPS21/NDUFS5/TIMM13/MRPL36/NDUFA6/ATP5PD/MRPL37/NDUFA4L2/NDUFB10/NDUFB1/UQCR10/SLC25A5/MRPL48/UQCRH/UQCRQ/ATP5MK/MRPL51/COX4I1/MRPS11/MRPS34/TIMM8B/NDUFA12/NDUFS7/ATP5MJ/SMDT1/CHCHD6/COX7C/MRPL12/BCKDK/NDUFB2/MRPL41/MRPL43/DMAC1/ATP5F1D/CHCHD10/COX7A1/NDUFB4/AURKAIP1/MRPL21/ATP5ME/MRPL9/NDUFA2/MICOS10/NDUFS8/HSD17B10/COX7B/MRPS18C/MRPL38/NDUFB8/PDK1/NDUFA4/NDUFA3/MRPL2/TOMM7/MCUB/MRPS6/NDUFA1/MRPL11/MRPS24/ATP5F1EP2/TIMM10/ATP5MF/MRPL55/TOMM6/MRPL57/ATP5MC2/MRPL14/COX7A2/GADD45GIP1/ATP5F1E/PAM16/NDUFB7/NDUFC2/NDUFA11/UQCR11/MICOS13/TIMM17B/COX5B/NDUFB11/COX6B1/MRPL20/NDUFA13/MRPL17/COX8A/MRPL52/COX6A1/MRPS18A/MRPL54/ROMO1
CC	GO:0005743	mitochondrial inner membrane	468	-0.463009569834048	-2.16486255009813	1e-10	1.00375e-07	9.28421052631579e-08	6431	tags=43%, list=23%, signal=34%	SFXN2/MRPS25/STMP1/NDUFAB1/FOXRED1/NDUFS2/PTPMT1/SDHB/MTHFD2L/CYC1/COX6A2/OXA1L/STOML2/NDUFB3/MRPL22/MRPL4/EFHD1/SLC30A2/NDUFV1/NDUFB6/TMEM126A/MRPS2/COA8/TAFAZZIN/MRPL58/DMAC2/MTLN/MRPS7/NDUFC1/APOO/SLC25A20/SLC25A11/MRPL40/MRPS12/AQP8/SLC22A14/SLC25A23/IMMP1L/ATP5MC3/MRPL28/MRPL18/SLC25A10/HADHA/MPC1/LGALS3/MRPL27/NDUFV3/BCL2L1/NDUFB9/MRPL32/UCP2/TIMM22/MRPL34/SLC25A1/PLSCR3/MRPS26/SLC25A41/COX6C/NDUFA7/MGARP/TIMM44/SLC25A26/MRPS15/CHCHD1/NDUFS4/UQCRFS1P1/UQCRHL/NDUFS3/ATP5MC1/NDUFS6/TIMM50/PHB2/ATP5MG/COX5A/ATP5PO/SPNS1/SURF1/MRPS21/NDUFS5/TIMM13/MRPL36/NDUFA6/ATAD3A/SFXN1/ATP5PD/MRPL37/NDUFA4L2/NDUFB10/NDUFB1/UQCR10/SLC25A34/SCO2/SLC25A5/MRPL48/NDUFAF2/UQCRH/COX16/UQCRQ/ATP5MK/TMEM11/MCUR1/SHMT2/MRPL51/COX4I1/MRPS11/MRPS34/TIMM8B/NDUFA12/TRAP1/NDUFS7/ATP5MJ/SLC25A33/SMDT1/CHCHD6/NDUFAF3/COX7C/MRPL12/NDUFB2/MRPL41/SLC41A3/MRPL43/DMAC1/ATP5F1D/PTPN1/CHCHD10/COX7A1/NDUFB4/AURKAIP1/MRPL21/ATP5ME/MRPL9/NDUFA2/MICOS10/NDUFS8/SLC25A18/ENDOG/COX7B/MRPS18C/MRPL38/NDUFB8/TMEM14C/NDUFA4/NDUFA3/TMEM160/COX20/MRPL2/COA3/MCUB/MRPS6/HIGD2A/NDUFA1/MRPL11/UQCC2/MRPS24/OTC/ATP5F1EP2/TIMM10/ATP5MF/MPV17/MRPL55/TDH/MTG1/MRPL57/SLC25A42/ATP5MC2/MRPL14/COX7A2/GADD45GIP1/ATP5F1E/PAM16/NDUFB7/PET100/ACADVL/NDUFC2/NDUFA11/UQCR11/MICOS13/COX6B2/TIMM17B/CKMT1A/COX5B/SLC25A39/CKMT1B/NDUFB11/COX6B1/MRPL20/NDUFA13/MRPL17/FLVCR1/COX8A/MRPL52/RPS3/MTFP1/COX6A1/MRPS18A/PDE2A/MRPL54/ROMO1/ALAS2/IFI6/BOK/UCP1
BP	GO:0045333	cellular respiration	224	-0.507223191454134	-2.20037866905612	8.68351622568536e-10	7.74762614358371e-07	7.16618602203929e-07	6403	tags=48%, list=23%, signal=37%	NDUFAB1/NDUFS2/ATP7A/SDHB/CYC1/COX6A2/OXA1L/STOML2/NDUFB3/ETFA/NDUFV1/NDUFB6/MDH2/TAFAZZIN/MTLN/PANK2/NDUFC1/COA6/IL10RB/PLEC/SLC25A23/AIFM2/NDUFV3/MTFR1/NDUFB9/FLCN/COX6C/NDUFA7/NUPR1/IDH3B/IDH3G/NDUFS4/BNIP3/UQCRFS1P1/UQCRHL/NDUFS3/NDUFS6/ATP5MG/RHOA/COX5A/ATP5PO/SURF1/NDUFS5/NDUFA6/ACTN3/ATP5PD/ADSL/CCNB1/GPD1/NDUFB10/NDUFB1/UQCR10/SCO2/UQCRH/UQCRQ/SHMT2/CHCHD5/COX4I1/NDUFA12/TRAP1/NDUFS7/SLC25A33/COX7C/BLOC1S1/NDUFB2/CDK1/ATP5F1D/ETFB/MLXIPL/CHCHD10/COX7A1/NDUFB4/ATP5ME/NDUFA2/NDUFS8/SLC25A18/COX7B/NDUFB8/NDUFA4/NDUFA3/NDUFA1/DGUOK/UQCC2/ATP5F1EP2/ATP5MF/UCN/ANTKMT/COX7A2/ATP5F1E/NDUFB7/SDHAF4/MACROH2A1/NDUFC2/NDUFA11/UQCR11/COX6B2/PRELID1/PARK7/COX5B/NDUFB11/COX6B1/CHCHD2/NDUFA13/ARL2/COX8A/COX6A1/SNCA/PPARGC1A
BP	GO:0009060	aerobic respiration	181	-0.532625288695378	-2.26608115918856	1.43410523193473e-09	1.13083943105763e-06	1.04597273717541e-06	4158	tags=42%, list=15%, signal=36%	NDUFV3/MTFR1/NDUFB9/COX6C/NDUFA7/NUPR1/IDH3B/IDH3G/NDUFS4/BNIP3/UQCRFS1P1/UQCRHL/NDUFS3/NDUFS6/ATP5MG/RHOA/COX5A/ATP5PO/SURF1/NDUFS5/NDUFA6/ACTN3/ATP5PD/ADSL/CCNB1/NDUFB10/NDUFB1/UQCR10/UQCRH/UQCRQ/SHMT2/COX4I1/NDUFA12/NDUFS7/SLC25A33/COX7C/BLOC1S1/NDUFB2/CDK1/ATP5F1D/MLXIPL/CHCHD10/COX7A1/NDUFB4/ATP5ME/NDUFA2/NDUFS8/COX7B/NDUFB8/NDUFA4/NDUFA3/NDUFA1/DGUOK/UQCC2/ATP5F1EP2/ATP5MF/UCN/ANTKMT/COX7A2/ATP5F1E/NDUFB7/MACROH2A1/NDUFC2/NDUFA11/UQCR11/COX6B2/PARK7/COX5B/NDUFB11/COX6B1/CHCHD2/NDUFA13/ARL2/COX8A/COX6A1/SNCA
BP	GO:0015980	energy derivation by oxidation of organic compounds	308	-0.464690452568223	-2.09291697443327	1.54909511103784e-09	1.13083943105763e-06	1.04597273717541e-06	6403	tags=44%, list=23%, signal=34%	NDUFAB1/NDUFS2/ATP7A/SDHB/PPP1R3F/CYC1/COX6A2/OXA1L/AKT1/COMT/STOML2/NDUFB3/ETFA/NDUFV1/NDUFB6/PASK/MDH2/TAFAZZIN/MTLN/PANK2/GNMT/INSR/NDUFC1/COA6/IL10RB/PLEC/NR1D1/PPP1R3G/IGF2/GYS1/PPP1R3E/SLC25A23/SELENOS/GFPT1/AIFM2/NDUFV3/MTFR1/NDUFB9/ADGRF5/FLCN/COX6C/NDUFA7/SORBS1/NUPR1/IDH3B/IDH3G/NDUFS4/BNIP3/UQCRFS1P1/UQCRHL/PER2/NDUFS3/NDUFS6/ATP5MG/RHOA/COX5A/ATP5PO/SURF1/NDUFS5/PHKG2/NDUFA6/ACTN3/ATP5PD/ADSL/ADCY10/CCNB1/GPD1/NDUFB10/NDUFB1/UQCR10/GCK/SCO2/UQCRH/UQCRQ/SHMT2/CHCHD5/COX4I1/NDUFA12/TRAP1/NDUFS7/SLC25A33/COX7C/BLOC1S1/NDUFB2/CDK1/ATP5F1D/ETFB/MLXIPL/PYGL/PRKAG2/CHCHD10/COX7A1/NDUFB4/ATP5ME/NDUFA2/NDUFS8/SLC25A18/COX7B/GBE1/NDUFB8/NDUFA4/NDUFA3/PPP1CA/NDUFA1/DGUOK/UQCC2/CAVIN3/ATP5F1EP2/ATP5MF/UCN/ANTKMT/COX7A2/ATP5F1E/NDUFB7/SDHAF4/MACROH2A1/ACADVL/NDUFC2/NDUFA11/UQCR11/COX6B2/PRELID1/PHLDA2/PARK7/COX5B/NDUFB11/COX6B1/CHCHD2/NDUFA13/ARL2/COX8A/GYG2/MT3/COX6A1/SNCA/PPARGC1A
CC	GO:0005747	mitochondrial respiratory chain complex I	43	-0.696142446307025	-2.37828856178229	1.42630307554708e-08	7.15825856040192e-06	6.6210490138554e-06	6403	tags=79%, list=23%, signal=61%	NDUFAB1/FOXRED1/NDUFS2/NDUFB3/NDUFV1/NDUFB6/DMAC2/NDUFC1/NDUFV3/NDUFB9/NDUFA7/NDUFS4/NDUFS3/NDUFS6/NDUFS5/NDUFA6/NDUFB10/NDUFB1/NDUFA12/NDUFS7/NDUFB2/DMAC1/NDUFB4/NDUFA2/NDUFS8/NDUFB8/NDUFA4/NDUFA3/NDUFA1/NDUFB7/NDUFC2/NDUFA11/NDUFB11/NDUFA13
