representative	grouped_terms	genes
ribosomal subunit	ribosomal subunit;structural constituent of ribosome;ribosome	RPS26;RPL26L1;RPL34;MRPL48;MRPL51;MRPS11;RPL11;MRPS34;RPL7;RPS6;MRPL12;MRPL41;RPS23;MRPL43;RPL12;AURKAIP1;MRPL21;MRPL9;RPL23;MRPS18C;MRPL38;RPL6;RPS8;RPL15;RPS12;RPL36A;MRPL2;RPLP0;SNU13;MRPS6;RPL37;MRPL11;RPS27;MRPS24;RPS20;RPSA;MRPL55;RPS13;RACK1;MRPL57;RPS24;RPS25;NHP2;MRPL14;RPS27A;GADD45GIP1;RPL26;RPL13A;RPL21;RPL10;RPL10A;RPS19;RPL39;RPL14;RPL24;RPS18;RPL35A;RPL13;RPL27A;MRPL20;RPS17;RPS15A;RPS9;RPL18;RPL31;FAU;RPL35;RPL30;RPL19;RPL38;RPLP1;RPL29;MRPL17;RPL18A;RPL17;RPS7;RPL32;RPLP0P6;MRPL52;RPS3;RPS16;RPL7A;RPL23A;RPS14;RPL27;RPS10;RPL37A;RPL28;RPS2;RPS21;RPLP2;RPL36;RPS5;UBA52;MRPS18A;RPL39L;RPL41;RPS11;RPS15;RPL8;MRPL54;RPS29;RPS28;DDX3X;RPS4X;RPL13AP3;RPL36AL;MRPS21;MRPL36;ASCC2;MRPL37;MTG1;CALR;MT3
aerobic respiration	aerobic respiration;oxidative phosphorylation	NDUFV3;MTFR1;NDUFB9;COX6C;NDUFA7;NUPR1;IDH3B;IDH3G;NDUFS4;BNIP3;UQCRFS1P1;UQCRHL;NDUFS3;NDUFS6;ATP5MG;RHOA;COX5A;ATP5PO;SURF1;NDUFS5;NDUFA6;ACTN3;ATP5PD;ADSL;CCNB1;NDUFB10;NDUFB1;UQCR10;UQCRH;UQCRQ;SHMT2;COX4I1;NDUFA12;NDUFS7;SLC25A33;COX7C;BLOC1S1;NDUFB2;CDK1;ATP5F1D;MLXIPL;CHCHD10;COX7A1;NDUFB4;ATP5ME;NDUFA2;NDUFS8;COX7B;NDUFB8;NDUFA4;NDUFA3;NDUFA1;DGUOK;UQCC2;ATP5F1EP2;ATP5MF;UCN;ANTKMT;COX7A2;ATP5F1E;NDUFB7;MACROH2A1;NDUFC2;NDUFA11;UQCR11;COX6B2;PARK7;COX5B;NDUFB11;COX6B1;CHCHD2;NDUFA13;ARL2;COX8A;COX6A1;SNCA
mitochondrial respiratory chain complex I	mitochondrial respiratory chain complex I;NADH dehydrogenase complex;respiratory chain complex I	NDUFAB1;FOXRED1;NDUFS2;NDUFB3;NDUFV1;NDUFB6;DMAC2;NDUFC1;NDUFV3;NDUFB9;NDUFA7;NDUFS4;NDUFS3;NDUFS6;NDUFS5;NDUFA6;NDUFB10;NDUFB1;NDUFA12;NDUFS7;NDUFB2;DMAC1;NDUFB4;NDUFA2;NDUFS8;NDUFB8;NDUFA4;NDUFA3;NDUFA1;NDUFB7;NDUFC2;NDUFA11;NDUFB11;NDUFA13
proton motive force-driven ATP synthesis	proton motive force-driven ATP synthesis;ATP biosynthetic process;purine ribonucleoside triphosphate biosynthetic process;purine nucleoside triphosphate biosynthetic process;proton motive force-driven mitochondrial ATP synthesis;ribonucleoside triphosphate biosynthetic process;nucleoside triphosphate biosynthetic process	NDUFAB1;NDUFS2;SDHB;STOML2;NDUFB3;NDUFV1;NDUFB6;NDUFC1;ATP5MC3;NDUFV3;NDUFB9;NDUFA7;NDUFS4;NDUFS3;ATP5MC1;NDUFS6;ATP5MG;ATP5PO;NDUFS5;NDUFA6;ATP5PD;NDUFB10;NDUFB1;ATP5MK;NDUFA12;NDUFS7;ATP5MJ;NDUFB2;ATP5F1D;NDUFB4;ATP5ME;NDUFA2;NDUFS8;NDUFB8;NDUFA3;NDUFA1;ATP5F1EP2;ATP5MF;ANTKMT;ATP6V0C;ATP5MC2;ATP5F1E;NDUFB7;NDUFC2;NDUFA11;NDUFB11;NDUFA13;NUDT2;TAFAZZIN;ALDOA;FLCN;ENO1;ADCY10;PRKAG2;PPARGC1A;NME1;IMPDH2;IMPDH1;NME9;NME2;NME2P1;UCK2;DTYMK
mitochondrial electron transport, NADH to ubiquinone	mitochondrial electron transport, NADH to ubiquinone;NADH dehydrogenase (quinone) activity;NADH dehydrogenase activity;NAD(P)H dehydrogenase (quinone) activity;oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor;NADH dehydrogenase (ubiquinone) activity	NDUFA8;DNAJC15;NDUFAB1;NDUFS2;NDUFB3;NDUFV1;NDUFB6;NDUFC1;NDUFV3;NDUFB9;NDUFA7;NDUFS4;NDUFS3;NDUFS6;NDUFS5;NDUFA6;NDUFB10;NDUFB1;NDUFS7;NDUFB2;NDUFB4;NDUFA2;NDUFS8;NDUFB8;NDUFA4;NDUFA3;NDUFA1;NDUFB7;NDUFC2;PARK7;SNCA;NDUFA12;ENOX1;CRYZ;CRYZL1;AIFM2;DCXR
ATP metabolic process	ATP metabolic process;purine nucleoside triphosphate metabolic process;ribonucleoside triphosphate metabolic process;nucleoside triphosphate metabolic process;purine ribonucleoside triphosphate metabolic process	GALK1;NDUFAB1;PGAM1;NDUFS2;SDHB;NCOR1;STOML2;NDUFB3;NDUFV1;NDUFB6;LDHA;NUDT2;FOXK2;TAFAZZIN;GAPDH;INSR;NADK;NDUFC1;SIRT6;ALDOA;ATP5MC3;SLC2A6;NDUFV3;NDUFB9;UCP2;FLCN;NDUFA7;NUPR1;PFKL;MLST8;NDUFS4;ENO1;NDUFS3;ATP5MC1;NDUFS6;ATP5MG;ATP5PO;NDUFS5;NDUFA6;ACTN3;ATP5PD;ADCY10;GPD1;NDUFB10;NDUFB1;GCK;OGT;ATP5MK;SLC4A1;NDUFA12;ENO3;NDUFS7;ATP5MJ;TPI1;NDUFB2;ATP5F1D;MLXIPL;PRKAG2;AK2;NDUFB4;ATP5ME;NDUFA2;NDUFS8;NDUFB8;NDUFA3;NDUFA1;ATP5F1EP2;ATP5MF;EIF6;HK2;ANTKMT;ATP6V0C;ATP5MC2;ATP5F1E;NDUFB7;JMJD8;FOXK1;NDUFC2;NDUFA11;FIS1;PFKP;NDUFB11;NDUFA13;TSPO;ENO2;ARL2;PFKFB1;PPARGC1A;EFL1;BAD;NUDT5;GTPBP1;GIMAP7;RAN;NME1;IMPDH2;IMPDH1;NME9;DGUOK;NME2;NME2P1;ENTPD4;UCK2;ENTPD3;DCTPP1;DTYMK
cell-substrate junction	cell-substrate junction;focal adhesion	NHS;RPL4;HSPG2;FHL2;FLNA;SVIL;CAPN2;ACTN2;L1CAM;SCARF2;SORBS3;XIRP1;PEAK1;LIMS2;TPM4;ADAM9;FLNB;REXO2;ACTC1;PAK4;GRB7;NECTIN2;GAK;YWHAE;RPL3;PLEC;ITGB1;EPPK1;RPL5;AKAP12;HYOU1;ASAP3;NFASC;PPFIBP1;FLOT1;SNAP23;YWHAQ;ITGB3;NRAP;FLOT2;LAYN;RPL9;FOCAD;CORO1C;PIK3R2;PTK2;SHROOM4;PARVB;FAT1;SORBS1;RPS3A;MAP2K2;RRAS;RRAS2;ARF1;AIF1L;MME;PDIA3;RSU1;ACTN1;BSG;TES;HSPA5;RHOA;KIF23;B2M;ACTN3;CIB2;ITGA5;ANXA5;TNS1;CD151;BCAR1;ZFYVE21;LIMD1;FLII;HSP90B1;RPL7;PTK7;ARPC3;GNB2;CNN1;PIP5K1C;P4HB;PDLIM1;RPL12;CFL1;RPL23;RPL6;RPS8;HSPB1;RPLP0;FHL1;ALKBH6;MPRIP;PPIA;SLC4A2;PXN;FLNC;PFN1;PPIB;ARPC2;MYH9;MAP2K1;CD59;RPS13;ATP6V0C;ACTN4;CALR;LPP;RPL13A;RPL10A;RPS19;RPS18;ALCAM;RPS17;RPS9;RPL18;RPL31;RPL30;RPL19;TGFB1I1;RPL38;RPLP1;ARL2;CSPG4;RPS7;RPS3;RPS16;RPL7A;RPS14;RPL27;RPS10;RPL37A;RPS2;RPLP2;RPS5;RPS11;RPS15;RPL8;RPS29;ITGA3;ARHGEF7;RPS4X
ribonucleotide biosynthetic process	ribonucleotide biosynthetic process;purine nucleotide biosynthetic process;ribose phosphate biosynthetic process;purine ribonucleotide biosynthetic process;purine-containing compound biosynthetic process;nucleotide biosynthetic process;nucleoside phosphate biosynthetic process	NDUFAB1;GCDH;NDUFS2;PDK2;SDHB;STOML2;NDUFB3;NDUFV1;NDUFB6;UPP1;NUDT2;ACSS2;TAFAZZIN;GUCY1A2;PANK2;NDUFC1;MLYCD;ALDOA;ADCY3;ADCY2;ATP5MC3;ELOVL3;ACSL1;NDUFV3;ELOVL2;NDUFB9;SLC25A1;FLCN;UCK2;PDK4;NDUFA7;NDUFS4;ENO1;NDUFS3;ATP5MC1;NDUFS6;ATP5MG;TECR;ATP5PO;NME1;IMPDH2;NDUFS5;NDUFA6;ELOVL1;ATP5PD;ADSL;ADCY10;IMPDH1;NDUFB10;NDUFB1;NPPB;DIP2A;ATP5MK;NDUFA12;NDUFS7;ATP5MJ;ACOT7;NDUFB2;NME9;APRT;ATP5F1D;PRKAG2;AK2;NDUFB4;ATP5ME;NDUFA2;NDUFS8;HACD1;NDUFB8;PDK1;NDUFA3;NDUFA1;ATP5F1EP2;ATP5MF;ANTKMT;NPPA;ATP6V0C;ATP5MC2;ATP5F1E;NDUFB7;NDUFC2;NDUFA11;NDUFB11;NME2;NDUFA13;SNCA;PPARGC1A;NME2P1;MTHFD2L;NMNAT2;NADK;NADK2;GUCA1A;SLC22A13;AFMID;PRPSAP1;GUK1;DGUOK;NMRK2;IDO1;PYGL;DTYMK;TK1
mitochondrial respirasome	mitochondrial respirasome;respirasome;respiratory chain complex	STMP1;NDUFAB1;FOXRED1;NDUFS2;SDHB;CYC1;COX6A2;NDUFB3;NDUFV1;NDUFB6;DMAC2;NDUFC1;NDUFV3;NDUFB9;COX6C;NDUFA7;NDUFS4;UQCRFS1P1;UQCRHL;NDUFS3;NDUFS6;COX5A;SURF1;NDUFS5;NDUFA6;NDUFA4L2;NDUFB10;NDUFB1;UQCR10;UQCRH;UQCRQ;COX4I1;NDUFA12;NDUFS7;COX7C;NDUFB2;DMAC1;COX7A1;NDUFB4;NDUFA2;NDUFS8;COX7B;NDUFB8;NDUFA4;NDUFA3;NDUFA1;COX7A2;NDUFB7;NDUFC2;NDUFA11;UQCR11;COX5B;NDUFB11;COX6B1;NDUFA13;COX8A;COX6A1;COA6;HIGD2A;COX6B2
organellar ribosome	organellar ribosome;mitochondrial ribosome;mitochondrial translation;mitochondrial gene expression	MRPL22;MRPL4;MRPS2;MRPL58;MRPS7;MRPL40;MRPS12;MRPL28;MRPL18;MRPL27;MRPL32;MRPL34;MRPS26;NDUFA7;MRPS15;CHCHD1;MRPS21;MRPL36;MRPL37;MRPL48;MRPL51;MRPS11;MRPS34;MRPL12;MRPL41;MRPL43;AURKAIP1;MRPL21;MRPL9;MRPS18C;MRPL38;MRPL2;MRPS6;MRPL11;MRPS24;MRPL55;MTG1;MRPL57;MRPL14;GADD45GIP1;MRPL20;MRPL17;MRPL52;MRPS18A;MRPL54;RARS2;GATB;RMND1;RPUSD3;HARS1;SHMT2;COA3;UQCC2;TBRG4;POLRMT;TRIT1;FASTK;SLC25A33;CHCHD10;HSD17B10
