ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CC	GO:1902494	catalytic complex	175	-0.334581965213449	-2.06001132972303	1.51064239718888e-07	0.000193211162600457	0.000150269164772999	250	tags=38%, list=24%, signal=35%	COX15/NDUFA4/PPIF/ATP5PF/PDSS2/PRKN/COA6/OGDH/DLAT/NDUFAB1/COX7B/COX10/NDUFB3/ATP5PO/SDHA/PDK1/IDH3A/BCKDHB/DBT/UQCRH/ATP5F1B/SUCLG1/QRSL1/DLST/ATP5MC3/TRMT61B/NDUFS4/HADHA/PDSS1/NDUFB4/FXN/ATP5F1A/IDH3B/NDUFA5/DECR1/HADHB/NDUFS2/PCCB/SDHB/GCSH/NDUFA9/PDHA1/NDUFB6/UQCRC2/LDHB/AFG3L2/NDUFB5/DMAC2L/MRPL44/UQCRFS1/SDHC/CAT/DLD/TRMT10C/SUCLA2/MCCC1/CLPX/FH/PDHB/ATP5PB/SUCLG2/PDHX/PCCA/SDHD/ATP5F1C/NDUFAF1/PMPCB
BP	GO:0043068	positive regulation of programmed cell death	39	0.592351822719447	2.39391796443139	9.15943506854767e-07	0.000464627541066079	0.000361362105516189	228	tags=64%, list=22%, signal=52%	BCL2A1/SPHK2/BID/BOK/BAD/BBC3/MCL1/BAX/FIS1/STYXL1/PMAIP1/PRELID1/BAK1/BCL2L11/TSPO/SEPTIN4/CASP3/MTCH1/DIABLO/CASP8/HTATIP2/BNIP3L/AIFM2/BCL2/PTRH2
CC	GO:0005759	mitochondrial matrix	416	-0.250366649711605	-1.70324962327825	1.97196927598459e-06	0.000630537175996073	0.000490397622580378	196	tags=26%, list=19%, signal=35%	PDK1/IDH3A/PTCD3/ALDH6A1/TFB2M/WARS2/BCKDHB/ETFA/MRPL46/DBT/FASTKD5/TRAP1/LYRM7/MARS2/MRPL16/ATP5F1B/HADH/SUCLG1/ADHFE1/DLST/BOLA3/LACTB2/COQ3/TRMT61B/ACADSB/GRSF1/HADHA/MRPL47/GRPEL1/MRPS10/PDSS1/ACOT2/MMUT/FXN/AK3/ALDH5A1/GUF1/ATP5F1A/IDH3B/MRPS33/NADK2/FASTKD1/GOT2/DECR1/HADHB/VDAC2/ACADM/NDUFS2/ACAT1/PCCB/DARS2/GCSH/AUH/EARS2/NDUFA9/MRPS9/VDAC1/DAP3/PDHA1/CS/MRPL35/ACOT13/MRPL15/FECH/MRPL44/DLD/MRPS16/TRMT10C/SUCLA2/FASTKD2/ME2/MCCC1/HIBADH/CLPX/FH/PDHB/MRPS31/ATP5PB/PRDX3/MRPS18C/SUCLG2/ALDH7A1/PDHX/IARS2/HSPA9/PCCA/ALAS1/MAIP1/GFM2/ATP5F1C/NDUFAF1/MRPS28/MRPS35/GFM1/TMLHE/FDX1/LRPPRC/PMPCB/MRPL30/MRPL19/HIBCH/MRPS30/MRPS22/MRPL39/NARS2/SDHAF3/MRPL1/PPA2
CC	GO:1990204	oxidoreductase complex	81	-0.407960033952499	-2.1807879363112	2.88244062253225e-06	0.000737328311243751	0.000573453976482733	227	tags=40%, list=22%, signal=34%	OGDH/DLAT/NDUFAB1/NDUFB3/SDHA/PDK1/IDH3A/BCKDHB/DBT/UQCRH/DLST/NDUFS4/NDUFB4/IDH3B/NDUFA5/NDUFS2/SDHB/GCSH/NDUFA9/PDHA1/NDUFB6/UQCRC2/LDHB/NDUFB5/UQCRFS1/SDHC/CAT/DLD/PDHB/PDHX/SDHD/NDUFAF1
BP	GO:0006099	tricarboxylic acid cycle	25	-0.62406755422967	-2.46839568393067	4.99316271218041e-06	0.000887643797705421	0.000690361210511191	227	tags=72%, list=22%, signal=58%	OGDH/DLAT/ACO2/SDHA/IDH3A/SUCLG1/DLST/IDH3B/NNT/SDHB/PDHA1/CS/SDHC/SUCLA2/FH/PDHB/SUCLG2/SDHD
BP	GO:2001244	positive regulation of intrinsic apoptotic signaling pathway	15	0.753057064434348	2.35251447862845	4.73815531833796e-06	0.000887643797705421	0.000690361210511191	138	tags=73%, list=13%, signal=65%	BID/BOK/BAD/BBC3/MCL1/BAX/FIS1/STYXL1/PMAIP1/BCL2L11/SEPTIN4
BP	GO:0097191	extrinsic apoptotic signaling pathway	20	0.686026683328239	2.34927803767917	5.55211132262968e-06	0.000887643797705421	0.000690361210511191	173	tags=70%, list=16%, signal=60%	BCL2A1/BID/BOK/GPX1/BAD/MCL1/BAX/BCL2L1/PMAIP1/BAK1/BCL2L11/BCL2L2/DIABLO/CASP8
BP	GO:0009967	positive regulation of signal transduction	35	0.562849008371913	2.24056826875678	9.57876552015224e-06	0.00106696457435396	0.000829827186341708	138	tags=49%, list=13%, signal=44%	SPHK2/BID/BOK/GPX1/BAD/MAVS/BBC3/MCL1/FKBP8/BAX/FIS1/STYXL1/PMAIP1/CYP27B1/BAK1/BCL2L11/SEPTIN4
BP	GO:0033043	regulation of organelle organization	61	0.475778520168135	2.11221187244577	8.97388372965161e-06	0.00106696457435396	0.000829827186341708	137	tags=39%, list=13%, signal=36%	BID/BOK/GPX1/BAD/SLC25A6/MAVS/BBC3/FKBP8/BAX/MGARP/PIF1/FIS1/PDE2A/PICK1/BCL2L1/STYXL1/PMAIP1/ARL2/PRELID1/BAK1/BCL2L11/PISD/TSPO/BCL2L2
CC	GO:0098798	mitochondrial protein-containing complex	260	-0.271004602793453	-1.77117202630826	1.00106136765031e-05	0.00106696457435396	0.000829827186341708	292	tags=37%, list=28%, signal=36%	DNAJC15/NDUFV2/MFN1/PDK2/ISCU/DNAJC11/MRPL33/UQCRC1/COX7C/MPC1/MICU1/TIMM17A/MRPL13/NDUFA4/PPIF/ATP5PF/SLC25A4/TOMM40L/TIMM8A/DLAT/NDUFAB1/MRPL3/COX7B/NDUFB3/ATP5PO/SDHA/PDK1/IDH3A/PTCD3/BCKDHB/MRPL46/DBT/UQCRH/MRPL16/ATP5F1B/SUCLG1/CHCHD3/APOOL/ATP5MC3/NDUFS4/HADHA/MRPL47/GRPEL1/TIMM21/MRPS10/NDUFB4/FXN/ATP5F1A/IDH3B/MRPS33/NDUFA5/HADHB/NDUFS2/SDHB/NDUFA9/MRPS9/VDAC1/DAP3/PDHA1/NDUFB6/MRPL35/UQCRC2/AFG3L2/NDUFB5/MRPL15/MRPL44/UQCRFS1/SDHC/APOO/DLD/MRPS16/TRMT10C/MCCC1/TOMM70/CLPX/PDHB/MRPS31/ATP5PB/MRPS18C/SUCLG2/PDHX/IMMT/HSPA9/MTX2/SDHD/ATP5F1C/NDUFAF1/MRPS28/MRPS35/PMPCB/MRPL30/MRPL19/MRPS30/MRPS22/MRPL39/MRPL1/MICU2
