representative	grouped_terms	genes
aerobic respiration	aerobic respiration;energy derivation by oxidation of organic compounds;cellular respiration;generation of precursor metabolites and energy	COX15;COX8A;GHITM;DLAT;IDH2;COQ9;NDUFAF1;NDUFC1;NDUFA8;COX6C;COX5A;CHCHD2;CAT;IDE;STOML2;DNAJC15;NDUFA4;UQCRH;ATP5MF;SDHD;ATP5F1B;NDUFAB1;NDUFA5;NNT;CYCS;UQCRB;NDUFS5;COX10;ATP5PD;UQCRC2;FXN;ATP5F1A;SDHA;PPIF;COX7A2;ATP5PF;UQCRC1;NDUFB3;NDUFB4;SUCLG1;OXA1L;UQCRFS1;NDUFB5;SLC25A23;COX7C;SUCLA2;MFN2;CS;NIPSNAP2;NDUFB9;NDUFV2;PDHA1;SDHB;AFG1L;IDH3B;NDUFA12;COX7B;OGDH;SDHC;ATP5PB;DLD;NDUFB6;PDHB;FH;SUCLG2;NDUFA9;ATP5PO;ATP5F1C;NDUFS4;NDUFS2;CISD1;ETFB;SLC25A12;ETFA;TRAP1;ACADVL;ACADM;NDUFB1;ETFDH;MAOB;QDPR;SLC25A4;ACAT1;COX11;FDX1;ME2;FECH
aerobic electron transport chain	aerobic electron transport chain;ATP synthesis coupled electron transport;mitochondrial ATP synthesis coupled electron transport;respiratory electron transport chain	PINK1;NDUFV1;NDUFV3;NDUFB8;COX4I1;PARK7;COX5B;ISCU;NDUFA10;NDUFA1;NDUFB1;NDUFS2;COX15;COX8A;COQ9;NDUFAF1;NDUFC1;NDUFA8;COX6C;COX5A;DNAJC15;NDUFA4;UQCRH;SDHD;NDUFAB1;NDUFA5;CYCS;UQCRB;NDUFS5;UQCRC2;SDHA;COX7A2;UQCRC1;NDUFB3;NDUFB4;UQCRFS1;NDUFB5;COX7C;NDUFB9;NDUFV2;SDHB;AFG1L;COX7B;SDHC;DLD;NDUFB6;NDUFA9;NDUFS4;GHITM;CHCHD2;NDUFA12;ETFRF1;ETFDH;ETFB;SLC25A12;ETFA
inner mitochondrial membrane protein complex	inner mitochondrial membrane protein complex;membrane protein complex	ATP5MJ;NDUFAF1;NDUFC1;NDUFA8;COX6C;COX5A;DNAJC15;TIMM17A;DMAC1;NDUFA4;AFG3L2;UQCRH;ATP5MK;ATP5MF;SDHD;ATP5F1B;NDUFAB1;NDUFA5;MPC1;UQCRB;NDUFS5;ATP5PD;UQCRC2;ATP5MC1;ATP5F1A;SDHA;PPIF;CHCHD3;HSPA9;MTX2;COX7A2;SAMM50;ATP5PF;UQCRC1;NDUFB3;NDUFB4;APOO;UQCRFS1;GRPEL1;NDUFB5;TIMM23;COX7C;MICU1;NDUFB9;NDUFV2;SDHB;ATP5MC3;NDUFA12;COX7B;IMMT;SDHC;ATP5PB;NDUFB6;NDUFA9;ATP5PO;ATP5F1C;MICU2;NDUFS4;TOMM20;SLC25A4;VDAC1;TOMM70;VDAC2;VDAC3;DMAC2L
positive regulation of programmed cell death	positive regulation of programmed cell death;positive regulation of apoptotic process	SPHK2;BOK;BBC3;BAX;BID;STYXL1;HTATIP2;BCL2A1;BAD;BCL2L11;MTCH1;BAK1;TSPO;HSPD1;MCL1;BCL2;ADCY10;CASP8;PMAIP1;BNIP3L;PRELID1;CASP3;HTRA2;FIS1;CASP9
proton motive force-driven ATP synthesis	proton motive force-driven ATP synthesis;proton motive force-driven mitochondrial ATP synthesis;ATP biosynthetic process;purine nucleoside triphosphate biosynthetic process;ribonucleoside triphosphate biosynthetic process;purine ribonucleoside triphosphate biosynthetic process;nucleoside triphosphate biosynthetic process;ATP metabolic process;ribonucleoside triphosphate metabolic process;purine ribonucleoside triphosphate metabolic process;purine nucleoside triphosphate metabolic process;ribonucleotide biosynthetic process;ribose phosphate biosynthetic process;purine ribonucleotide biosynthetic process;nucleoside triphosphate metabolic process;purine nucleotide biosynthetic process;purine-containing compound biosynthetic process	ATP5MJ;NDUFC1;NDUFA8;STOML2;ATP5MK;ATP5MF;SDHD;ATP5F1B;NDUFAB1;NDUFA5;NDUFS5;ATP5PD;ATP5MC1;ATP5F1A;SDHA;ATP5PF;NDUFB3;NDUFB4;NDUFB5;NDUFB9;NDUFV2;SDHB;ATP5MC3;NDUFA12;SDHC;ATP5PB;NDUFB6;NDUFA9;ATP5PO;ATP5F1C;NDUFS4;COX11;DMAC2L;AK3;CLPX;DNM1L;OGDH;OPA1;PDHX;ACAT1;PDHA1;DLD;PDHB
positive regulation of cell communication	positive regulation of cell communication;positive regulation of signaling;positive regulation of signal transduction;positive regulation of response to stimulus	SPHK2;BOK;BBC3;MAVS;BAX;BID;STYXL1;GPX1;FKBP8;BAD;BCL2L11;BAK1;MCL1;ADCY10;CYP27B1;CASP8;KMO;PMAIP1;MCU;GOLPH3;HTRA2;FIS1;PDE2A;HSPD1;BCL2
mitochondrial respirasome	mitochondrial respirasome;respirasome;respiratory chain complex	NDUFB1;NDUFS2;COX15;COX8A;NDUFAF1;NDUFC1;NDUFA8;COX6C;COX5A;DMAC1;NDUFA4;UQCRH;SDHD;NDUFAB1;NDUFA5;NNT;UQCRB;NDUFS5;UQCRC2;SDHA;COX7A2;UQCRC1;NDUFB3;NDUFB4;UQCRFS1;NDUFB5;COX7C;NDUFB9;NDUFV2;SDHB;NDUFA12;COX7B;SDHC;NDUFB6;NDUFA9;NDUFS4;CYCS;HIGD1A
proton-transporting two-sector ATPase complex	proton-transporting two-sector ATPase complex;proton-transporting ATP synthase complex;ATPase complex;mitochondrial proton-transporting ATP synthase complex	ATP5MJ;ATP5MK;ATP5MF;ATP5F1B;ATP5PD;ATP5MC1;ATP5F1A;PPIF;ATP5PF;ATP5MC3;ATP5PB;DMAC2L;ATP5PO;ATP5F1C
regulation of cellular component organization	regulation of cellular component organization;regulation of organelle organization;regulation of mitochondrion organization	SPHK2;BOK;BBC3;MGARP;PIF1;MAVS;BAX;BID;STYXL1;GPX1;FKBP8;BAD;SLC25A6;PDE2A;BCL2L11;BCL2L2;BAK1;TSPO;BCL2;ATAD3A;DUT;ADCY10;CYP27B1;PMAIP1;BNIP3L;PRELID1;PICK1;BCL2L1;MCU;ARL2;GOLPH3;LETMD1;PISD;HTRA2;FIS1
regulation of cell communication	regulation of cell communication;regulation of signaling;regulation of signal transduction	SPHK2;BOK;BBC3;PYCR1;MAVS;BAX;BID;STYXL1;SLC8B1;GPX1;SLC25A22;FKBP8;BAD;SLC25A6;PDE2A;BCL2L11;BCL2L2;MTCH1;BAK1;TSPO;MCL1;BCL2;ADCY10;CYP27B1;CASP8;KMO;PMAIP1;PRELID1;PICK1;BCL2L1;MCU;CRY1;GOLPH3;HTRA2;FIS1
