ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0015986	proton motive force-driven ATP synthesis	58	-0.742174646266943	-3.33271217512072	1e-10	3.65428571428571e-09	2.01203007518797e-09	220	tags=78%, list=21%, signal=65%	SDHA/NDUFB7/NDUFC1/ATP5ME/NDUFB1/NDUFS6/NDUFA8/NDUFA5/NDUFA7/ATP5F1A/NDUFA1/ATP5MF/NDUFB10/NDUFS2/NDUFS8/ATP5MG/NDUFB8/ATP5F1B/NDUFAB1/NDUFV3/ATP5PD/ATP5MK/ATP5MJ/NDUFB9/NDUFA9/NDUFV1/SDHC/ATP5PF/SDHD/SDHB/NDUFC2/NDUFB2/ATP5MC2/ATP5F1C/ATP5PB/NDUFB4/NDUFS7/NDUFB5/NDUFB3/NDUFV2/NDUFB6/NDUFS4/ATP5MC3/ATP5MC1/ATP5PO
MF	GO:0009055	electron transfer activity	69	-0.682527225934794	-3.24524471703963	1e-10	3.65428571428571e-09	2.01203007518797e-09	223	tags=70%, list=21%, signal=59%	ETFB/SDHA/NDUFB7/NDUFC1/COX7A1/NDUFB1/NDUFS6/NDUFA8/NDUFA5/UQCRH/COX5B/NDUFA7/NDUFA1/NDUFB10/ALDH2/GLDC/FDX1/NDUFS2/NDUFS8/NDUFB8/NDUFV3/NDUFA4/COX6B1/NDUFB9/NDUFA9/NDUFV1/SDHC/SDHD/COX4I1/UQCRC1/CYCS/SDHB/COX7B/NDUFC2/NDUFB2/COX5A/NDUFB4/NDUFS7/COX8A/NDUFB5/UQCRFS1/NDUFB3/NDUFV2/QDPR/CYC1/NDUFB6/IDH3B/NDUFS4
CC	GO:0098803	respiratory chain complex	70	-0.674331579558661	-3.21944748677478	1e-10	3.65428571428571e-09	2.01203007518797e-09	247	tags=74%, list=23%, signal=61%	NDUFA13/COX7A2/NDUFAF1/COX6A2/SDHA/NDUFB7/NDUFC1/COX7A1/NDUFB1/NDUFS6/NDUFA8/COA6/NDUFA5/UQCRH/COX5B/NDUFA7/NDUFA1/NDUFB10/NDUFS2/NDUFS8/NDUFB8/UQCRC2/NDUFAB1/NDUFV3/NDUFA4/COX6B1/NDUFB9/NDUFA9/NDUFV1/SDHC/SDHD/UQCRB/FOXRED1/COX4I1/COX7C/UQCRC1/SDHB/COX7B/NDUFC2/DMAC1/NDUFB2/COX5A/NDUFB4/NDUFS7/COX8A/NDUFB5/UQCRFS1/NDUFB3/NDUFV2/CYC1/NDUFB6/NDUFS4
MF	GO:0015453	oxidoreduction-driven active transmembrane transporter activity	45	-0.734379503320629	-3.10530118416766	1e-10	3.65428571428571e-09	2.01203007518797e-09	217	tags=82%, list=21%, signal=68%	NDUFB7/NDUFC1/COX7A1/NDUFB1/NDUFS6/NDUFA8/NDUFA5/UQCRH/COX5B/NDUFA7/NDUFA1/NDUFB10/NDUFS2/NDUFS8/NDUFB8/NDUFV3/NDUFA4/COX6B1/NDUFB9/NDUFA9/NDUFV1/COX4I1/UQCRC1/COX7B/NDUFC2/NDUFB2/COX5A/NDUFB4/NDUFS7/COX8A/NDUFB5/UQCRFS1/NDUFB3/NDUFV2/CYC1/NDUFB6/NDUFS4
CC	GO:1990204	oxidoreductase complex	81	-0.625597282508671	-3.04452267846454	1e-10	3.65428571428571e-09	2.01203007518797e-09	305	tags=73%, list=29%, signal=56%	IDH3G/PDK1/UQCR11/NDUFS5/DLD/BCKDK/PDHA1/NDUFA10/DLST/NDUFA13/OGDH/NDUFAF1/SDHA/NDUFB7/NDUFC1/NDUFB1/NDUFS6/PDHX/NDUFA8/NDUFA5/UQCRH/BCKDHB/NDUFA7/NDUFA1/GCSH/BCKDHA/NDUFB10/PDHB/GLDC/NDUFS2/NDUFS8/NDUFB8/UQCRC2/NDUFAB1/NDUFV3/NDUFA4/LDHB/NDUFB9/NDUFA9/NDUFV1/SDHC/SDHD/UQCRB/FOXRED1/UQCRC1/SDHB/NDUFC2/DMAC1/NDUFB2/NDUFB4/NDUFS7/NDUFB5/UQCRFS1/NDUFB3/NDUFV2/CYC1/NDUFB6/IDH3B/NDUFS4
CC	GO:0098800	inner mitochondrial membrane protein complex	127	-0.567660175212808	-2.97417459788415	1e-10	3.65428571428571e-09	2.01203007518797e-09	247	tags=57%, list=23%, signal=50%	NDUFA13/COX7A2/NDUFAF1/MPC2/COX6A2/SDHA/NDUFB7/NDUFC1/ATP5ME/COX7A1/NDUFB1/NDUFS6/NDUFA8/NDUFA5/UQCRH/COX5B/PPIF/NDUFA7/ATP5F1A/NDUFA1/ATP5MF/NDUFB10/MTX2/NDUFS2/NDUFS8/ATP5MG/NDUFB8/UQCRC2/MICU2/ATP5F1B/NDUFAB1/NDUFV3/NDUFA4/ATP5PD/ATP5MK/APOO/DNAJC19/ATP5MJ/COX6B1/NDUFB9/NDUFA9/NDUFV1/SDHC/ATP5PF/SDHD/UQCRB/FOXRED1/COX4I1/COX7C/UQCRC1/MPC1/SDHB/COX7B/NDUFC2/DMAC1/NDUFB2/ATP5MC2/COX5A/ATP5F1C/ATP5PB/NDUFB4/NDUFS7/COX8A/NDUFB5/UQCRFS1/NDUFB3/NDUFV2/CYC1/NDUFB6/NDUFS4/ATP5MC3/ATP5MC1/ATP5PO
BP	GO:0006120	mitochondrial electron transport, NADH to ubiquinone	37	-0.723458645240944	-2.94566664655391	1e-10	3.65428571428571e-09	2.01203007518797e-09	217	tags=76%, list=21%, signal=62%	NDUFB7/NDUFC1/NDUFB1/NDUFS6/NDUFA8/NDUFA5/NDUFA7/NDUFA1/NDUFB10/NDUFS2/NDUFS8/NDUFB8/NDUFAB1/NDUFV3/NDUFA4/NDUFB9/NDUFA9/NDUFV1/NDUFC2/NDUFB2/NDUFB4/NDUFS7/NDUFB5/NDUFB3/COQ9/NDUFV2/NDUFB6/NDUFS4
BP	GO:0006119	oxidative phosphorylation	108	-0.57523852074673	-2.91409324439514	1e-10	3.65428571428571e-09	2.01203007518797e-09	247	tags=63%, list=23%, signal=54%	NDUFA13/COX7A2/NDUFAF1/UQCC2/COX6A2/SDHA/NDUFB7/TEFM/NDUFC1/ATP5ME/COX7A1/NDUFB1/NDUFS6/AFG1L/NDUFA8/COA6/NDUFA5/UQCRH/COX5B/PPIF/NDUFA7/ATP5F1A/NDUFA1/ATP5MF/NDUFB10/NDUFS2/CHCHD2/NDUFS8/NIPSNAP2/ATP5MG/NDUFB8/UQCRC2/ATP5F1B/NDUFAB1/NDUFV3/NDUFA4/ATP5PD/COX6B1/NDUFB9/NDUFA9/NDUFV1/SDHC/ATP5PF/SDHD/UQCRB/COX4I1/COX7C/UQCRC1/CYCS/SDHB/COX7B/NDUFC2/NDUFB2/COX5A/ATP5F1C/ATP5PB/NDUFB4/NDUFS7/COX8A/NDUFB5/UQCRFS1/NDUFB3/COQ9/NDUFV2/CYC1/NDUFB6/NDUFS4/ATP5PO
CC	GO:1902495	transmembrane transporter complex	58	-0.6234757650341	-2.79969853924987	1e-10	3.65428571428571e-09	2.01203007518797e-09	217	tags=62%, list=21%, signal=52%	NDUFB7/NDUFC1/NDUFB1/NDUFS6/NDUFA8/NDUFA5/UQCRH/NDUFA7/NDUFA1/NDUFB10/NDUFS2/NDUFS8/NDUFB8/UQCRC2/MICU2/NDUFAB1/NDUFV3/NDUFA4/NDUFB9/NDUFA9/NDUFV1/UQCRB/FOXRED1/UQCRC1/NDUFC2/DMAC1/NDUFB2/NDUFB4/NDUFS7/NDUFB5/UQCRFS1/NDUFB3/NDUFV2/CYC1/NDUFB6/NDUFS4
CC	GO:0098798	mitochondrial protein-containing complex	260	-0.451794873710536	-2.642236217786	1e-10	3.65428571428571e-09	2.01203007518797e-09	312	tags=52%, list=30%, signal=49%	TOMM40L/MRPL47/MRPL27/APOOL/MRPS18C/COX6C/IDH3G/FXN/MRPL10/PDK1/UQCR11/MRPL3/NDUFS5/TIMM21/GRPEL1/MICOS10/DLD/MRPL13/BCKDK/MRPS7/PDHA1/NDUFA10/MRPL2/IMMT/MRPL16/NDUFA13/COX7A2/NDUFAF1/MRPL12/MPC2/COX6A2/MRPS15/MRPL40/SDHA/MRPL24/NDUFB7/NDUFC1/ATP5ME/COX7A1/NDUFB1/SLC25A4/NDUFS6/MRPL4/MRPL37/PDHX/NDUFA8/MRPS10/NDUFA5/MCCC1/MRPL46/MRPS16/UQCRH/COX5B/PPIF/BCKDHB/NDUFA7/MRPL30/ATP5F1A/MRPL44/MRPL58/NDUFA1/ATP5MF/BCKDHA/MRPL35/SUCLG2/MRPL15/NDUFB10/VDAC1/PDHB/TIMM8A/MRPS22/MTX2/MRPL39/NDUFS2/NDUFS8/ATP5MG/NDUFB8/UQCRC2/MICU2/ATP5F1B/NDUFAB1/NDUFV3/NDUFA4/ATP5PD/ATP5MK/MRPL1/MRPS35/MRPL57/APOO/DNAJC19/TIMM8B/ATP5MJ/COX6B1/NDUFB9/MRPS24/NDUFA9/NDUFV1/MRPS30/MRPS28/SDHC/ATP5PF/SDHD/UQCRB/FOXRED1/COX4I1/COX7C/UQCRC1/MRPS33/MRPS9/MPC1/SDHB/COX7B/NDUFC2/DMAC1/NDUFB2/ATP5MC2/DAP3/COX5A/ATP5F1C/SUCLG1/ATP5PB/NDUFB4/NDUFS7/COX8A/NDUFB5/UQCRFS1/NDUFB3/NDUFV2/CYC1/MRPL48/NDUFB6/IDH3B/NDUFS4/ATP5MC3/ATP5MC1/ATP5PO
