representative	grouped_terms	genes
aerobic respiration	aerobic respiration;cellular respiration;energy derivation by oxidation of organic compounds;generation of precursor metabolites and energy	UQCRB;COX4I1;ATP5PF;COX7C;COX6B1;MFN2;NDUFS7;NDUFA4;NDUFA5;COX7B;NIPSNAP2;NDUFB9;COA6;SLC25A51;CYC1;COX8A;NDUFB6;ATP5F1A;UQCRC1;NNT;NDUFB3;UQCRH;NDUFAB1;DLST;PDHA1;NDUFV2;NDUFAF1;SDHD;NDUFA10;COX5A;PPIF;GHITM;CS;DLD;COQ9;SUCLA2;SDHB;NDUFV1;PDHB;CYCS;SDHC;UQCRC2;CHCHD2;FH;UQCRFS1;IDH2;ATP5F1C;NDUFB5;SUCLG1;NDUFA9;SUCLG2;MDH2;ATP5F1B;ATP5PB;AFG1L;ATP5PO;COX10;NDUFS2;NDUFS4;IDH3B;OXA1L;ETFB;CISD1;ETFA;TRAP1;ACADM;ACAT1;SLC25A4;FDX1;OXCT1;QDPR
aerobic electron transport chain	aerobic electron transport chain;ATP synthesis coupled electron transport;respiratory chain complex;mitochondrial ATP synthesis coupled electron transport;mitochondrial respirasome;respirasome;electron transport chain;respiratory electron transport chain	NDUFS5;PINK1;NDUFB2;UQCRB;COX4I1;COX7C;COX6B1;NDUFS7;NDUFA4;NDUFA5;COX7B;NDUFB9;SLC25A51;CYC1;COX8A;NDUFB6;UQCRC1;NDUFB3;UQCRH;NDUFAB1;NDUFV2;NDUFAF1;SDHD;NDUFA10;COX5A;DLD;COQ9;SDHB;NDUFV1;CYCS;SDHC;UQCRC2;UQCRFS1;NDUFB5;NDUFA9;AFG1L;NDUFS2;NDUFS4;NDUFA12;COA6;DMAC1;GHITM;CHCHD2;NNT;HIGD1A;ETFB;FDX1;ETFA;QDPR;IDH3B
extrinsic apoptotic signaling pathway	extrinsic apoptotic signaling pathway;cell surface receptor signaling pathway	BCL2A1;BCL2L1;BCL2;BOK;BID;BAX;BAD;PMAIP1;MCL1;GPX1;DELE1;CASP8;BCL2L11;BCL2L2;FKBP8;SDHAF2;MAVS
proton motive force-driven ATP synthesis	proton motive force-driven ATP synthesis;proton motive force-driven mitochondrial ATP synthesis	ATP5ME;NDUFB8;NDUFA13;NDUFB10;STOML2;NDUFA1;SDHA;NDUFB4;NDUFA8;NDUFC2;ATP5MG;ATP5MF;ATP5PD;NDUFS5;NDUFA12;NDUFB2;ATP5MJ;ATP5PF;NDUFS7;NDUFA5;ATP5MC2;NDUFB9;NDUFB6;ATP5F1A;NDUFB3;NDUFAB1;NDUFV2;SDHD;NDUFA10;SDHB;NDUFV1;SDHC;ATP5F1C;NDUFB5;NDUFA9;ATP5F1B;ATP5MC1;ATP5PB;ATP5MC3;ATP5PO;NDUFS2;NDUFS4
mitochondrial inner membrane	mitochondrial inner membrane;organelle inner membrane	CPT2;ATP5MJ;MRPL48;MRPL10;UQCRB;COX4I1;TIMM23;TIMM21;MRPS18C;ATP5PF;OPA1;COX7C;COX6B1;MRPL3;NDUFS7;NDUFAF6;HSPA9;ALAS1;SAMM50;NDUFA4;TIMM17A;NDUFA5;ATP5MC2;CKMT2;CHDH;TIMM8B;COX7B;SLC25A4;MPC1;NDUFB9;L2HGDH;TIMMDC1;MRPS27;MRPL47;DMAC1;SLC25A51;PMPCB;CYC1;MRS2;TMEM177;GCAT;COX8A;TIMM8A;NDUFB6;MRPS7;AIFM1;ATP5F1A;UQCRC1;NNT;MICU2;GRPEL1;NDUFB3;UQCRH;NDUFAB1;MAIP1;APOOL;MRPL44;LDHB;HCCS;HIGD1A;NDUFV2;NDUFAF1;SDHD;MRPL58;MRPS33;NDUFA10;COX5A;PPIF;COQ3;GHITM;MTX2;MRPL13;TMEM126A;COQ9;TRAP1;SDHB;NDUFV1;CYCS;APOO;SDHC;UQCRC2;IMMT;MRPL46;UQCRFS1;MRPS30;MRPL39;MRPL15;ATP5F1C;MRPS16;NDUFB5;NDUFA9;MRPS22;MRPL30;MRPS35;MRPS10;ABCB7;DMAC2L;ATP5F1B;ATP5MC1;TMEM70;MRPL37;ATP5PB;MRPS9;ATP5MC3;MRPL35;MRPL1;ATP5PO;DAP3;COQ5;COX10;MRPS28;NDUFS2;NDUFS4;SLC25A48;SLC25A3;OXA1L;COQ2
oxidoreduction-driven active transmembrane transporter activity	oxidoreduction-driven active transmembrane transporter activity;primary active transmembrane transporter activity;active transmembrane transporter activity	NDUFS5;NDUFA12;NDUFB2;COX4I1;COX6B1;NDUFS7;NDUFA4;NDUFA5;COX7B;NDUFB9;CYC1;COX8A;NDUFB6;UQCRC1;NDUFB3;UQCRH;NDUFV2;NDUFA10;COX5A;NDUFV1;UQCRFS1;NDUFB5;NDUFA9;NDUFS2;NDUFS4;ABCB7;ATP5F1B;ABCD3;SLC25A4;GHITM;SLC25A3
positive regulation of signal transduction	positive regulation of signal transduction;positive regulation of cell communication;positive regulation of signaling	BOK;BID;BAX;BAD;PMAIP1;FKBP8;MCL1;GPX1;GOLPH3;CASP8;MAVS;BBC3;SEPTIN4;BCL2L11;SPHK2;MAOA;HTRA2;CYP27B1;KMO
positive regulation of programmed cell death	positive regulation of programmed cell death;positive regulation of apoptotic process	BCL2A1;BCL2;BOK;BID;BAX;BAD;PMAIP1;BNIP3L;MCL1;HTATIP2;CASP8;BBC3;SEPTIN4;PTRH2;BCL2L11;PRELID1;TSPO;SPHK2;HTRA2;AIFM2
mitochondrial respiratory chain complex I	mitochondrial respiratory chain complex I;NADH dehydrogenase complex;respiratory chain complex I;NADH dehydrogenase activity;NADH dehydrogenase (ubiquinone) activity;NADH dehydrogenase (quinone) activity;NAD(P)H dehydrogenase (quinone) activity;oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	NDUFB8;NDUFA13;NDUFB10;NDUFA1;NDUFB4;NDUFA8;NDUFC2;NDUFS5;NDUFA12;NDUFB2;NDUFS7;NDUFA4;NDUFA5;NDUFB9;DMAC1;NDUFB6;NDUFB3;NDUFAB1;NDUFV2;NDUFAF1;NDUFA10;NDUFV1;NDUFB5;NDUFA9;NDUFS2;NDUFS4;AIFM1;CRYZ
positive regulation of intrinsic apoptotic signaling pathway	positive regulation of intrinsic apoptotic signaling pathway;positive regulation of apoptotic signaling pathway	BOK;BID;BAX;BAD;PMAIP1;MCL1;BBC3;SEPTIN4;BCL2L11
ATP biosynthetic process	ATP biosynthetic process;purine nucleoside triphosphate biosynthetic process;ribonucleoside triphosphate biosynthetic process;purine ribonucleoside triphosphate biosynthetic process;nucleoside triphosphate biosynthetic process;ATP metabolic process;ribonucleoside triphosphate metabolic process;purine ribonucleoside triphosphate metabolic process;purine nucleoside triphosphate metabolic process	NDUFA8;NDUFC2;ATP5MG;ATP5MF;ATP5PD;NDUFS5;NDUFA12;PINK1;NDUFB2;ATP5MJ;ATP5PF;NDUFS7;NDUFA5;ATP5MC2;NDUFB9;NDUFB6;ATP5F1A;NDUFB3;NDUFAB1;NDUFV2;SDHD;NDUFA10;SDHB;NDUFV1;SDHC;ATP5F1C;NDUFB5;NDUFA9;DMAC2L;ATP5F1B;ATP5MC1;ATP5PB;ATP5MC3;ATP5PO;NDUFS2;NDUFS4;UCP2;OGDH;NDUFA1;SDHA;CLPX;AK3;NDUFB4;OPA1
bounding membrane of organelle	bounding membrane of organelle;mitochondrial outer membrane;outer membrane;organelle outer membrane	BCL2A1;BCL2L1;BCL2;BOK;BID;MGST1;BAX;BAD;PMAIP1;BNIP3L;USP30;MCL1;PDE2A;PIGBOS1;GOLPH3;STOM;ABCB6;DELE1;CASP8;MAVS;AGPAT4;RAB24;DCAKD;GPAT2;RMDN3;ATAD3B;SEPTIN4;PTRH2;CPT1A;BCL2L11;COASY;MIGA1;MGARP;PICK1;QTRT1;BCL2L2;NME3;TSPO;NBR1;CYB5R3;TAFAZZIN;LETMD1;THG1L;MTX1;RHOT1;RHOT2;SPHK2;MAOA;KMO;ABCD1;CYP27B1;AIFM2
positive regulation of intracellular signal transduction	positive regulation of intracellular signal transduction;positive regulation of response to stimulus	BOK;BID;BAX;BAD;PMAIP1;MCL1;GPX1;GOLPH3;CASP8;MAVS;BBC3;SEPTIN4;BCL2L11;BCL2;FKBP8;PDE2A
regulation of cell communication	regulation of cell communication;regulation of signaling;regulation of signal transduction	BCL2L1;BCL2;BOK;BID;BAX;BAD;PMAIP1;FKBP8;MCL1;SDHAF2;PDE2A;GPX1;PIGBOS1;GOLPH3;CASP8;MAVS;BBC3;SEPTIN4;CPT1A;BCL2L11;SLC8B1;PICK1;SLC25A22;BCL2L2;PRELID1;TSPO;NBR1;SLC25A6;SPHK2;MAOA;HTRA2;KMO;CYP27B1
proton transmembrane transporter activity	proton transmembrane transporter activity;proton transmembrane transport;monoatomic ion transmembrane transporter activity;monoatomic cation transmembrane transporter activity;inorganic cation transmembrane transporter activity;inorganic molecular entity transmembrane transporter activity	COX4I1;ATP5PF;COX6B1;ATP5MC2;COX7B;SLC25A4;CYC1;COX8A;ATP5F1A;UQCRC1;NNT;UQCRH;COX5A;GHITM;UQCRFS1;ATP5F1C;DMAC2L;ATP5F1B;ATP5MC1;ATP5PB;ATP5MC3;ATP5PO;SLC25A3;NDUFS7;NDUFA4;PPIF;MRS2;VDAC3;VDAC2;VDAC1
tRNA modification	tRNA modification;RNA modification;tRNA processing	PUSL1;MTO1;YRDC;TRMT5;PUS1;TRMU;TRMT1;QTRT1;NSUN3;MTFMT;METTL8;THG1L;CDK5RAP1;RPUSD4;ALKBH1;NSUN2;METTL4;NSUN4;PTCD1
intrinsic apoptotic signaling pathway in response to DNA damage	intrinsic apoptotic signaling pathway in response to DNA damage;signal transduction in absence of ligand;extrinsic apoptotic signaling pathway in absence of ligand	BCL2A1;BCL2L1;BCL2;BOK;BID;BAX;BAD;MCL1;BCL2L11;BCL2L2
chromatin organization	chromatin organization;protein-DNA complex organization;chromatin remodeling	NUDT5;GPX1;ANTKMT;PRIMPOL;METTL4;PICK1;GPX4;SPHK2
vesicle membrane	vesicle membrane;cytoplasmic vesicle membrane	BCL2L1;BOK;MGST1;STOM;ABCB6;RAB24;ATAD3B;PICK1
transmembrane transporter complex	transmembrane transporter complex;transporter complex	NDUFS5;NDUFA12;NDUFB2;UQCRB;NDUFS7;NDUFA4;NDUFA5;NDUFB9;DMAC1;CYC1;NDUFB6;UQCRC1;MICU2;NDUFB3;UQCRH;NDUFAB1;NDUFV2;NDUFAF1;NDUFA10;NDUFV1;UQCRC2;UQCRFS1;NDUFB5;NDUFA9;NDUFS2;NDUFS4;TIMM8B;TIMM8A
proton-transporting two-sector ATPase complex	proton-transporting two-sector ATPase complex;proton-transporting ATP synthase complex;ATPase complex;mitochondrial proton-transporting ATP synthase complex	ATP5MG;ATP5MF;ATP5PD;ATP5MJ;ATP5PF;ATP5MC2;ATP5F1A;PPIF;ATP5F1C;DMAC2L;ATP5F1B;ATP5MC1;ATP5PB;ATP5MC3;ATP5PO
response to endoplasmic reticulum stress	response to endoplasmic reticulum stress;intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	BCL2L1;BCL2;BOK;BAX;PMAIP1;PIGBOS1;BBC3;BCL2L11
regulation of mitochondrial membrane permeability	regulation of mitochondrial membrane permeability;regulation of membrane permeability	BCL2L1;BCL2;BOK;BID;BAX;BAD;PMAIP1;BNIP3L;BCL2L11;BCL2L2;SLC25A6;RHOT1;RTL10;RHOT2
release of cytochrome c from mitochondria	release of cytochrome c from mitochondria;regulation of apoptotic signaling pathway;regulation of intrinsic apoptotic signaling pathway;intrinsic apoptotic signaling pathway	BCL2A1;BCL2L1;BCL2;BOK;BID;BAX;BAD;PMAIP1;MCL1;GPX1;BBC3;BCL2L11;BCL2L2;PRELID1;SEPTIN4;SLC25A6
cell communication	cell communication;signal transduction;signaling	BCL2A1;BCL2L1;BCL2;BOK;BID;BAX;BAD;PMAIP1;BNIP3L;FKBP8;MCL1;AKAP10;SDHAF2;PDE2A;GPX1;PIGBOS1;GOLPH3;CEP89;COMT;DELE1;CASP8;MAVS;BBC3;SEPTIN4;CPT1A;BCL2L11;SLC8B1;PICK1;SLC25A22;BCL2L2;PRELID1;TSPO;NBR1;SLC25A6;GFER;RHOT1;RTL10;RHOT2;SPHK2;MAOA;PDK3;HTRA2;KMO;TXNRD1;CYP27B1
NADH dehydrogenase complex assembly	NADH dehydrogenase complex assembly;mitochondrial respiratory chain complex I assembly	NDUFAF5;FOXRED1;ECSIT;TMEM186;NDUFB8;NDUFA13;NDUFAF7;TMEM126B;NDUFB10;NDUFA1;NDUFB4;NDUFA8;NDUFC2;NDUFAF4;NDUFS5;NDUFA12;NDUFB2;TIMM21;NDUFS7;NDUFAF6;NDUFA5;NUBPL;NDUFB9;DMAC1;NDUFB6;NDUFB3;NDUFAB1;NDUFAF1;NDUFA10;TMEM126A;NDUFB5;NDUFA9;NDUFS2;NDUFS4;OXA1L
sex differentiation	sex differentiation;reproductive structure development;reproductive system development;gonad development;development of primary sexual characteristics	BCL2L1;BCL2;BOK;BAX;BCL2L11;BCL2L2
blood vessel development	blood vessel development;vasculature development	BAX;PDE2A;GPX1;HTATIP2;COMT;CASP8;FKBP10;PANK2
regulation of cysteine-type endopeptidase activity	regulation of cysteine-type endopeptidase activity;regulation of cysteine-type endopeptidase activity involved in apoptotic process;regulation of endopeptidase activity;regulation of hydrolase activity;positive regulation of cysteine-type endopeptidase activity;regulation of peptidase activity;activation of cysteine-type endopeptidase activity involved in apoptotic process;positive regulation of cysteine-type endopeptidase activity involved in apoptotic process;positive regulation of peptidase activity;positive regulation of hydrolase activity;positive regulation of endopeptidase activity;regulation of proteolysis;positive regulation of catalytic activity	BOK;BID;BAX;BAD;PMAIP1;GPX1;CASP8;BBC3;PRELID1;ARL2;HTRA2;ANTKMT
purine ribonucleotide biosynthetic process	purine ribonucleotide biosynthetic process;ribonucleotide biosynthetic process;ribose phosphate biosynthetic process;purine nucleotide biosynthetic process;purine-containing compound biosynthetic process	NDUFS7;NDUFA5;ATP5MC2;GCDH;ACAT1;NDUFB9;NDUFB6;ATP5F1A;NDUFB3;NDUFAB1;PDHA1;NDUFV2;SDHD;NDUFA10;PDK1;DLD;SDHB;NDUFV1;PDHB;SDHC;ATP5F1C;NDUFB5;NDUFA9;PDHX;DMAC2L;ATP5F1B;ATP5MC1;ATP5PB;ATP5MC3;ATP5PO;NDUFS2;NDUFS4
apoptotic mitochondrial changes	apoptotic mitochondrial changes;apoptotic signaling pathway	BCL2A1;BCL2L1;BCL2;BOK;BID;BAX;BAD;PMAIP1;BNIP3L;MCL1;GPX1;BBC3;BCL2L11;BCL2L2;PRELID1;SLC25A6;RHOT1;RTL10;RHOT2;DELE1;CASP8;SEPTIN4
cell differentiation	cell differentiation;cellular developmental process	ALAS2;BCL2L1;BCL2;BOK;BAX;BAD;EFHD1;FKBP8;MCL1;DGUOK;SDHAF2;PDE2A;GPX1;HTATIP2;CASP8;DTYMK;PANK2;RMDN3;SEPTIN4;CPT1A;MGARP;PICK1;PRELID1;TSPO;NBR1;TAFAZZIN;ABCB10;HTRA2;CDK5RAP1;CYP27B1;HSCB;ALKBH1;NSUN2;PDP2
regulation of cellular localization	regulation of cellular localization;regulation of protein localization	BCL2L1;BCL2;BAX;BAD;BNIP3L;GOLPH3;STOM;MAVS;CPT1A;SLC8B1;PICK1;SLC25A22
cellular response to stimulus	cellular response to stimulus;response to stimulus	BCL2A1;BCL2L1;BCL2;BOK;BID;MGST1;BAX;BAD;PMAIP1;BNIP3L;EFHD1;PYCR2;FKBP8;MCL1;AKAP10;SDHAF2;PDE2A;GPX1;PIGBOS1;GOLPH3;ABCB6;GUK1;CBR3;COMT;DELE1;CASP8;MUTYH;MAVS;BBC3;PIF1;PRIMPOL;SEPTIN4;CPT1A;BCL2L11;SLC8B1;MGARP;PICK1;BCL2L2;NME3;SLC25A14;RECQL4;PRELID1;TSPO;NBR1;GPX4;SLC25A6;GFER;POLG;THG1L;ABCB10;RHOT1;RTL10;RHOT2;SPHK2;CMPK2;MAOA;PDK3;HTRA2;KMO;TXNRD1;ABCD1;CYP27B1;AIFM2;TXNRD2;ALKBH1;GLYAT;NSUN2;OGG1;TWNK;ROMO1;ACSM1;LETM1;CRY1;PRDX4;FASN;SLC25A33;DHRS2;PDE12;AHCYL1;COA8;CASP3;GSR;OXR1;PEX11B;PRXL2A;OCIAD2;FASTK;ALAS2;CA5B;DTYMK;SLC25A25;ALDH18A1;FKBP10;C15orf48;DUT;SLC25A13;LETMD1;ATAD3A;PDP2;SHMT2;MPST;SLC25A27;ATP5F1D;D2HGDH;FTH1
cellular response to chemical stimulus	cellular response to chemical stimulus;response to chemical	BCL2L1;BCL2;BOK;MGST1;BAX;BAD;PMAIP1;BNIP3L;EFHD1;PYCR2;PDE2A;GPX1;PIGBOS1;GOLPH3;ABCB6;GUK1;CBR3;COMT;CASP8;MAVS;CPT1A;BCL2L11;SLC8B1;MGARP;PICK1;BCL2L2;SLC25A14;TSPO;GPX4;GFER;ABCB10;SPHK2;CMPK2;PDK3;HTRA2;KMO;TXNRD1;ABCD1;CYP27B1;AIFM2;TXNRD2;GLYAT;OGG1;TWNK;ROMO1;ACSM1;LETM1;CRY1;PRDX4;FASN;SLC25A33;DHRS2;PDE12;AHCYL1;CASP3;GSR;OXR1;MCL1;DTYMK;SLC25A25;DUT;SLC25A13;ALKBH1;SHMT2;MPST;ATP5F1D;COA8;D2HGDH;PRXL2A
proton-transporting two-sector ATPase complex, proton-transporting domain	proton-transporting two-sector ATPase complex, proton-transporting domain;proton-transporting ATP synthase complex, coupling factor F(o)	ATP5MG;ATP5MF;ATP5PD;ATP5PF;ATP5MC2;DMAC2L;ATP5MC1;ATP5PB;ATP5MC3;ATP5PO
lytic vacuole	lytic vacuole;lysosome;vacuole	MGST1;ACLY;STOM;ABCB6;BBC3;NBR1;CYB5R3;SPHK2;ABCD1;BLOC1S1;SNAP29;FTH1;OCIAD2;RAB24;STX17
monoatomic cation transport	monoatomic cation transport;inorganic ion transmembrane transport;monoatomic cation transmembrane transport;inorganic cation transmembrane transport;monoatomic ion transmembrane transport;monoatomic ion transport	COX4I1;ATP5PF;COX6B1;NDUFS7;NDUFA4;ATP5MC2;COX7B;SLC25A4;NIPSNAP2;PMPCB;CYC1;MRS2;COX8A;ATP5F1A;UQCRC1;NNT;MICU2;UQCRH;MAIP1;DMPK;COX5A;PPIF;GHITM;VDAC1;UQCRFS1;ATP5F1C;NDUFA9;ABCB7;DMAC2L;ATP5F1B;ATP5MC1;ATP5PB;ATP5MC3;ATP5PO;SLC25A3;VDAC3;VDAC2;TOMM40L
response to virus	response to virus;defense response to virus	BCL2L1;BCL2;BAX;PMAIP1;BNIP3L;MAVS
branched-chain amino acid metabolic process	branched-chain amino acid metabolic process;branched-chain amino acid catabolic process	DBT;BCKDK;IVD;BCKDHA;ECHS1;BCAT2;AUH;BCKDHB;PPM1K;ALDH6A1;PCCA;ACAT1;ACADSB;MCCC1;PCCB;DLD;HIBADH;HIBCH
phospholipid metabolic process	phospholipid metabolic process;phospholipid biosynthetic process	SPTLC2;THEM5;PGS1;AGPAT4;GPAT2;PISD;GPX4;FDPS;TAFAZZIN;SERAC1;SPHK2
ribosomal subunit	ribosomal subunit;ribosome;organellar ribosome;mitochondrial ribosome	MRPS27;MRPL47;MRPS7;MRPL44;MRPL58;MRPS33;MRPL13;MRPL46;MRPS30;MRPL39;MRPL15;MRPS16;MRPS22;MRPL30;MRPS35;MRPS10;MRPL37;MRPS9;MRPL35;MRPL1;DAP3;MRPS28
organelle subcompartment	organelle subcompartment;endoplasmic reticulum membrane;endoplasmic reticulum subcompartment;nuclear outer membrane-endoplasmic reticulum membrane network	BCL2;BOK;MGST1;BAX;FKBP8;GOLPH3;ABCB6;SPTLC2;AGPAT4;CPT1C;PICK1;CYB5R3;NAT8L;HTRA2;ABCD1
negative regulation of cell communication	negative regulation of cell communication;negative regulation of signaling;negative regulation of signal transduction	BCL2L1;BCL2;BOK;BID;BAX;MCL1;SDHAF2;PDE2A;GPX1;CASP8;MAVS;PICK1;BCL2L2;PRELID1;TSPO;SLC25A6
transmembrane transporter activity	transmembrane transporter activity;transporter activity	COX4I1;TIMM23;ATP5PF;COX6B1;NDUFS7;TOMM70;NDUFA4;TIMM17A;NDUFA5;TOMM40L;ATP5MC2;COX7B;SLC25A4;MPC1;NDUFB9;SLC25A51;CYC1;MRS2;COX8A;NDUFB6;ATP5F1A;UQCRC1;NNT;NDUFB3;UQCRH;NDUFV2;VDAC3;NDUFA10;COX5A;VDAC2;GHITM;VDAC1;NDUFV1;UQCRFS1;ATP5F1C;NDUFB5;NDUFA9;ABCB7;DMAC2L;ATP5F1B;ATP5MC1;ATP5PB;ATP5MC3;ATP5PO;ABCD3;NDUFS2;NDUFS4;SLC25A48;SLC25A3;STAR;TIMM8B
