ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0009060	aerobic respiration	143	-0.36714586035114	-2.11034452718327	3.19399376360583e-07	0.000136170600788395	0.000116888964752312	390	tags=58%, list=37%, signal=42%	NDUFS5/ATP5PD/NDUFB11/NDUFA13/NDUFS8/ATP5PO/CYCS/ATP5MF/NDUFAB1/COX6B1/AFG1L/NDUFB3/NDUFS6/DLST/NDUFS7/NDUFB5/BLOC1S1/CAT/NDUFB6/SDHC/MTFR1L/COX7C/IDH2/SIRT3/NDUFS2/COX15/SDHB/PDHB/NDUFA1/IDH3B/CHCHD2/NDUFA10/ATP5F1C/ATP5MG/UQCRC1/SUCLG1/NDUFA8/CYC1/ATP5PB/NDUFV3/NDUFV1/NDUFA5/GHITM/COX5A/UQCRC2/UQCRH/ATP5F1A/MDH2/SUCLG2/SDHA/COQ9/NDUFA12/STOML2/NDUFA9/NDUFA4/NDUFB9/NNT/FXN/PDHA1/DHTKD1/DNAJC15/FH/PINK1/MTFR1/AK4/NIPSNAP2/IDE/COX10/PPIF/UQCRFS1/ACO2/ATP5F1B/SUCLA2/BNIP3/IDH3A/DLD/COX8A/NDUFS4/CS/MFN2/SLC25A23/DLAT/OGDH
BP	GO:0045333	cellular respiration	166	-0.351953457518483	-2.05832992008395	2.15383348010221e-07	0.000136170600788395	0.000116888964752312	299	tags=45%, list=28%, signal=38%	NDUFB6/SDHC/MTFR1L/COX7C/IDH2/SIRT3/NDUFS2/COX15/SDHB/PDHB/NDUFA1/IDH3B/CHCHD2/NDUFA10/ATP5F1C/ATP5MG/UQCRC1/SUCLG1/SLC25A18/NDUFA8/CYC1/ATP5PB/NDUFV3/NDUFV1/NDUFA5/GHITM/CHCHD4/COX5A/UQCRC2/UQCRH/ATP5F1A/MDH2/SUCLG2/SDHA/COQ10A/COQ9/NDUFA12/STOML2/NDUFA9/ETFA/NDUFA4/NDUFB9/NNT/FXN/PDHA1/DHTKD1/DNAJC15/FH/PINK1/MTFR1/AK4/TRAP1/NIPSNAP2/CISD1/IDE/COX10/PPIF/UQCRFS1/ACO2/ATP5F1B/ETFDH/SUCLA2/BNIP3/IDH3A/DLD/COX8A/ETFB/SLC25A12/NDUFS4/CS/MFN2/SLC25A23/DLAT/OGDH
CC	GO:0098798	mitochondrial protein-containing complex	260	-0.290345755011317	-1.81521063738794	1.69824299299723e-06	0.000434410557608692	0.000372898408778129	303	tags=38%, list=29%, signal=36%	MPC2/BCKDHA/NDUFB6/SDHC/COX7C/NDUFS2/SDHB/MRPS17/GRPEL1/MRPL30/PDHB/NDUFA1/IDH3B/NDUFA10/ATP5F1C/ATP5MG/MRPL34/UQCRC1/MRPS28/CHCHD6/SUCLG1/MRPS18C/MRPL51/MRPS10/SAMM50/NDUFA8/CYC1/MRPL48/MRPS22/MRPS33/PTCD3/ATP5PB/NDUFV3/MRPS11/MRPL46/MRPL44/MRPL15/NDUFV1/NDUFA5/TIMM21/PDHX/COX5A/UQCRC2/MRPL27/UQCRH/TIMM10/ATP5F1A/PRORP/SUCLG2/SDHA/MRPS35/NDUFA12/MRPL58/NDUFA9/HSPA9/NDUFA4/MRPS9/NDUFB9/MFN1/MRPS30/FXN/DMAC1/ACACB/PDHA1/DNAJC15/ATP5MC3/SLC25A4/BCKDHB/AFG3L2/MRPS16/PPIF/UQCRFS1/MRPL35/ATP5F1B/IMMT/MRPL33/IDH3A/MRPL2/HSD17B10/VDAC1/DNAJC11/APOOL/MRPS27/TIMM17A/CHCHD3/DLD/COX8A/MCCC1/PDK2/NDUFS4/DBT/NFS1/HADHB/MRPS23/MRPS5/DLAT/HADHA/MRPL37/C15orf48
CC	GO:0005759	mitochondrial matrix	416	-0.25698412100993	-1.66828959635578	2.62831461614415e-06	0.000560269065674729	0.000480935463971641	291	tags=36%, list=28%, signal=43%	IDH2/SIRT3/LACTB2/TMLHE/NDUFS2/MRPS17/TBRG4/GCDH/GRPEL1/MRPL30/PDHB/IDH3B/NDUFA10/ATP5F1C/MRPL34/MRPS28/MALSU1/SUCLG1/MRPS18C/RIDA/BCO2/MRPL51/AASS/MRPS10/NUBPL/TARS2/MRPL48/MMAA/GFM1/MRPS22/ACOT13/ABAT/MRPS33/FARS2/DECR1/PTCD3/ATP5PB/GOT2/LIAS/MRPS11/NAXE/MRPL46/TUFM/ACOT2/REXO2/PRDX3/MRPL44/MRPL15/THEM4/ACAA2/PDHX/AK3/DGLUCY/RPUSD3/DDX28/GSR/TRMT61B/MRPL27/GCSH/ALDH2/ATP5F1A/MDH2/PCCB/GFM2/PPM1K/PRORP/PDK4/SUCLG2/PPTC7/MRPS35/MRPL58/SUOX/ACSM5/OXCT2/ACADVL/GRSF1/NDUFA9/HSPA9/ETFA/TST/PC/MRPS9/LRPPRC/MRPS30/FXN/HADH/ACACB/PDHA1/ACADSB/DHTKD1/DNAJC15/MPST/IARS2/FH/PCCA/AK4/TRAP1/BCKDHB/MRPS16/DARS2/ALDH6A1/PDSS2/ACAT1/COX10/PPIF/MRPL35/ACO2/HMGCS2/MLYCD/ACOT11/ATP5F1B/ETFDH/SUCLA2/MARS2/MRPL33/IDH3A/FASTKD1/MRPL2/HSD17B10/VDAC1/FASTKD2/MRPS27/ALDH4A1/FASTKD5/COQ3/DLD/MMUT/ALAS1/PDP1/ETFB/MCCC1/PDK2/GLRX5/CS/OXCT1/DBT/NFS1/VDAC2/HADHB/HOGA1/MRPS23/MRPS5/FECH/DLAT/HADHA/MRPL37/LARS2/TRMT2B/ALDH1B1/OGDH
CC	GO:1902494	catalytic complex	175	-0.31626278118017	-1.86562282680187	1.14531077675529e-05	0.00209264640495716	0.00179632953406882	406	tags=57%, list=39%, signal=42%	NDUFC1/CLPP/UQCRB/GATB/HINT1/SDHD/ATP5MJ/NDUFS5/ATP5PD/NDUFB11/NDUFA13/CLPX/NDUFS8/ATP5PO/PDK1/ATP5MF/NDUFAB1/DMAC2L/PDSS1/COX6B1/NDUFB3/NDUFS6/DLST/ATP5MC2/TRMT10C/NDUFS7/NDUFB5/CAT/BCKDHA/NDUFB6/KARS1/SDHC/COX7C/NDUFS2/COX15/SDHB/PDHB/NDUFA1/IDH3B/NDUFA10/ATP5F1C/ATP5MG/UQCRC1/SUCLG1/NDUFA8/CYC1/ABAT/DECR1/ATP5PB/LDHB/NDUFV3/GRHPR/MRPL44/NDUFV1/NDUFA5/PDHX/TRMT61B/COX5A/UQCRC2/UQCRH/GCSH/ATP5F1A/PCCB/PRORP/SUCLG2/SDHA/NDUFA12/NDUFA9/NDUFA4/NDUFB9/FXN/DMAC1/ACACB/PDHA1/ATP5MC3/FH/PCCA/BCKDHB/AFG3L2/PDSS2/COX10/PPIF/UQCRFS1/ATP5F1B/SUCLA2/PRKN/IDH3A/HSD17B10/DLD/COX8A/PDP1/MCCC1/PDK2/NDUFS4/DBT/HADHB/DLAT/HADHA/OGDH/C15orf48
CC	GO:1990204	oxidoreductase complex	81	-0.379917311360203	-1.94915720120225	4.17658499238997e-05	0.00667731525658346	0.00573181335139833	406	tags=63%, list=39%, signal=42%	NDUFC1/UQCRB/SDHD/NDUFS5/NDUFB11/NDUFA13/NDUFS8/PDK1/NDUFAB1/NDUFB3/NDUFS6/DLST/NDUFS7/NDUFB5/CAT/BCKDHA/NDUFB6/SDHC/NDUFS2/SDHB/PDHB/NDUFA1/IDH3B/NDUFA10/UQCRC1/NDUFA8/CYC1/LDHB/NDUFV3/NDUFV1/NDUFA5/PDHX/UQCRC2/UQCRH/GCSH/SDHA/NDUFA12/NDUFA9/NDUFA4/NDUFB9/DMAC1/PDHA1/BCKDHB/UQCRFS1/IDH3A/DLD/PDK2/NDUFS4/DBT/DLAT/OGDH
BP	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	53	-0.432263881225123	-2.01036152448794	7.73771372241566e-05	0.00994911768199644	0.00854033146152198	406	tags=66%, list=39%, signal=43%	NDUFC1/SDHD/NDUFS5/ATP5PD/NDUFB11/NDUFA13/NDUFS8/ATP5PO/ATP5MF/NDUFAB1/NDUFB3/NDUFS6/NDUFS7/NDUFB5/NDUFB6/SDHC/NDUFS2/SDHB/NDUFA1/NDUFA10/ATP5F1C/ATP5MG/NDUFA8/ATP5PB/NDUFV3/NDUFV1/NDUFA5/ATP5F1A/SDHA/NDUFA12/STOML2/NDUFA9/NDUFB9/ATP5F1B/NDUFS4
BP	GO:0044248	cellular catabolic process	211	-0.272170302678364	-1.66267421501071	7.77882539640066e-05	0.00994911768199644	0.00854033146152198	185	tags=31%, list=18%, signal=32%	EXOG/ACAA1/DCXR/SNAP29/GCSH/ALDH2/PCCB/PPM1K/SUCLG2/AIFM1/CPT1B/MUL1/ACSL1/OXCT2/ACADVL/GRSF1/ENDOG/ETFA/TST/VPS13D/LRPPRC/NNT/HADH/ACACB/ACADSB/DHTKD1/NRDC/MPST/PINK1/PCCA/SLC25A4/ECI2/BCKDHB/CISD1/IDE/ALDH6A1/PRDX2/MAOA/ACAT1/EHHADH/MLYCD/ETFDH/SUCLA2/BNIP3/PRKN/ALDH1L1/FASTKD1/HSD17B10/VDAC1/FASTKD2/ALDH4A1/FASTKD5/PRDX6/DLD/MAOB/ETFB/MCCC1/OXCT1/DBT/HADHB/MFN2/HOGA1/FUNDC2/HADHA/OGDH
BP	GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	15	0.707625404014836	2.16642608879582	9.8313601142834e-05	0.0114311905328804	0.00981254411406468	269	tags=87%, list=26%, signal=65%	HTRA2/BAX/BOK/BAD/BCL2L11/TRIAP1/BID/BAK1/BCL2L2/BCL2/MCL1/BCL2L1/CASP9
BP	GO:0097191	extrinsic apoptotic signaling pathway	20	0.636041593861298	2.13487637863351	0.000200034905895424	0.0131581891905963	0.0112950012968947	248	tags=75%, list=24%, signal=58%	HTRA2/BAX/PMAIP1/CASP8/DELE1/BOK/BAD/BCL2L11/BID/BAK1/GPX1/BCL2L2/BCL2/MCL1/BCL2L1
