representative	grouped_terms	genes
cellular respiration	cellular respiration;generation of precursor metabolites and energy;energy derivation by oxidation of organic compounds	NDUFB6;SDHC;MTFR1L;COX7C;IDH2;SIRT3;NDUFS2;COX15;SDHB;PDHB;NDUFA1;IDH3B;CHCHD2;NDUFA10;ATP5F1C;ATP5MG;UQCRC1;SUCLG1;SLC25A18;NDUFA8;CYC1;ATP5PB;NDUFV3;NDUFV1;NDUFA5;GHITM;CHCHD4;COX5A;UQCRC2;UQCRH;ATP5F1A;MDH2;SUCLG2;SDHA;COQ10A;COQ9;NDUFA12;STOML2;NDUFA9;ETFA;NDUFA4;NDUFB9;NNT;FXN;PDHA1;DHTKD1;DNAJC15;FH;PINK1;MTFR1;AK4;TRAP1;NIPSNAP2;CISD1;IDE;COX10;PPIF;UQCRFS1;ACO2;ATP5F1B;ETFDH;SUCLA2;BNIP3;IDH3A;DLD;COX8A;ETFB;SLC25A12;NDUFS4;CS;MFN2;SLC25A23;DLAT;OGDH;CAT;ACSS3;QDPR;GSR;ALDH2;OXCT2;ACADVL;ACACB;SLC25A4;ACAT1;HMGCS2;ALDH1L1;ALDH4A1;MAOB;OXCT1;FECH
proton motive force-driven mitochondrial ATP synthesis	proton motive force-driven mitochondrial ATP synthesis;proton motive force-driven ATP synthesis;ATP biosynthetic process	NDUFC1;SDHD;NDUFS5;ATP5PD;NDUFB11;NDUFA13;NDUFS8;ATP5PO;ATP5MF;NDUFAB1;NDUFB3;NDUFS6;NDUFS7;NDUFB5;NDUFB6;SDHC;NDUFS2;SDHB;NDUFA1;NDUFA10;ATP5F1C;ATP5MG;NDUFA8;ATP5PB;NDUFV3;NDUFV1;NDUFA5;ATP5F1A;SDHA;NDUFA12;STOML2;NDUFA9;NDUFB9;ATP5F1B;NDUFS4;ATP5MJ;ATP5MC2;ATP5MC3;DMAC2L;COX11;PINK1
cellular lipid catabolic process	cellular lipid catabolic process;lipid catabolic process;fatty acid catabolic process;monocarboxylic acid catabolic process;fatty acid beta-oxidation;fatty acid oxidation;lipid oxidation	GCDH;AKR1B10;ABCD2;BCO2;CPT2;DECR1;NUDT19;HSD17B4;ACAA2;ACAA1;PCCB;CPT1B;ACADVL;ETFA;HADH;ACACB;PCCA;ECI2;ACAT1;EHHADH;MLYCD;ETFDH;HSD17B10;PRDX6;ETFB;HADHB;HADHA;PLD6;OXCT2;OXCT1;LDHD;DCXR;HOGA1;PDK4
organic acid metabolic process	organic acid metabolic process;oxoacid metabolic process;carboxylic acid metabolic process	PCBD2;QDPR;ABAT;DECR1;GOT2;LIAS;LDHB;FASN;NUDT19;GRHPR;HPDL;ACOT2;HSD17B4;THEM4;ACAA2;PDHX;DGLUCY;ACAA1;DCXR;GCSH;MDH2;PCCB;PPM1K;PDK4;SUCLG2;SDHA;CPT1B;ACSL1;ACSM5;ACADVL;ETFA;TST;PC;HADH;ACACB;PDHA1;ACADSB;DHTKD1;MPST;ECHDC3;FH;PCCA;ECI2;BCKDHB;ALDH6A1;ACAT1;EHHADH;ACO2;MLYCD;ACOT11;MRS2;ETFDH;SUCLA2;L2HGDH;ALDH1L1;IDH3A;HSD17B10;VDAC1;ALDH4A1;DLD;MMUT;ETFB;MCCC1;PDK2;DBI;SLC25A12;CS;DBT;HADHB;HOGA1;DLAT;HADHA;OGDH
nucleoid	nucleoid;mitochondrial nucleoid	TUFM;DDX28;PRORP;ACADVL;GRSF1;HSPA9;LRPPRC;ATP5F1B;HSD17B10;VDAC1;FASTKD2;FASTKD5;DBT;VDAC2;HADHB;HADHA
positive regulation of apoptotic signaling pathway	positive regulation of apoptotic signaling pathway;positive regulation of intrinsic apoptotic signaling pathway	BBC3;HTRA2;BAX;PMAIP1;BOK;BAD;BCL2L11;BID;SEPTIN4;MCL1
purine ribonucleotide biosynthetic process	purine ribonucleotide biosynthetic process;ribonucleotide biosynthetic process;ribose phosphate biosynthetic process	SDHD;ATP5MJ;NDUFS5;ATP5PD;NDUFB11;NDUFA13;NDUFS8;ATP5PO;PDK1;ATP5MF;NDUFAB1;DMAC2L;NDUFB3;NDUFS6;ATP5MC2;COX11;NDUFS7;NDUFB5;MPC2;NDUFB6;SDHC;NDUFS2;SDHB;GCDH;PDHB;NDUFA1;NDUFA10;ATP5F1C;ATP5MG;NDUFA8;ATP5PB;NDUFV3;NDUFV1;NDUFA5;PDHX;AK3;ATP5F1A;PDK4;SDHA;NDUFA12;ACSL1;STOML2;NDUFA9;NDUFB9;ACACB;PDHA1;ATP5MC3;PINK1;AK4;ACAT1;MLYCD;ATP5F1B;DLD;MMUT;PDK2;NDUFS4;DLAT
sex differentiation	sex differentiation;reproductive structure development;reproductive system development	IMMP2L;BAX;BOK;BCL2L11;CASP3;BAK1;BCL2L2;BCL2;BCL2L1;PRDX4;DNAJC19;BIK
organic acid catabolic process	organic acid catabolic process;carboxylic acid catabolic process	RIDA;AASS;LDHD;CPT2;QDPR;ABAT;DECR1;GOT2;NUDT19;HSD17B4;ACAA2;ACAA1;DCXR;GCSH;PCCB;PPM1K;CPT1B;ACADVL;ETFA;TST;HADH;ACACB;ACADSB;MPST;PCCA;ECI2;BCKDHB;ALDH6A1;ACAT1;EHHADH;MLYCD;ETFDH;ALDH1L1;HSD17B10;ALDH4A1;DLD;ETFB;MCCC1;DBT;HADHB;HOGA1;HADHA
cellular catabolic process	cellular catabolic process;catabolic process	EXOG;ACAA1;DCXR;SNAP29;GCSH;ALDH2;PCCB;PPM1K;SUCLG2;AIFM1;CPT1B;MUL1;ACSL1;OXCT2;ACADVL;GRSF1;ENDOG;ETFA;TST;VPS13D;LRPPRC;NNT;HADH;ACACB;ACADSB;DHTKD1;NRDC;MPST;PINK1;PCCA;SLC25A4;ECI2;BCKDHB;CISD1;IDE;ALDH6A1;PRDX2;MAOA;ACAT1;EHHADH;MLYCD;ETFDH;SUCLA2;BNIP3;PRKN;ALDH1L1;FASTKD1;HSD17B10;VDAC1;FASTKD2;ALDH4A1;FASTKD5;PRDX6;DLD;MAOB;ETFB;MCCC1;OXCT1;DBT;HADHB;MFN2;HOGA1;FUNDC2;HADHA;OGDH;ALDH1B1
