ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CC	GO:0098798	mitochondrial protein-containing complex	283	-0.708538469890984	-4.40552843586228	1e-10	5.76496350364963e-09	4.05993084902036e-09	5184	tags=80%, list=21%, signal=64%	MRPL18/NFS1/MRPS5/IDH3A/MRPS12/TIMM9/NDUFA3/TOMM40L/MRPL52/TIMM44/APOOL/NDUFB7/MTX1/CHCHD1/NDUFS7/MRPL11/DBT/NDUFB11/LYRM4/PMPCA/IMMP2L/NDUFA13/MRPL57/MRPS25/PDK1/TIMM21/MRPS24/PDK2/MICOS13/MICOS10/MRPS7/TOMM22/UQCR10/MRPL9/MRPL45/COX6B1/ATP5MG/TIMM17B/NDUFV1/BCKDHA/MRPL38/DLAT/MPV17L2/MRPL4/CYC1/ATP5ME/UQCRQ/MRPS17/NDUFA7/SMDT1/MRPS9/DNAJC11/PDHX/MRPL43/ISCU/AFG3L2/NDUFA1/MRPL20/SDHD/NDUFA5/MRPL42/NDUFAF1/NDUFS2/ATP5F1B/PTCD3/SLC25A4/DNAJC19/MPC1/NDUFA2/MRPS21/TIMM10/NDUFB2/NDUFS6/UQCRC2/MTERF4/NDUFB10/MRPL2/ATP5F1A/MPC2/NDUFA8/NDUFA10/VDAC1/MRPL44/COX4I1/MRPL10/NDUFAB1/UQCRH/MRPL28/MRPL46/SDHA/MTX3/NDUFS1/COX5A/TOMM6/TOMM5/HADHB/NDUFA4/CHCHD3/SUPV3L1/COX8A/MRPL13/BCKDK/PPIF/NDUFC1/PRORP/NDUFV3/APOO/MRPL37/FXN/UQCRFS1/MRPS27/UQCRHL/MRPS11/MRPS30/UQCRB/MFN1/HSPA9/NDUFB1/TIMM17A/NDUFB3/MTX2/SUCLG1/MRPS14/ATP5PD/COX5B/TOMM70/NDUFB5/MRPL51/MRPS15/MRPL50/MCCC2/ATP5MC2/MRPL32/ATP5MJ/UQCRC1/NDUFB4/MCCC1/MRPL17/PDHA1/IMMT/TIMM23B/MRPL27/ATP5MC3/COX6C/ATP5PB/ATP5PF/SDHB/MRPS33/NDUFB8/HSD17B10/NDUFC2/FOXRED1/NDUFA6/MRPS35/PDHB/SDHC/ATP5MC1/ATP5MF/COX7C/DLD/IDH3B/MRPL35/MRPS18A/TIMM22/TRMT10C/HADHA/TIMM8B/GRPEL1/COX7B/TOMM7/DMAC1/SUCLG2/MRPL21/MRPL40/NDUFS3/NDUFB6/ATP5F1E/TIMM23/NDUFB9/CLPX/SAMM50/COX7A2L/NDUFV2/NDUFA9/NDUFS5/MRPL58/MRPS18B/IDH3G/MRPL16/IMMP1L/MRPL14/MRPL33/PMPCB/MRPL48/MRPL1/NDUFA12/MRPL15/ATP5MK/MRPL22/MRPL3/COX7A2/MRPL19/TIMM50/MRPS22/ATP5F1C/MRPL30/DNAJC15/MRPS31/MRPL24/MRPS16/MRPL47/ATP5PO/PHB2/PNPT1/CHCHD6/MRPS10/MRPS28/MICU2/MRPS18C/TOMM20/NDUFS4/DAP3/MRPL39/TIMM8A/AGK/MICU1
CC	GO:0044391	ribosomal subunit	186	-0.741448469884053	-4.29995133804866	1e-10	5.76496350364963e-09	4.05993084902036e-09	4067	tags=73%, list=16%, signal=62%	MRPL57/RPS27A/MRPS25/ZCCHC17/RPS17/RPLP1/MRPS24/RPSA/MRPS7/RPL7L1/RPL17/MRPL9/MRPL45/MRPL38/MPV17L2/RPS27/MRPL4/RPL35A/RSL1D1/MRPS17/EIF2D/MRPS9/MRPL43/RPL10A/MRPL20/MRPL42/PTCD3/MRPS21/RPS8/RPS21/MTERF4/MRPL2/RPS11/NHP2/DHX29/MRPL44/MRPL10/MRPL28/MRPL46/NPM1/MRPL13/RBM3/MRPL37/MRPS27/MRPS11/MRPS30/FAU/RPL8/RPL26L1/MRPS14/MRPL51/MRPS15/MRPL50/MRPL32/MRPL17/MRPL27/RPS12/RPLP0/MRPS33/RPLP2/RPS15A/RPS2/RPL7A/RPS20/MRPS35/RPL12/MRPL35/EIF2A/RPL34/MRPS18A/RPL24/MRPL21/MRPL40/MRPL58/RPL36AL/MRPS18B/MRPL16/RPL37/MRPL14/MRPL33/MRPL48/MRPL1/RPL38/MRPL15/MRPL22/MRPL3/RPS6/RPS7/RPL41/MRPL19/MRPS22/RPS29/RPL11/MRPL30/MRPS31/MRPL24/MRPS16/MRPL47/RPL15/MRPS10/RPL29/RPL21/MRPS28/RPL27A/RPS18/SNU13/MRPS18C/RPL19/RPL14/DAP3/RPL6/RPL27/RPL36A/RPL37A/RPL10/MRPL39/RPS3A/RPS14/MCTS1/RPL39/RPL23A/RPL22/RPL9/RPL32/RPS4X/RPL31/RPS23/RPL4/RPL5/RPL7/RPS25/RPS13/RPL23/RPS24/RPL26/RPL30
CC	GO:0015934	large ribosomal subunit	114	-0.764742893409971	-4.14220262172881	1e-10	5.76496350364963e-09	4.05993084902036e-09	4067	tags=77%, list=16%, signal=65%	MRPL57/ZCCHC17/RPLP1/RPL7L1/RPL17/MRPL9/MRPL45/MRPL38/MPV17L2/MRPL4/RPL35A/RSL1D1/MRPL43/RPL10A/MRPL20/MRPL42/MTERF4/MRPL2/NHP2/MRPL44/MRPL10/MRPL28/MRPL46/NPM1/MRPL13/RBM3/MRPL37/MRPS30/RPL8/RPL26L1/MRPL51/MRPL50/MRPL32/MRPL17/MRPL27/RPLP0/RPLP2/RPL7A/RPL12/MRPL35/RPL34/MRPS18A/RPL24/MRPL21/MRPL40/MRPL58/RPL36AL/MRPL16/RPL37/MRPL14/MRPL33/MRPL48/MRPL1/RPL38/MRPL15/MRPL22/MRPL3/RPL41/MRPL19/RPL11/MRPL30/MRPL24/MRPL47/RPL15/RPL29/RPL21/RPL27A/SNU13/RPL19/RPL14/RPL6/RPL27/RPL36A/RPL37A/RPL10/MRPL39/RPL39/RPL23A/RPL22/RPL9/RPL32/RPL31/RPL4/RPL5/RPL7/RPL23/RPL26/RPL30
BP	GO:0140053	mitochondrial gene expression	163	-0.69918641804836	-3.95546283252321	1e-10	5.76496350364963e-09	4.05993084902036e-09	4067	tags=69%, list=16%, signal=58%	MRPL57/MRPS25/RMND1/MRPS24/TBRG4/MTO1/MRPS7/METTL8/MRPL9/MRPL45/MRPL38/TRUB2/COA3/RPUSD3/MPV17L2/TARS2/MTERF2/MRPL4/TFB2M/MRPS17/NDUFA7/MRPS9/MRPL43/TUFM/GFM2/MRPL20/GATB/MALSU1/MTRES1/MRPL42/GARS1/PTCD3/MRPS21/TEFM/TACO1/MTERF4/MRPL2/MTIF2/MRPL44/MRPL10/MRPL28/MRPL46/FASTKD5/EARS2/RARS2/QRSL1/SUPV3L1/MRPL13/NGRN/DARS2/PRORP/MRPL37/MRPS27/MRPS11/MRPS30/FASTKD1/LRPPRC/PPARGC1B/MRPS14/C1QBP/MRPL51/MRPS15/MRPL50/TSFM/MRPL32/TRMT61B/LARS2/MRPL17/CDK5RAP1/MRPL27/MRPS33/HSD17B10/MTIF3/MRPS35/YARS2/MRPL35/IARS2/MRPS18A/TRMT10C/ELAC2/MRPL21/MRPL40/MRPL58/MRPS18B/MRPL16/FASTKD2/TFAM/MRPL14/MRPL33/MRPL48/WARS2/FASTKD3/MRPL1/MRPL15/MRPL22/MRPL3/MRPL19/MRPS22/GFM1/TFB1M/MRPL30/MTERF3/MRPS31/MRPL24/MRPS16/MRPL47/PNPT1/MRPS10/MRPS28/MRPS18C/DAP3/MRPL39/MTPAP
CC	GO:0098800	inner mitochondrial membrane protein complex	145	-0.708455088399188	-3.89160417266541	1e-10	5.76496350364963e-09	4.05993084902036e-09	4972	tags=79%, list=20%, signal=64%	TIMM9/NDUFA3/TIMM44/APOOL/NDUFB7/MTX1/NDUFS7/NDUFB11/IMMP2L/NDUFA13/TIMM21/MICOS13/MICOS10/UQCR10/COX6B1/ATP5MG/TIMM17B/NDUFV1/CYC1/ATP5ME/UQCRQ/NDUFA7/SMDT1/DNAJC11/AFG3L2/NDUFA1/SDHD/NDUFA5/NDUFAF1/NDUFS2/ATP5F1B/DNAJC19/MPC1/NDUFA2/TIMM10/NDUFB2/NDUFS6/UQCRC2/NDUFB10/ATP5F1A/MPC2/NDUFA8/NDUFA10/COX4I1/NDUFAB1/UQCRH/SDHA/MTX3/NDUFS1/COX5A/NDUFA4/CHCHD3/COX8A/PPIF/NDUFC1/NDUFV3/APOO/UQCRFS1/UQCRHL/UQCRB/HSPA9/NDUFB1/TIMM17A/NDUFB3/MTX2/ATP5PD/COX5B/NDUFB5/ATP5MC2/ATP5MJ/UQCRC1/NDUFB4/IMMT/TIMM23B/ATP5MC3/COX6C/ATP5PB/ATP5PF/SDHB/NDUFB8/NDUFC2/FOXRED1/NDUFA6/SDHC/ATP5MC1/ATP5MF/COX7C/TIMM22/GRPEL1/COX7B/DMAC1/NDUFS3/NDUFB6/ATP5F1E/TIMM23/NDUFB9/SAMM50/COX7A2L/NDUFV2/NDUFA9/NDUFS5/IMMP1L/NDUFA12/ATP5MK/COX7A2/TIMM50/ATP5F1C/DNAJC15/ATP5PO/PHB2/CHCHD6/MICU2/NDUFS4/AGK/MICU1
BP	GO:0002181	cytoplasmic translation	156	-0.692303799032206	-3.87991582403047	1e-10	5.76496350364963e-09	4.05993084902036e-09	4075	tags=66%, list=16%, signal=56%	NCBP1/RPS27A/RPS17/RPLP1/CSDE1/RPSA/EIF3A/RPL17/NEMF/EIF3C/EIF2AK4/RPS27/MTOR/RPL35A/PKM/EIF2D/SYNCRIP/RPL10A/EIF4G1/SARS1/RBM24/DRG1/CNBP/RWDD1/RPS8/RPS21/RPS11/DHX29/PAIP1/IMPACT/ZC3H15/FAU/RPL8/RPL26L1/EIF2S3/DHX36/EIF2S2/EIF3J/EIF2B3/RPS12/RPLP0/RPLP2/RPS15A/RPS2/RPL7A/RPS20/NCBP2/RPL12/EIF3D/RPL34/RPL24/YTHDF2/EIF3L/DHX9/EIF3K/RPL37/DENR/EIF3I/RPL38/RPS6/RPS7/RPL41/RPS29/RPL11/EIF3F/YBX1/RPL15/RPL29/RPL21/RPL27A/EIF3H/RPS18/EIF3E/HNRNPD/RPL19/RPL14/RPL6/RPL27/RPL36A/EIF3M/RPL37A/RPL10/EIF2S3B/RPS3A/RPS14/MCTS1/RPL39/RPL23A/RPL22/RPL9/RPL32/RPS4X/RPL31/RPS23/RPL4/RPL5/RPL7/RPS25/RPS13/RPL23/RPS24/RPL26/RPL30
CC	GO:0022626	cytosolic ribosome	116	-0.706834213070866	-3.80772873051321	1e-10	5.76496350364963e-09	4.05993084902036e-09	4020	tags=70%, list=16%, signal=59%	RPS27A/ZCCHC17/RPS17/RPLP1/RPSA/RPL7L1/RPL17/NEMF/RNF10/EIF2AK4/RPS27/ASCC3/RPL35A/RSL1D1/EIF2D/RPL10A/RPS8/RPS21/RPS11/NHP2/DHX29/HBS1L/FAU/RPL8/RPL26L1/LTN1/ABCE1/RPS12/RPLP0/RPLP2/RPS15A/RPS2/RPL7A/RPS20/RPL12/EIF2A/RPL34/GSPT1/RPL24/RPL36AL/RPL37/RPL38/RPS6/RPS7/RPL41/RPS29/RPL11/RPL15/RPL29/RPL21/RPL27A/RPS18/SNU13/USP10/RPL19/RPL14/RPL6/RPL27/RPL36A/RPL37A/RPL10/RPS3A/RPS14/MCTS1/RPL39/RPL23A/RPL22/RPL9/RPL32/RPS4X/RPL31/RPS23/RPL4/RPL5/RPL7/RPS25/RPS13/RPL23/RPS24/RPL26/RPL30
CC	GO:0022625	cytosolic large ribosomal subunit	57	-0.786726044515612	-3.71087814460747	1e-10	5.76496350364963e-09	4.05993084902036e-09	3981	tags=79%, list=16%, signal=66%	ZCCHC17/RPLP1/RPL7L1/RPL17/RPL35A/RSL1D1/RPL10A/NHP2/RPL8/RPL26L1/RPLP0/RPLP2/RPL7A/RPL12/RPL34/RPL24/RPL36AL/RPL37/RPL38/RPL41/RPL11/RPL15/RPL29/RPL21/RPL27A/SNU13/RPL19/RPL14/RPL6/RPL27/RPL36A/RPL37A/RPL10/RPL39/RPL23A/RPL22/RPL9/RPL32/RPL31/RPL4/RPL5/RPL7/RPL23/RPL26/RPL30
BP	GO:0009060	aerobic respiration	180	-0.632630223143941	-3.69097078609173	1e-10	5.76496350364963e-09	4.05993084902036e-09	3607	tags=64%, list=15%, signal=55%	RHOA/UQCR10/COX6B1/ATP5MG/NDUFV1/GHITM/DLAT/CYC1/ATP5ME/UQCRQ/NDUFA7/ISCU/IREB2/NDUFA1/SDHD/NDUFA5/NNT/NDUFAF1/CYCS/NDUFS2/C2orf69/ATP5F1B/NDUFA2/NDUFB2/SIRT3/TEFM/NDUFS6/DLST/UQCRC2/NDUFB10/ATP5F1A/COQ9/NDUFA8/NDUFA10/COX4I1/NDUFAB1/UQCRH/SDHA/COX10/NDUFS1/IDH2/COX5A/NDUFA4/COX8A/MTFR1/HIF1A/PPIF/NDUFC1/NDUFV3/FXN/PARK7/UQCRFS1/UQCRHL/COA6/UQCRB/NDUFB1/NDUFB3/SUCLA2/SUCLG1/CAT/ATP5PD/COX5B/NDUFB5/CS/NIPSNAP2/MFN2/UQCRC1/NDUFB4/MDH1/PDHA1/COX6C/STOML2/ATP5PB/ATP5PF/IDE/SDHB/NDUFB8/NDUFC2/NDUFA6/PDHB/SDHC/ATP5MF/COX7C/DLD/IDH3B/OGDH/ACO1/SLC25A23/CHCHD2/MACROH2A1/FH/VCP/AFG1L/COX7B/SUCLG2/NDUFS3/NDUFB6/ATP5F1E/NDUFB9/COX7A2L/NDUFV2/NDUFA9/NDUFS5/COX15/IDH3G/ME3/OXA1L/NDUFA12/COX7A2/ATP5F1C/DNAJC15/ATP5PO/NDUFS4/ADSL/MSH2
BP	GO:0033108	mitochondrial respiratory chain complex assembly	93	-0.700801241055374	-3.66476642485154	1e-10	5.76496350364963e-09	4.05993084902036e-09	5141	tags=82%, list=21%, signal=65%	SDHAF2/OMA1/NDUFA3/NDUFAF7/NDUFB7/NDUFS7/NDUFB11/COX17/IMMP2L/SMIM20/CHCHD4/NDUFA13/TIMM21/LYRM7/UQCC1/COA5/NDUFAF3/COA3/COA4/NUBPL/TTC19/AIFM1/NDUFA1/NDUFAF4/NDUFA5/NDUFAF1/NDUFS2/NDUFA2/NDUFB2/TACO1/NDUFB10/TMEM186/SDHAF4/NDUFA8/PET100/NDUFA10/SCO1/NDUFAB1/NDUFS1/COX18/NDUFAF5/NDUFC1/ACAD9/UQCRFS1/LYRM2/NDUFB1/NDUFB3/TMEM126A/COA1/NDUFB5/NDUFB4/TMEM126B/NDUFB8/TMEM223/NDUFC2/FOXRED1/NDUFA6/NDUFAF2/DMAC1/NDUFS3/NDUFB6/NDUFB9/SAMM50/NDUFA9/NDUFS5/TFAM/FASTKD3/OXA1L/NDUFA12/COX20/CHCHD7/NDUFAF6/SDHAF3/COX16/NDUFS4/STMP1
