representative	grouped_terms	genes
ribosomal subunit	ribosomal subunit;structural constituent of ribosome;ribosome	MRPL57;RPS27A;MRPS25;ZCCHC17;RPS17;RPLP1;MRPS24;RPSA;MRPS7;RPL7L1;RPL17;MRPL9;MRPL45;MRPL38;MPV17L2;RPS27;MRPL4;RPL35A;RSL1D1;MRPS17;EIF2D;MRPS9;MRPL43;RPL10A;MRPL20;MRPL42;PTCD3;MRPS21;RPS8;RPS21;MTERF4;MRPL2;RPS11;NHP2;DHX29;MRPL44;MRPL10;MRPL28;MRPL46;NPM1;MRPL13;RBM3;MRPL37;MRPS27;MRPS11;MRPS30;FAU;RPL8;RPL26L1;MRPS14;MRPL51;MRPS15;MRPL50;MRPL32;MRPL17;MRPL27;RPS12;RPLP0;MRPS33;RPLP2;RPS15A;RPS2;RPL7A;RPS20;MRPS35;RPL12;MRPL35;EIF2A;RPL34;MRPS18A;RPL24;MRPL21;MRPL40;MRPL58;RPL36AL;MRPS18B;MRPL16;RPL37;MRPL14;MRPL33;MRPL48;MRPL1;RPL38;MRPL15;MRPL22;MRPL3;RPS6;RPS7;RPL41;MRPL19;MRPS22;RPS29;RPL11;MRPL30;MRPS31;MRPL24;MRPS16;MRPL47;RPL15;MRPS10;RPL29;RPL21;MRPS28;RPL27A;RPS18;SNU13;MRPS18C;RPL19;RPL14;DAP3;RPL6;RPL27;RPL36A;RPL37A;RPL10;MRPL39;RPS3A;RPS14;MCTS1;RPL39;RPL23A;RPL22;RPL9;RPL32;RPS4X;RPL31;RPS23;RPL4;RPL5;RPL7;RPS25;RPS13;RPL23;RPS24;RPL26;RPL30;NDUFA7;RSL24D1;SRBD1;NEMF;RNF10;EIF2AK4;ASCC3;DNAJC21;EIF4G1;APEX1;SRP68;HBS1L;LTN1;ABCE1;GSPT1;HSPA14;PSMA6;PNPT1;USP10
mitochondrial gene expression	mitochondrial gene expression;mitochondrial translation	MRPL57;MRPS25;RMND1;MRPS24;TBRG4;MTO1;MRPS7;METTL8;MRPL9;MRPL45;MRPL38;TRUB2;COA3;RPUSD3;MPV17L2;TARS2;MTERF2;MRPL4;TFB2M;MRPS17;NDUFA7;MRPS9;MRPL43;TUFM;GFM2;MRPL20;GATB;MALSU1;MTRES1;MRPL42;GARS1;PTCD3;MRPS21;TEFM;TACO1;MTERF4;MRPL2;MTIF2;MRPL44;MRPL10;MRPL28;MRPL46;FASTKD5;EARS2;RARS2;QRSL1;SUPV3L1;MRPL13;NGRN;DARS2;PRORP;MRPL37;MRPS27;MRPS11;MRPS30;FASTKD1;LRPPRC;PPARGC1B;MRPS14;C1QBP;MRPL51;MRPS15;MRPL50;TSFM;MRPL32;TRMT61B;LARS2;MRPL17;CDK5RAP1;MRPL27;MRPS33;HSD17B10;MTIF3;MRPS35;YARS2;MRPL35;IARS2;MRPS18A;TRMT10C;ELAC2;MRPL21;MRPL40;MRPL58;MRPS18B;MRPL16;FASTKD2;TFAM;MRPL14;MRPL33;MRPL48;WARS2;FASTKD3;MRPL1;MRPL15;MRPL22;MRPL3;MRPL19;MRPS22;GFM1;TFB1M;MRPL30;MTERF3;MRPS31;MRPL24;MRPS16;MRPL47;PNPT1;MRPS10;MRPS28;MRPS18C;DAP3;MRPL39;MTPAP
organellar ribosome	organellar ribosome;mitochondrial ribosome	MRPL18;MRPS5;MRPS12;MRPL52;CHCHD1;MRPL11;MRPL57;MRPS25;MRPS24;MRPS7;MRPL9;MRPL45;MRPL38;MPV17L2;MRPL4;MRPS17;NDUFA7;MRPS9;MRPL43;MRPL20;MRPL42;PTCD3;MRPS21;MTERF4;MRPL2;MRPL44;MRPL10;MRPL28;MRPL46;MRPL13;MRPL37;MRPS27;MRPS11;MRPS30;MRPS14;MRPL51;MRPS15;MRPL50;MRPL32;MRPL17;MRPL27;MRPS33;MRPS35;MRPL35;MRPS18A;MRPL21;MRPL40;MRPL58;MRPS18B;MRPL16;MRPL14;MRPL33;MRPL48;MRPL1;MRPL15;MRPL22;MRPL3;MRPL19;MRPS22;MRPL30;MRPS31;MRPL24;MRPS16;MRPL47;MRPS10;MRPS28;MRPS18C;DAP3;MRPL39
aerobic electron transport chain	aerobic electron transport chain;ATP synthesis coupled electron transport;mitochondrial ATP synthesis coupled electron transport;mitochondrial respirasome;respirasome;respiratory chain complex;respiratory electron transport chain;electron transport chain	UQCR10;COX6B1;NDUFV1;CYC1;UQCRQ;NDUFA7;ISCU;NDUFA1;SDHD;NDUFA5;NDUFAF1;CYCS;NDUFS2;NDUFA2;NDUFB2;NDUFS6;UQCRC2;NDUFB10;COQ9;NDUFA8;NDUFA10;COX4I1;NDUFAB1;UQCRH;SDHA;NDUFS1;COX5A;NDUFA4;COX8A;NDUFC1;NDUFV3;PARK7;UQCRFS1;UQCRHL;UQCRB;NDUFB1;NDUFB3;COX5B;NDUFB5;UQCRC1;NDUFB4;COX6C;SDHB;NDUFB8;NDUFC2;NDUFA6;SDHC;COX7C;DLD;AFG1L;COX7B;NDUFS3;NDUFB6;NDUFB9;COX7A2L;NDUFV2;NDUFA9;NDUFS5;COX15;COX7A2;DNAJC15;NDUFS4;GHITM;COA6;CHCHD2;NDUFA12;TTC19;NNT;C2orf69;HIGD1A;FOXRED1;DMAC1;STMP1;SLC25A12;ETFRF1;ETFA;SLC25A13;ETFB;GPD2;ALDH2;NQO2;GSR;QDPR;CIAPIN1;ADH5;ASPH;FDX1;AKR1B1;ME2;IDH3B;COX11;GLRX2;DEGS1
proton motive force-driven mitochondrial ATP synthesis	proton motive force-driven mitochondrial ATP synthesis;proton motive force-driven ATP synthesis;ribonucleoside triphosphate biosynthetic process;ATP biosynthetic process;purine nucleoside triphosphate biosynthetic process;purine ribonucleoside triphosphate biosynthetic process;nucleoside triphosphate biosynthetic process	NDUFA3;NDUFB7;NDUFS7;NDUFB11;NDUFA13;ATP5MG;NDUFV1;ATP5ME;NDUFA7;NDUFA1;SDHD;NDUFA5;NDUFS2;ATP5F1B;NDUFA2;NDUFB2;NDUFS6;NDUFB10;ATP5F1A;NDUFA8;NDUFA10;NDUFAB1;SDHA;NDUFS1;NDUFC1;NDUFV3;NDUFB1;NDUFB3;ATP5PD;NDUFB5;NDUFB4;STOML2;ATP5PB;ATP5PF;SDHB;NDUFB8;NDUFC2;NDUFA6;SDHC;ATP5MF;NDUFS3;NDUFB6;ATP5F1E;NDUFB9;NDUFV2;NDUFA9;NDUFS5;NDUFA12;ATP5F1C;ATP5PO;NDUFS4;ATP5MC2;ATP5MJ;ATP5MC3;ATP5MC1;ATP5MK;PPARA;PINK1;ALDOA;SLC25A13;PRKAG2;COX11;PARP1;VCP;DMAC2L;NME1;NME7;NME6;NME5;ADK;AK1;AK4;AK3
NADH dehydrogenase complex assembly	NADH dehydrogenase complex assembly;mitochondrial respiratory chain complex I assembly	NDUFA3;NDUFAF7;NDUFB7;NDUFS7;NDUFB11;NDUFA13;TIMM21;NDUFAF3;NUBPL;NDUFA1;NDUFAF4;NDUFA5;NDUFAF1;NDUFS2;NDUFA2;NDUFB2;NDUFB10;TMEM186;NDUFA8;NDUFA10;NDUFAB1;NDUFS1;NDUFAF5;NDUFC1;ACAD9;LYRM2;NDUFB1;NDUFB3;TMEM126A;COA1;NDUFB5;NDUFB4;TMEM126B;NDUFB8;NDUFC2;FOXRED1;NDUFA6;NDUFAF2;DMAC1;NDUFS3;NDUFB6;NDUFB9;NDUFA9;NDUFS5;OXA1L;NDUFA12;NDUFAF6;NDUFS4
organellar large ribosomal subunit	organellar large ribosomal subunit;mitochondrial large ribosomal subunit	MRPL9;MRPL45;MRPL38;MPV17L2;MRPL4;MRPL43;MRPL20;MRPL42;MTERF4;MRPL2;MRPL44;MRPL10;MRPL28;MRPL46;MRPL13;MRPL37;MRPS30;MRPL51;MRPL50;MRPL32;MRPL17;MRPL27;MRPL35;MRPS18A;MRPL21;MRPL40;MRPL58;MRPL16;MRPL14;MRPL33;MRPL48;MRPL1;MRPL15;MRPL22;MRPL3;MRPL19;MRPL30;MRPL24;MRPL47;MRPL39
aerobic respiration	aerobic respiration;cellular respiration;energy derivation by oxidation of organic compounds	RHOA;UQCR10;COX6B1;ATP5MG;NDUFV1;GHITM;DLAT;CYC1;ATP5ME;UQCRQ;NDUFA7;ISCU;IREB2;NDUFA1;SDHD;NDUFA5;NNT;NDUFAF1;CYCS;NDUFS2;C2orf69;ATP5F1B;NDUFA2;NDUFB2;SIRT3;TEFM;NDUFS6;DLST;UQCRC2;NDUFB10;ATP5F1A;COQ9;NDUFA8;NDUFA10;COX4I1;NDUFAB1;UQCRH;SDHA;COX10;NDUFS1;IDH2;COX5A;NDUFA4;COX8A;MTFR1;HIF1A;PPIF;NDUFC1;NDUFV3;FXN;PARK7;UQCRFS1;UQCRHL;COA6;UQCRB;NDUFB1;NDUFB3;SUCLA2;SUCLG1;CAT;ATP5PD;COX5B;NDUFB5;CS;NIPSNAP2;MFN2;UQCRC1;NDUFB4;MDH1;PDHA1;COX6C;STOML2;ATP5PB;ATP5PF;IDE;SDHB;NDUFB8;NDUFC2;NDUFA6;PDHB;SDHC;ATP5MF;COX7C;DLD;IDH3B;OGDH;ACO1;SLC25A23;CHCHD2;MACROH2A1;FH;VCP;AFG1L;COX7B;SUCLG2;NDUFS3;NDUFB6;ATP5F1E;NDUFB9;COX7A2L;NDUFV2;NDUFA9;NDUFS5;COX15;IDH3G;ME3;OXA1L;NDUFA12;COX7A2;ATP5F1C;DNAJC15;ATP5PO;NDUFS4;ADSL;MSH2;NDUFS7;AK4;CHCHD5;PINK1;NDUFB11;MDH2;IMMP2L;MDH1B;ACO2;CHCHD4;NDUFA13;COQ10A;ETFDH;LYRM7;SLC25A12;CISD1;COQ10B;ETFRF1;ETFA;SLC25A13;ETFB;SDHAF4;TRAP1;MTLN;GPD2;PNPT1;SLC25A51;SDHAF2;IDH3A;AGL;NHLRC1;IDH1;NDUFA3;PPP1R3B;NDUFB7;GFPT1;PPP1R3A;PFKM;PHKA2;PPP1R1A;MTOR;GSK3B;PPP1R2;GBE1;PPP1CC;PRKAG2;ACADM;GYS1;ACADVL;PHKB;EPM2AIP1;UGP2;GYG1;PYGB
mitochondrial respiratory chain complex I	mitochondrial respiratory chain complex I;NADH dehydrogenase complex;respiratory chain complex I;NADH dehydrogenase (quinone) activity;NADH dehydrogenase activity;NADH dehydrogenase (ubiquinone) activity;NAD(P)H dehydrogenase (quinone) activity;oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	NDUFA3;NDUFB7;NDUFS7;NDUFB11;NDUFA13;NDUFV1;NDUFA7;NDUFA1;NDUFA5;NDUFAF1;NDUFS2;NDUFA2;NDUFB2;NDUFS6;NDUFB10;NDUFA8;NDUFA10;NDUFAB1;NDUFS1;NDUFA4;NDUFC1;NDUFV3;NDUFB1;NDUFB3;NDUFB5;NDUFB4;NDUFB8;NDUFC2;FOXRED1;NDUFA6;DMAC1;NDUFS3;NDUFB6;NDUFB9;NDUFV2;NDUFA9;NDUFS5;NDUFA12;NDUFS4;NQO1;ENOX1;AIFM1;NQO2;CBR4;CRYZ;DHRS4
aminoacyl-tRNA ligase activity	aminoacyl-tRNA ligase activity;tRNA aminoacylation for protein translation;ligase activity, forming carbon-oxygen bonds;amino acid activation;tRNA aminoacylation	LRRC47;HARS1;VARS1;SARS2;TARS2;TARS3;SARS1;GARS1;FARSA;LARS1;KARS1;EARS2;RARS2;DARS2;NARS1;LARS2;FARS2;TARS1;YARS2;IARS2;HARS2;RARS1;AARSD1;IARS1;WARS2;EPRS1;NARS2;MARS2;PARS2;QARS1;DARS1;FARSB;GATB;QRSL1;AASDH
