ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CC	GO:0005759	mitochondrial matrix	477	-0.68209479391652	-4.34450973280774	1e-10	3.34978902953587e-09	2.04663557628248e-09	4257	tags=69%, list=17%, signal=58%	ATP5F1E/FASTKD3/MRPL18/ME3/GSR/NDUFS8/NUDT2/PTPN1/PTCD1/AK4/PC/MRPL40/MRPS34/STYXL1/MRPS25/ABHD10/MRPL32/MRPS15/MPST/MPV17L2/MRPL43/FDX2/SOD2/TRIT1/THEM4/ACADS/RIDA/ALDH4A1/CASQ1/PARG/GLRX2/NSUN4/FASTK/MLYCD/HADHA/POLG/OXCT2/ETFBKMT/MCEE/CYP11A1/ABAT/MRPL11/NUDT9/MRPL57/MRPS23/FLAD1/PYCR2/NDUFB8/AMT/PPTC7/ACADVL/ARG2/MRPS6/BCO2/PNPT1/CHPF/HOGA1/ACAD10/TRMT61B/ISCA1/ACOT9/ELAC2/MTERF2/ACSS3/PMPCA/DNAJC19/CLPP/ISCU/KARS1/TXNRD2/FXN/HADHB/DGLUCY/CHCHD1/BOLA3/MRPL34/ETFB/SDHAF4/MRM2/PDK2/PARS2/LIPT2/AASS/LONP1/SOD1/PITRM1/GPT2/GLUD1/DLAT/PDP1/MRPL33/MRPL12/ACOT2/ACADM/LACTB2/AK3/NMNAT3/QARS1/ACAA2/C1QBP/ME2/PARK7/PDK1/FAHD1/PRORP/PYROXD2/MCCC2/ACO2/MTERF1/METTL17/MMUT/MRPS2/IDH3A/DHTKD1/MRPL22/TST/ETFDH/MRPL50/PPM1K/MTRF1L/SMDT1/SARS2/TRUB2/MRPL51/ALKBH7/MRPS24/SUPV3L1/SSBP1/ALDH2/REXO2/DNAJC15/IVD/MRPS18A/AUH/FASTKD5/GCSH/MRPS12/ACSS1/SIRT5/MRPL24/ECHS1/NDUFS3/BCKDK/MRPL47/BDH1/HSD17B10/PDSS2/CBR4/MRPS17/MTRES1/FASTKD1/MRPL49/MRPL16/MCAT/DBT/MRPS18C/NUBPL/PRDX5/TMLHE/PRDX3/SIRT3/WARS2/HMGCL/DARS2/ALDH5A1/NDUFS7/MRPL36/ALDH6A1/TRMT2B/MRM3/NDUFAB1/GFM1/MRPL2/OGDH/SIRT4/FDX1/GSTK1/MRPL3/HAX1/ISCA2/MRPL38/ACADSB/MRPS7/BCAT2/TFB2M/EXD2/NDUFS1/ACAT1/BCKDHB/ALDH1B1/TRMT10C/IARS2/NDUFAF1/ACOT11/MRPL4/OXCT1/MMAA/GOT2/NAXE/MRPL19/LYRM7/PMPCB/COQ3/TIMM44/PPIF/ALDH7A1/ATP5F1A/ETFA/LRPPRC/NFS1/BCKDHA/ACSF2/ATP5F1C/MRPS11/PDSS1/IDH3G/PDHA1/ACAD8/PTCD3/GRPEL1/GFM2/POLDIP2/HSPA9/CLPX/SDHAF3/NADK2/MRPL27/FECH/MALSU1/METTL15/FH/HARS2/DECR1/PCCA/PCCB/MRPL39/ACSS2/HADH/MARS2/TFB1M/DDX28/MRPL10/GLRX5/GUF1/MRPS31/MRPL58/MCCC1/TUFM/SUCLG2/NDUFA10/NUDT13/NME6/MRPL15/MRPS27/LARS2/MRPS33/PPA2/DNAJA3/TXN2/VDAC1/ADHFE1/NARS2/MRPS28/PDHB/SUCLA2/GSTZ1/MRPL1/TBRG4/ACOT13/CS/RPUSD3/MRPL44/GRSF1/NDUFA9/DLD/MRPL13/YARS2/IBA57/SUCLG1/FASTKD2/VDAC2/MECR/MRPL48/EARS2/NDUFAF7/TRAP1/MRPS35/PDHX/IDH2/ATP5F1B/MRPS16/MDH2/HIBADH/ALAS1/SUOX/MRPS5/MRPS14/FARS2/MRPS10/MRPL37/GCDH/MRPS30/TARS2/HSD17B8/MRPL35/MAIP1/MRPS22/MRPL30/MRM1/ATP5PB/DLST/LIAS/MRPS9/OXA1L/ERAL1/TEFM/DAP3/NDUFS2/COX10/MRPL46/IDH3B/MRPL45/MRPS18B/MRPL9/COQ5/HIBCH/ETNPPL
CC	GO:0098798	mitochondrial protein-containing complex	283	-0.714717342820227	-4.28643745242403	1e-10	3.34978902953587e-09	2.04663557628248e-09	5023	tags=81%, list=20%, signal=65%	NDUFA7/AURKAIP1/DNA2/TOMM7/TIMM10/ATP5ME/UQCRQ/MRPL21/MRPL20/SPG7/IMMP1L/SLC25A5/CHCHD6/UQCR10/MRPL28/ATP5F1E/MRPL18/NDUFS8/TIMM23B/UQCRFS1P1/MRPL40/MRPS34/MRPS25/MRPL32/MRPS15/MPV17L2/MRPL43/ATP5MK/MICOS10/NDUFB11/NSUN4/NDUFC1/ATP5MG/NDUFS6/NDUFS5/HADHA/POLG/NDUFA13/NDUFB10/NDUFA1/MRPL11/MRPL57/MRPS23/NDUFB8/MPC2/COX7A2/UQCRB/NDUFB4/MRPS6/PNPT1/MTX3/MCU/TOMM20/TIMM8B/COX7C/ATP5PD/AGK/COX4I1/MFN1/NDUFV3/PMPCA/DNAJC19/IMMP2L/ISCU/NDUFA12/COX7B/FXN/HADHB/CHCHD1/MRPL34/ATP5MJ/PDK2/ATP5MF/AFG3L2/DLAT/MRPL33/MRPL12/NDUFA8/COX6B1/ATP5MC2/TOMM22/MPC1/TIMM50/PDK1/NDUFB2/PRORP/NDUFB9/MCCC2/ATP5PF/MRPS2/IDH3A/MRPL22/SDHA/MRPL50/SMDT1/MRPL51/MRPS24/SUPV3L1/DNAJC15/MRPS18A/COX7A2L/NDUFV2/MRPS12/MRPL24/NDUFS3/BCKDK/MRPL47/HSD17B10/MRPS17/MRPL49/MRPL16/DBT/NDUFB3/NDUFA5/COX5A/CHCHD3/MRPS18C/NDUFA4/TIMM17B/DMAC2/NDUFS7/SLC25A4/MRPL36/NDUFC2/NDUFAB1/MRPL2/NDUFB6/TIMM23/MRPL3/NDUFA6/MRPL38/MRPS7/NDUFS1/BCKDHB/TRMT10C/NDUFAF1/MRPL4/TIMM17A/UQCRC1/MRPL19/PMPCB/TIMM44/PPIF/ATP5F1A/NFS1/BCKDHA/UQCRH/ATP5F1C/ATP5PO/MRPS11/IDH3G/PDHA1/TIMM22/PTCD3/COX8A/CYC1/GRPEL1/MTX2/PHB2/HSPA9/CLPX/MRPL27/MICU2/MRPL39/TIMM21/DNAJC11/APOO/MRPL10/TOMM70/FOXRED1/MRPS31/MRPL58/MCCC1/SUCLG2/NDUFA10/DMAC1/MRPL15/MRPS27/MRPS33/BCS1L/SDHB/VDAC1/ATP5MC1/MRPS28/PDHB/SAMM50/UQCRHL/MRPL1/UQCRC2/MRPL44/NDUFA9/DLD/MRPL13/SUCLG1/NDUFB5/MRPL48/IMMT/MRPS35/SDHD/PDHX/APOOL/ATP5F1B/ATP5MC3/MRPS16/NDUFV1/TIMM8A/MRPS5/MRPS14/MRPS10/MRPL37/MRPS30/MRPL35/MRPS22/MRPL30/TOMM40L/ATP5PB/NDUFS4/UQCRFS1/SDHC/MRPS9/DAP3/MICU1/NDUFS2/MRPL46/IDH3B/MRPL45/MRPS18B/MRPL9
BP	GO:0140053	mitochondrial gene expression	163	-0.73026167167313	-4.10316028280307	1e-10	3.34978902953587e-09	2.04663557628248e-09	4014	tags=74%, list=16%, signal=62%	PTCD1/MRPL40/MRPS34/MRPS25/MRPL32/MRPS15/MPV17L2/MRPL43/TRIT1/THAP11/FASTK/RCC1L/AARS2/MRPL11/MTPAP/MRPL57/MRPS23/MRPS6/PNPT1/TRMT61B/ELAC2/MTERF2/MTO1/MTERF3/CHCHD1/MRPL34/ALKBH1/MRPL33/MRPL12/C1QBP/PRORP/MTERF1/MRPS2/COA3/MRPL22/MRPL50/CDK5RAP1/NGRN/MTRF1L/SARS2/TRUB2/MRPL51/MRPS24/SUPV3L1/MRPS18A/FASTKD5/MRPS12/MTIF2/MRPL24/MRPL47/HSD17B10/MRPS17/MTRES1/FASTKD1/TSFM/MRPL49/MRPL16/MRPS18C/WARS2/DARS2/MRPL36/QRSL1/GFM1/MRPL2/GATB/MRPL3/MRPL38/MRPS7/TFB2M/TRMT10C/IARS2/RMND1/MRPL4/MTIF3/MRPL19/LRPPRC/MRPS11/PTCD3/GFM2/MRPL27/MALSU1/MRPL39/TFB1M/MRPL10/MRPS31/MRPL58/TUFM/MRPL15/MRPS27/LARS2/MRPS33/MRPS28/MRPL1/TBRG4/TACO1/RPUSD3/MRPL44/MRPL13/YARS2/FASTKD2/MRPL48/EARS2/MRPS35/MRPS16/MRPS5/MRPS14/MRPS10/MRPL37/MRPS30/TARS2/MRPL35/MRPS22/MRPL30/MRPS9/TEFM/DAP3/MRPL46/MRPL45/MRPS18B/MRPL9
CC	GO:0005743	mitochondrial inner membrane	463	-0.611503427623955	-3.85600055444829	1e-10	3.34978902953587e-09	2.04663557628248e-09	4085	tags=62%, list=17%, signal=53%	NDUFS8/ADCK1/TIMM23B/PTPN1/UQCRFS1P1/MRPL40/MRPS34/CRLS1/MRPS25/RDH13/MRPL32/ATPSCKMT/MRPS15/HIGD2A/MPV17L2/MRPL43/SLC25A36/ATP5MK/PARL/MICOS10/SLC25A30/CIBAR1/THEM4/PGAM5/NDUFB11/DHODH/NDUFC1/ATP5MG/NDUFS6/NDUFS5/HADHA/NDUFA13/SLC25A12/SFXN2/RCC1L/CYP11A1/NDUFB10/NDUFA1/MTLN/MRPL11/SLC25A26/MPV17/MRPL57/MRPS23/NDUFB8/ACADVL/MPC2/COX7A2/UQCRB/NDUFB4/LETM1/MRPS6/MTX3/MCU/RAB5IF/TIMM8B/SFXN4/COX7C/ATP5PD/AGK/COX4I1/ACAD9/NDUFV3/PMPCA/DNAJC19/COX18/IMMP2L/TAMM41/NDUFA12/COX7B/HADHB/SLC41A3/CHCHD1/MRPL34/ATP5MJ/ENDOG/CPT2/SFXN1/ATP5MF/COX11/AFG3L2/COQ7/SLC25A40/TMEM65/MRPL33/MRPL12/NDUFA8/MCUR1/COX6B1/ATP5MC2/MPC1/TIMM50/SLC25A11/TMEM223/NDUFB2/TMEM11/NDUFB9/NDUFAF5/ATP5PF/MRPS2/COA3/COQ6/MRPL22/SDHA/MTFP1/ETFDH/MRPL50/SLC25A23/SMDT1/MRPL51/CCDC51/MRPS24/TMEM14C/DNAJC15/YME1L1/MRPS18A/COX7A2L/DNAJC30/NDUFV2/MRPS12/MRPL24/HIGD1A/NDUFAF4/NDUFS3/MRPL47/OMA1/COX15/BDH1/MRPS17/MRPL49/MRPL16/NDUFB3/NDUFA5/COX5A/CHCHD3/MRPS18C/NDUFA4/TIMM17B/SLC25A15/DMAC2/LDHD/NDUFS7/SLC25A4/MRPL36/TMEM126B/NDUFC2/NDUFAB1/MRPL2/ECSIT/SIRT4/SCO1/NDUFB6/TIMM23/MRPL3/OPA1/NDUFA6/SLC25A53/MRPL38/MRPS7/NDUFS1/MRS2/CKMT2/TIMMDC1/PINK1/STOML2/NDUFAF1/GHITM/L2HGDH/NDUFAF6/MRPL4/TIMM17A/UQCRC1/MRPL19/PMPCB/TMEM126A/COQ3/TIMM44/PPIF/ATP5F1A/CYCS/UQCRH/ATP5F1C/ATP5PO/MRPS11/SLC25A19/TIMM22/PTCD3/COX8A/CYC1/GRPEL1/STMP1/NNT/MTX2/PHB2/AIFM1/HSPA9/CLPX/SLC25A48/COA1/MRPL27/FECH/MICU2/MRPL39/TIMM21/SLC25A51/DNAJC11/APOO/LDHB/CHDH/MRPL10/SLC25A38/FOXRED1/GUF1/MRPS31/CRAT/MRPL58/COX16/ABCB8/NDUFA10/NME6/DMAC1/MRPL15/MRPS27/MRPS33/BCS1L/SDHB/ATP5MC1/MRPS28/GCAT/SAMM50/UQCRHL/MRPL1/UQCRC2/DMAC2L/HCCS/MRPL44/NDUFA9/MRPL13/SMIM20/TMEM242/NDUFB5/MRPL48/IMMT/TRAP1/MRPS35/SDHD/APOOL/UQCC1/TMEM70/ATP5F1B/NOA1/ATP5MC3/TMEM177/MRPS16/NDUFV1/COQ9/TIMM8A/ALAS1/MRPS5/MRPS14/MRPS10/MRPL37/MRPS30/MRPL35/MAIP1/MRPS22/MRPL30/TMEM186/ATP5PB/NDUFS4/UQCRFS1/SLC25A3/SDHC/MRPS9/OXA1L/ERAL1/DAP3/ABCB7/MICU1/NDUFS2/COX10/MRPL46/MRPL45/MRPS18B/COQ2/MRPL9/COQ5
CC	GO:0000313	organellar ribosome	88	-0.755807999120888	-3.83597026768167	1e-10	3.34978902953587e-09	2.04663557628248e-09	3965	tags=83%, list=16%, signal=70%	NDUFA7/AURKAIP1/MRPL21/MRPL20/MRPL28/MRPL18/MRPL40/MRPS34/MRPS25/MRPL32/MRPS15/MPV17L2/MRPL43/NSUN4/MRPL11/MRPL57/MRPS23/MRPS6/CHCHD1/MRPL34/MRPL33/MRPL12/MRPS2/MRPL22/MRPL50/MRPL51/MRPS24/MRPS18A/MRPS12/MRPL24/MRPL47/MRPS17/MRPL49/MRPL16/MRPS18C/MRPL36/MRPL2/MRPL3/MRPL38/MRPS7/MRPL4/MRPL19/MRPS11/PTCD3/MRPL27/MRPL39/MRPL10/MRPS31/MRPL58/MRPL15/MRPS27/MRPS33/MRPS28/MRPL1/MRPL44/MRPL13/MRPL48/MRPS35/MRPS16/MRPS5/MRPS14/MRPS10/MRPL37/MRPS30/MRPL35/MRPS22/MRPL30/MRPS9/DAP3/MRPL46/MRPL45/MRPS18B/MRPL9
BP	GO:0033108	mitochondrial respiratory chain complex assembly	93	-0.734529192154868	-3.79061968902177	1e-10	3.34978902953587e-09	2.04663557628248e-09	3448	tags=72%, list=14%, signal=62%	COA5/NDUFB11/NDUFC1/CHCHD4/NDUFS5/NDUFA13/NDUFB10/NDUFA1/NDUFB8/NDUFB4/ACAD9/COA4/COX18/IMMP2L/NDUFA12/SDHAF4/COX17/NDUFA8/TMEM223/NDUFB2/NDUFB9/NDUFAF5/COA3/LYRM2/NDUFAF4/NDUFS3/OMA1/NDUFB3/NDUFA5/NUBPL/DMAC2/NDUFS7/TMEM126B/NDUFC2/NDUFAB1/ECSIT/SCO1/NDUFB6/NDUFA6/NDUFS1/NDUFAF1/NDUFAF6/LYRM7/TMEM126A/STMP1/AIFM1/SDHAF3/COA1/TIMM21/FOXRED1/COX16/NDUFA10/CHCHD7/DMAC1/BCS1L/SAMM50/TACO1/NDUFA9/SMIM20/NDUFB5/NDUFAF7/UQCC1/TMEM186/NDUFS4/UQCRFS1/OXA1L/NDUFS2
CC	GO:0098800	inner mitochondrial membrane protein complex	145	-0.675507400731778	-3.71744259587446	1e-10	3.34978902953587e-09	2.04663557628248e-09	5301	tags=80%, list=21%, signal=63%	CHCHD10/MICOS13/UQCR11/COX5B/NDUFA7/TIMM10/ATP5ME/UQCRQ/SPG7/IMMP1L/CHCHD6/UQCR10/ATP5F1E/NDUFS8/TIMM23B/UQCRFS1P1/ATP5MK/MICOS10/NDUFB11/NDUFC1/ATP5MG/NDUFS6/NDUFS5/NDUFA13/NDUFB10/NDUFA1/NDUFB8/MPC2/COX7A2/UQCRB/NDUFB4/MTX3/MCU/COX7C/ATP5PD/AGK/COX4I1/NDUFV3/DNAJC19/IMMP2L/NDUFA12/COX7B/ATP5MJ/ATP5MF/AFG3L2/NDUFA8/COX6B1/ATP5MC2/MPC1/TIMM50/NDUFB2/NDUFB9/ATP5PF/SDHA/SMDT1/DNAJC15/COX7A2L/NDUFV2/NDUFS3/NDUFB3/NDUFA5/COX5A/CHCHD3/NDUFA4/TIMM17B/DMAC2/NDUFS7/NDUFC2/NDUFAB1/NDUFB6/TIMM23/NDUFA6/NDUFS1/NDUFAF1/TIMM17A/UQCRC1/TIMM44/PPIF/ATP5F1A/UQCRH/ATP5F1C/ATP5PO/TIMM22/COX8A/CYC1/GRPEL1/MTX2/PHB2/HSPA9/MICU2/TIMM21/DNAJC11/APOO/FOXRED1/NDUFA10/DMAC1/BCS1L/SDHB/ATP5MC1/SAMM50/UQCRHL/UQCRC2/NDUFA9/NDUFB5/IMMT/SDHD/APOOL/ATP5F1B/ATP5MC3/NDUFV1/ATP5PB/NDUFS4/UQCRFS1/SDHC/MICU1/NDUFS2
BP	GO:0009060	aerobic respiration	180	-0.646543870747555	-3.69094362221488	1e-10	3.34978902953587e-09	2.04663557628248e-09	3366	tags=63%, list=14%, signal=55%	NDUFB11/MTFR1L/HIF1A/NDUFC1/ATP5MG/NDUFS6/NDUFS5/NDUFA13/NDUFB10/NDUFA1/BNIP3/CAT/NDUFB8/ABCD1/COX7A2/UQCRB/NDUFB4/COX7C/ATP5PD/COX4I1/NDUFV3/ISCU/NDUFA12/COX7B/FXN/MDH1B/ATP5MF/DLAT/NDUFA8/COX6B1/IDE/PARK7/NDUFB2/NDUFB9/ACO2/ATP5PF/IDH3A/DHTKD1/SDHA/SLC25A23/DNAJC15/COX7A2L/DNAJC30/NDUFV2/NDUFS3/NIPSNAP2/COX15/IDH1/VCP/NDUFB3/NDUFA5/COX5A/NDUFA4/SIRT3/NDUFS7/NDUFC2/NDUFAB1/OGDH/NDUFB6/NDUFA6/NDUFS1/MDH1/PINK1/STOML2/COA6/NDUFAF1/GHITM/UQCRC1/PPIF/ATP5F1A/CYCS/UQCRH/ATP5F1C/ATP5PO/IDH3G/PDHA1/COX8A/CYC1/NNT/MFN2/FH/SLC25A51/ACO1/CHCHD2/SUCLG2/NDUFA10/SDHB/PDHB/ADSL/SUCLA2/UQCRHL/UQCRC2/CS/NDUFA9/DLD/SUCLG1/NDUFB5/SDHD/IDH2/ATP5F1B/NDUFV1/MDH2/COQ9/ATP5PB/NDUFS4/UQCRFS1/DLST/SDHC/OXA1L/TEFM/AFG1L/NDUFS2/COX10/IDH3B
BP	GO:0015986	proton motive force-driven ATP synthesis	66	-0.752428241559118	-3.62495206518878	1e-10	3.34978902953587e-09	2.04663557628248e-09	4257	tags=82%, list=17%, signal=68%	ATP5F1E/ATP6V0C/NDUFS8/ATPSCKMT/ATP5MK/NDUFB11/NDUFC1/ATP5MG/NDUFS6/NDUFS5/NDUFA13/NDUFB10/NDUFA1/NDUFB8/NDUFB4/ATP5PD/NDUFV3/NDUFA12/ATP5MJ/ATP5MF/NDUFA8/ATP5MC2/NDUFB2/NDUFB9/ATP5PF/SDHA/DNAJC30/NDUFV2/NDUFS3/NDUFB3/NDUFA5/NDUFS7/NDUFC2/NDUFAB1/NDUFB6/NDUFA6/NDUFS1/STOML2/ATP5F1A/ATP5F1C/ATP5PO/NDUFA10/SDHB/ATP5MC1/NDUFA9/NDUFB5/SDHD/ATP5F1B/ATP5MC3/NDUFV1/ATP5PB/NDUFS4/SDHC/NDUFS2
BP	GO:0019646	aerobic electron transport chain	79	-0.718486513216889	-3.57951075584526	1e-10	3.34978902953587e-09	2.04663557628248e-09	3267	tags=73%, list=13%, signal=64%	NDUFC1/NDUFS6/NDUFS5/NDUFB10/NDUFA1/NDUFB8/COX7A2/UQCRB/NDUFB4/COX7C/COX4I1/NDUFV3/ISCU/COX7B/NDUFA8/COX6B1/PARK7/NDUFB2/NDUFB9/SDHA/DNAJC15/COX7A2L/NDUFV2/NDUFS3/COX15/NDUFB3/NDUFA5/COX5A/NDUFA4/NDUFS7/NDUFC2/NDUFAB1/NDUFB6/NDUFA6/NDUFS1/PINK1/NDUFAF1/UQCRC1/CYCS/UQCRH/COX8A/CYC1/SLC25A51/NDUFA10/SDHB/UQCRHL/UQCRC2/NDUFA9/DLD/NDUFB5/SDHD/NDUFV1/COQ9/NDUFS4/UQCRFS1/SDHC/AFG1L/NDUFS2
