representative	grouped_terms	genes
respirasome	respirasome;mitochondrial respirasome;respiratory chain complex	NDUFAF1;DMAC2;UQCR10;NDUFA5;SDHA;UQCRH;C2orf69;NDUFA12;SURF1;HIGD1A;COX6C;NDUFC1;NDUFA10;NDUFA8;NDUFS5;NDUFB1;UQCRC2;NDUFA6;NDUFA2;NDUFB11;COX7A2;NDUFA1;NDUFAB1;NDUFS2;NDUFA4;SDHD;NDUFA9;COX7A2L;COA6;COX6A2;NDUFA13;NDUFS3;UQCR11;SDHC;UQCC3;NDUFA11;CYCS;STMP1;COX5B;BCS1L;COX7A1;COX7C;UQCRB;NDUFB5;SDHB;NDUFB9;UQCRC1;NDUFV1;NDUFA3;UQCRFS1;NDUFB7;COX7B;NDUFS6;NDUFB4;COX5A;NDUFA7;NDUFS8;NDUFB10;COX4I1;NDUFB3;NDUFV3;COX8A;COX6B1;NDUFB8;NDUFB6;NDUFS7;DMAC1;NDUFV2;FOXRED1;NDUFB2;NDUFS4;CYC1;NDUFC2;HIGD2A
proton motive force-driven ATP synthesis	proton motive force-driven ATP synthesis;proton motive force-driven mitochondrial ATP synthesis;ATP biosynthetic process;purine nucleoside triphosphate biosynthetic process;purine ribonucleoside triphosphate biosynthetic process;ribonucleoside triphosphate biosynthetic process;nucleoside triphosphate biosynthetic process	NDUFA5;SDHA;ATP5F1A;NDUFA12;NDUFC1;NDUFA10;NDUFA8;NDUFS5;ATP5F1EP2;NDUFB1;NDUFA6;NDUFA2;NDUFB11;ATP5F1B;NDUFA1;ATP5F1E;DNAJC30;NDUFAB1;NDUFS2;SDHD;ATP5MF;ATP5F1D;NDUFA9;NDUFA13;NDUFS3;ATP5PD;SDHC;ATP5MG;NDUFA11;ATP5PB;ATP5PF;ATP5F1C;NDUFB5;SDHB;NDUFB9;NDUFV1;NDUFA3;NDUFB7;NDUFS6;ATP5MJ;NDUFB4;NDUFA7;NDUFS8;NDUFB10;ATP5MK;NDUFB3;ATP5ME;NDUFV3;NDUFB8;NDUFB6;NDUFS7;NDUFV2;NDUFB2;ATP5MC3;NDUFS4;ATP5MC2;NDUFC2;ATP5PO;ATP5MC1;ALDOA;UQCC3;DMAC2L;IMPDH2;NME5;ADK;AK1
organellar ribosome	organellar ribosome;mitochondrial ribosome	MRPS6;PTCD3;MRPS5;MRPL32;MRPL18;MRPL55;MRPS27;MRPL34;MRPS18A;MRPL50;GADD45GIP1;MRPL49;MRPL19;MRPS34;NSUN4;CHCHD1;MRPL41;MRPL16;MRPS31;MRPL36;MRPL11;MRPL46;MRPL44;MRPL35;MRPL54;MRPL47;MRPL20;MRPL28;MRPL13;MRPS18C;MRPS7;MRPL22;MRPL3;MRPL45;MRPL51;MRPS16;MRPS17;MRPS18B;MRPS12;MRPS22;MRPS10;MRPL30;MRPL15;MRPS2;MRPL2;MRPL38;MRPL21;MRPS35;MRPL39;MRPS30;MRPS9;MRPL58;MRPL27;MRPS33;MRPL12;MRPL37;MRPS28;MRPL10;MRPL1;MTG1;AURKAIP1;MRPL40;DAP3;NDUFA7;MRPL57;MRPS15;MRPL24;MRPL4;MRPS14;MRPS24;MRPL48;MRPL9;MRPL43
aerobic electron transport chain	aerobic electron transport chain;ATP synthesis coupled electron transport;mitochondrial ATP synthesis coupled electron transport;respiratory electron transport chain	NDUFAF1;UQCR10;NDUFA5;DNAJC15;SDHA;UQCRH;SLC25A51;PARK7;COX6C;NDUFC1;AFG1L;NDUFA10;NDUFA8;NDUFS5;NDUFB1;UQCRC2;NDUFA6;NDUFA2;COX7A2;NDUFA1;NDUFAB1;NDUFS2;NDUFA4;SDHD;NDUFA9;COX7A2L;COX6A2;NDUFS3;UQCR11;SDHC;UQCC3;CYCS;COX5B;COX7A1;COX7C;UQCRB;NDUFB5;SDHB;NDUFB9;UQCRC1;NDUFV1;NDUFA3;UQCRFS1;NDUFB7;COX7B;NDUFS6;NDUFB4;COX5A;NDUFA7;NDUFS8;NDUFB10;COX4I1;NDUFB3;NDUFV3;COX8A;COQ9;COX6B1;NDUFB8;NDUFB6;NDUFS7;NDUFV2;NDUFB2;NDUFS4;CYC1;NDUFC2;NDUFS1;UQCRFS1P1;UQCRQ;DLD;ISCU;GHITM;UQCRHL;NDUFA12;COA6;CHCHD2;ETFRF1;ETFB;IMMP2L
ribosomal subunit	ribosomal subunit;structural constituent of ribosome;ribosome	RPL32;RPL17;RPL13A;RPL38;RPL26L1;RPS7;RPS3;RPL7L1;RPS15A;MRPS6;PTCD3;MRPS5;RPLP2;MRPL32;RPS28;RPL14;RSL1D1;RPS20;RPS21;MRPL18;RPS11;RPL24;RPS16;IMP3;RPL39L;MRPL55;NHP2;MRPS27;MRPL34;RPL27;MRPS18A;RPL41;RACK1;MRPL50;RPL35A;RPL9;GADD45GIP1;RPL19;EIF2A;MRPL49;RPLP0P6;MRPL19;MRPS34;RPS24;NSUN4;CHCHD1;MRPL41;RPL29;MRPL16;RPS14;RPL10;RPL21;FAU;MRPS31;MRPL36;MRPL11;MRPL46;MRPL44;MRPL35;RPL31;MRPL54;MRPL47;RPL15;MRPL20;MRPL28;MRPL13;MRPS18C;MRPS7;MRPL22;MRPL3;RPL37A;RPS2;MRPL45;MRPL51;RPL7A;MRPS16;RPL23;MRPS17;MRPS18B;MRPS12;MRPS22;MRPS10;MRPL30;MRPL15;MRPS2;MRPL2;MRPL38;RPL3L;MRPL21;MRPS35;MRPL39;MRPS30;MRPS9;MRPL58;RPS3A;MRPL27;MRPS33;MRPL12;MRPL37;RPL6;MRPS28;MRPL10;MRPL1;RPS4X;AURKAIP1;MRPL40;RPL30;RPL23A;RPS25;SNU13;DAP3;RPL26;EIF2D;RPS23;MRPL57;RPL4;MRPS15;RPL7;NPM1;MRPL24;RPS13;MRPL4;RPL22;MRPS14;RPL8;MRPS24;RPL5;MRPL48;MRPL9;MRPL43;RSL24D1;NDUFA7;ABCE1;HBS1L;FXR1;RNF10;MTG1;EEF2;MT3
mitochondrial respiratory chain complex I	mitochondrial respiratory chain complex I;NADH dehydrogenase complex;respiratory chain complex I;NADH dehydrogenase (ubiquinone) activity;NADH dehydrogenase (quinone) activity;NADH dehydrogenase activity;mitochondrial electron transport, NADH to ubiquinone;oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor;NAD(P)H dehydrogenase (quinone) activity;oxidoreductase activity, acting on NAD(P)H	NDUFAF1;DMAC2;NDUFA5;NDUFA12;NDUFC1;NDUFA10;NDUFA8;NDUFS5;NDUFB1;NDUFA6;NDUFA2;NDUFB11;NDUFA1;NDUFAB1;NDUFS2;NDUFA4;NDUFA9;NDUFA13;NDUFS3;NDUFA11;NDUFB5;NDUFB9;NDUFV1;NDUFA3;NDUFB7;NDUFS6;NDUFB4;NDUFA7;NDUFS8;NDUFB10;NDUFB3;NDUFV3;NDUFB8;NDUFB6;NDUFS7;DMAC1;NDUFV2;FOXRED1;NDUFB2;NDUFS4;NDUFC2;DNAJC15;PARK7;COQ9;CRYZ;TP53I3;DHRS4;DCXR;CYB5R1;RNLS;DUOX2
mitochondrial translation	mitochondrial translation;mitochondrial gene expression	TRUB2;MRPS6;PTCD3;FASTKD3;RMND1;MTRF1L;MRPS5;MRPL32;GATB;TRMT10C;MRPL18;MRPL55;MRPS27;MRPL34;MRPS18A;MRPL50;RPUSD3;C1QBP;EARS2;GADD45GIP1;MALSU1;LARS2;TARS2;MRPL49;MRPL19;MRPS34;CHCHD1;MRPL41;MRPL16;MRPS31;MRPL36;MRPL11;MRPL46;MRPL44;MRPL35;RCC1L;MRPL54;MRPL47;MRPL20;MRPL28;MRPL13;MRPS18C;MRPS7;MRPL22;MTIF3;MRPL3;MRPL45;MRPL51;MRPS16;MRPS17;TUFM;MRPS18B;MRPS12;YARS2;MRPS22;MRPS10;MRPL30;MRPL15;MRPS2;MRPL2;TACO1;MRPL38;MRPL21;MRPS35;MRPL39;MRPS30;MRPS9;SARS2;MRPL58;MRPL27;MRPS33;MRPL12;AARS2;MRPL37;MRPS28;MRPL10;MRPL1;MTG1;AURKAIP1;MRPL40;UQCC2;DAP3;NDUFA7;MRPL57;MRPS15;MRPL24;MRPL4;COA3;MRPS14;MRPS24;WARS2;MRPL48;MRPL9;MRPL43;TBRG4;MTERF1;FASTKD1;TFAM;HSD17B10;MTRES1;CHCHD10;FASTK;TFB1M;TEFM
NADH dehydrogenase complex assembly	NADH dehydrogenase complex assembly;mitochondrial respiratory chain complex I assembly	NDUFAF2;TIMM21;NDUFS1;TMEM186;NDUFAF6;NDUFAF4;NDUFAF1;DMAC2;NDUFAF7;NDUFA5;NDUFA12;NDUFC1;NDUFA10;NDUFAF3;NDUFA8;NDUFS5;COA1;NDUFB1;NDUFA6;NDUFA2;NDUFB11;NDUFA1;ECSIT;ACAD9;NDUFAB1;NDUFS2;NDUFA9;NDUFA13;NDUFS3;NDUFA11;BCS1L;NDUFB5;NDUFB9;NDUFA3;NDUFB7;NDUFB4;NDUFS8;NDUFB10;NDUFB3;TMEM126B;NDUFB8;NDUFB6;NDUFS7;DMAC1;FOXRED1;NDUFB2;OXA1L;NDUFS4;NDUFC2;TMEM126A
organellar large ribosomal subunit	organellar large ribosomal subunit;mitochondrial large ribosomal subunit	MRPL32;MRPL18;MRPL55;MRPL34;MRPS18A;MRPL50;GADD45GIP1;MRPL49;MRPL19;NSUN4;MRPL41;MRPL16;MRPL36;MRPL11;MRPL46;MRPL44;MRPL35;MRPL54;MRPL47;MRPL20;MRPL28;MRPL13;MRPL22;MRPL3;MRPL45;MRPL51;MRPL30;MRPL15;MRPL2;MRPL38;MRPL21;MRPL39;MRPS30;MRPL58;MRPL27;MRPL12;MRPL37;MRPL10;MRPL1;MRPL40;MRPL57;MRPL24;MRPL4;MRPL48;MRPL9;MRPL43
aerobic respiration	aerobic respiration;cellular respiration;energy derivation by oxidation of organic compounds	DLD;HIF1A;ISCU;MFN2;FXN;PDHA1;NDP;GHITM;UQCRHL;SUCLA2;OGDH;ME3;NDUFAF1;UQCR10;CS;NDUFA5;DNAJC15;SDHA;UQCRH;C2orf69;SLC25A51;PARK7;PPIF;ATP5F1A;NDUFA12;SURF1;COX6C;NDUFC1;ADSL;AFG1L;NDUFA10;SIRT3;DLST;NDUFA8;NIPSNAP2;NDUFS5;MDH1;SUCLG2;FH;PDHB;ATP5F1EP2;NDUFB1;UQCRC2;NDUFA6;NDUFA2;NDUFB11;COX7A2;ATP5F1B;NDUFA1;ATP5F1E;DNAJC30;NDUFAB1;NDUFS2;NDUFA4;CHCHD10;SDHD;ATP5MF;ATP5F1D;NDUFA9;ARL2;COX7A2L;COA6;COX6A2;NDUFA13;NDUFS3;UQCR11;ATP5PD;SDHC;ATP5MG;UQCC3;NDUFA11;CYCS;COX5B;SUCLG1;ATP5PB;COX7A1;ATP5PF;ATP5F1C;COX7C;UQCRB;NDUFB5;SDHB;NDUFB9;UQCRC1;IDH3G;NDUFV1;NDUFA3;COX10;UQCRFS1;NDUFB7;COX7B;NDUFS6;CHCHD2;UQCC2;NDUFB4;COX5A;NDUFA7;NDUFS8;NDUFB10;TEFM;COX4I1;NDUFB3;ATP5ME;NDUFV3;COX8A;COQ9;COX6B1;NDUFB8;NDUFB6;NDUFS7;NDUFV2;MDH2;NDUFB2;IDH2;OXA1L;IDH3B;NDUFS4;CYC1;NDUFC2;MDH1B;ATP5PO;CISD1;OPN3;LYRM7;ETFRF1;ETFB;TRAP1;SDHAF4;CHCHD5;MTLN;IMMP2L;NR4A3;STOML2;PPP1R3C;PID1;NDUFS1;UQCRFS1P1;UQCRQ;PHLDA2;PYGM;GYS2;NHLRC1;PFKM;PHKA1;PPP1CC;GYS1;PGM2;UGP2;IRS1;AKT2;EPM2AIP1;MT3;GBE1;GAA
