ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
MF	GO:0140662	ATP-dependent protein folding chaperone	36	-0.8301113720437	-2.84191573966008	1e-10	3.9695e-07	3.61631578947368e-07	1668	tags=67%, list=7%, signal=62%	TCP1/CCT5/HSP90B2P/CCT6A/HSP90AB1/HSPA4/HSP90AB2P/CCT2/HSPA1B/HSPA1A/CCT3/CCT4/HSP90AB3P/HSPA13/HYOU1/HSPD1/HSP90AA2P/HSP90AA1/HSPA5/HSP90B1/HSPH1/HSPA1L/HSPA4L/HSPA6
BP	GO:0006457	protein folding	203	-0.516322270729914	-2.3888363509954	1e-10	3.9695e-07	3.61631578947368e-07	4552	tags=42%, list=18%, signal=34%	TXNDC5/ENTPD5/WFS1/ALG12/CSNK2A1/BAG4/ERP29/FKBP11/CLGN/HSPA8/LMAN2L/NUDCD2/ATF6/RUVBL2/TAPBP/ANP32E/KHSRP/HSPB1/HYPK/SACS/DNAJC2/CCT8/FUT10/DNAJB6/PFDN4/UNC45B/DNAJA4/ENGASE/LMAN1/PDIA2/DNAJB4/BAG5/BAG2/PPID/P4HB/PPIG/TCP1/NUDC/CCT5/HSP90B2P/CCT6A/HSP90AB1/HSPA4/HSP90AB2P/PDIA3/BAG3/ERO1B/UGGT1/CCT2/ST13/HSPA1B/HSPE1/HSPA1A/CCT3/CCT4/DFFA/NPPB/HSP90AB3P/CANX/HSPA13/DNAJC25/AHSA1/APCS/DNAJB1/PDIA6/DNAJB11/CALR/DNAJB2/DNAJC3/HYOU1/HSPD1/SDF2L1/HSP90AA2P/DNAJA1/PTGES3/HSP90AA1/HSPA5/HSP90B1/HSPH1/CHORDC1/PDIA4/FKBP4/HSPA1L/HSPA4L/HSPA6
MF	GO:0044183	protein folding chaperone	63	-0.664488603116473	-2.55747652784768	1.00535554116743e-09	1.43643198681496e-06	1.30862619333014e-06	3857	tags=59%, list=16%, signal=50%	CLGN/HSPA8/TAPBP/ANP32E/KHSRP/HSPB1/HYPK/CCT8/DNAJB6/TCP1/CCT5/HSP90B2P/CCT6A/HSP90AB1/HSPA4/HSP90AB2P/CCT2/HSPA1B/HSPE1/HSPA1A/CCT3/CCT4/DFFA/HSP90AB3P/HSPA13/DNAJB1/CALR/HYOU1/HSPD1/HSP90AA2P/HSP90AA1/HSPA5/HSP90B1/HSPH1/HSPA1L/HSPA4L/HSPA6
BP	GO:0045814	negative regulation of gene expression, epigenetic	122	-0.567290407374353	-2.45358059396472	8.31663120807206e-10	1.43643198681496e-06	1.30862619333014e-06	4166	tags=37%, list=17%, signal=31%	L3MBTL1/DYRK1A/SIRT7/TASOR2/CTR9/UBR5/EZH2/CTCF/SIRT1/RB1/RBM15B/TRIM27/PCGF5/HMGA2/CHEK1/CDYL/TPR/SMCHD1/RIF1/HNRNPU/SUV39H2/HDAC2/ZNF445/HAT1/RLIM/SUZ12/PIWIL1/KMT2A/LHX2/POLE3/UBR2/ATF7IP2/DNMT3A/CBX3/ATRX/ATF7IP/MPHOSPH8/H1-0/LRIF1/MACROH2A1/YTHDC1/HDAC9/BMI1/UHRF1/XIST
MF	GO:0042393	histone binding	233	-0.464263561290178	-2.18068503885063	7.2313483625021e-10	1.43643198681496e-06	1.30862619333014e-06	7219	tags=50%, list=29%, signal=36%	USP15/HDAC4/MLLT1/BAZ2A/CKS2/SSRP1/MBTD1/BRD7/WDR5/ASF1A/MORC4/COPRS/ATAD2/SCML4/TAF1/YEATS4/CBX6/SMARCA2/CHD2/SART3/MCM3AP/NPM1/BRD3/SPTY2D1/PRKCB/CDYL2/SBNO2/MSL3/BRD4/TBL1X/KDM5A/MLLT10/DNAJC9/ZZZ3/SPIN2B/STAT1/SAP30L/TRIM24/SETD5/ZMYND11/NCAPG2/ASF1B/CBX5/SFMBT1/L3MBTL1/RBBP4/MYSM1/CBX1/RNF20/CHD6/ANP32A/CHD7/IPO9/WRAP53/RSF1/TP53BP1/ANP32E/KDM4A/SIRT1/DNAJC2/SPHK2/IPO7/AASS/BAZ1B/MCM2/RBBP5/PHC1/TSPYL2/TSPYL1/SET/PYGO1/CDYL/KDM4C/TSPYL5/MORC3/FAM156A/WDR5B/HDAC2/FAM156B/PWWP2A/HAT1/PRMT6/TNKS/LRWD1/SUZ12/KMT2A/PHC3/NAP1L2/BPTF/SMARCC1/DEK/FMR1/RCC1/CBX3/KMT2C/ATRX/MPHOSPH8/PHIP/KDM1B/CHAF1B/SBNO1/USP51/ZMYND8/CHD5/MSH6/PHF6/TSPYL6/RNF168/TBL1XR1/SPIN1/L3MBTL4/SFMBT2/TSPYL4/RNF169/NAP1L3/SNCA/UHRF1
BP	GO:0034976	response to endoplasmic reticulum stress	256	-0.45872436270959	-2.16798951435907	1.08560170309734e-09	1.43643198681496e-06	1.30862619333014e-06	5273	tags=38%, list=21%, signal=30%	EIF2B5/AUP1/RASGRF1/CCDC47/NUPR1/DNAJC10/OPA1/TMX1/ERLIN2/ANKZF1/RNFT1/WFS1/LPCAT3/EIF2S1/AFF4/SERP1/DDRGK1/SRPX/TMCO1/SVIP/ERP29/MAN1A2/ERMP1/UFM1/TRIM13/TARDBP/CLGN/NCCRP1/EDEM1/UBQLN1/ATP2A2/VAPB/TMEM117/YOD1/ATF6/DERL2/SIRT1/MARCHF6/FAM8A1/FICD/RNF121/GORASP2/TBL2/PPP1R15B/TMEM33/UBXN4/PIK3R1/SELENOS/DERL3/TRIB3/PPP2CB/MBTPS2/OS9/GSK3B/SYVN1/PDIA2/TMTC3/SEL1L2/UBQLN2/CERT1/P4HB/EIF2AK2/UBE4A/DNAJB9/TMED2/JKAMP/ALOX15/PDIA3/UFL1/SEL1L/UGGT1/EDEM3/DERL1/HSPA1A/STT3B/CANX/TRIM25/XBP1/PDIA6/CALR/DNAJB2/DNAJC3/HYOU1/HERPUD1/SDF2L1/BHLHA15/DDIT3/HSPA5/TRAF2/HSP90B1/MANF/AGR2/PDIA4/DDX3X/SESN2/CHAC1
BP	GO:0006986	response to unfolded protein	132	-0.550237090548656	-2.41455659773317	1.52923986123103e-09	1.7343764654733e-06	1.5800612160178e-06	4479	tags=44%, list=18%, signal=36%	WFS1/EIF2S1/SERP1/DDRGK1/ERMP1/EDEM1/HSPA8/VAPB/YOD1/CREBRF/ATF6/DERL2/HSPB1/FICD/TBL2/PPP1R15B/TMEM33/UBXN4/PIK3R1/SELENOS/DERL3/MBTPS2/OS9/PACRG/DNAJB4/ABCB10/EIF2AK2/DNAJB9/TMED2/HSP90AB1/JKAMP/HSPA4/UFL1/BAG3/HSPE1/EDEM3/DERL1/HSPA1A/STT3B/XBP1/DNAJB1/DNAJB2/DNAJC3/HSPD1/HERPUD1/SERPINH1/BHLHA15/DNAJA1/DDIT3/HSP90AA1/HSPA5/HSPH1/MANF/AGR2/HSPA1L/HSPA4L/HSPA6/CHAC1
BP	GO:0040029	epigenetic regulation of gene expression	192	-0.475553600811584	-2.17615852706978	3.26381638740192e-08	3.14228521471936e-05	2.86270201209707e-05	4587	tags=34%, list=19%, signal=28%	KAT7/ZDBF2/ARID4B/SPI1/L3MBTL1/ARID1A/DYRK1A/SIRT7/TASOR2/CTR9/UBR5/DIRAS3/EZH2/CTCF/SIRT1/RB1/SPHK2/RBM15B/ATF2/RBBP5/TRIM27/MYOCD/PCGF5/HMGA2/CHEK1/CDYL/TPR/SMCHD1/ARID4A/RIF1/HNRNPU/SUV39H2/HDAC2/ZNF445/HAT1/RLIM/RNF2/H3C10/TET3/SUZ12/PIWIL1/KMT2A/LHX2/POLE3/HIPK2/UBR2/ATF7IP2/PIK3CA/DNMT3A/CBX3/ATRX/ATF7IP/MPHOSPH8/H1-0/KDM1B/LRIF1/CGGBP1/ARID1B/MACROH2A1/YTHDC1/RNF168/HDAC9/BMI1/UHRF1/XIST
CC	GO:0098687	chromosomal region	374	-0.400935447057558	-1.97308864551422	4.38020063013151e-08	3.4774412802614e-05	3.16803773996143e-05	6221	tags=41%, list=25%, signal=31%	NUP160/TFIP11/TERF2IP/SS18L1/ACTL6A/KNTC1/SLF2/CSNK1A1/TERF2/NUP133/THOC3/MCM7/ZBTB10/RAD17/SMARCB1/POT1/DYNC1LI1/GAR1/DHX36/IKZF1/NDC80/KANSL1/PHF10/MIS12/ZNF330/HELLS/MCM3/ORC1/SMARCE1/DCTN4/THOC2/ESCO2/RAD21/BUB3/ORC3/KAT7/SEC13/ERCC6L/PSEN1/FBXW11/SLF1/CENPM/HMBOX1/CENPQ/PAFAH1B1/CLASP1/CBX5/PPP2R5C/ZWINT/RBBP4/POLR2B/SPAG5/NCAPG/CBX1/LIG4/CHAMP1/OIP5/CHMP4C/CFDP1/CCNB1/DYNC1LI2/PBRM1/GATAD2B/NUDCD2/CENPL/WRAP53/DCTN5/CENPI/NUP107/CENPF/EZH2/GPATCH11/TP53BP1/CTCF/WRNIP1/HNRNPA2B1/KDM4A/MSH2/PPP1CA/SMG6/RAD50/ORC4/PPP1R12A/INCENP/STAG2/BAZ1B/MCM2/NBN/CDT1/TERF1/NSL1/CHEK1/FEN1/RAD51AP1/CENPK/PPP2CB/TPR/SMCHD1/KDM4C/PRKDC/SMC3/TTK/RIF1/HNRNPU/ARID2/CLASP2/DYNLL1/CDC20/SUV39H2/HDAC2/FBXO28/KNSTRN/NUP43/HAT1/TNKS/CENPU/PDS5B/PDS5A/LRWD1/DCLRE1B/BUB1/POLE3/H2BC11/MCM4/KIF18A/SYCP3/SMARCC1/SSB/STAG1/DNMT3A/FMR1/ERCC4/ZNF827/CBX3/SETX/SMC4/ATRX/CDC73/SGO2/BRCA2/APC/LRIF1/SPDL1/PHF6/MACROH2A1/ATM/PURA/TEX14/NLRP2/RANGAP1/PTGES3/SUGT1/XPO1/SMC1A
BP	GO:0007549	sex-chromosome dosage compensation	17	-0.841179079002612	-2.40112335526774	8.04596381642514e-08	5.61144622632535e-05	5.11217069909129e-05	2988	tags=65%, list=12%, signal=57%	RBM15B/PCGF5/CDYL/SMCHD1/HNRNPU/RLIM/SUZ12/LRIF1/MACROH2A1/YTHDC1/XIST
BP	GO:0006401	RNA catabolic process	279	-0.424893844205781	-2.02605777057695	8.48184339537778e-08	5.61144622632535e-05	5.11217069909129e-05	5230	tags=35%, list=21%, signal=28%	RBM24/SMG8/NAF1/NBDY/TUT4/EXOSC8/DDX49/RBM8A/RBM47/SAMD4A/YTHDF1/MTREX/SND1/FTO/BOLL/CNOT7/ZC3H12D/RNASE2/PPP1R8/DIS3/DHX9/EDC4/CNOT3/TAF15/ZSWIM8/AKT1/TARDBP/SMG7/THRAP3/METTL14/SYNCRIP/ROCK2/NOCT/FXR1/GIGYF2/PAN2/RBM33/MAGOHB/CACNG7/KHSRP/PUM1/YBX1/SMG6/PUM2/PRKCA/NUDT12/PCID2/MLH1/PDE12/DKC1/FEN1/CAPRIN1/XRN1/PHAX/AGO2/OIP5-AS1/HNRNPU/AGO3/QKI/NT5C3B/SERBP1/RC3H2/ZC3H14/YTHDF3/PATL1/ELAVL1/METTL16/CNOT10/CPEB3/TNRC6B/ROCK1/TENT5A/LARP1B/CNOT4/ZC3HAV1/YBX3/SSB/MAPK14/FMR1/PNLDC1/CNOT6/TENT5C/CELF1/HSPA1B/DCP1A/HSPA1A/NCBP1/IREB2/DHX34/ATM/PLEKHN1/AGO1/DNM3OS/SMG1/TRDMT1/TENT4B/TRAF2/DEDD2/XIST
BP	GO:0031507	heterochromatin formation	93	-0.579705909449595	-2.40927661335399	1.29522324903916e-07	7.90982874932453e-05	7.20605582522111e-05	4166	tags=35%, list=17%, signal=30%	L3MBTL1/DYRK1A/UBR5/EZH2/SIRT1/RB1/RBM15B/PCGF5/HMGA2/CDYL/TPR/SMCHD1/RIF1/HNRNPU/HDAC2/HAT1/RLIM/SUZ12/PIWIL1/KMT2A/POLE3/UBR2/ATF7IP2/DNMT3A/CBX3/ATRX/ATF7IP/MPHOSPH8/H1-0/LRIF1/YTHDC1/UHRF1/XIST
BP	GO:0051084	'de novo' post-translational protein folding	36	-0.706625417248838	-2.419157191377	2.06882399867403e-07	0.000111487449039253	0.000101567910892755	932	tags=39%, list=4%, signal=37%	UGGT1/CCT2/ST13/HSPA1B/HSPE1/HSPA1A/HSPA13/DNAJB1/SDF2L1/PTGES3/HSPA5/HSPH1/HSPA1L/HSPA6
MF	GO:0051082	unfolded protein binding	111	-0.55484455338956	-2.36245544010905	2.10645136111449e-07	0.000111487449039253	0.000101567910892755	3857	tags=43%, list=16%, signal=37%	CLGN/HSPA8/NUDCD2/RUVBL2/TAPBP/HSPB1/CCT8/DNAJB6/PFDN4/DNAJA4/CHAF1A/LMAN1/SYVN1/DNAJB4/TCP1/NUDC/CCT5/HSP90B2P/CCT6A/HSP90AB1/HSP90AB2P/ERO1B/UGGT1/CCT2/CHAF1B/HSPA1B/HSPE1/HSPA1A/CCT3/CCT4/HSP90AB3P/CANX/APCS/DNAJB1/DNAJB11/CALR/DNAJB2/HYOU1/HSPD1/SERPINH1/HSP90AA2P/DNAJA1/PTGES3/HSP90AA1/HSPA5/HSP90B1/HSPA1L/HSPA6
BP	GO:0070828	heterochromatin organization	113	-0.541358624390125	-2.31271930547652	3.47748169144409e-07	0.000172548294677341	0.000157195899354686	3234	tags=29%, list=13%, signal=26%	SIRT1/RB1/PCID2/RBM15B/H2AZ1/PCGF5/HMGA2/CDYL/TPR/SMCHD1/HP1BP3/RIF1/HNRNPU/HDAC2/HAT1/RLIM/SUZ12/PIWIL1/KMT2A/POLE3/UBR2/ATF7IP2/DNMT3A/CBX3/ATRX/ATF7IP/MPHOSPH8/H1-0/LRIF1/MACROH2A1/YTHDC1/UHRF1/XIST
