representative	grouped_terms	genes
cytosolic large ribosomal subunit	cytosolic large ribosomal subunit;large ribosomal subunit	SNU13;RPL36AL;RPL28;RPL12;RPL34;RPL35A;RPL22;RPL3;RPL18;RPL35;RPL24;RPL10A;RPL13;RPL27A;RPL13A;RPL39;RPL41;RPLP1;RPL9;RSL1D1;NHP2;RPL21;RPL11;RPL38;RPL31;RPL29;RPL37;RPL37A;RPL27;RPLP0P6;RPL10;RPL32;RPL19;RPLP2;RPL23;RPL26L1;RPL7L1;RPL36A;RPL18A;RPL30;RPL4;RPL14;RPL26;RPL17;RPL7;RPLP0;RPL7A;RPL6;RPL5;RPL15;RPL23A;RPL8;GADD45GIP1;MRPL48;MRPL2;MRPL42;MRPL18;MRPL3;NPM1;MRPL9
rRNA metabolic process	rRNA metabolic process;rRNA processing	TSR1;POLR2E;NOP14;IPPK;EXOSC4;NOP9;RRP36;POLR1B;MRM2;TRMT112;NOL10;GTF3C1;RRP15;TAF1B;GTF3C3;BMS1;SNU13;RPP30;DROSHA;PPAN;SPIN1;EXOSC8;EXOSC5;DIMT1;RIOK2;UTP3;RPL35A;KRR1;ZNHIT6;BRIX1;DDX27;FTSJ3;NAF1;RRP1;POP7;NOP56;MAK16;NOL6;UTP6;NAT10;POP4;FRG1;RPL35;FCF1;NOC4L;WBP11;IMP4;MARS1;RPS16;FBL;SRFBP1;WDR3;MTREX;EXOSC3;HEATR1;NOP58;UTP25;PWP1;PRKDC;POLR1G;MACROH2A1;NOP10;TBL3;DDX10;RPUSD1;EMG1;UTP4;RPL10A;EXOSC2;RPS15;RPF1;POLR1F;WDR46;NPM3;GAR1;SART1;WDR18;RRP12;UTP20;RSL1D1;DDX52;UTP14A;DDX18;RRS1;GTPBP4;RRP9;DDX49;NHP2;DDX54;RPS25;RPL11;NOL11;RRP1B;WDR74;PDCD11;DHX37;NCL;DCAF13;RPP40;RPS17;RPS8;BOP1;NOB1;BYSL;PES1;RPL27;WDR43;LYAR;TCOF1;NOL7;RPS14;DKC1;PA2G4;EXOSC9;RPS24;RPL7L1;EIF6;RPF2;ERI1;RPS21;NSUN5;RPS6;RPL14;SMARCA4;NVL;NIFK;RPL26;EBNA1BP2;MRTO4;RPL7;RPS7;RPL7A;POLR1E;RPL5
protein-RNA complex assembly	protein-RNA complex assembly;protein-RNA complex organization	YJU2;MRM2;CELF5;SF3A3;U2AF2;SNRPD2;ATR;EIF3L;DHX30;RAMAC;SNU13;EIF3M;ATM;GEMIN7;EIF3H;XRCC5;SF3A1;AGO1;PRPF8;EIF5;PPAN;CELF2;PRPF6;DHX29;STRAP;PHF5A;SRSF1;ZNHIT6;BRIX1;NAF1;SF3B4;GEMIN5;SCAF11;EIF3E;DDX46;SNRNP200;SRSF12;RUVBL1;TXNL4A;EIF2S2;SNRPB2;EIF3C;NOPCHAP1;PRMT5;SF3B2;PRKDC;DHX9;GEMIN6;EIF3B;NLE1;RPS15;PRPF19;SNRPB;LSM2;RPL13A;SART1;SNRPG;EIF3F;EIF3J;POLR2D;CDC73;TRAF7;RRS1;SNRPF;AGO2;RPL11;RPL38;SNRPD1;NUDT21;BOP1;EIF3D;RUVBL2;CELF1;RPS5;RPS14;RPLP0P6;SNRPGP15;RPL10;DENR;SNRPE;EIF6;RPF2;GEMIN2;SF3B3;RPSA;ZRSR2;EIF3I;SRPK2;RPLP0;RPL6;RPL5;RPL23A;EIF2S3;VCP;ZFAND1;FAF2
cytosolic ribosome	cytosolic ribosome;ribosome;ribosomal subunit;structural constituent of ribosome	RPL36AL;RPL28;RPS11;RPS10;NEMF;USP10;DHX29;RPL12;RPL34;RPL35A;RPL22;RPS26;ASCC3;RPL3;RPS29;RPL18;RPL35;RPS16;RPS27A;RPL24;RPL10A;RPS15;RPL13;RPL27A;GCN1;RPL13A;RPL39;RPS18;RPL41;RPS12;RPLP1;RPL9;RSL1D1;NHP2;RPS25;RPL21;RPL11;RPL38;RPL31;RPL29;RPL37;RPS15A;RPS17;RPS8;ABCE1;RPL37A;RPS13;RPL27;RPS5;RPS14;RPLP0P6;RPL10;RPL32;RPS3;RPL19;RPLP2;RPL23;RPS24;RPL26L1;RPL7L1;RPL36A;RPS21;RPL18A;RPS23;RPS6;RPL30;RPL4;RPL14;RPL26;RPSA;RPL17;RPS3A;DDX3X;RPL7;RACK1;RPLP0;RPS7;RPL7A;RPL6;ASCC2;RPL5;RPS2;RPL15;RPL23A;RPL8;RPS4X;GADD45GIP1;RPL22L1;MRPL48;RPL13AP3;MRPL2;SRP68;MRPS14;MRPS18C;MRPL42;SERP1;MRPL18;CALR;MRPL3;NPM1;EEF2;MRPL9;SRBD1
cell-substrate junction	cell-substrate junction;focal adhesion	ACTG1;PVR;ADAM9;CSPG4;ARF1;ITGB3;CD99L2;HSPA9;PPP1R12A;XIRP1;RHOA;CLTC;NRAP;YWHAB;PDIA3;VCL;ITGAV;ARPC5L;PI4KA;CAP1;RPS11;RDX;CDH2;RPS10;TADA1;ARHGAP24;CYFIP1;RAB21;HNRNPK;MDC1;RPL12;CHP1;FLII;FERMT2;CTNNA1;ITGB6;RPL22;ZYX;PPIB;ABCB4;TLN1;SDCBP;SRP68;TGM2;CAPN1;RPL3;COL17A1;RPS29;ZFYVE21;KRAS;RALA;DIXDC1;SLC4A2;SSH2;RPL18;TNC;FLNA;CBL;FHL2;ACTR2;RPS16;IQGAP1;HYOU1;PLEC;ACTR3;ACTB;ACTN1;P4HB;DOCK7;WASF1;ITGB8;ADGRE5;ILK;PDCD6IP;EZR;ATP6V0C;HSP90B1;CDC42;CALR;LIMD1;YWHAZ;SNAP23;RPL10A;RPS15;GDI2;PFN1;HSPA5;TLN2;YWHAQ;ARF6;EPPK1;RPL13A;RPS18;PHLDB2;LPP;LIMS1;RPLP1;RPL9;CAV1;SLC6A4;SYNPO2;HMGA1;CAV2;CFL1;ENAH;NPM1;MAPRE1;PPIA;ITGA5;SLC9A1;SCARB2;CD44;RPL38;RPL31;HSPG2;ITGB1;YWHAE;RPS17;RPS8;ALCAM;RSU1;RPL37A;RPS13;RPL27;FZD1;CNN1;FAT1;RPS5;RPS14;RPS3;RRAS2;RPL19;RPLP2;TES;MAP2K1;RPL23;MSN;ITGA3;HSPB1;L1CAM;FHL1;ANXA5;RPL30;RPL4;MPRIP;XIRP2;PAK4;RPS3A;MYH9;RPL7;RPLP0;RPS7;RPL7A;RPL6;MAP4K4;CORO1C;RPL5;RPS2;FLNC;RPL8;RPS4X
regulation of translation	regulation of translation;regulation of amide metabolic process	SAMD4A;PCIF1;SHMT1;EIF2AK3;EIF2B4;RPS9;DHX36;PDIK1L;PABPC1;ITGA2;CSNK2A1;ETF1;EIF3K;TRAP1;NANOS1;FOXO3;EIF4E2;BZW2;NCBP1;GUF1;SARNP;BZW1;RNF139;ALKBH5;ILF3;THBS1;IFRD2;GSPT1;MTOR;SECISBP2L;NOLC1;QKI;SAMD4B;CNOT1;METTL18;PUM1;EIF4G2;PRR16;APP;AGO3;SRP9;ATXN2;AKT1;HABP4;CAPRIN1;EIF5B;LSM14B;CNOT7;PKM;HNRNPU;EIF4G1;C1QBP;EIF2AK4;LARP1B;PUM3;LSM14A;CNOT10;NCBP2;EIF3H;AGO1;SARS1;EIF5;KLHL25;CYFIP1;DHX29;RPS6KA3;PRMT1;KBTBD8;RBM24;EPRS1;IGF2BP2;LARP6;GEMIN5;YBX3;RMND1;METAP1;EIF3E;MAGOH;ERBB2;EIF5AL1;AARS1;SYNCRIP;NAT10;SERP1;OGFOD1;CTIF;DAP;EIF3C;MAPKAPK5;PRKDC;DHX9;HNRNPD;STK35;DNAJC1;CALR;EIF3B;TMED2;LIMD1;ELP1;EIF2S1;TENT5B;KHDRBS1;GCN1;RPL13A;UHMK1;PPP1CA;SHMT2;MTPN;EEFSEC;NPM1;EIF4E;AGO2;ELAVL1;EIF4H;EEF2;NCL;RPL38;DAPK3;CNOT6;ABCE1;EIF3D;TCOF1;CELF1;SERBP1;RPS14;RPL10;RPS3;TRIM2;EIF5A;PURA;YBX1;PA2G4;SELENOT;HSPB1;EIF6;SSB;NSUN5;C6orf52;RPL26;DDX3X;RACK1;RBM8A;RPL5;RPS4X;SPON1;PDK1;SP1;RPTOR;PGAM1;ROCK2;GSK3A;ROCK1;CLU;SPHK1;SLC7A11;RTN3;PICALM;SCARB2;ORMDL2
nucleic acid transport	nucleic acid transport;RNA transport;establishment of RNA localization;mRNA transport	NUP58;NUP210;NCBP2;GLE1;PARP11;CETN3;DDX39A;SRSF1;IGF2BP2;THOC3;PHAX;MAGOH;NOL6;AGFG1;NUP155;NDC1;XPOT;SEH1L;NUP88;KPNB1;POM121;DHX9;MRPL18;BICD2;ZC3H11B;XPO5;CHTOP;KHDRBS1;HNRNPA1;NUP35;NUP93;NUP205;NUP160;RBM15B;KHSRP;NUP62;NUTF2;ALYREF;EIF4E;PCID2;THOC5;NXT2;SEC13;SMG1;RAE1;RAN;YBX1;XPO1;NUP188;SSB;MAGOHB;RBM8A;ARC;ATR;ATM;TERF1
nucleocytoplasmic transport	nucleocytoplasmic transport;nuclear transport	GLI3;XPO4;MAPK14;NUP58;SDAD1;NUP210;PHB2;APPL1;BARD1;NCBP2;ANP32B;AKIRIN2;GLE1;TARDBP;LTV1;NEMF;ANGPT1;XPO6;CHP1;DDX39A;ATXN1;RIOK2;ABRA;RANBP6;MED1;THOC3;PHAX;MAGOH;NOL6;AGFG1;NUP155;FLNA;IER3;PKD1;NDC1;XPOT;SEH1L;IPO8;GCKR;NUP88;RAB23;KPNB1;POM121;DHX9;FBXO22;EMD;CALR;ZC3H11B;ZIC1;RPS15;XPO7;XPO5;CHTOP;RANBP1;KHDRBS1;ZPR1;UHMK1;HNRNPA1;NUP35;NUP93;NUP205;TNPO1;NUP160;RBM15B;NUP62;IPO9;NPM1;NUTF2;ALYREF;ANP32A;EIF4E;RANGAP1;ELAVL1;PCID2;LEP;YWHAE;PTPN14;ABCE1;KCNQ3;THOC5;STK3;CSE1L;NXT2;SEC13;SMG1;RAE1;RAN;IPO4;XPO1;NUP188;RPL23;EIF6;SSB;IL1B;IPO5;MAGOHB;RBM8A
positive regulation of establishment of protein localization to telomere	positive regulation of establishment of protein localization to telomere;regulation of establishment of protein localization to telomere;positive regulation of protein localization to chromosome, telomeric region;regulation of establishment of protein localization to chromosome;protein localization to nuclear body;protein localization to Cajal body;regulation of protein localization to Cajal body;positive regulation of protein localization to Cajal body;protein localization to nucleoplasm;establishment of protein localization to telomere	CCT7;TCP1;CCT8;CCT6A;CCT3;DKC1;CCT5;CCT4;CCT2;WRAP53;GNL3L;TERF1
precatalytic spliceosome	precatalytic spliceosome;U2-type precatalytic spliceosome	IK;CWC27;SF3A3;SNRPD2;SNU13;SF3A1;DHX16;PRPF8;PRPF6;PHF5A;SF3B4;SNRNP200;EFTUD2;TXNL4A;ZMAT2;LSM5;SNRPB2;SF3B2;SNRPB;LSM2;SART1;SNRPG;LSM7;SNRPF;SNRPD1;PRPF4;SNRPGP15;SNRPE;SF3B3;MAGOHB
positive regulation of telomerase RNA localization to Cajal body	positive regulation of telomerase RNA localization to Cajal body;regulation of telomerase RNA localization to Cajal body;RNA localization to Cajal body;telomerase RNA localization to Cajal body;telomerase RNA localization;RNA localization to nucleus	NAF1;RUVBL1;NOP10;CCT7;TCP1;CCT8;CCT6A;NHP2;CCT3;RUVBL2;DKC1;CCT5;CCT4;CCT2;WRAP53
regulation of protein localization to chromosome, telomeric region	regulation of protein localization to chromosome, telomeric region;positive regulation of protein localization to chromosome, telomeric region;regulation of establishment of protein localization to chromosome;establishment of protein localization to telomere	TERF1;MACROH2A1;WRAP53;CCT7;TCP1;CCT8;CCT6A;CCT3;GNL3L;DKC1;CCT5;CCT4;CCT2
RNA splicing, via transesterification reactions	RNA splicing, via transesterification reactions;RNA splicing, via transesterification reactions with bulged adenosine as nucleophile;mRNA splicing, via spliceosome	QKI;SNRNP25;PQBP1;TRA2B;IK;CWC15;CWC27;EXOSC10;FRA10AC1;HNRNPM;DYRK1A;SNW1;YJU2;CELF5;SF3A3;DBR1;RBFOX2;HNRNPU;U2AF2;SNRPD2;C1QBP;PRPF40A;SNU13;GEMIN7;AQR;NCBP2;SF3A1;RBM19;DHX16;U2AF1;PRPF8;GPKOW;RALY;DHX38;CELF2;PRPF6;DCPS;HNRNPK;CDC5L;DDX39A;NSRP1;RBM24;STRAP;PHF5A;SRSF1;SCNM1;SON;SF3B4;RNPS1;GEMIN5;SCAF11;MAGOH;DDX46;SNRNP200;EFTUD2;SRSF12;TXNL4A;SYNCRIP;ZMAT2;FRG1;LSM5;SAP18;SNRPB2;SRRM1;RBMXL1;MTREX;RBM42;PRMT5;SNRNP27;SF3B2;DHX9;GEMIN6;RBPMS2;PRPF19;SNRPB;KHDRBS1;HNRNPUL1;LSM2;DAZAP1;SART1;SNRPG;HNRNPA1;LSM7;PLRG1;RBM15B;SNRPF;KHSRP;NPM1;NCL;SNRPD1;REST;HNRNPL;PRPF4;CELF1;SNRPGP15;SNRPE;GEMIN2;SF3B3;ZRSR2;MAGOHB;HNRNPR;SRPK2;RBM8A
spliceosomal snRNP complex	spliceosomal snRNP complex;Sm-like protein family complex;small nuclear ribonucleoprotein complex	SF3A3;SNRPD2;PRPF40A;SNU13;SF3A1;PRPF8;PRPF6;PHF5A;SF3B4;DDX46;SNRNP200;EFTUD2;TXNL4A;ZMAT2;LSM5;SNRPB2;RBM42;SNRNP27;SF3B2;SNRPB;LSM2;SART1;SNRPG;LSM7;SNRPF;SNRPD1;PRPF4;SNRPGP15;SNRPE;SF3B3;GEMIN7;STRAP;GEMIN5;LSM11;GEMIN6;GEMIN2
