ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0170035	L-amino acid catabolic process	25	0.701648889807275	2.21887996864206	3.36242612962684e-06	0.00217380849280375	0.00183163739166515	158	tags=40%, list=15%, signal=35%	SDSL/PRODH/AASS/ARG2/ALDH4A1/GPT2/GLS2/OAT/GLDC/DLST
BP	GO:0009065	glutamine family amino acid catabolic process	10	0.830615139266908	2.09796592187585	2.5647352830058e-05	0.00975410711939294	0.00821874943507282	99	tags=50%, list=9%, signal=46%	PRODH/ARG2/ALDH4A1/GLS2/OAT
CC	GO:0098798	mitochondrial protein-containing complex	260	-0.30464665164813	-1.62433176193857	3.01751186988181e-05	0.00975410711939294	0.00821874943507282	224	tags=30%, list=21%, signal=31%	NDUFV3/TIMM9/MRPL27/CHCHD3/NDUFA8/MRPL58/COX7C/MRPL37/TOMM20/MRPL2/MRPL19/PDHA1/UQCRFS1/MRPL44/HSD17B10/ATP5F1B/SDHA/DAP3/MRPS31/NDUFA9/MRPL39/TIMM17A/ATP5MK/UQCRC1/MRPL16/MRPS18A/MRPS14/SUCLG1/SLC25A5/NDUFC1/MRPS10/IDH3B/SDHB/MRPS22/IMMT/ATP5PO/COX6A2/MRPL13/MRPL22/ROMO1/ATP5PB/NDUFC2/MRPL46/FOXRED1/NDUFB10/MCCC1/NDUFA4/ATP5F1A/MRPS33/IDH3G/ATP5MC2/C15orf48/MRPL20/NDUFB4/ATP5F1C/MRPS18C/BCKDHA/MRPS28/SDHC/MRPS9/PDHB/NDUFS5/IMMP1L/MRPL51/MPC2/TOMM7/HADHB/UQCRC2/ATP5PF/MRPL14/MICU2/FXN/HADHA/SAMM50/MRPL48/NDUFS4/PMPCB/DNAJC15
BP	GO:0009062	fatty acid catabolic process	51	-0.496790407317985	-2.04805635312164	6.59691229926557e-05	0.0152298527366793	0.0128325783225164	253	tags=51%, list=24%, signal=41%	ABCD2/ECI2/ACADS/ACADL/ETFDH/HSD17B4/HSD17B10/HAO2/DECR1/NUDT8/ABCD3/SCP2/ACAT1/PCCB/ACADM/AMACR/FABP1/MCEE/CROT/ETFB/ACAA1/HADHB/ETFA/HADHA/ECHDC1/ACAA2
BP	GO:0072329	monocarboxylic acid catabolic process	56	-0.474143570797128	-1.96514610786198	7.06721704718296e-05	0.0152298527366793	0.0128325783225164	253	tags=62%, list=24%, signal=50%	GCDH/ACACB/ACOT7/ETFBKMT/EHHADH/HADH/MCAT/PCCA/AGXT2/ABCD2/ECI2/ACADS/ACADL/ETFDH/HSD17B4/HSD17B10/HAO2/DECR1/NUDT8/ABCD3/SCP2/ACAT1/PCCB/ACADM/AMACR/FABP1/MCEE/CROT/ETFB/ACAA1/HADHB/ETFA/HADHA/ECHDC1/ACAA2
BP	GO:2000026	regulation of multicellular organismal development	21	0.661688073402658	2.00118608107148	0.000229656702259676	0.0283388014503588	0.0238780962275584	77	tags=38%, list=7%, signal=36%	NOCT/BAD/FAM210B/NAXE/PRELID1/CYP27B1/SYNJ2BP/TSPO
BP	GO:0008219	cell death	134	0.392742658226335	1.71038195610005	0.000201561018652503	0.0283388014503588	0.0238780962275584	187	tags=29%, list=18%, signal=27%	CASP9/DHRS2/PRODH/PPM1K/FASTK/ARG2/FKBP8/BAD/RMDN3/GLRX2/OGG1/GPX1/PRELID1/PYCR1/RTL10/MTCH1/GOLPH3/HSPD1/TSPO/CYCS/BCL2L2/MUTYH/GLS2/BCL2L1/COA8/HIGD1A/MUL1/BAK1/PGAM5/STYXL1/BCL2A1/ATAD3A/DELE1/PPIF/NME6/TOMM70/BCL2L10/POLB/FHIT
BP	GO:0044255	cellular lipid metabolic process	129	-0.351000766875753	-1.66652710148899	0.000241088024713029	0.0283388014503588	0.0238780962275584	253	tags=36%, list=24%, signal=31%	ABCD2/ECI2/ACADS/ACADL/ETFDH/LIAS/ACSM5/HSD17B4/ACSM2B/ACLY/HSD17B10/HAO2/DECR1/HMGCS2/OXSM/NUDT8/PDSS1/CAT/ABCD3/SCP2/ECHDC3/AGPAT4/ACOT2/ACAT1/PCCB/IDI1/ACADM/MMUT/FASN/AMACR/FABP1/MCEE/CROT/DHRS7B/ETFB/ACAA1/HADHB/ETFA/DBI/FDPS/HADHA/ACSM3/ECHDC1/ACAA2/ACAD9/STAR
CC	GO:0098800	inner mitochondrial membrane protein complex	127	-0.351901073376133	-1.66458661835416	0.000296617940503138	0.0295020766977351	0.0248582646494532	317	tags=45%, list=30%, signal=36%	UQCR10/COX6C/COX6A1/UQCRB/COX7A2/NDUFB6/NDUFB5/NDUFAF1/NDUFA1/MICU1/NDUFA10/TIMM23/ATP5MF/NDUFV2/COX4I1/COX8A/MTX1/NDUFS2/ATP5ME/NDUFV3/TIMM9/CHCHD3/NDUFA8/COX7C/UQCRFS1/ATP5F1B/SDHA/NDUFA9/TIMM17A/ATP5MK/UQCRC1/NDUFC1/SDHB/IMMT/ATP5PO/COX6A2/ROMO1/ATP5PB/NDUFC2/FOXRED1/NDUFB10/NDUFA4/ATP5F1A/ATP5MC2/C15orf48/NDUFB4/ATP5F1C/SDHC/NDUFS5/IMMP1L/MPC2/UQCRC2/ATP5PF/MICU2/SAMM50/NDUFS4/DNAJC15
BP	GO:0045597	positive regulation of cell differentiation	10	0.764586191702288	1.93119014895873	0.000487635670598077	0.0407923741113781	0.0343713983842361	77	tags=50%, list=7%, signal=47%	NOCT/BAD/FAM210B/CYP27B1/TSPO
