representative	grouped_terms	genes
amide biosynthetic process	amide biosynthetic process;amide metabolic process;peptide biosynthetic process;mitochondrial translation;mitochondrial gene expression;translation;peptide metabolic process	ACSL6;METTL8;MRPL24;RARS2;MRPL47;GARS1;ACACB;MRPL21;MRPL3;QRSL1;RPUSD3;MRPL32;MRPL9;MRPS23;ACSL1;C1QBP;MRPL58;MRPL27;KARS1;PDK4;DARS2;MRPS30;MRPL2;MRPL48;AGMAT;MRPL20;MRPS16;RMND1;MPC2;MRPS18A;MRPS18C;MRPL51;DLD;FARS2;MRPL13;DLAT;MRPL1;GATB;MRPS10;GFM2;MRPL16;MRPL40;DAP3;MTIF3;PDHA1;MMUT;MRPL44;METTL5;MRPS33;MRPL19;MALSU1;MRPS28;MRPL15;FASTKD2;MRPL22;MRPL46;LRPPRC;MRPS22;PDHB;MRPS31;MRPS9;MTIF2;MRPL14;MRPL39;TACO1;ACOT7;HMGCS2;HSD17B4;MCCC1;NUDT8;ACSM3;MIPEP;ACOT2;IMMP1L;SUCLG1;SUPV3L1;FASTKD5;PNPT1;HSD17B10;TFB1M;TRMT61B;PRORP;MTERF3
organelle inner membrane	organelle inner membrane;mitochondrial inner membrane	COX4I1;CKMT2;MRPL21;MRPL3;SLC25A13;UQCRQ;CYC1;NDUFAB1;CYP11B2;COX7A2;MRPL32;NDUFA12;MRPL9;MTX1;MRPS23;MTX2;MRPL58;STOML2;COX6C;MRPL27;COX5A;NDUFA4;MRPS30;SLC25A20;MRPL2;MRPL48;NDUFAF1;MRPL20;ATP5MC3;CLPX;ATP5MK;NDUFB9;CHCHD3;TIMM8B;COX7C;MRPS16;HSPA9;AFG3L2;HADHB;SLC25A5;MPC2;COQ6;SLC25A4;SDHA;FOXRED1;AIFM1;MRPS18A;TIMM8A;UQCRFS1;NDUFB5;NDUFA8;MRPS18C;MRPL51;TIMM23;C15orf48;GHITM;ATP5PO;MRPL13;UQCRC1;MRPL1;MRPS10;SLC25A3;MRPL16;MRPL40;DAP3;NDUFC1;NDUFA9;ABCB7;NDUFS2;ALAS2;MRPL44;ATP5F1C;COX15;ALAS1;MRPS33;MRPL19;ATP5F1B;SDHB;OPA1;MICU2;MRPS28;IMMT;MRPL15;ATP5PB;ATP5F1A;NDUFS5;NDUFB4;HADHA;MRPL22;MRPL46;LRPPRC;SAMM50;IMMP1L;DNAJC30;MRPS22;CYP11B1;MRPS31;ATP5PF;MRPS9;NDUFS4;DMAC2L;MRPL14;COX16;PMPCB;MAIP1;MRPL39;UQCRC2;COQ3;ACAD9;DNAJC15
mitochondrial translation	mitochondrial translation;mitochondrial gene expression	METTL8;MRPL24;RARS2;MRPL47;GARS1;MRPL21;MRPL3;QRSL1;RPUSD3;MRPL32;MRPL9;MRPS23;C1QBP;MRPL58;MRPL27;DARS2;MRPS30;MRPL2;MRPL48;MRPL20;MRPS16;RMND1;MRPS18A;MRPS18C;MRPL51;MRPL13;MRPL1;GATB;MRPS10;GFM2;MRPL16;MRPL40;DAP3;MTIF3;MRPL44;MRPS33;MRPL19;MALSU1;MRPS28;MRPL15;FASTKD2;MRPL22;MRPL46;LRPPRC;MRPS22;MRPS31;MRPS9;MTIF2;MRPL14;MRPL39;TACO1;SUPV3L1;FASTKD5;PNPT1;HSD17B10;TFB1M;TRMT61B;PRORP;MTERF3
organonitrogen compound biosynthetic process	organonitrogen compound biosynthetic process;cellular nitrogen compound biosynthetic process;cellular nitrogen compound metabolic process	RARS2;ACOT7;MRPL47;ALDH2;GARS1;CKMT2;ACACB;MRPL21;MRPL3;SLC25A13;QRSL1;RPUSD3;NDUFAB1;MRPL32;NDUFA12;MRPL9;MRPS23;ACADM;ACSL1;C1QBP;MRPL58;STOML2;MRPL27;KARS1;PDK4;DARS2;MRPS30;MRPL2;MRPL48;AGMAT;MRPL20;ATP5MC3;GOT2;ATP5MK;NDUFB9;MRPS16;RMND1;MPC2;SDHA;MRPS18A;NDUFB5;NDUFA8;MRPS18C;FXN;MRPL51;ATP5PO;DLD;FARS2;MRPL13;ALDH9A1;DLAT;MRPL1;GATB;MRPS10;GFM2;MRPL16;MRPL40;DAP3;MTIF3;NDUFC1;NDUFA9;ABCB7;NDUFS2;PDHA1;MMUT;ALAS2;MRPL44;METTL5;DHRS7B;ATP5F1C;TMLHE;COX15;PAICS;ALAS1;MRPS33;MRPL19;ATP5F1B;MALSU1;SDHB;MRPS28;MRPL15;ATP5PB;ATP5F1A;NDUFS5;NDUFB4;FASTKD2;MRPL22;MRPL46;LRPPRC;DNAJC30;MRPS22;PDHB;MRPS31;ATP5PF;MRPS9;NDUFS4;MTIF2;DMAC2L;MRPL14;MRPL39;TACO1;ACOD1;NDUFB10;NDUFB6;ACLY;PRIMPOL;MRPL30;COX11;ACSL6;METTL8;MRPL24;NIF3L1;TFB1M;MTERF3;CYB5B;SND1;OXSM;COX10;LONP1;SUPV3L1;FASTKD5;CROT;HMGCS2;SPIRE1;HSD17B4;ALDH1L1;TST;NUDT8;CLPX;PNPT1;HSD17B10;ACSM3;FH;AIFM1;TRMT61B;PRORP;ACOT2;TDRKH;OPA1;DUS2;SUCLG1
ribosomal subunit	ribosomal subunit;ribonucleoprotein complex;ribosome;organellar ribosome;mitochondrial ribosome	MRPL24;MRPL47;MRPL21;MRPL3;MRPL32;MRPL9;MRPS23;MRPL58;MRPL27;MRPS30;MRPL2;MRPL48;MRPL20;MRPS16;MRPS18A;MRPS18C;MRPL51;MRPL13;MRPL1;MRPS10;MRPL16;MRPL40;DAP3;MRPL44;MRPS33;MRPL19;MRPS28;MRPL15;MRPL22;MRPL46;MRPS22;MRPS31;MRPS9;MRPL14;MRPL39;HSD17B10;PRORP;LRPPRC;PNPT1
inner mitochondrial membrane protein complex	inner mitochondrial membrane protein complex;membrane protein complex	UQCR10;ATP5PD;NDUFB3;TIMM17A;NDUFA1;COX7B;NDUFB10;NDUFB6;GRPEL1;ROMO1;UQCRB;TIMM9;COX4I1;UQCRQ;CYC1;NDUFAB1;COX7A2;NDUFA12;MTX1;MTX2;COX6C;COX5A;NDUFA4;NDUFAF1;ATP5MC3;ATP5MK;NDUFB9;CHCHD3;COX7C;HSPA9;AFG3L2;MPC2;SDHA;FOXRED1;UQCRFS1;NDUFB5;NDUFA8;TIMM23;C15orf48;ATP5PO;UQCRC1;NDUFC1;NDUFA9;NDUFS2;ATP5F1C;ATP5F1B;SDHB;MICU2;IMMT;ATP5PB;ATP5F1A;NDUFS5;NDUFB4;SAMM50;IMMP1L;ATP5PF;NDUFS4;UQCRC2;DNAJC15;CCDC51;VDAC2;VDAC1;SLC25A5;SLC25A4;VDAC3;DMAC2L
structural constituent of ribosome	structural constituent of ribosome;structural molecule activity	MRPL30;MRPL24;MRPL47;MRPL21;MRPL3;MRPL32;MRPL9;MRPS23;MRPL27;MRPS30;MRPL2;MRPL20;MRPS16;MRPS18A;MRPS18C;MRPL51;MRPL13;MRPL1;MRPL16;DAP3;MRPS33;MRPL19;MRPL15;MRPL22;MRPL46;MRPS22;MRPS31;MRPS9;MRPL14
ATP synthesis coupled electron transport	ATP synthesis coupled electron transport;mitochondrial ATP synthesis coupled electron transport;respiratory electron transport chain;aerobic electron transport chain;mitochondrial respirasome;respiratory chain complex;respirasome;electron transport chain	UQCR10;CHCHD2;NDUFB3;NDUFA1;COX7B;NDUFB10;NDUFB6;UQCRB;COX4I1;UQCRQ;CYC1;NDUFAB1;COX7A2;NDUFA12;COX6C;COX5A;NDUFA4;NDUFAF1;NDUFB9;COX7C;SDHA;UQCRFS1;NDUFB5;NDUFA8;GHITM;DLD;UQCRC1;NDUFC1;NDUFA9;NDUFS2;COX15;SDHB;NDUFS5;NDUFB4;NDUFS4;UQCRC2;DNAJC15;ETFDH;SLC25A13;ETFA;ETFRF1;FOXRED1;C15orf48;COX11;ALDH2;IDH3B
proton motive force-driven ATP synthesis	proton motive force-driven ATP synthesis;proton motive force-driven mitochondrial ATP synthesis;ATP biosynthetic process;purine nucleoside triphosphate biosynthetic process;ribonucleoside triphosphate biosynthetic process;purine ribonucleoside triphosphate biosynthetic process;nucleoside triphosphate biosynthetic process;ATP metabolic process	ATP5PD;NDUFB3;NDUFA1;NDUFB10;NDUFB6;NDUFAB1;NDUFA12;STOML2;ATP5MC3;ATP5MK;NDUFB9;SDHA;NDUFB5;NDUFA8;ATP5PO;NDUFC1;NDUFA9;NDUFS2;ATP5F1C;ATP5F1B;SDHB;ATP5PB;ATP5F1A;NDUFS5;NDUFB4;DNAJC30;ATP5PF;NDUFS4;COX11;SLC25A13;DMAC2L;CLPX
purine ribonucleotide biosynthetic process	purine ribonucleotide biosynthetic process;ribonucleotide biosynthetic process;ribose phosphate biosynthetic process;purine nucleotide biosynthetic process;purine-containing compound biosynthetic process;purine ribonucleotide metabolic process;ribonucleotide metabolic process;ribose phosphate metabolic process;nucleotide biosynthetic process;nucleoside phosphate biosynthetic process	ATP5PD;NDUFB3;NDUFA1;NDUFB10;NDUFB6;ACLY;COX11;ACSL6;ACOT7;ACACB;SLC25A13;NDUFAB1;NDUFA12;ACSL1;STOML2;PDK4;ATP5MC3;ATP5MK;NDUFB9;MPC2;SDHA;NDUFB5;NDUFA8;ATP5PO;DLD;DLAT;NDUFC1;NDUFA9;NDUFS2;PDHA1;MMUT;ATP5F1C;PAICS;ATP5F1B;SDHB;ATP5PB;ATP5F1A;NDUFS5;NDUFB4;DNAJC30;PDHB;ATP5PF;NDUFS4;DMAC2L;OXSM;CROT;HMGCS2;HSD17B4;NUDT8;CLPX;ACSM3;ACOT2;OPA1;SUCLG1;GARS1;KARS1
