representative	grouped_terms	genes
lipid modification	lipid modification;fatty acid oxidation;lipid oxidation;fatty acid beta-oxidation	ACSM1;CPT1B;DECR1;SCP2;ETFBKMT;ACAD11;HSD17B4;HAO2;FABP1;ECHDC2;ETFDH;ECHDC1;ACADM;GCDH;HADHB;PDK4;ACADL;HADHA;CROT;ACAA1;CPT1A;MLYCD;EPHX2;HSD17B10;ETFA
cellular lipid catabolic process	cellular lipid catabolic process;lipid catabolic process;fatty acid catabolic process;monocarboxylic acid catabolic process	CPT1B;PRDX6;MCEE;DECR1;SCP2;ETFBKMT;ACAD11;HSD17B4;HAO2;FABP1;ECHDC2;ETFDH;ECHDC1;ACADM;PCCB;GCDH;PCCA;HADHB;ACADL;HADHA;CROT;ACAA1;CPT1A;PLD6;AGXT
negative regulation of response to stimulus	negative regulation of response to stimulus;negative regulation of cell communication;negative regulation of signaling;negative regulation of signal transduction	BCL2L1;NDUFAF2;SDHAF2;PRELID1;SLC25A5;BAK1;ACOD1;PYCR1;SLC25A6;BCL2L2;MUL1;PHB2;PPIF;POLQ;VDAC2;BID;MFN2;UCP2;HTRA2;ARG2
organic acid catabolic process	organic acid catabolic process;carboxylic acid catabolic process;small molecule catabolic process	PRODH;SLC25A21;CPT1B;AASS;MCEE;DECR1;RIDA;SCP2;ETFBKMT;ACAD11;SDSL;HSD17B4;HAO2;FABP1;ECHDC2;ETFDH;ECHDC1;ACADM;MTHFS;PCCB;GCDH;BCKDHB;PCCA;HADHB;SARDH;AGXT;ACADL;PPM1K;HADHA;GLS;ADHFE1;ALDH6A1;CROT;ACAA1;DBT;CPT1A;GLS2;MLYCD;ALDH1L1;AADAT;KMO;BCKDHA;HSD17B10;ETFA;NUDT5;PNKD;ALDH2
protein targeting to mitochondrion	protein targeting to mitochondrion;protein targeting;establishment of protein localization to organelle;protein localization to organelle;establishment of protein localization to mitochondrion;protein localization to mitochondrion	TOMM70;GDAP1;NDUFA13;TIMM9;TIMM10B;GRPEL1;TIMM44;TOMM5;TOMM40L;TOMM20;TOMM6;TOMM7;MTCH1;TOMM40;TIMM10;TIMM50;TIMM13;TIMM17B;TOMM22;TOMM34;SAMM50;CHCHD4;BID;MFN2;HTRA2;PHB2;DNM1L;ARL2;OXA1L;TIMM8B;TIMM23;FKBP8
positive regulation of mitochondrial membrane permeability	positive regulation of mitochondrial membrane permeability;mitochondrial outer membrane permeabilization involved in programmed cell death;positive regulation of membrane permeability;positive regulation of mitochondrial membrane permeability involved in apoptotic process	SLC25A5;BAK1;SLC25A6;RTL10;MUL1;PPIF;BCL2L11;VDAC2;BID
ligase activity, forming carbon-sulfur bonds	ligase activity, forming carbon-sulfur bonds;acid-thiol ligase activity	ACSM1;ACSS1;SUCLG1;SUCLG2;ACSM2B;ACSM5;ACSS3;SUCLA2
protein localization	protein localization;cellular macromolecule localization;establishment of protein localization	TOMM70;GDAP1;NDUFA13;SLC8B1;TIMM9;TIMM10B;ARF5;BAD;GRPEL1;TIMM44;TOMM5;BCL2L1;SPIRE1;TOMM40L;TOMM20;TOMM6;NDUFAF2;TOMM7;MTCH1;TOMM40;TIMM10;TIMM50;TIMM13;DNM1L;COMT;TIMM17B;ARL2;SLC25A22;TOMM22;TOMM34;PHB2;SAMM50;CHCHD4;BID;MFN2;UCP2;HTRA2
organelle organization	organelle organization;cellular component organization;cellular component organization or biogenesis	LYRM2;MRPL58;ABCB6;MFF;FUNDC1;VDAC1;FIS1;UQCRFS1;CHCHD6;AFG3L2;ATAD3B;BIK;NDUFA11;OXA1L;TIMM8B;NDUFB10;UQCC2;FKBP8;NDUFB7;NDUFAF6;C1QBP;YME1L1;COX19;NDUFB9;CEP89;SCO1;VDAC3;FBXL4;SNAP29;MRPL20;SDHAF1;NDUFA8;TOMM70;GDAP1;NME3;COX7A2L;NDUFA13;BCL2L10;MICOS10;STYXL1;NDUFS4;MPV17L2;TIMM9;POLG;TIMM10B;BAD;NOCT;TWNK;TOMM5;BCL2L1;SPIRE1;TTC19;TOMM20;CHCHD2;TOMM6;NDUFAF3;NDUFAF2;NME6;SDHAF2;PRELID1;PTRH1;COX10;STOML2;MRPS2;TMEM11;TOMM7;APEX1;NDUFAF4;MIGA2;MFN1;COA8;NDUFB11;MTCH1;SLC25A5;BAK1;PGAM5;TOP1MT;TOMM40;TIMM10;TIMM50;NOA1;AIFM2;SLC25A6;TIMM13;LETM1;DNM1L;BLOC1S1;RTL10;PANK2;CHCHD3;ACAD9;BCL2L2;NDUFS8;DMAC2;ARL2;MUL1;MTRFR;MRPS7;ABCD1;ATAD3A;PMAIP1;TOMM22;MTFR2;PHB2;MRM2;PPIF;TMEM70;POLQ;SAMM50;BCL2L11;VDAC2;CHCHD4;RECQL4;CHCHD7;PIF1;BID;MFN2;UCP2;HTRA2;COX14;PRELID2;MTRF1L;GPX4;BOLA1;FDX2;FKBP10;NFU1;HSCB;BOLA3;LYRM4;PRELID3B;CCDC51;HCCS;NAXE;GLRX5;MTG2;RPUSD4;MRM3;NSUN4;TFB1M
protein transport	protein transport;establishment of protein localization	NDUFA13;SLC8B1;TIMM9;TIMM10B;ARF5;BAD;GRPEL1;TIMM44;TOMM5;SPIRE1;TOMM40L;TOMM20;TOMM6;NDUFAF2;TOMM7;MTCH1;TOMM40;TIMM10;TIMM50;TIMM13;DNM1L;COMT;TIMM17B;SLC25A22;TOMM22;PHB2;SAMM50;CHCHD4;UCP2;TOMM70;GDAP1;TOMM34;BID;MFN2;HTRA2
