ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0009062	fatty acid catabolic process	51	-0.517097269068515	-2.22040930615285	4.70505367966333e-06	0.00556455332119268	0.00477472967846061	175	tags=39%, list=16%, signal=34%	DECR1/ETFB/HAO2/AMACR/CROT/FABP1/ETFBKMT/SCP2/ETFDH/ACADM/ACAA1/PCCA/MCEE/PCCB/ETFA/HSD17B4/ACAA2/ECHDC1/HADHB/HADHA
BP	GO:0071887	leukocyte apoptotic process	10	0.831500042038379	2.1085166038821	2.10623253422783e-05	0.00563231382573933	0.00483287236726442	95	tags=70%, list=9%, signal=64%	BCL2L11/GPAM/PRELID1/ARG2/BAK1/BCL2L1/CASP9
BP	GO:0019395	fatty acid oxidation	48	-0.498027884816323	-2.10320896258812	3.0492031539192e-05	0.00563231382573933	0.00483287236726442	192	tags=40%, list=18%, signal=34%	ACADL/ACSM1/DECR1/ETFB/HAO2/AMACR/CROT/FABP1/ETFBKMT/SCP2/ETFDH/ACADM/ACAA1/ETFA/HSD17B4/ACAA2/ECHDC1/HADHB/HADHA
MF	GO:0019205	nucleobase-containing compound kinase activity	11	0.790639311177447	2.04118220433931	0.000107143478370644	0.0138536517533242	0.0118872869687009	90	tags=45%, list=8%, signal=42%	GUK1/TK2/NME4/DTYMK/NME3
MF	GO:0008514	organic anion transmembrane transporter activity	30	0.58813709975367	1.94836477145782	0.000156390284954845	0.0183829671315104	0.0157737186930533	248	tags=60%, list=23%, signal=47%	SLC25A44/SLC25A10/SLC25A23/SLC25A22/SLC25A15/ABCD1/SLC25A16/SLC25A11/SLC25A29/SLC25A47/SFXN5/SLC25A42/SLC25A1/SLC25A19/SLC25A6/SLC25A25/SLC25A32/SLC25A38
BP	GO:0097191	extrinsic apoptotic signaling pathway	21	0.654626054357756	1.98509975560451	0.000272850564004184	0.027795299022365	0.0238500795128202	281	tags=67%, list=26%, signal=50%	BAD/BCL2L2/BCL2L11/BAK1/BCL2L1/DIABLO/GPX1/BID/BOK/BCL2L10/NDUFA13/DELE1/HTRA2/BCL2A1
BP	GO:0002682	regulation of immune system process	36	0.554595179262629	1.9310158532236	0.000279457762792533	0.027795299022365	0.0238500795128202	153	tags=39%, list=14%, signal=34%	BAD/FAM210B/GPAM/SLC8B1/PHB2/PRELID1/ARG2/ECSIT/GFER/MAVS/MUL1/PRXL2A/GPX1/BID
BP	GO:0006974	DNA damage response	47	0.517542786851151	1.91154512030845	0.000327748007486823	0.0302698695486045	0.0259734135256475	302	tags=51%, list=28%, signal=38%	BAD/BCL2L2/BCL2L11/POLG/MUTYH/NME3/BAK1/BCL2L1/CASP9/RECQL4/ALKBH7/CHCHD6/BID/BOK/DNA2/BCL2L10/MACROD1/UNG/HTRA2/CHCHD4/ENDOG/BCL2A1/CRY1/CASP3
BP	GO:0080134	regulation of response to stress	54	0.484679925022777	1.82834899052204	0.000373628420867147	0.0322067698787481	0.0276353933750157	160	tags=31%, list=15%, signal=28%	BAD/SLC25A23/BCL2L11/EFHD1/ABCD1/PHB2/ARG2/ECSIT/GFER/BAK1/BCL2L1/MAVS/MUL1/GPX1/BID/LETM1/BOK
BP	GO:2000026	regulation of multicellular organismal development	21	0.639877755090258	1.94037674912379	0.000533869049524332	0.0363311937386822	0.0311744032243017	135	tags=43%, list=13%, signal=38%	NAXE/BAD/FAM210B/NOCT/PRELID1/TSPO/PRXL2A/CYP27B1/SYNJ2BP
BP	GO:0001822	kidney development	12	0.729714406003489	1.9353949297281	0.000515486307537059	0.0363311937386822	0.0311744032243017	95	tags=33%, list=9%, signal=31%	COMT/BCL2L11/ARG2/CASP9
BP	GO:0051239	regulation of multicellular organismal process	74	0.442223367604844	1.77588268721235	0.000466656654467314	0.0363311937386822	0.0311744032243017	180	tags=32%, list=17%, signal=29%	NAXE/BAD/SLC25A44/BCL2L11/MTG1/FAM210B/GPAM/MTG2/NOCT/ABCD1/PHB2/PRELID1/ARG2/TSPO/MAVS/MUL1/PRXL2A/PGAM5/SFXN5/CYP27B1/SYNJ2BP/BID/ACOT11/MFN2
BP	GO:0050673	epithelial cell proliferation	11	0.750233310997222	1.9368666114382	0.000598413064564333	0.0368858470655591	0.0316503299605969	153	tags=73%, list=14%, signal=63%	BAD/BCL2L2/PHB2/BAK1/BCL2L1/GPX1/SYNJ2BP/BID
BP	GO:0035556	intracellular signal transduction	76	0.438832155155297	1.78012109687099	0.000599074082271261	0.0368858470655591	0.0316503299605969	283	tags=42%, list=27%, signal=33%	BAD/PPIF/BCL2L2/BCL2L11/COA8/PHB2/FKBP8/BAK1/BCL2L1/MAVS/CASP9/MUL1/DIABLO/GPX1/SYNJ2BP/BID/BOK/PYCR1/SIRT3/ACOT11/MFN2/DNA2/BCL2L10/GOLPH3/CYCS/RHOT2/NDUFA13/HTRA2/STYXL1/ENDOG/BCL2A1/CRY1
BP	GO:0008219	cell death	134	0.369208803045325	1.60212106261349	0.000666453508244346	0.0374662776591278	0.0321483751802993	293	tags=39%, list=28%, signal=32%	BAD/DHRS2/PPIF/FASTK/BCL2L2/RTL10/BCL2L11/COA8/GPAM/ATAD3A/RMDN3/MTCH1/PHB2/PRELID1/ARG2/TSPO/FKBP8/GFER/PPM1K/MUTYH/NME3/BAK1/BCL2L1/CASP9/MUL1/GPX4/PGAM5/DIABLO/ALKBH7/GPX1/AIFM3/BID/BOK/PYCR1/SPG7/MFN2/BIK/BCL2L10/GOLPH3/CYCS/SLC25A6/UNG/RHOT2/NDUFA13/DELE1/HTRA2/STYXL1/RFK/ENDOG/BCL2A1/PRDX5/HIGD2A
