representative	grouped_terms	genes
translation	translation;peptide metabolic process;peptide biosynthetic process;amide biosynthetic process;amide metabolic process;mitochondrial translation;mitochondrial gene expression	MRPL50;ALKBH1;MRPL30;MRPL17;MRPS5;MALSU1;MRPL16;PARS2;LARS2;GFM1;MRPS31;EARS2;MRPL38;FARS2;NDUFA7;FASTKD3;GATB;MRPL19;PTCD1;TRNT1;HARS2;MRPL13;MRPS18C;TRAP1;PTRH1;TRUB2;MRPL2;DAP3;TRMT10C;MRPS18A;MRPL58;TARS2;GARS1;MRPL47;MRPS23;MRPL3;KARS1;MRPL21;MRPL15;MRPL24;MRPL46;MRPS16;PTCD3;TSFM;MRPL18;MRPL44;NARS2;QRSL1;C1QBP;MRPL35;FASTKD2;MTIF2;MTRES1;WARS2;MRPL9;RPUSD3;MRPL39;MRPS22;MRPS35;MARS2;MRPL1;YARS2;GUF1;DARS2;GFM2;MRPS30;LRPPRC;MRPS9;IDE;ETHE1;NLN;GSR;GLRX2;MIPEP;MLYCD;UQCC2;PDK4;MRPS33;TUFM;MRPL22;PDK3;DLD;SLC25A15;ACSS1;ACSL1;PDHX;AGMAT;DLAT;PDHA1;ARG2;SLC25A33;FASTKD5;TRMT5;TWNK;MTERF1;SUPV3L1;TBRG4;PNPT1;FASTKD1;PRORP;SUCLA2;OGDH;PANK2;SLC25A32;DLST;HSD17B4;ACOT9;ACSM1;HTRA2;ALDH1L2;MTHFD2
gene expression	gene expression;macromolecule biosynthetic process	POLQ;TDRKH;MUL1;MRPL50;ALKBH1;PRKN;HADHB;MRPL30;MRPL17;SLC25A33;PDE12;MRPS5;MALSU1;MRPL16;PARS2;PLGRKT;NDUFAB1;CHCHD2;LARS2;GFM1;MRPS31;FASTKD5;EARS2;MRPL38;FARS2;STOML2;CHCHD4;NDUFA7;FASTKD3;CASP9;GATB;MRPL19;PTCD1;TRNT1;HARS2;TRMT5;TWNK;MRPL13;DUS2;MRPS18C;POLB;YME1L1;TRAP1;NSUN4;PTRH1;OGG1;TRUB2;MRPL2;MTERF1;CISD1;SUPV3L1;ISCA1;DAP3;TRMT10C;GRSF1;MRPS18A;MRPL58;TARS2;GARS1;MRPL47;NOCT;MRPS23;MRPL3;KARS1;OMA1;CLPX;NFU1;MRPL21;MRPL15;TBRG4;MRPL24;MRPL46;MRPS16;CRY1;PTCD3;TSFM;MRPL18;BOLA3;GLRX2;MRPL44;HTRA2;NARS2;QRSL1;C1QBP;MRPL35;FASTKD2;MTIF2;MIPEP;AFG3L2;MTRES1;WARS2;TOMM70;HTATIP2;PNPT1;MRPL9;DNM1L;AHCYL1;RPUSD3;MRPL39;MRPS22;FASTKD1;MRPS35;HSPE1;MARS2;MRPL1;YARS2;PRORP;GUF1;HSPA9;DARS2;GFM2;MRPS30;LRPPRC;MRPS9;HSPD1;ARG2;PRIMPOL;LIG3;ALAS1
nucleic acid binding	nucleic acid binding;RNA binding	ATP5F1A;GFM1;MRPS31;MDH2;FASTKD5;EARS2;FARS2;FASTKD3;PTCD1;TRNT1;HARS2;TWNK;MRPL13;DUS2;MRPS18C;POLB;TRAP1;NSUN4;PTRH1;OGG1;TRUB2;MRPL2;MTERF1;SUPV3L1;DAP3;TRMT10C;GRSF1;MRPS18A;MRPL58;NOCT;MRPS23;MRPL3;KARS1;MRPL21;MRPL15;TBRG4;MRPL24;CRY1;PTCD3;TSFM;MRPL18;MRPL44;NARS2;IMMT;NOA1;C1QBP;REXO2;AIFM2;FASTKD2;MTIF2;MTRES1;PNPT1;LIG3;MRPL9;AHCYL1;RPUSD3;MRPL39;FASTKD1;MRPS35;HSPE1;MRPL1;YARS2;LONP1;HSPA9;DARS2;MRPS30;LRPPRC;MRPS9;HSPD1
non-membrane-bounded organelle	non-membrane-bounded organelle;intracellular non-membrane-bounded organelle	ARL2;UQCC2;DDX28;MRPS33;TUFM;MRPL22;PDK3;ELAC2;SCO2;POLQ;TDRKH;SDHA;HADHA;MRPL50;ALKBH1;HADHB;MRPL30;MRPL17;MRPS5;MRPL16;SLC25A5;VDAC1;MRPS31;FASTKD5;MRPL38;STOML2;MFN2;NDUFA7;FASTKD3;PRIMPOL;MRPL19;STOM;TWNK;MRPL13;MRPS18C;POLB;NSUN4;PREPL;TRUB2;MRPL2;MTERF1;SUPV3L1;DAP3;TRMT10C;GRSF1;MRPS18A;MRPL58;MRPL47;NOCT;MRPS23;MRPL3;CLPX;MRPL21;MTX2;MRPL15;TBRG4;MRPL24;OPA1;MRPL46;MRPS16;PTCD3;MRPL18;MRPL44;HTRA2;C1QBP;MRPL35;REXO2;AIFM2;FASTKD2;PDHA1;ATP5F1B;PNPT1;MRPL9;DNM1L;RPUSD3;MRPL39;MRPS22;FASTKD1;MRPS35;TXNRD1;MRPL1;VDAC2;PRORP;LONP1;HSPA9;COX10;MRPS30;LRPPRC;MRPS9
nucleic acid metabolic process	nucleic acid metabolic process;RNA metabolic process	POLQ;TDRKH;ALKBH1;PRKN;AIFM1;SLC25A33;PDE12;PARS2;CHCHD2;LARS2;FASTKD5;EARS2;MPV17;FARS2;CHCHD4;FASTKD3;PRIMPOL;GATB;PTCD1;TRNT1;HARS2;TRMT5;TWNK;DUS2;POLB;NSUN4;OGG1;TRUB2;MTERF1;SUPV3L1;TRMT10C;GRSF1;TARS2;GARS1;NOCT;KARS1;TBRG4;CRY1;TSFM;GLRX2;MRPL44;NARS2;QRSL1;C1QBP;REXO2;FASTKD2;MTRES1;WARS2;HTATIP2;PNPT1;LIG3;AHCYL1;RPUSD3;FASTKD1;MARS2;YARS2;PRORP;LONP1;DARS2;LRPPRC;HSPD1
amino acid activation	amino acid activation;tRNA aminoacylation;aminoacyl-tRNA ligase activity;tRNA aminoacylation for protein translation;ligase activity, forming carbon-oxygen bonds	PARS2;LARS2;EARS2;FARS2;GATB;HARS2;TARS2;GARS1;KARS1;NARS2;QRSL1;WARS2;MARS2;YARS2;DARS2
cellular nitrogen compound biosynthetic process	cellular nitrogen compound biosynthetic process;organonitrogen compound biosynthetic process	MLYCD;UQCC2;PDK4;MRPS33;PAICS;TUFM;MRPL22;PDK3;AK2;COX15;SUCLA2;DLD;NDUFB4;POLQ;SDHA;PANK2;SDHB;MRPL50;ALKBH1;PRKN;SLC25A15;ACSS1;MRPL30;MRPL17;SLC25A33;MRPS5;ATP5MC3;MALSU1;MRPL16;PARS2;NDUFAB1;CHCHD2;LARS2;ATP5F1A;GFM1;MRPS31;EARS2;MRPL38;FARS2;MTHFD1L;STOML2;NDUFA7;FASTKD3;ATP5PB;PRIMPOL;GATB;MRPL19;PTCD1;TRNT1;HARS2;SLC25A19;TWNK;MRPL13;ATP5MC1;MRPS18C;ACSL1;POLB;TRAP1;PTRH1;OGG1;TRUB2;FLAD1;MRPL2;MTERF1;PDHX;AGMAT;DAP3;TRMT10C;TMLHE;ABCB7;MRPS18A;SPR;MRPL58;NMNAT3;NDUFS2;TARS2;GARS1;MRPL47;NDUFA12;NOCT;MRPS23;MRPL3;KARS1;MRPL21;MRPL15;MRPL24;MRPL46;MRPS16;CRY1;NDUFA8;NDUFA9;PTCD3;TSFM;MRPL18;GLRX2;MRPL44;NARS2;NME6;QRSL1;C1QBP;MRPL35;FASTKD2;MTIF2;MTRES1;WARS2;DLAT;PDHA1;ATP5F1B;HTATIP2;LIG3;MRPL9;RPUSD3;MRPL39;MRPS22;MRPS35;MARS2;MRPL1;YARS2;ALAS1;GUF1;DARS2;COX10;GFM2;MRPS30;LRPPRC;MRPS9;CMPK2;ARG2;NDUFB3;DHRS7B;AASS;OAT;MRPL33;TACO1;PDK1;GLS2;CKMT1B;PYCR2;SDSL;PYCR1
nucleoid	nucleoid;mitochondrial nucleoid	SHMT2;TEFM;DNA2;UQCC2;DDX28;TUFM;ELAC2;HADHA;HADHB;SLC25A5;VDAC1;FASTKD5;TWNK;MTERF1;SUPV3L1;TRMT10C;GRSF1;CLPX;FASTKD2;ATP5F1B;VDAC2;PRORP;LONP1;HSPA9;LRPPRC
small molecule catabolic process	small molecule catabolic process;organic acid catabolic process;carboxylic acid catabolic process	GLUD1;BAD;DCXR;ECHDC2;IVD;ALDH5A1;CYP27A1;GCSH;FABP1;CRAT;ADHFE1;HMGCL;SLC25A44;ECI1;MCEE;HAGH;AGXT;GLYCTK;ALDH2;DECR1;ACAD10;GCDH;GSTZ1;ABCD2;CROT;ECI2;LDHD;ADCY10;RIDA;AMT;NUDT8;ACADS;ALDH4A1;ECHS1;HSD17B10;ACADSB;HAO2;ACAD11;AGXT2;ABCD3;HIBCH;PRODH2;MPST;BCKDK;ABAT;SARDH;TST;ACAD8;BCKDHB;AUH;NUDT5;SLC25A21;ECHDC1;MCAT;SCP2;QDPR;ACADVL;EHHADH;ACAA1;ACAT1;ETFB;CPT1B;DBT;ACACB;ACADL;ALDH6A1;AMACR;GCAT;OXCT1;KYAT3
ribonucleoprotein complex	ribonucleoprotein complex;ribosome;organellar ribosome;mitochondrial ribosome;ribosomal subunit;structural constituent of ribosome	MRPL30;MRPL17;MRPS5;MRPL16;MRPS31;MRPL38;MRPL19;MRPL13;MRPS18C;NSUN4;MRPL2;DAP3;TRMT10C;GRSF1;MRPS18A;MRPL58;MRPL47;MRPS23;MRPL3;MRPL21;MRPL15;MRPL24;MRPL46;MRPS16;PTCD3;MRPL18;MRPL44;MRPL35;MRPL9;MRPL39;MRPS22;MRPS35;MRPL1;PRORP;MRPS30;LRPPRC;MRPS9;NDUFA7;PNPT1
