ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CC	GO:0019814	immunoglobulin complex	135	-0.723245853676505	-3.57073312536026	1e-10	9.48117647058824e-09	8.18204334365325e-09	2834	tags=61%, list=11%, signal=55%	IGKV2-28/IGKV5-2/IGHV3-15/IGKV1-16/IGHV3-49/IGLC6/IGKV6-21/IGLV2-8/IGLV3-25/IGKV2-24/IGKV2-40/IGKV2D-29/IGHG4/IGHV4-61/IGHV6-1/IGKJ1/IGLV2-11/IGHV3-33/IGLV4-69/CD79B/IGLV4-60/IGHV3-20/IGLV5-45/IGHM/IGHV3-43/IGLC7/IGHA1/IGHV3-23/IGHV5-51/IGHV3-30/IGLV3-10/IGHV3-13/IGHV1-58/IGHV4-31/IGHV2-26/IGHV1-24/IGLV1-36/IGLV3-21/IGKV3-20/IGLV5-37/IGKV1D-39/IGKV1-9/IGKV1D-17/IGHV3-11/IGHV1-69/IGHD/IGKV3D-20/IGHV4-28/IGKV6D-21/IGKV1-5/IGHV1-69D/IGLV6-57/IGHJ1/IGHV4-39/IGLV2-23/IGKC/IGKV3-7/IGHG2/IGLV1-40/IGLV2-14/IGLC3/IGKV1-8/IGHV1-69-2/IGLV1-44/IGKV1-39/IGHV4-59/IGKV1-27/IGHV4-34/IGKV4-1/IGLC2/IGLV3-1/IGLJ1/IGLV3-19/IGHG1/IGLV2-18/IGLV7-43/CD79A/IGHV1-45/IGLV1-51/IGLC1/IGHG3/IGLV1-47/IGKV1-17
CC	GO:0098798	mitochondrial protein-containing complex	282	-0.621820147231716	-3.38768006125042	1e-10	9.48117647058824e-09	8.18204334365325e-09	4211	tags=54%, list=16%, signal=46%	TOMM5/NDUFS7/COX8A/MRPL23/MICU1/ATP5F1E/ATP5ME/APOO/MRPL38/COX7B/NDUFC2/COX6A1/ATP5PD/COX5B/TRMT10C/MRPL57/DNAJC11/POLRMT/NDUFB6/NDUFA1/ATP5MF/NDUFB3/GRPEL1/UQCRB/TOMM7/IDH3G/PDHX/MRPL35/ATP5MC2/NDUFV3/ROMO1/COX7A2/NDUFB10/NDUFA12/VDAC1/UQCRQ/SMDT1/MRPL54/NDUFAB1/UQCR10/ATP5MC3/NDUFA10/TIMM17A/SDHC/MRPL24/COX6C/MRPS18B/MRPL3/COX4I1/MRPL47/TIMM23B/NDUFA4/NDUFAF1/COX5A/ACACB/MCCC1/ATP5MK/MRPL21/CYC1/SLC25A5/MRPL58/HADHB/MRPL30/MPC2/COX7C/CHCHD3/MRPL2/SDHA/C15orf48/MTX1/HSD17B10/NDUFB9/HSPA9/TIMM9/MRPS18A/MRPS18C/MRPS23/ATP5PO/SUPV3L1/SLC25A4/BCKDHA/TIMM8B/UQCRFS1/MRPS30/NDUFA8/MRPL48/UQCRC1/FXN/MRPL9/MRPL20/MRPS16/MRPL16/AFG3L2/MRPL27/NDUFS3/MRPL1/CLPX/NDUFB5/MRPL40/MRPL13/TIMM8A/MRPL32/NDUFC1/ATP5F1C/NDUFA9/PNPT1/MRPL51/SDHB/FOXRED1/ATP5F1B/IDH3B/PDHA1/DLAT/DLD/NDUFS2/TIMM23/MRPS33/MRPL46/MRPS28/PRORP/ATP5PB/ATP5F1A/MRPL44/HADHA/DAP3/MRPL19/NDUFB4/NDUFS5/SUCLG1/MTX2/NDUFS1/MRPL15/NDUFA6/ATP5PF/MRPL22/NDUFS4/MRPS22/IMMT/MRPS10/PDHB/MRPS9/SAMM50/MRPL14/UQCRHL/IMMP1L/MRPL39/UQCRC2/MRPS31/MICU2/PMPCB/DNAJC15/NDUFA4L2
BP	GO:0032543	mitochondrial translation	129	-0.641018397945725	-3.15096710826762	1e-10	9.48117647058824e-09	8.18204334365325e-09	5196	tags=64%, list=19%, signal=52%	YARS2/NDUFA7/MRPL17/MRPS15/ALKBH1/CHCHD1/MRPL28/MRPL45/MRPS2/UQCC2/MRPL33/MRPS7/FASTKD3/MRPS35/MRPL41/MRPL37/MRPL23/COA3/IARS2/MRPL38/TRMT10C/MRPL57/GFM1/MRPL35/GARS1/C1QBP/MRPL54/MRPL24/MRPS18B/MRPL3/MRPL47/MRPL21/MRPL58/DARS2/MRPL30/HARS1/MRPL2/WARS2/MRPS18A/MRPS18C/MRPS23/MRPS30/MRPL48/MRPL9/MRPL20/MRPS16/RPUSD3/MRPL16/QRSL1/MRPL27/MRPL1/PTCD1/MRPL40/RMND1/MRPL13/MRPL32/GATB/MRPL51/CDK5RAP1/MRPS33/METTL8/MRPL46/MRPS28/MALSU1/MRPL44/DAP3/MRPL19/GFM2/RARS2/MRPL15/MRPL22/MRPS22/MRPS10/MRPS9/MTIF3/LRPPRC/MRPL14/FASTKD2/SARS2/MRPL39/MRPS31/TACO1/MTIF2
CC	GO:0098800	inner mitochondrial membrane protein complex	144	-0.624548954892991	-3.09887856579266	1e-10	9.48117647058824e-09	8.18204334365325e-09	4203	tags=56%, list=16%, signal=48%	NDUFS7/COX8A/MICU1/ATP5F1E/ATP5ME/APOO/COX7B/NDUFC2/COX6A1/ATP5PD/COX5B/DNAJC11/NDUFB6/NDUFA1/ATP5MF/NDUFB3/GRPEL1/UQCRB/ATP5MC2/NDUFV3/ROMO1/COX7A2/NDUFB10/NDUFA12/UQCRQ/SMDT1/NDUFAB1/UQCR10/ATP5MC3/NDUFA10/TIMM17A/SDHC/COX6C/COX4I1/TIMM23B/NDUFA4/NDUFAF1/COX5A/ATP5MK/CYC1/MPC2/COX7C/CHCHD3/SDHA/C15orf48/MTX1/NDUFB9/HSPA9/TIMM9/ATP5PO/UQCRFS1/NDUFA8/UQCRC1/AFG3L2/NDUFS3/NDUFB5/NDUFC1/ATP5F1C/NDUFA9/SDHB/FOXRED1/ATP5F1B/NDUFS2/TIMM23/ATP5PB/ATP5F1A/NDUFB4/NDUFS5/MTX2/NDUFS1/NDUFA6/ATP5PF/NDUFS4/IMMT/SAMM50/UQCRHL/IMMP1L/UQCRC2/MICU2/DNAJC15/NDUFA4L2
BP	GO:0140053	mitochondrial gene expression	163	-0.598624537688915	-3.06243837880238	1e-10	9.48117647058824e-09	8.18204334365325e-09	5196	tags=56%, list=19%, signal=46%	MRPL45/MRPS2/UQCC2/MRPL33/MRPS7/FASTKD3/MRPS35/MRPL41/MRPL37/MRPL23/COA3/IARS2/MRPL38/TRMT10C/TFB2M/MRPL57/POLRMT/TBRG4/SLC25A33/GFM1/MRPL35/GARS1/TRMT5/C1QBP/MRPL54/MRPL24/MRPS18B/MRPL3/MRPL47/FASTKD5/MRPL21/MRPL58/DARS2/MRPL30/HARS1/MRPL2/HSD17B10/WARS2/TEFM/ELAC2/MRPS18A/MRPS18C/MRPS23/SUPV3L1/MTPAP/MRPS30/MRPL48/MRPL9/MRPL20/MRPS16/RPUSD3/MRPL16/QRSL1/MRPL27/MRPL1/PTCD1/TFB1M/MRPL40/RMND1/MRPL13/MRPL32/GATB/PNPT1/MRPL51/TRMT61B/CDK5RAP1/MRPS33/METTL8/MRPL46/MRPS28/MALSU1/PRORP/MRPL44/DAP3/MRPL19/GFM2/RARS2/MRPL15/MRPL22/MRPS22/MRPS10/MRPS9/MTIF3/LRPPRC/MRPL14/MTERF3/FASTKD2/SARS2/MRPL39/MRPS31/TACO1/MTIF2
BP	GO:0042776	proton motive force-driven mitochondrial ATP synthesis	57	-0.709709154049458	-3.02150185100005	1e-10	9.48117647058824e-09	8.18204334365325e-09	4203	tags=65%, list=16%, signal=55%	NDUFS7/ATP5F1E/ATP5ME/NDUFC2/ATP5PD/NDUFB6/NDUFA1/ATP5MF/NDUFB3/NDUFV3/NDUFB10/NDUFA12/NDUFAB1/NDUFA10/SDHC/STOML2/SDHA/NDUFB9/ATP5PO/NDUFA8/NDUFS3/NDUFB5/NDUFC1/ATP5F1C/NDUFA9/SDHB/ATP5F1B/NDUFS2/ATP5PB/ATP5F1A/NDUFB4/NDUFS5/NDUFS1/NDUFA6/ATP5PF/NDUFS4/DNAJC30
BP	GO:0009060	aerobic respiration	179	-0.574353933062964	-2.9827816842648	1e-10	9.48117647058824e-09	8.18204334365325e-09	5651	tags=57%, list=21%, signal=45%	BNIP3/COX6B1/DLST/SNCA/UQCRH/PARK7/UQCC2/OGDH/NDUFV2/MSH2/IDH3A/OXA1L/COQ9/AK4/NDUFS7/COX8A/ATP5F1E/ATP5ME/CAT/IDE/CS/COX7B/NDUFC2/COX6A1/VCP/CHCHD2/ATP5PD/COX5B/PINK1/NDUFB6/SDHAF2/NDUFA1/ATP5MF/NDUFB3/SLC25A33/UQCRB/IDH3G/IDH1/DGUOK/NDUFV3/COX7A2/NDUFB10/NDUFA12/UQCRQ/SUCLA2/NDUFAB1/UQCR10/NDUFA10/SDHC/ACLY/COX6C/COX4I1/TNF/NDUFA4/NDUFAF1/COX5A/STOML2/CYC1/COX7C/SDHA/RHOA/NDUFB9/FH/TEFM/COX10/ATP5PO/UQCRFS1/NDUFA8/GHITM/UQCRC1/FXN/NDUFS3/NDUFB5/MDH1/NDUFC1/ATP5F1C/NDUFA9/TMEM135/SDHB/ATP5F1B/IDH3B/PDHA1/DLAT/DLD/NDUFS2/ACO2/ADSL/ATP5PB/ATP5F1A/NDUFB4/NDUFS5/SUCLG1/NDUFS1/NDUFA6/ATP5PF/NDUFS4/PDHB/COX15/UQCRHL/UQCRC2/DNAJC30/DNAJC15
CC	GO:0000502	proteasome complex	60	-0.695701276284198	-2.97539741031825	1e-10	9.48117647058824e-09	8.18204334365325e-09	4569	tags=72%, list=17%, signal=60%	UBE3A/UBQLN1/PSMC3/ZFAND2A/PSMD5/VCP/PSMD8/PSMB6/PSMD11/PSME1/PSMA5/PSMA1/ECPAS/RAD23A/PSMD2/PSMC4/PSMD12/RAD23B/USP14/PAAF1/UCHL5/PSMD7/PSMB10/PSMC1/PSMD4/PSMA7/PSMD14/TXNL1/PSMB4/PSMD3/PSMC2/PSMD13/PSMB1/PSMB2/PSMD1/PSMC6/PSMA6/PSMB7/PSMD6/PSMA4/PSMA2/PSME4/PSMA3
BP	GO:0042773	ATP synthesis coupled electron transport	88	-0.649490584203441	-2.9594182426536	1e-10	9.48117647058824e-09	8.18204334365325e-09	4203	tags=59%, list=16%, signal=50%	NDUFS7/COX8A/COX7B/NDUFC2/COX6A1/CHCHD2/COX5B/PINK1/NDUFB6/SDHAF2/NDUFA1/NDUFB3/UQCRB/DGUOK/NDUFV3/COX7A2/NDUFB10/NDUFA12/UQCRQ/NDUFAB1/UQCR10/NDUFA10/SDHC/COX6C/COX4I1/NDUFA4/NDUFAF1/COX5A/CYC1/COX7C/SDHA/NDUFB9/UQCRFS1/NDUFA8/GHITM/UQCRC1/NDUFS3/NDUFB5/NDUFC1/NDUFA9/SDHB/DLD/NDUFS2/NDUFB4/NDUFS5/NDUFS1/NDUFA6/NDUFS4/COX15/UQCRHL/UQCRC2/DNAJC15
MF	GO:0003823	antigen binding	151	-0.583253156990356	-2.94527300291452	1e-10	9.48117647058824e-09	8.18204334365325e-09	4228	tags=49%, list=16%, signal=41%	KLRD1/IGHV3-64/TGFB1/MICB/IGKV1D-33/IGKV1D-12/IGLV3-27/HLA-F/HLA-A/IGHV1-18/PPP2R1A/TRGV9/IGKV3-15/IGKV5-2/IGHV3-15/IGKV1-16/IGHV3-49/IGLC6/IGLV2-8/IGLV3-25/PLG/IGHG4/IGHV4-61/IGHV6-1/IGLV2-11/IGHV3-33/IGHV3-20/IGHM/IGHV3-43/IGLC7/IGHA1/IGHV3-23/IGHV5-51/IGHV3-30/IGHV3-13/IGHV1-58/IGHV4-31/IGHV2-26/IGHV1-24/IGLV3-21/IGKV3-20/IGKV1D-39/IGHV3-11/IGHV1-69/IGHD/SLC7A9/IGHV4-28/IGKV1-5/IGHV1-69D/IGLV6-57/IGHV4-39/IGLV2-23/IGKC/IGHG2/IGLV1-40/IGLV2-14/IGLC3/IGHV1-69-2/IGLV1-44/IGKV1-39/IGHV4-59/IGHV4-34/IGKV4-1/IGLC2/IGLV3-1/IGLV3-19/IGHG1/IGLV7-43/IGHV1-45/IGLV1-51/IGLC1/IGHG3/IGLV1-47/IGKV1-17
