representative	grouped_terms	genes
primary lysosome	primary lysosome;azurophil granule	VAMP8;ACTR2;CD63;DDOST;TMEM179B;IMPDH1;VAT1;MANBA;LAMP1;MAN2B1;CTSC;CTSA;C3AR1;LPCAT1;ANXA2;NDUFC2;CAP1;CCT2;C6orf120;CPPED1;NFAM1;FABP5;RAB5C;GAA;FUCA2;DSN1;CPNE3;GNS;NPC2;ATP8A1;PLAC8;IRAG2;CCT8;HEXA;PYCARD;NCSTN;TRAPPC1;VNN1;GRN;HEXB;VCP;C3;CD68;PSEN1;RNASET2;GDI2;GLB1;PSAP;TUBB;SDCBP;PRKCD;RETN;DYNC1H1;FUCA1;LAMP2;PSMD1;LYZ;DNAJC13;ACTR10;TUBB4B;PRCP;RAB44;GGH;PRSS57;ADA2;MGST1;CTSG;RNASE2;RNASE3;CEACAM8;BPI;DEFA3;DEFA4;PRTN3;MPO;AZU1;ELANE
B cell mediated immunity	B cell mediated immunity;immunoglobulin mediated immune response	TP53BP1;C4B;IGHV2-5;IGLC6;CD19;IL27RA;INPP5D;GAPT;ZP3;C4A;CR2;EXOSC3;C8A;CR1;C1RL;FCGR2A;FOXJ1;IGHV3-72;PAXIP1;CD40;MLH1;FCGR2C;MYD88;C8B;IGHV4-28;C2;IGHV1-58;IGHV3-66;IGHV1-69;C6;IGHV3-64;C4BPA;IGHA2;IGHV3-64D;MPL;IGHV3-21;IGHV1-69-2;IGHV4-31;SWAP70;CSF2RB;IGHV3-53;IGHV1-3;C9;C1QBP;IGHD;NBN;CD27;IGHV3-48;IGHV3-7;IGHV3-49;IGHV3-43;IL21R;CD70;IGHV3-73;SERPING1;FCER2;IGHV4-4;IL13RA2;FCGR1A;IGHV1-18;IGHV3-20;IGHV3-30;IGLC7;FCGR2B;IGHA1;CFI;C3;HLA-G;MSH6;IGLC2;FCER1A;CD74;IGHV1-69D;IGHV3-15;C5;BTK;CLU;TGFB1;LTA;IGHV5-51;PRKCD;MSH2;C1QC;IGHV3-33;IGHV2-26;C1QB;PTPN6;IGHM;C1QA;C1S;IGHV3-23;IGHV3-11;FCER1G;IGHV3-13;FCGR3A;IGHV1-45;IGHV4-61;IGHV1-24;IGHG1;IGHV4-59;IGHG3;IGKC;IGLC3;RNF8;IGHV6-1;TNF;IGHV4-39;IGHV4-34;IGHV3-74;EXO1;IGLC1;IGHG2
cytoplasmic vesicle lumen	cytoplasmic vesicle lumen;secretory granule lumen;vesicle lumen	CREG1;GSTP1;ORM1;ACTN4;FGG;LCN2;LGALS3BP;CLEC3B;VPS13A;NFKB1;CTSW;GM2A;SERPINA1;PA2G4;TMSB4X;CAT;COMMD9;ALAD;APP;NEU1;HP;BIN2;ACTR2;ALOX5;EGF;S100A9;CYFIP1;CRISP3;CTSH;F8;CAND1;SERPINI1;IMPDH1;VAT1;S100A11;S100A8;PSMB1;MAN2B1;CTSC;PSMD13;FGR;CTSA;MMRN1;GMFG;QPCT;ANXA2;B2M;ALDOA;CAP1;CCT2;C6orf120;PCYOX1L;PSMD11;CPPED1;ALB;CSNK2B;FABP5;MAGED2;FUCA2;HK3;DSN1;HUWE1;GNS;HSPA8;PRDX4;ACAA1;OLA1;PF4;CTSZ;PPBP;NPC2;ERP44;PLAC8;PSMC2;KNG1;FN1;F5;DYNLT1;TF;SELENOP;KPNB1;SCG3;SRGN;ADA;SCCPDH;SERPING1;XRCC5;PSMD2;TIMP1;ACTN2;PSMB7;F13A1;IDH1;PSMD3;PSMD7;DOCK2;ILF2;CCT8;PYCARD;DERA;SRP14;TRAPPC1;PKM;GRN;HEXB;MMP8;FERMT3;PSMD6;VCP;C3;PSMD14;EEF1A1;PSMA5;RNASET2;ATG7;PRG3;COTL1;GDI2;CFD;GLB1;CLU;TUBB;TGFB1;APOH;CAMP;SDCBP;PRKCD;RETN;HPSE;DYNC1H1;CHIT1;PTPN6;PSMA2;FUCA1;PLG;PSMD1;HSPA6;LYZ;OLFM4;ACTR10;PGLYRP1;OSCAR;PGAM1;FCN1;TCN1;TUBB4B;XRCC6;CFP;GGH;EPX;PRSS57;ADA2;CTSG;AMPD3;RNASE2;RNASE3;LTF;BPI;DEFA3;DEFA4;PRTN3;MPO;AZU1;ELANE
lymphocyte mediated immunity	lymphocyte mediated immunity;leukocyte mediated immunity	CLC;PLEKHM2;TP53BP1;C4B;IGHV2-5;HFE;IGLC6;SMAD7;CD19;IL27RA;INPP5D;GAPT;CADM1;PIK3R6;IL18;ZP3;AIRE;WAS;C4A;CR2;EXOSC3;CD2;C8A;CR1;C1RL;FCGR2A;FUT7;CTSH;FOXJ1;IGHV3-72;IL6;PAXIP1;CD40;LILRB1;HLA-F;LAMP1;NLRP3;MLH1;FCGR2C;CD1C;CTSC;MYD88;FBXO38;SPN;C8B;IGHV4-28;MYO1G;C2;B2M;IGHV1-58;IL12RB1;IGHV3-66;HLA-DRB1;IGHV1-69;C6;RSAD2;IGHV3-64;C4BPA;IGHA2;IGHV3-64D;MPL;IGHV3-21;CD80;IGHV1-69-2;IGHV4-31;HAVCR2;SWAP70;CSF2RB;IGHV3-53;IGHV1-3;C9;C1QBP;IGHD;KDM5D;NBN;CD27;IGHV3-48;IGHV3-7;IGHV3-49;HLA-B;IGHV3-43;IL21R;HLA-A;CLEC4G;CD70;IGHV3-73;SERPING1;FCER2;IGHV4-4;IL13RA2;FCGR1A;IGHV1-18;IGHV3-20;IGHV3-30;IGLC7;FCGR2B;SASH3;SLAMF7;IGHA1;CFI;IL1B;ULBP2;C3;LEP;HLA-G;VAV1;MSH6;CORO1A;IGLC2;LGALS9;FCER1A;CD74;IGHV1-69D;IGHV3-15;LILRB4;C5;IL4I1;BTK;CLU;TUBB;TGFB1;LTA;IGHV5-51;PRKCD;NCKAP1L;MSH2;C1QC;IGHV3-33;HLA-DRA;IGHV2-26;C1QB;PTPN6;IGHM;C1QA;C1S;IGHV3-23;IGHV3-11;FCER1G;IGHV3-13;FCGR3A;IGHV1-45;IGHV4-61;IGHV1-24;IGHG1;IGHV4-59;IGHG3;PRDX1;IGKC;MICB;TUBB4B;IGLC3;ULBP3;RNF8;IGHV6-1;CCR2;TNF;ARRB2;IGHV4-39;IGHV4-34;IGHV3-74;EXO1;IGLC1;IGHG2;SNAP23;CXCL6;STXBP1;CBL;TLR4;JAGN1;TLR3;TLR9;BST2;SNX4;VAMP8;CCL3;ADAM17;CPLX2;FGR;PIK3CD;SCIMP;DNASE1L3;GAB2;PTAFR;CLEC7A;DDX1;CX3CR1;PIK3CG;ITGAM;MILR1;RAC2;SPI1;CD300A;TYROBP;ITGB2;SYK;ACE;RAB44;CTSG;AZU1;ELANE
ATP synthesis coupled electron transport	ATP synthesis coupled electron transport;mitochondrial ATP synthesis coupled electron transport	COX7B;COX7A2;NDUFC1;NDUFA1;COX8A;COX4I1;COX7C;COA6;UQCRB;NDUFC2;COX5A;NDUFB5;PARK7;BID;UQCRH;NDUFA12;NDUFB3;NDUFS3;NDUFA4;NDUFS5;SDHC;NDUFB4;NDUFA6;PINK1;SDHA;UQCRC1;NDUFA8;SDHB;UQCRFS1P1;GHITM;DLD;NDUFA9;NDUFS2;NDUFS1;NDUFAF1;UQCRFS1;NDUFS4;COX15;UQCRHL;CDK1;UQCRC2;DNAJC15;CCNB1
proteasome complex	proteasome complex;endopeptidase complex;peptidase complex	PSMC3;PSMC6;ADRM1;PSMD5;UCHL5;RAD23B;PSMB9;PSMB8;PSMC4;PSMD10;PSMB5;RAD23A;UBQLN1;PSMB1;PSMD13;PSMB4;PSMD11;PSMD8;PSMB6;PSMC2;PSME1;PSMD2;PSMB7;PSMD4;PSMD3;PSMD7;PSMB10;PSMA7;PSME4;PSMD6;VCP;PSMD14;PSMA5;PSMC1;PSMB2;ECPAS;PSMA6;PSMA1;PSMA2;TXNL1;PSMD1;PSMA4;PSMA3;PIGK;FCN2;PIGT;CASP2;PIGU;HTRA2;CFH;CAPNS1;PLAUR;FCN1;SPCS2;AFG3L2;TAF12;SUPT20HL1;SF3B3;TAF9;ENY2;TAF6;SPCS1;SEC11A
regulation of mitotic sister chromatid separation	regulation of mitotic sister chromatid separation;mitotic sister chromatid separation;chromosome separation;mitotic spindle assembly checkpoint signaling;spindle assembly checkpoint signaling;mitotic spindle checkpoint signaling;negative regulation of sister chromatid segregation;negative regulation of mitotic sister chromatid segregation;negative regulation of mitotic metaphase/anaphase transition;negative regulation of mitotic sister chromatid separation;spindle checkpoint signaling;negative regulation of chromosome segregation;negative regulation of metaphase/anaphase transition of cell cycle;negative regulation of chromosome separation	PSMG2;CUL3;NSMCE2;KNL1;TRIP13;DYNC1LI1;HASPIN;PLK1;BIRC5;NUF2;IK;MAD2L1;ZWINT;SPC25;UBE2C;SPC24;CDCA8;TTK;DLGAP5;NDC80;CDC23;BUB1B;CCNB1;CENPF;BUB1;AURKB;CDC20;SMC2;SMC4;NCAPG2;NCAPH;NCAPG
regulation of chromosome separation	regulation of chromosome separation;chromosome separation	INCENP;ZW10;NCAPD2;SPDL1;ESPL1;SMC2;PSMG2;CUL3;NSMCE2;SMC4;KNL1;NCAPG2;TRIP13;DYNC1LI1;HASPIN;PLK1;BIRC5;NUF2;IK;MAD2L1;ZWINT;SPC25;UBE2C;SPC24;CDCA8;TTK;DLGAP5;NDC80;CDC23;BUB1B;CCNB1;NCAPH;CENPF;BUB1;AURKB;NCAPG;CDC20
regulation of chromosome segregation	regulation of chromosome segregation;regulation of sister chromatid segregation;regulation of mitotic metaphase/anaphase transition;metaphase/anaphase transition of mitotic cell cycle;regulation of metaphase/anaphase transition of cell cycle;metaphase/anaphase transition of cell cycle	MAP3K20;SMC2;PSMG2;CUL3;NSMCE2;SMC4;KNL1;BECN1;NCAPG2;HECW2;TRIP13;DYNC1LI1;ACTL6A;HASPIN;PLK1;BIRC5;NUF2;RMI2;IK;SMARCE1;SMARCB1;KAT5;KIF2C;MAD2L1;CENPE;ZWINT;SPC25;UBE2C;SPC24;CDCA8;TTK;CDK1;DLGAP5;CDCA2;NDC80;BRD7;CDC23;BUB1B;CCNB1;NCAPH;CENPF;BUB1;MKI67;AURKB;NCAPG;CDC20
mitotic sister chromatid segregation	mitotic sister chromatid segregation;sister chromatid segregation	STAG1;CHMP5;CENPI;SKA2;SMC1A;INCENP;ZW10;NCAPD2;RAN;CHMP4B;BAZ1B;SMARCA5;SPDL1;ESPL1;KIF22;BCCIP;CHMP2A;CENPK;NUSAP1;SMC2;PSMG2;CUL3;NSMCE2;KPNB1;TPX2;SMC4;KIF18A;KNL1;BECN1;CHMP3;NCAPG2;KIF14;NEK2;TRIP13;DYNC1LI1;TUBG1;RHOA;HASPIN;PLK1;BIRC5;NUF2;IK;CDT1;SKA3;RACGAP1;KAT5;DRG1;KIF2C;MAD2L1;KIF11;CENPE;ZWINT;SPC25;UBE2C;KIF23;SPC24;CDCA8;SKA1;PRC1;TTK;CDK1;SMC3;KIF18B;DLGAP5;NDC80;CDCA5;CDC23;BUB1B;CCNB1;NCAPH;CENPF;UHRF1;BUB1;KIFC1;AURKB;NCAPG;KIF4A;MYBL2;CDC20;ANAPC1;RIOK2;TOP2B;MAP3K20;HECW2;ACTL6A;RMI2;SMARCE1;SMARCB1;BRD7;TOP2A
