ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
CC	GO:0019814	immunoglobulin complex	135	0.702057716578535	3.48134126274337	1e-10	1.007375e-07	9.23157894736842e-08	3492	tags=63%, list=13%, signal=55%	IGKV1-8/IGHV3-64D/IGLV3-1/IGLV3-27/IGLV5-45/IGKV1-17/IGLV5-37/IGLV7-46/IGKV1-9/IGHV3-11/IGHV1-18/IGKV3-20/IGLV1-44/IGHV2-5/IGHV5-51/IGLV4-69/IGKV3D-20/IGLV3-21/IGLV3-25/IGHG1/IGHV4-39/IGHV3-21/IGLV2-18/IGHV3-53/IGHV2-26/IGKV4-1/IGKV3D-15/IGHV4-59/IGLV9-49/IGKV1D-33/IGHV3-20/IGLV3-12/IGLV2-23/IGHV3-72/IGKV3-7/IGHV3-23/IGHV3-30/IGHV1-45/IGHV1-69D/IGHV4-31/IGHV1-69/IGHV3-43/IGKV3-15/IGHV1-3/IGLV1-40/IGHV6-1/IGHV4-61/IGLV3-10/IGHV3-33/IGKV2D-29/IGHA2/IGHV2-70D/IGKV1-16/IGKV1-39/IGHV3-66/IGHV3-7/IGHA1/IGKV2-28/IGHM/IGHV4-34/IGHV1-58/IGHV3-73/IGLV1-36/IGKV1-27/IGLV1-51/IGHV3-13/IGHV1-69-2/IGLV3-19/IGHV3-64/IGLV6-57/IGHV4-28/IGHV3-49/IGLV7-43/IGKV2-29/IGLC3/IGHV5-10-1/IGLV8-61/IGKV1-5/IGHV3-48/IGKC/IGLC2/IGKV1-12/IGHV3-15/IGLV2-14/IGKV3D-11
MF	GO:0003823	antigen binding	151	0.615358316089172	3.07769109764866	1e-10	1.007375e-07	9.23157894736842e-08	3617	tags=55%, list=14%, signal=48%	IGHV3-64D/IGLV3-1/IGLV3-27/IGKV1-17/IGHV3-11/IGHV1-18/IGKV3-20/IGLV1-44/IGHV2-5/IGHV5-51/SLC7A9/KIR2DL3/IGLV3-21/IGLV3-25/IGHG1/IGHV4-39/IGHV3-21/CD1D/IGHV3-53/IGHV2-26/IGKV4-1/IGHV4-59/IGKV1D-33/IGHV3-20/HLA-DMA/IGLV2-23/IGHV3-72/IGHV3-23/IGHV3-30/IGHV1-45/IGHV1-69D/IGHV4-31/IGHV1-69/IGHV3-43/IGKV3-15/IGHV1-3/HLA-DMB/IGLV1-40/IGHV6-1/IGHV4-61/HLA-C/IL7R/IGHV3-33/IGHA2/IGHV2-70D/IGKV1-16/IGKV1-39/IGHV3-66/IGHV3-7/IGHA1/IGHM/HLA-DRA/HLA-DQB2/IGHV4-34/IGHV1-58/IGHV3-73/IGLV1-51/IGHV3-13/IGHV1-69-2/IGLV3-19/IGHV3-64/IGLV6-57/FCN2/IGHV4-28/IGHV3-49/IGLV7-43/IGLC3/CD1E/IGHV5-10-1/CD1B/IGKV1-5/ITGA4/IGHV3-48/IGKC/TRBV7-9/HLA-DPA1/IGLC2/TRAV19/IGHV3-15/TSPAN4/IGLV2-14/HLA-H/HLA-DPB1
BP	GO:0006956	complement activation	64	0.618905993724414	2.64076349710602	1e-10	1.007375e-07	9.23157894736842e-08	5705	tags=69%, list=21%, signal=54%	C6/CFH/C5/CFI/C1RL/C9/IGHG1/RGCC/C7/C8B/COLEC11/C3/MASP2/COLEC10/SERPING1/IGHA2/C8A/C1S/IGHA1/CFHR2/C4BPA/IGHM/SUSD4/C1QB/CFHR5/CD5L/FCN2/C2/C4B/A2M/C1QA/CFD/CR1/C1QC/CFP/MASP1/VSIG4/SVEP1/C1R/CLU/CFB/FCN3/FCN1/C4A
CC	GO:0072562	blood microparticle	139	0.511985057696793	2.55143474686234	1e-10	1.007375e-07	9.23157894736842e-08	5329	tags=57%, list=20%, signal=46%	IGKV1-17/CFH/GSN/HBG2/IGKV3-20/CP/IGLV3-21/C9/IGLV3-25/IGHG1/PROS1/HPR/IGKV4-1/ORM1/IGKV1D-33/IGHV3-23/C3/STOM/PZP/CPN2/IGKV3-15/F2/SERPINF2/HP/SERPING1/AGT/IGHA2/HPX/APCS/C8A/ITIH4/ENG/C1S/IGKV1-39/IGHV3-7/FGB/IGHA1/C4BPA/IGHM/ANGPTL4/IGHV3-13/C1QB/GC/CD5L/FCN2/SERPINC1/C4B/FGA/FGG/IGLC3/A2M/SERPINA3/IGKV1-5/IGKC/IGLC2/ZBTB38/C1QC/ITGA2B/ORM2/IGHD/DNPEP/IGKV1D-12/F13A1/JCHAIN/C1R/FN1/TFRC/HBB/ITIH1/CLU/VTN/PLG/ITIH2/CFB/HBA2/HBA1/HSPA2/LGALS3BP/FCN3
BP	GO:0016064	immunoglobulin mediated immune response	187	0.484848014157089	2.51635658705801	1e-10	1.007375e-07	9.23157894736842e-08	4364	tags=44%, list=16%, signal=37%	IGHV3-64D/C6/NFKBIZ/C5/IGHV3-11/FCGR2C/IGHV1-18/CFI/IGHV2-5/IGHV5-51/C1RL/C9/IGHG1/IGHV4-39/IGHV3-21/IGHV3-53/IGHV2-26/C7/IGHV4-59/IGHV3-20/C8B/IGHV3-72/IGHV3-23/IGHV3-30/C3/IGHV1-45/IGHV1-69D/IGHV4-31/IGHV1-69/IGHV3-43/MASP2/IGHV1-3/IGHV6-1/IGHV4-61/NBN/IGHV3-33/SERPING1/IGHA2/HPX/MSH6/C8A/IGHV2-70D/C1S/IGHV3-66/IGHV3-7/IGHA1/C4BPA/IGHM/FCGR3A/SUSD4/IGHV4-34/IGHV1-58/IGHV3-73/IGHV3-13/C1QB/IGHV1-69-2/IGHV3-64/C2/IGHV4-28/IGHV3-49/C4B/IL9R/FCGR2B/CD74/IGLC3/C1QA/IGHV5-10-1/IGHV3-48/PTPRC/IGKC/IGLC2/IGHV3-15/CR1/C1QC/BTK/CD28/TNFSF4/IGHD/SVEP1/INPP5D/CSF2RB/GAPT/C1R
BP	GO:0016054	organic acid catabolic process	247	0.39225310553702	2.08689660352614	1e-10	1.007375e-07	9.23157894736842e-08	6119	tags=40%, list=23%, signal=31%	PRODH/TDO2/LPIN2/AASS/TAT/HAL/SLC25A21/ARG1/LONP2/HGD/NUDT7/HEXB/HSD17B4/HAO2/PCCA/ACMSD/CPT1A/ETFDH/CPT1B/SULT2A1/ACAT2/HADHA/SDS/IRS2/AUH/KYAT3/HACL1/ABCB11/PEX13/PLIN5/CROT/ECHDC1/BCKDHA/MCCC2/SDSL/ACOT4/PEX7/GLUD2/SARDH/HYKK/HEXA/AMDHD1/PCCB/ETFA/PON3/DLD/HSD17B10/ABHD2/MTHFS/ALDH8A1/ETFB/HMGCLL1/HADHB/SHMT1/SCP2/MCEE/KMO/LPIN3/PCK1/SLC27A2/PIPOX/ECHDC2/AIG1/FAH/ENOSF1/DDO/CYP4F3/IDO2/ACACB/MTRR/MFSD2A/AKR1A1/BCKDHB/GPT2/ACOT8/RIDA/AGXT2/CRYL1/CNR1/ACADM/CPT2/ABHD3/HAO1/ACOT7/ETFBKMT/CBS/ABAT/GCDH/AGXT/BCAT2/FAAH/ACAD11/FABP1/DDAH1/ACAA2/NPL/DECR1/GLYATL2
CC	GO:0062023	collagen-containing extracellular matrix	405	0.334002158697315	1.89292764248061	1.75796086699839e-10	1.57415629190445e-07	1.44255595822932e-07	4854	tags=34%, list=18%, signal=29%	GDF15/EYS/MMRN1/LGALS4/COL5A3/TIMP3/EGFLAM/PCSK6/LAMB1/PRELP/COMP/F3/LOX/CDH13/NTN4/FGL2/F9/MXRA7/SERPINF1/MXRA5/TNXB/P3H2/COL4A3/NTN1/ADAMTS2/ORM1/LMAN1L/LAMC3/FBLN5/LAMA2/GPC4/NID1/ANGPT4/DCN/PZP/MFGE8/ANGPTL6/HMCN1/COL4A4/F2/SERPINF2/VWF/SRPX/ANGPT1/SULF1/TNN/SERPING1/AGT/ANXA7/HPX/APCS/TPSB2/CPA3/NAV2/ITIH4/CILP/ANGPTL1/FGB/SMOC1/BGN/SPARC/ECM2/ANGPTL4/TINAGL1/IGFBP7/SPARCL1/EMILIN3/ANXA4/GPC3/CLEC3B/C1QB/HAPLN2/ASPN/TIMP2/FMOD/FCN2/COL19A1/ANG/SERPINC1/PODN/MARCO/FGA/AZGP1/FGG/A2M/C1QA/GDF10/MST1/LTBP4/SERPINA3/FGL1/SERPINA1/FBN1/CTSC/GPC6/BCAM/CSTB/C1QC/COL6A6/IL7/TPSAB1/CTSG/CSPG4/ORM2/CFP/ADAMDEC1/MMP2/ANGPT2/ADAMTS10/MEGF9/COL24A1/ECM1/CLEC14A/APOH/F13A1/CTSS/ANGPTL3/CCN2/TNR/FGFR2/LAMB2/CMA1/MMP9/FN1/ITIH1/LOXL3/CLU/VTN/EFEMP2/CLC/GPC5/WNT2/PLG/COL9A2/COL25A1/ITIH2/CALR/COL18A1/LAMC1
CC	GO:0022626	cytosolic ribosome	116	-0.534551441497006	-2.23757798807113	8.65401613275332e-10	6.9742716013859e-07	6.39121865130498e-07	7568	tags=62%, list=28%, signal=45%	RPL3L/RPL23/RPL19/RPS2/NHP2/RPL5/RPS9/RNF10/RPLP2/RPS13/ETF1/RPL27/RPS18/RPL39/RPL23A/RPL37/RPL12/FAU/RPS8/RPL22/RPL18/RPS3A/RPLP0/RPS3/RSL1D1/RNF25/RPL11/RPL13/RPL7A/RPSA/RACK1/RPL7/RPS12/RPS28/RPL29/RPL6/RPL14/UBA52/ZCCHC17/RPS5/RPS21/RPL35A/RPS19/RPS25/RPL28/RPL38/ZNF598/RPL24/RPS7/RPLP1/RPS27A/RPS16/RPL27A/RPL18A/RPL35/RPL37A/RPL8/RPL13A/SNU13/RPS14/RPS20/RPL41/RPL36/RPL21/RPS10/RPL17/RPS15/RPS29/RPS17/RPL10/RPS15A/RPS27
BP	GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	351	0.32869712945063	1.82997385261024	1.51709505078381e-09	1.11147900129698e-06	1.01855874414347e-06	4368	tags=32%, list=16%, signal=27%	IGHV3-64D/C6/CXCL13/ARG1/RORA/EMP2/NFKBIZ/C5/IGHV3-11/FCGR2C/IGHV1-18/CFI/IGHV2-5/IGHV5-51/C1RL/C9/TLR4/IGHG1/IGHV4-39/IGHV3-21/CD1D/IGHV3-53/IGHV2-26/C7/IGHV4-59/STX7/IGHV3-20/C8B/IGHV3-72/IGHV3-23/IGHV3-30/CLEC7A/C3/TNFAIP3/IGHV1-45/TYK2/IGHV1-69D/IGHV4-31/IGHV1-69/IGHV3-43/MASP2/IGHV1-3/IGHV6-1/IGHV4-61/HLA-C/NBN/IL7R/IGHV3-33/IL18R1/SERPING1/IGHA2/HPX/MSH6/C8A/IGHV2-70D/C1S/IGHV3-66/IGHV3-7/IGHA1/C4BPA/IGHM/HLA-DRA/FCGR3A/SUSD4/IGHV4-34/IGHV1-58/IGHV3-73/HFE/IGHV3-13/C1QB/IGHV1-69-2/IGHV3-64/C2/IGHV4-28/IGHV3-49/C4B/IL9R/FCGR2B/CD74/IGLC3/C1QA/CD1E/IL18/IGHV5-10-1/JUNB/CD1B/IGHV3-48/DENND1B/PTPRC/NLRP3/IGKC/CTSC/IGLC2/IGHV3-15/CR1/C1QC/SEMA4A/HLA-H/BTK/CD28/TNFSF4/STAT3/IGHD/SVEP1/SLAMF6/HMGB1/INPP5D/CSF2RB/GAPT/C1R/SCART1
BP	GO:0002181	cytoplasmic translation	157	-0.475892773389854	-2.08782319977448	3.82188033690065e-09	2.56671113625686e-06	2.35213267049956e-06	7835	tags=55%, list=29%, signal=39%	PKM/IGF2BP1/RPL3/EIF3G/EIF2S2/RPL23/RPL19/RPS2/RPL5/RPS9/RPLP2/RPS13/METTL3/SLBP/RBM24/ETF1/RPL27/ZNF385A/RPS18/EIF3F/RPL39/RPL23A/RPL37/RPL12/NCBP1/FAU/FTSJ1/RPS8/RPL22/RPL18/RPS3A/RPLP0/RPS3/RPL11/RPL13/RPL7A/RPSA/RACK1/RPL7/RPS12/RPS28/EIF2B2/RPL29/EIF3J/RPL6/RPL14/UBA52/RPS5/RPS21/RPL35A/RPS19/RPS25/EIF2B4/RPL28/RPL38/YBX3/DENR/RPL24/RPS7/EIF3I/RPLP1/RPS27A/RPS16/RPL27A/RPL18A/PARP16/RPL35/RPL37A/RPL8/RPL13A/RPS14/RPS20/NCBP2/RPL41/RPL36/RPL21/RPS10/RPL17/RPS15/RPS29/RPS17/RPL10/EIF4A2/RPS15A/RPS27/RBM4
