representative	grouped_terms	genes
immunoglobulin mediated immune response	immunoglobulin mediated immune response;B cell mediated immunity	IGHV3-64D;C6;NFKBIZ;C5;IGHV3-11;FCGR2C;IGHV1-18;CFI;IGHV2-5;IGHV5-51;C1RL;C9;IGHG1;IGHV4-39;IGHV3-21;IGHV3-53;IGHV2-26;C7;IGHV4-59;IGHV3-20;C8B;IGHV3-72;IGHV3-23;IGHV3-30;C3;IGHV1-45;IGHV1-69D;IGHV4-31;IGHV1-69;IGHV3-43;MASP2;IGHV1-3;IGHV6-1;IGHV4-61;NBN;IGHV3-33;SERPING1;IGHA2;HPX;MSH6;C8A;IGHV2-70D;C1S;IGHV3-66;IGHV3-7;IGHA1;C4BPA;IGHM;FCGR3A;SUSD4;IGHV4-34;IGHV1-58;IGHV3-73;IGHV3-13;C1QB;IGHV1-69-2;IGHV3-64;C2;IGHV4-28;IGHV3-49;C4B;IL9R;FCGR2B;CD74;IGLC3;C1QA;IGHV5-10-1;IGHV3-48;PTPRC;IGKC;IGLC2;IGHV3-15;CR1;C1QC;BTK;CD28;TNFSF4;IGHD;SVEP1;INPP5D;CSF2RB;GAPT;C1R
organic acid catabolic process	organic acid catabolic process;carboxylic acid catabolic process	PRODH;TDO2;LPIN2;AASS;TAT;HAL;SLC25A21;ARG1;LONP2;HGD;NUDT7;HEXB;HSD17B4;HAO2;PCCA;ACMSD;CPT1A;ETFDH;CPT1B;SULT2A1;ACAT2;HADHA;SDS;IRS2;AUH;KYAT3;HACL1;ABCB11;PEX13;PLIN5;CROT;ECHDC1;BCKDHA;MCCC2;SDSL;ACOT4;PEX7;GLUD2;SARDH;HYKK;HEXA;AMDHD1;PCCB;ETFA;PON3;DLD;HSD17B10;ABHD2;MTHFS;ALDH8A1;ETFB;HMGCLL1;HADHB;SHMT1;SCP2;MCEE;KMO;LPIN3;PCK1;SLC27A2;PIPOX;ECHDC2;AIG1;FAH;ENOSF1;DDO;CYP4F3;IDO2;ACACB;MTRR;MFSD2A;AKR1A1;BCKDHB;GPT2;ACOT8;RIDA;AGXT2;CRYL1;CNR1;ACADM;CPT2;ABHD3;HAO1;ACOT7;ETFBKMT;CBS;ABAT;GCDH;AGXT;BCAT2;FAAH;ACAD11;FABP1;DDAH1;ACAA2;NPL;DECR1;GLYATL2
vesicle lumen	vesicle lumen;secretory granule lumen;cytoplasmic vesicle lumen	POMC;MMRN1;TIMP3;GUSB;ARG1;AGA;F8;F5;GSN;CDC37L1;HEXB;AGL;PSMC2;EGFR;PROS1;HGF;PRDX6;DERA;ORM1;SPACA7;CHI3L1;C3;ADA2;PPIE;CTSA;SERPINF2;VWF;QSOX1;HP;APP;SERPING1;ITIH4;LYZ;CPPED1;FGB;CYB5R3;RNASE2;NHLRC3;SPARC;MAN2B1;PRDX4;CXCL1;FUCA1;CRISPLD2;CLEC3B;FUCA2;DDX3X;TIMP2;XRCC5;FGA;ALOX5;AOC1;FGG;A2M;MAPK14;CFD;NIT2;SERPINA3;PSMA2;SERPINA1;JUP;CTSC;GAS6;PENK;ALDOC;APOOL;CSTB;ISLR;NPC2;GRN;ARMC8;CTSG;RNASET2;ORM2;PSMB1;PSMD6;CFP;GCA;GMFG;GHRL;ECM1;GLB1;ATG7;DNASE1L1;APOH;F13A1;HMGB1;CHIT1;VPS13A;DEFA3;PRSS2;FN1;MVP;DBH;ACTR2;CLU;PLG;EGF;MNDA;GDI2;ITIH3;TCN1;SRGN;B2M;LGALS3BP;GM2A;IGF1;SERPINI1;CRACR2A;FCN1;DOCK2;ROCK1;STK11IP;PSMD1;VEGFC;SERPINE1;PF4;GNS;OSTF1;ERP44;THBS1;OLA1;APAF1;PSMD14;TMSB4X;NHLRC2;HEBP2;SLPI;PSMC3;RNASE3;PGAM1;PSMB7;ACTR10;SELENOP;ARHGAP45;NAPRT;MAGED2;GGH;QPCT;KNG1;CYFIP1;PGLYRP1;CAND1;VEGFA;ACAA1;PYGL;LRG1
fatty acid catabolic process	fatty acid catabolic process;monocarboxylic acid catabolic process	LPIN2;LONP2;NUDT7;HSD17B4;HAO2;PCCA;CPT1A;ETFDH;CPT1B;ACAT2;HADHA;IRS2;AUH;HACL1;ABCB11;PEX13;PLIN5;CROT;ECHDC1;PEX7;PCCB;ETFA;HSD17B10;ABHD2;ETFB;HADHB;SCP2;MCEE;LPIN3;PCK1;SLC27A2;ECHDC2;AIG1;CYP4F3;ACACB;MFSD2A;ACOT8;CNR1;ACADM;CPT2;ABHD3;HAO1;ACOT7;ETFBKMT;GCDH;FAAH;ACAD11;FABP1;ACAA2;DECR1;GLYATL2;HEXB;SULT2A1;HEXA;FAH;AKR1A1;AGXT2;CRYL1;AGXT
structural constituent of ribosome	structural constituent of ribosome;ribosomal subunit;ribosome	RPS2;MRPL52;RPL5;MRPS23;RPS9;RPLP2;MRPL11;RPS13;RPL27;RPS18;MRPS7;RPL39;MRPS2;RPL23A;RPL37;MRPL43;RPL12;FAU;RPS8;RPL22;RPL18;RPS3A;MRPL28;MRPL33;RPLP0;RPS3;MRPL49;RPL13AP3;MRPL35;RPL11;RPL13;RPL7A;RPSA;RPL7;RPS12;RPS28;RPL29;MRPS12;RPL6;RPL14;UBA52;RPS5;RPS21;RPL35A;RPS19;RPS25;RPL28;RPL38;RPL24;RPS7;RPLP1;RPS27A;MRPL18;RPS16;RPL27A;RPL18A;RPL35;RPL37A;MRPL12;RPL8;RPL13A;RPS14;RPS20;MRPS25;RPL41;MRPS6;MRPL10;RPL36;RPL21;RPS10;RPL17;RPS15;LINC01004;RPS29;RPS17;RPL10;RPS15A;RPS27;MRPS17;MRPS34;NHP2;MTERF4;MRPS26;RSL1D1;RACK1;CHCHD1;ZCCHC17;MPV17L2;SNU13;RNF10;ETF1;SERP1;RNF25;MTG1;ZNF598;MTG2
leukocyte mediated immunity	leukocyte mediated immunity;lymphocyte mediated immunity	IGHV3-64D;C6;ARG1;EMP2;NFKBIZ;C5;KIT;IGHV3-11;FCGR2C;IGHV1-18;CFI;IGHV2-5;IGHV5-51;C1RL;FOXF1;C9;TLR4;IGHG1;IGHV4-39;IGHV3-21;CD1D;IGHV3-53;IGHV2-26;F2RL1;C7;IGHV4-59;STX7;IGHV3-20;C8B;IGHV3-72;IGHV3-23;IGHV3-30;CLEC7A;C3;IGHV1-45;IGHV1-69D;IGHV4-31;IGHV1-69;IGHV3-43;MASP2;IGHV1-3;F2;IGHV6-1;IGHV4-61;HLA-C;NBN;IL7R;IGHV3-33;IL18R1;SERPING1;IGHA2;HPX;MSH6;C8A;IGHV2-70D;GATA1;C1S;IGHV3-66;IGHV3-7;SNX4;IGHA1;SCIMP;DHX36;C4BPA;IGHM;HLA-DRA;FCGR3A;SUSD4;IGHV4-34;IGHV1-58;IGHV3-73;HFE;IGHV3-13;C1QB;IGHV1-69-2;CXCL6;IGHV3-64;C2;SLC18A2;IGHV4-28;DNASE1L3;IGHV3-49;C4B;IL9R;IL18RAP;FCGR2B;CD74;IGLC3;C1QA;PTGDS;CD1E;IL18;IGHV5-10-1;CD1B;IGHV3-48;DENND1B;PTPRC;NLRP3;IGKC;CTSC;IGLC2;TICAM1;IGHV3-15;CR1;C1QC;HLA-H;BTK;CD28;CTSG;TNFSF4;IGHD;SCNN1B;SVEP1;SLAMF6;STXBP3;HMGB1;SLAMF9;INPP5D;CSF2RB;GAPT;C1R;SCART1;GATA2;TFRC;DBH;CLU;IRAK4;CLC;KIR3DL1;CD84;SLC15A4;ITGB2;SWAP70;IGHV2-70;HLA-DRB1;AHR;TLR3;TRPM4;B2M;PRDX1;CEACAM1;ADGRE2;IL21R;CLEC12B;CD40LG;IL27RA;FCMR;C4A;CD1C;TLR8;MALT1;VAMP7
corticosteroid hormone secretion	corticosteroid hormone secretion;regulation of corticosteroid hormone secretion;regulation of steroid hormone secretion	POMC;WNK4;BMP6;PTPN11;C1QTNF1;AGTR1;AGT;REN;KCNQ1;CRY2;GHRL;CRHR1;SPP1
chaperone cofactor-dependent protein refolding	chaperone cofactor-dependent protein refolding;'de novo' post-translational protein folding;'de novo' protein folding	DNAJB1;HSPA1A;TOR2A;HSPA1B;HSPH1;BAG1;HSPA7;HSPA1L;HSPA6;CHCHD4;FKBP1A
vasoconstriction	vasoconstriction;regulation of vasoconstriction	COMP;CHRM3;BMPR2;TBXA2R;ITGA9;AVPR1A;EGFR;ADM;AGTR1;SLC8A1;F2R;EDNRB;ASIC2;AGT;TBXAS1;FGB;ADRA1A;HTR2B;FGA;ARHGAP42;FGG;PIK3C2A;ITGA4;ZDHHC21;CAV1;MMP2;ADD3;SCNN1B;SVEP1;CYSLTR1;DBH;TRPM4;RHOA;DOCK5;FAAH;KCNMB4;HTR7
DNA-binding transcription repressor activity	DNA-binding transcription repressor activity;DNA-binding transcription repressor activity, RNA polymerase II-specific	ZNF746;TWIST1;BCL11A;CDX2;MZF1;ZBTB26;FOXS1;PRDM16;ZBTB6;ZNF350;NACC2;FOXP4;BACH2;ZNF134;E2F6;FOXK2;ZNF589;ZNF668;ZBTB45;ZNF572;ZNF205;ETV3;RORC;ZBTB7B;MXD1;RARA;SMAD3;ETV7;HSF1;PPARD;SCRT1;ZNF263;CC2D1A;ZNF418;CTCF;MAX;ZBTB49;RELA;ZNF692;HIC2;ZNF202;ZBTB4;HHEX;YY1;SKIL;PAX6;ZBTB5;DEAF1;NR2F6;SP5;PRRX1;SNAI1;FOXK1;MSC;HEY2;PRDM2;TCFL5;MNX1;ZBTB39;OVOL1;MYPOP;SNAI3;HINFP;SKI;ZBTB12;TCF7;ZBTB34;KCNIP3;HOXA2;MSX1;PURB;NFKB1;ZNF219;HES2;HES5;BATF3;GZF1;THAP11;TCF3;E4F1;HEY1;ZNF239;ZBTB7A;ZC3H8;TBX3;HES6
