ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
BP	GO:0043038	amino acid activation	45	-0.722664137070771	-2.77623852423928	1e-10	3.54029164317663e-08	2.9261780576174e-08	4445	tags=73%, list=17%, signal=61%	GATC/AARS2/GATB/RARS1/EARS2/VARS1/YARS1/PARS2/FARS2/HARS1/LARS2/DARS1/FARSA/AASDH/TARS2/AARS1/KARS1/GARS1/MARS1/NARS2/HARS2/NARS1/SARS1/IARS1/QRSL1/WARS2/LARS1/FARSB/YARS2/MARS2/DARS2/AARSD1/EPRS1
BP	GO:0140053	mitochondrial gene expression	163	-0.556676098814165	-2.72919099088475	1e-10	3.54029164317663e-08	2.9261780576174e-08	4723	tags=50%, list=18%, signal=41%	MRPS25/TEFM/MALSU1/MRPL16/GATC/AARS2/ELAC2/MRPL42/UQCC2/MRPS5/GATB/MRPL30/MRPL19/MRPS18B/SLC25A33/EARS2/MRPL17/NDUFA7/MRPL50/GFM1/HARS1/LARS2/MRPL38/MRPL13/MRPS18C/MRPS31/TWNK/MRPS18A/MRPL46/TRUB2/PPARGC1B/FOXO3/MRPL2/MRPL58/FASTKD5/ALKBH1/MRPL24/FASTKD3/PTCD1/MRPL15/DAP3/TSFM/TRNT1/TARS2/MRPS16/TRMT10C/TRMT5/MRPL44/SUPV3L1/GARS1/MRPL3/MRPL21/MRPL47/MRPS23/MTERF1/CHCHD10/C1QBP/TBRG4/MRPL18/MRPL39/QRSL1/MTIF2/FASTKD2/MRPS22/RPUSD3/MRPS35/WARS2/MRPL35/MRPL9/MTRES1/MRPL1/PRORP/PTCD3/PNPT1/YARS2/FASTKD1/GFM2/DARS2/MRPS9/LRPPRC/MRPS30
BP	GO:0022613	ribonucleoprotein complex biogenesis	460	-0.494004787798518	-2.71685913722682	1e-10	3.54029164317663e-08	2.9261780576174e-08	6877	tags=53%, list=26%, signal=40%	WDR74/CUL4A/RPP25/SDAD1/SNRPC/RPL23A/POP4/METTL5/MTERF3/COIL/MRPS2/SF3B4/MPV17L2/DDX21/RPS27L/ERAL1/TENT4B/DDX49/PSIP1/CELF6/TRMT61B/SNRPD2/ERI1/CPSF6/SNRPG/SNRPD1/SF3B6/PPAN/WDR46/UTP11/PRPF6/MYBBP1A/SNRPGP15/RRP1/RPL26/MAK16/PES1/SRPK2/RPL7L1/RPL26L1/RPP38/METTL15P1/DHX37/NIP7/SRPK3/EIF2S2/BUD23/EIF3M/LYAR/LTV1/RPS23/DDX28/SF3B3/NOL10/EIF3K/UTP25/GTPBP10/NOP56/DDX20/UTP3/NGDN/RAMAC/WDR36/USP4/SBDS/MRTO4/SDE2/DIS3/TMA16/MPHOSPH10/MALSU1/NIFK/IMP3/GTPBP4/TAF9/NOL8/SNU13/NOP58/RPP30/ABCE1/DKC1/STRAP/SNRNP200/EIF3J/POP7/SF3A1/PAK1IP1/DIMT1/WDR77/USP39/BRIX1/RRP12/METTL18/SLX9/PA2G4/BOP1/SLU7/SF3B2/EIF6/SNRPB2/RSL24D1/NOP14/UTP18/PNO1/EIF5B/NUDT21/NUFIP1/NOP16/NSUN5/EXOSC1/DDX54/GNL3L/HEATR1/DDX52/SNRPE/DDX1/EXOSC3/WDR55/NAF1/EIF3D/SART3/EIF5/SNRPA1/MCTS1/NOL6/PRPF18/NOL11/SETX/NSA2/DNTTIP2/NOP10/EIF2A/FDXACB1/UTP20/ISG20/URB2/TBL3/ZNHIT3/PRPF19/NPM1/NOP9/UTP15/GNL2/EIF3A/EIF4A3/BYSL/NLE1/EIF3E/EMG1/RRP8/GEMIN2/WDR43/RPF1/RRN3/RAN/EIF3C/ISG20L2/DICER1/WBP11/UTP14A/RSL1D1/NOM1/NOB1/CUL4B/RRP15/NUP88/ATM/PDCD11/YTHDC1/RRS1/DROSHA/IMP4/DHX9/TSR1/UTP4/GEMIN7/UTP6/EXOSC9/DCAF13/EIF3H/PWP1/MPHOSPH6/EXOSC10/NOL7/SHQ1/HTATSF1/SF3A3/RUVBL2/DDX18/AATF/NSUN4/PRPF8/PRMT5/URB1/DHX29/ZNF622/NOA1/TGS1/ZCCHC4/SNIP1/CRNKL1/C1QBP/GEMIN5/RUVBL1/RIOK3/NPM3/NHP2/NAT10/WDR3/FTSJ3/MRM1/LAS1L/SRFBP1/AGO2/RPF2/SRPK1/MTREX/FASTKD2/GEMIN8/PTGES3/EFL1/NCBP1/PRKDC/EXOSC5/DDX10/SRSF12/RPP40/SCAF11/ESF1/USP36/RIOK2/RAMACL/DDX27/HSP90AB1/CHD7/WDR12/CDC73/ZRSR2/HSP90AA1/XPO1/DDX3X/EIF2S3/EIF1AX/RPS4X
BP	GO:0042254	ribosome biogenesis	309	-0.512929023027804	-2.70151451048893	1e-10	3.54029164317663e-08	2.9261780576174e-08	7484	tags=58%, list=28%, signal=42%	NOP2/DHX30/ZNHIT6/EXOSC4/XRN2/TRMT112/RPS21/MRM2/BMS1/DDX31/FBL/WDR74/CUL4A/RPP25/SDAD1/RPL23A/POP4/METTL5/MTERF3/MRPS2/MPV17L2/DDX21/RPS27L/ERAL1/TENT4B/DDX49/TRMT61B/ERI1/PPAN/WDR46/UTP11/MYBBP1A/RRP1/RPL26/MAK16/PES1/RPL7L1/RPL26L1/RPP38/METTL15P1/DHX37/NIP7/BUD23/LYAR/LTV1/RPS23/DDX28/NOL10/UTP25/GTPBP10/NOP56/UTP3/NGDN/WDR36/SBDS/MRTO4/SDE2/DIS3/TMA16/MPHOSPH10/MALSU1/NIFK/IMP3/GTPBP4/NOL8/SNU13/NOP58/RPP30/ABCE1/DKC1/POP7/PAK1IP1/DIMT1/BRIX1/RRP12/METTL18/SLX9/PA2G4/BOP1/EIF6/RSL24D1/NOP14/UTP18/PNO1/EIF5B/NOP16/NSUN5/EXOSC1/DDX54/GNL3L/HEATR1/DDX52/EXOSC3/WDR55/NAF1/EIF5/NOL6/NOL11/NSA2/DNTTIP2/NOP10/EIF2A/FDXACB1/UTP20/ISG20/URB2/TBL3/ZNHIT3/NPM1/NOP9/UTP15/GNL2/EIF4A3/BYSL/NLE1/EMG1/RRP8/WDR43/RPF1/RRN3/RAN/ISG20L2/WBP11/UTP14A/RSL1D1/NOM1/NOB1/CUL4B/RRP15/NUP88/PDCD11/RRS1/DROSHA/IMP4/TSR1/UTP4/UTP6/EXOSC9/DCAF13/PWP1/MPHOSPH6/EXOSC10/NOL7/SHQ1/DDX18/AATF/NSUN4/URB1/DHX29/ZNF622/NOA1/ZCCHC4/C1QBP/RIOK3/NPM3/NHP2/NAT10/WDR3/FTSJ3/MRM1/LAS1L/SRFBP1/RPF2/MTREX/FASTKD2/EFL1/PRKDC/EXOSC5/DDX10/RPP40/ESF1/USP36/RIOK2/DDX27/CHD7/WDR12/XPO1/DDX3X/EIF1AX/RPS4X
BP	GO:0032543	mitochondrial translation	129	-0.555203027803366	-2.60080740874684	1e-10	3.54029164317663e-08	2.9261780576174e-08	4723	tags=50%, list=18%, signal=41%	MRPS25/MALSU1/MRPL16/GATC/AARS2/MRPL42/UQCC2/MRPS5/GATB/MRPL30/MRPL19/MRPS18B/EARS2/MRPL17/NDUFA7/MRPL50/GFM1/HARS1/LARS2/MRPL38/MRPL13/MRPS18C/MRPS31/MRPS18A/MRPL46/TRUB2/MRPL2/MRPL58/ALKBH1/MRPL24/FASTKD3/PTCD1/MRPL15/DAP3/TSFM/TARS2/MRPS16/TRMT10C/MRPL44/GARS1/MRPL3/MRPL21/MRPL47/MRPS23/C1QBP/MRPL18/MRPL39/QRSL1/MTIF2/FASTKD2/MRPS22/RPUSD3/MRPS35/WARS2/MRPL35/MRPL9/MRPL1/PTCD3/YARS2/GFM2/DARS2/MRPS9/LRPPRC/MRPS30
CC	GO:0030684	preribosome	107	-0.567110705840032	-2.58097645014558	1e-10	3.54029164317663e-08	2.9261780576174e-08	5997	tags=61%, list=22%, signal=47%	PPAN/WDR46/UTP11/RRP1/MAK16/PES1/DHX37/NIP7/LTV1/RPS23/NOL10/UTP25/NOP56/UTP3/NGDN/WDR36/MRTO4/MPHOSPH10/IMP3/SNU13/NOP58/DIMT1/SLX9/BOP1/EIF6/NOP14/UTP18/PNO1/HEATR1/NOL6/NSA2/DNTTIP2/UTP20/TBL3/NOP9/UTP15/BYSL/EMG1/WDR43/RPF1/UTP14A/RSL1D1/NOB1/RRP15/PDCD11/RRS1/IMP4/TSR1/UTP4/UTP6/DCAF13/EXOSC10/NOL7/AATF/ZNF622/RIOK3/NAT10/WDR3/FTSJ3/LAS1L/SRFBP1/PRKDC/RIOK2/WDR12/RPS4X
BP	GO:0006364	rRNA processing	221	-0.503723720084829	-2.55637935710572	1e-10	3.54029164317663e-08	2.9261780576174e-08	7484	tags=59%, list=28%, signal=43%	NOP2/ZNHIT6/EXOSC4/XRN2/TRMT112/RPS21/MRM2/BMS1/FBL/WDR74/RPP25/POP4/METTL5/DDX21/TENT4B/DDX49/TRMT61B/ERI1/PPAN/WDR46/UTP11/RRP1/RPL26/MAK16/PES1/RPL7L1/RPP38/METTL15P1/DHX37/BUD23/LYAR/NOL10/UTP25/NOP56/UTP3/NGDN/WDR36/SBDS/MRTO4/SDE2/DIS3/MPHOSPH10/NIFK/IMP3/GTPBP4/NOL8/SNU13/NOP58/RPP30/DKC1/POP7/DIMT1/BRIX1/RRP12/METTL18/SLX9/PA2G4/BOP1/EIF6/NOP14/UTP18/NSUN5/EXOSC1/DDX54/HEATR1/DDX52/EXOSC3/WDR55/NAF1/NOL6/NOL11/NSA2/NOP10/FDXACB1/UTP20/ISG20/TBL3/ZNHIT3/NOP9/UTP15/EIF4A3/BYSL/EMG1/RRP8/WDR43/RPF1/WBP11/UTP14A/RSL1D1/NOB1/RRP15/PDCD11/RRS1/DROSHA/IMP4/TSR1/UTP4/UTP6/EXOSC9/DCAF13/PWP1/MPHOSPH6/EXOSC10/NOL7/SHQ1/DDX18/NSUN4/URB1/ZCCHC4/RIOK3/NPM3/NHP2/NAT10/WDR3/FTSJ3/MRM1/LAS1L/SRFBP1/RPF2/MTREX/PRKDC/EXOSC5/DDX10/RPP40/ESF1/USP36/RIOK2/DDX27/CHD7/WDR12
MF	GO:0043021	ribonucleoprotein complex binding	164	-0.509979134988137	-2.50245168848794	1e-10	3.54029164317663e-08	2.9261780576174e-08	8176	tags=62%, list=31%, signal=43%	MRPS27/NOPCHAP1/SNRPA/TOP2B/NCLN/MAIP1/TTC5/EEFSEC/RICTOR/G3BP1/YBX3/SRPRA/SEC61G/MTRFR/EIF5A2/GCN1/SRP72/MTIF3/NAA16/ERAL1/SND1/SRP54/UHMK1/YTHDF3/TACO1/NOMO1/TMCO1/ERI1/CPSF6/PRPF6/PES1/MTOR/EIF3K/TIMM50/SBDS/SRP68/TMA16/MALSU1/DERL2/GTPBP4/ABCE1/STRAP/CCDC47/NDUFAB1/LETM1/EIF5AL1/DHX33/DERL1/DNAJC2/BOP1/EIF6/SNRPB2/IGHMBP2/CSDE1/NEAT1/NEMF/EIF2A/HSPA5/NPM1/EIF4A3/SERBP1/SMG6/EIF3C/SECISBP2L/NOMO2/DHX9/CPEB3/MDM2/XPO5/ETF1/NME1/EIF2S1/CPEB4/LETM2/PHF6/PRMT3/TMEM147/OLA1/PRMT5/DHX29/ZNF622/DERL3/C1QBP/GEMIN5/LTN1/MTIF2/EFL1/NOMO3/LARP1/MTRES1/NAA15/PTCD3/NAA10/HNRNPU/GUF1/HABP4/FXR1/WDR12/IFIH1/MAP3K20/DDX3X
BP	GO:0016072	rRNA metabolic process	263	-0.482903507625929	-2.49437427155112	1e-10	3.54029164317663e-08	2.9261780576174e-08	6343	tags=51%, list=24%, signal=40%	DEDD2/TRMT61B/ERN2/ERI1/POLR1E/PPAN/WDR46/UTP11/RRP1/RPL26/MAK16/PES1/RPL7L1/GTF3C6/RPP38/METTL15P1/DHX37/ZCCHC7/BUD23/LYAR/NOL10/MTOR/UTP25/NOP56/UTP3/NGDN/WDR36/SBDS/MRTO4/SDE2/DIS3/MPHOSPH10/NIFK/IMP3/GTPBP4/NOL8/SNU13/NOP58/RPP30/DKC1/POP7/DIMT1/BRIX1/RRP12/METTL18/SLX9/SMARCB1/PA2G4/BOP1/EIF6/NOP14/UTP18/NCL/NSUN5/EXOSC1/DDX54/HEATR1/DDX52/EXOSC3/WDR55/NAF1/NOL6/NOL11/POLR1G/NSA2/NOP10/FDXACB1/UTP20/ISG20/TBL3/ZNHIT3/NOP9/UTP15/EIF4A3/BYSL/EMG1/RRP8/WDR43/RPF1/GTF3C1/WBP11/UTP14A/RSL1D1/NOB1/RRP15/PDCD11/TP53/RRS1/DROSHA/IMP4/TSR1/UTP4/UTP6/EXOSC9/DCAF13/PWP1/SPIN1/MPHOSPH6/EXOSC10/NOL7/SHQ1/MACROH2A1/DDX18/NSUN4/URB1/MARS1/ZCCHC4/RIOK3/IPPK/NPM3/NHP2/NAT10/WDR3/FTSJ3/MRM1/LAS1L/SRFBP1/RPF2/MTREX/TAF1B/PRKDC/EXOSC5/DDX10/RPP40/SMARCA4/ESF1/USP36/RIOK2/MACROH2A2/DDX27/GTF3C3/POLR1B/CHD7/WDR12/MAPT
BP	GO:0006401	RNA catabolic process	285	-0.455702892106897	-2.39207256090537	1e-10	3.54029164317663e-08	2.9261780576174e-08	6660	tags=47%, list=25%, signal=36%	HNRNPD/MOV10/SND1/TENT4B/DDX49/IGF2BP2/FEN1/YTHDF3/PPP1R8/LARP4B/ZCCHC17/DEDD2/ERN2/HNRNPAB/GSPT2/PHAX/LSM1/DNA2/TRAF3IP2/TNRC6B/SMG9/TENT5C/MTPAP/NUDT12/ZCCHC7/MAPK14/HNRNPA0/CTIF/IKBKE/DHX36/PUM1/RNH1/RBM7/HSPA1A/CNOT10/MRTO4/YBX1/DIS3/TIRAP/GSPT1/METTL1/DKC1/GTPBP1/TNFRSF1B/GIGYF2/ELAC2/UPF2/ZC3HAV1/PABPC4/HSPA1B/PLEKHN1/PAIP1/IREB2/MLH1/FTO/UPF1/NBDY/CSDE1/PDE12/EXOSC1/MAGOHB/DCPS/NEAT1/UPF3B/EXOSC3/NAF1/NBAS/MAPKAPK2/WDR82/TRAF2/ZC3H18/SYNCRIP/ISG20/ZHX2/NPM1/ERN1/EIF4A3/RNASE2/SERBP1/SAMD4B/RNASE3/EIF3E/POLR2G/SMG6/ZC3H14/NCBP2/DCP1A/FASTKD5/DICER1/FASTKD3/ATM/PNRC1/DHX9/CPEB3/PABPC1/ETF1/TRNT1/QKI/EXOSC9/TAF15/NOCT/SUPV3L1/EXOSC10/GRSF1/ZFP36L2/CNOT1/TUT4/DHX34/ROCK1/SMG7/RBM47/TBRG4/AGO2/MTREX/FASTKD2/SSB/LARP1/NCBP1/GDNF/EXOSC5/HNRNPC/PNLDC1/ROCK2/PNPT1/THRAP3/TENT5A/FASTKD1/HNRNPU/SMG8/RBM24/CAPRIN1/LRPPRC/FXR1/OAS2/XIST
