representative	grouped_terms	genes
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile;mRNA splicing, via spliceosome;RNA splicing, via transesterification reactions	RBMX;RBM6;PPIH;SNW1;PUF60;TSSC4;HNRNPH1;PRPF19;EFTUD2;IK;PABPC1;SNRNP27;NCL;MFAP1;AAR2;PPWD1;PRPF38A;PRPF40A;SRSF7;GPATCH1;PRPF39;CWC25;SF3A1;SRPK3;SMU1;PTBP1;HNRNPU;SF3B1;PAXBP1;HNRNPUL1;SF3A3;METTL16;NSRP1;SNRPGP15;DYRK1A;PPIE;DHX8;TRA2A;TRA2B;XAB2;METTL14;RBM22;SON;DBR1;RBM25;HNRNPF;SRSF8;CELF6;TFIP11;SRSF1;SFPQ;GEMIN4;NCBP1;CRNKL1;PRMT7;DHX15;DDX23;SRSF6;U2AF1;PRMT5;NUP98;RBM47;HNRNPUL2;SF1;SLU7;RNPC3;SART3;RBM24;REST;SDE2;QKI;DDX20;EXOSC10;DDX46;RBMXL1;MTREX;RBPMS;RBM3;HNRNPA2B1;YTHDC1;DHX38;CDC40;SRRM2;DDX42;SNRNP200;CWC22;AQR;SETX;GEMIN8;NCBP2L;PRPF8;SCAF11;GEMIN5;KHDRBS3;RBM44;SNIP1;TGS1;CASC3;THRAP3;DCPS;SRRM1;ZRSR2;SMN2;RBM15;SRSF4;MPHOSPH10;RSRC1
RNA catabolic process	RNA catabolic process;mRNA catabolic process	DCP2;METTL3;DDX5;ANGEL2;CNOT8;GSPT1;SMG6;YTHDF3;TRAF3IP2;SECISBP2;SMG7;TNRC6C;CNOT3;MOV10;XRN1;TAF15;YTHDF1;METTL1;PUM1;CNOT6L;EXOSC8;CNOT2;POP1;EIF4ENIF1;CTIF;EXOSC9;ETF1;PABPC1;AGO4;GTPBP1;AGO2;SMG1;EXOSC2;MAPKAPK2;ZFP36L1;RC3H1;TNRC6A;SND1;CNOT6;DHX34;HNRNPA0;TENT5C;DKC1;ROCK1;ZSWIM8;TBRG4;NAF1;LARP1;NSUN2;PUM2;HNRNPU;VIP;CNOT10;METTL16;MAPK14;PELO;PNRC1;TNRC6B;XRN2;PATL1;PARN;METTL14;DCP1A;PNPT1;IREB2;SMG8;ZC3H12A;LARP1B;NCBP1;YTHDF2;TENT5B;FASTKD2;EDC4;TUT4;ZC3H14;DNA2;PAN2;TENT2;MIR210;RBM47;ZFP36L2;YBX3;SUPV3L1;RBM24;QKI;TRNT1;WDR82;NUDT12;EXOSC10;EXOSC5;ATM;EXOSC6;MTREX;ZC3H18;DHX36;GIGYF2;AKT1;CNOT1;ERN1;MTPAP;PCID2;DIS3L2;ROCK2;DICER1;RBM33;LARP4B;CASC3;DIS3;TENT5A;THRAP3;DCPS;PKP1;XIST
keratinocyte differentiation	keratinocyte differentiation;epidermal cell differentiation	CD109;PPHLN1;ASAH1;ZFP36L1;SPRR2G;RBPJ;ROCK1;CYP26B1;SGPP1;MACROH2A2;KAZN;POU3F1;PPP3CA;OPN3;LATS1;CYP27B1;IL20;EVPL;CFLAR;MED1;SPRR2E;SPRR1B;SRSF6;CNFN;EPHA2;UGCG;TP63;LATS2;NCOA3;NUMA1;LCE1C;TXNIP;IVL;IRF6;NFKBIZ;LCE1A;LCE2B;FOXN1;KRT80;TCHH;KRT2;SCEL;ALOX15B;ROCK2;KRT17;ERRFI1;DSP;KRT5;KRT14;KRT10;KLK5;CERS3;KRT1;KRT77;LORICRIN;FLG;CASP14;MAFF;PAFAH1B1;KLF7;PTCH1;SEC24B;TPRN;MYO6;LHFPL5;SULT2B1;SPINK5;FGFR1
rRNA metabolic process	rRNA metabolic process;rRNA processing	RPL7L1;BOP1;NOC4L;MPHOSPH10;TRMT61B;XRN1;NHP2;NSUN3;EXOSC8;EXOSC9;PRKDC;DROSHA;TAF1B;NCL;WDR55;WBP11;EXOSC2;NGDN;DDX54;PWP1;DKC1;NOLC1;NSUN4;NAF1;FCF1;DIMT1;MACROH2A2;SHQ1;NOL10;GTPBP4;DDX10;NOL6;METTL16;PELO;FDXACB1;UTP3;POLR1F;XRN2;SBDS;WDR75;WDR74;DDX51;ABT1;RIOK1;RRP15;DDX27;UTP14A;GEMIN4;PPAN;IPPK;WDR36;YTHDF2;PDCD11;UTP23;UTP25;KRI1;PES1;BRIX1;ZCCHC4;NOP58;NOP2;UTP4;RRP12;NOP56;NOP9;BYSL;USP36;ZNHIT6;POLR1G;MAPT;UTP15;DDX18;NIFK;RIOK2;DDX21;RRP9;RIOK3;SDE2;GTF3C2;RRS1;UTP20;NOB1;WDR43;LAS1L;EXOSC10;EXOSC5;MAK16;ERCC6;PWP2;SPIN1;EXOSC6;TSR1;MTREX;WDR3;POLR1E;NOP14;TP53;ESF1;POLR1B;NOL8;SRFBP1;NAT10;WDR12;RRP8;HEATR1;GTF3C3;DIS3;CHD7
regulation of mRNA catabolic process	regulation of mRNA catabolic process;regulation of mRNA stability;regulation of RNA stability	DCP2;METTL3;ANGEL2;CNOT8;YTHDF3;TRAF3IP2;SECISBP2;TNRC6C;CNOT3;MOV10;TAF15;YTHDF1;PUM1;CNOT6L;EXOSC8;CNOT2;EIF4ENIF1;EXOSC9;PABPC1;GTPBP1;AGO2;EXOSC2;MAPKAPK2;ZFP36L1;RC3H1;TNRC6A;CNOT6;DHX34;HNRNPA0;TENT5C;ROCK1;TBRG4;LARP1;PUM2;HNRNPU;VIP;CNOT10;METTL16;MAPK14;TNRC6B;PATL1;PARN;METTL14;DCP1A;PNPT1;IREB2;ZC3H12A;LARP1B;YTHDF2;TENT5B;FASTKD2;TUT4;ZC3H14;PAN2;MIR210;RBM47;ZFP36L2;YBX3;RBM24;QKI;EXOSC5;DHX36;GIGYF2;AKT1;CNOT1;PCID2;DIS3L2;ROCK2;RBM33;LARP4B;CASC3;DIS3;TENT5A;THRAP3;DCPS;PKP1;METTL1;DKC1;NAF1;NSUN2;ZC3H18
ubiquitin-like protein transferase activity	ubiquitin-like protein transferase activity;ubiquitin-protein transferase activity;aminoacyltransferase activity	MYCBP2;UBE2L6;CBX4;TRIM11;HERC2;MARVELD3;BFAR;LNX1;RNF144A;HERC2P3;RNF213;ATG10;UBE2D3;BCOR;ANKIB1;ZNRF2;TRAF3IP2;NEDD4L;UBE2E1;TRIM21;TRIM68;CCAR1;BRCA1;RNF6;RNF123;FBXO24;TRIM63;TRIM15;TRIM26;MUL1;MARCHF5;BSPRY;HECW2;RNF180;MED17;HERC5;TRIM5;BRAP;PIAS2;FBXW8;FBXO3;SH3RF1;PRPF19;FBXO4;RNF31;TOPORS;ATG16L1;UBE2B;PIAS3;UBR7;SH3RF2;AMFR;DTX1;RLIM;MED30;UFL1;CUL5;MED6;NFX1;RNF175;RC3H1;FBXL3;RNF125;PJA2;MDM4;RNF149;KLHL20;KLHL42;TRIP12;HLTF;UBE3A;RANBP2;SYVN1;RNF20;MARCHF1;LMO7;MALT1;TRIM23;ZFP91;CUL3;DCST1;MARCHF7;UBE2D1;XIAP;ZNF451;UBR4;RFWD3;RPGR;ITCH;ARIH1;FBXO25;UBOX5;UBE2G2;UBE2O;G2E3;RNF13;UBE3B;HDAC4;ARIH2;RSPRY1;TNFAIP1;TRIM25;HUWE1;TRIM38;PML;RNF111;TRIM4;DTX3L;MED1;HECTD4;TRIM58;FBXL14;KIAA1586;CBLC;RNF19A;SIAH1;UBR1;TRAF6;RNF227;PEX2;CUL4A;HERC1;HACE1;TAF1;VPS11;MARCHF6;ATG12;RNF44;UBR3;BARD1;TRIM27;RNF40;RFFL;LONRF3;ASB1;RNF115;RNF114;PELI1;UBR2;RNF169;LTN1;MED12;RNF103;PRKN;UHRF2;RCHY1;FBXO11;TRIM35;PELI2;MKRN2;HECTD1;KLHL9;MKRN1;UBR5;TRIM50;UBE4A;SHPRH;LONRF2;HERC3;NT5C2;TRIM9;LNX2;NCCRP1;TGM2
nucleocytoplasmic transport	nucleocytoplasmic transport;nuclear transport	ATF2;ZIC1;NMD3;APPL1;SMG1;IPO9;CALR;IL33;SDAD1;IPO4;XPO1;THOC6;SQSTM1;RANBP2;PTPN14;NSUN2;NUP188;MALT1;NUP35;NF1;NUP214;NOL6;PKD1;XPO7;MAPK14;SP100;XPOT;CD36;PPP3CA;IPO8;RGPD4;ABCE1;RBM22;SETD2;RANBP6;NUP155;BACH2;ZC3H12A;KPNA6;DUSP16;ABRA;CTDSPL2;CHTOP;LTV1;NCBP1;DDX19B;PML;MED1;SEH1L;POM121;NOP9;NUP107;TSC1;NUP98;STAT3;POM121C;SPG11;STK3;GCKR;RIOK2;NUP50;DDX19A;NXF5;CHP2;TXNIP;TNPO3;BARD1;NUP133;XPO4;RGPD1;HNRNPA2B1;JAK2;NCBP3;THOC3;YTHDC1;PTPN11;TP53;NEMF;AKT1;NUP153;PCID2;TPR;THOC2;RPAIN;EP300;RBM33;WASHC4;MCM3AP;CASC3;NUP160;UBR5;RGPD2
nuclear division	nuclear division;organelle fission	CATSPERZ;CDC20;PTTG1;KASH5;KIF4A;STAG3;BUB1;TOP2A;ANLN;CDC25C;NDC80;NCAPG;CCNB1;SPIRE2;KCTD19;BRDT;MKI67;CCNE1;BIRC5;KIFC1;KIF18B;CDCA2;UBE2C;CENPF;TNF;NCAPH;CDK1;CCNB2;SPATA22;DLGAP5;SKA1;AURKB;MYBL2;TRIP13;OOEP;SPC24;ASPM;UHRF1;LIF;PRAP1;KIF23;CENPS;TTK;CDCA5;NUF2;SPC25;SKA3;BRME1;BUB1B;CDCA8;ING2;PDGFRB;ZWINT;KIF22;P3H4;PLK1;KIF11;TEX15;CENPK;KIF14;KIF2C;DDX4;PRC1;TPX2;MAJIN;KLHDC8B;INS;CCNA1;SPIRE1;KIF18A;PIN1;MAD1L1;RAD51;CHMP1A;SGO1;WNT4;RAD54L;CENPE;NEK2;KLHDC3;KNSTRN;MAD2L1;SEPTIN1;CHMP6;CDT1;IL1B;EME1;SPHK1;CD28;FBXO43;RAD51AP1;ANAPC15;BANF1;MAEL;AURKA;EREG;CKS2;CTDP1;SHOC1;RACGAP1;TERB2;FZR1;PDXP;WNT5A;PRDM7;NSFL1C;FIGNL1;BCL2L11;HASPIN;TERB1;REEP3;PPARG
ubiquitin-like protein ligase activity	ubiquitin-like protein ligase activity;ubiquitin protein ligase activity	MYCBP2;CBX4;TRIM11;HERC2;MARVELD3;BFAR;RNF144A;HERC2P3;RNF213;UBE2D3;ANKIB1;ZNRF2;TRAF3IP2;NEDD4L;TRIM21;TRIM68;CCAR1;RNF6;RNF123;TRIM63;TRIM15;TRIM26;MUL1;MARCHF5;BSPRY;HECW2;RNF180;MED17;HERC5;TRIM5;BRAP;PIAS2;SH3RF1;PRPF19;FBXO4;RNF31;TOPORS;PIAS3;UBR7;SH3RF2;AMFR;DTX1;RLIM;MED30;UFL1;MED6;NFX1;RNF175;RC3H1;RNF125;PJA2;RNF149;TRIP12;HLTF;UBE3A;RANBP2;SYVN1;RNF20;MARCHF1;TRIM23;CUL3;DCST1;MARCHF7;UBE2D1;XIAP;ZNF451;UBR4;RFWD3;RPGR;ITCH;ARIH1;UBOX5;UBE2O;RNF13;UBE3B;ARIH2;TRIM25;HUWE1;TRIM38;PML;RNF111;TRIM4;DTX3L;MED1;TRIM58;KIAA1586;CBLC;RNF19A;SIAH1;UBR1;TRAF6;RNF227;PEX2;CUL4A;HACE1;VPS11;MARCHF6;ATG12;RNF44;UBR3;TRIM27;RNF40;RFFL;LONRF3;ASB1;RNF115;RNF114;PELI1;UBR2;LTN1;MED12;RNF103;PRKN;UHRF2;RCHY1;TRIM35;PELI2;MKRN2;HECTD1;MKRN1;UBR5;TRIM50;UBE4A;SHPRH;LONRF2;HERC3;NT5C2;TRIM9;NCCRP1
post-transcriptional gene silencing	post-transcriptional gene silencing;regulatory ncRNA-mediated post-transcriptional gene silencing	CARMN;CNOT8;TSN;TNRC6C;MOV10;PUM1;TSNAX;EIF4G1;EIF4ENIF1;DGCR8;AGO4;FOCAD;AGO2;TNRC6A;CNOT6;TRUB1;HELZ;ZSWIM8;AJUBA;MIR155HG;MIR324;PUM2;LIMD1;MIR23AHG;TNRC6B;CLP1;NCBP1;ADAR;STAT3;MIR210;MIR17HG;HELZ2;NCBP3;RIPK1;TP53;GIGYF2;CNOT1;ENDOU;DICER1;MEG3;MIR29B2CHG;XIST
