Group1	Group2	Z	P.unadj	P.adj	Significant	Direction
F_20_39	F_40_49	3.85782490347749	5.72002764013473e-05	9.42122199551603e-05	*	F_20_39 > F_40_49
F_20_39	F_50_59	1.96508162101131	0.0247023957191169	0.027666683205411	*	F_20_39 > F_50_59
F_40_49	F_50_59	-2.93405831640954	0.00167280671411058	0.00212902672704983	*	F_50_59 > F_40_49
F_20_39	F_60_79	-3.10599627582464	0.0009481955202693	0.0012642606936924	*	F_20_39 > F_60_79
F_40_49	F_60_79	-9.67809184434742	1.86812000708509e-22	5.8119289109314e-22	*	F_60_79 > F_40_49
F_50_59	F_60_79	-8.33846044122939	3.76320001298356e-17	8.78080003029497e-17	*	F_60_79 > F_50_59
F_20_39	M_20_39	-1.64684987245255	0.0497944537220597	0.0536247963160643	 	F_20_39 > M_20_39
F_40_49	M_20_39	-6.49114459861943	4.2593333535872e-11	9.17394876157242e-11	*	M_20_39 > F_40_49
F_50_59	M_20_39	-4.65158396710637	1.64697550405848e-06	2.88220713210234e-06	*	M_20_39 > F_50_59
F_60_79	M_20_39	1.47960717939729	0.0694890547081591	0.0720627234010539	 	F_60_79 > M_20_39
F_20_39	M_40_49	-4.97006234202354	3.34656888667759e-07	6.24692858846484e-07	*	M_40_49 > F_20_39
F_40_49	M_40_49	-11.5813260410576	2.56235673189286e-31	1.79364971232501e-30	*	M_40_49 > F_40_49
F_50_59	M_40_49	-10.5951079325533	1.56989298470631e-26	6.27957193882523e-26	*	M_40_49 > F_50_59
F_60_79	M_40_49	-3.16620465612607	0.00077221045964343	0.0010810946435008	*	M_40_49 > F_60_79
M_20_39	M_40_49	-3.77900282059757	7.87288204561518e-05	0.000122467054042903	*	M_40_49 > M_20_39
F_20_39	M_50_59	-3.70861473096782	0.000104198115450031	0.000153555117505309	*	F_20_39 > M_50_59
F_40_49	M_50_59	-11.1033940742972	6.03843780668291e-29	3.38152517174243e-28	*	M_50_59 > F_40_49
F_50_59	M_50_59	-10.3259040806315	2.69047345446197e-25	9.41665709061691e-25	*	M_50_59 > F_50_59
F_60_79	M_50_59	-0.866356492016498	0.19314734773163	0.19314734773163	 	M_50_59 > F_60_79
M_20_39	M_50_59	-2.16065325356905	0.0153610672246035	0.0179212450953707	*	M_50_59 > M_20_39
M_40_49	M_50_59	2.79358284807871	0.00260638371773746	0.00317298887376734	*	M_40_49 > M_50_59
F_20_39	M_60_79	-8.84948532316824	4.39619123431451e-19	1.23093354560806e-18	*	M_60_79 > F_20_39
F_40_49	M_60_79	-18.2342941428977	1.37895706136893e-74	1.9305398859165e-73	*	M_60_79 > F_40_49
F_50_59	M_60_79	-19.8773410101992	3.19667517161216e-88	8.95069048051406e-87	*	M_60_79 > F_50_59
F_60_79	M_60_79	-10.7510528154625	2.92945072036077e-27	1.36707700283503e-26	*	M_60_79 > F_60_79
M_20_39	M_60_79	-8.62115320693701	3.31415776128658e-18	8.43603793782038e-18	*	M_60_79 > M_20_39
M_40_49	M_60_79	-5.64039052867231	8.48324548237459e-09	1.69664909647492e-08	*	M_60_79 > M_40_49
M_50_59	M_60_79	-12.3039400898958	4.31306767623398e-35	4.02552983115171e-34	*	M_60_79 > M_50_59
