Group1	Group2	Z	P.unadj	P.adj	Significant	Direction
F_20_39	F_40_49	17.0467209565733	1.84850057148082e-65	2.87544533341461e-65	*	F_20_39 > F_40_49
F_20_39	F_50_59	29.0215269243742	1.76045008006498e-185	5.47695580464662e-185	*	F_20_39 > F_50_59
F_40_49	F_50_59	9.04599016465459	7.41574068272803e-20	8.6516974631827e-20	*	F_40_49 > F_50_59
F_20_39	F_60_79	40.4745202006173	0	0	*	F_20_39 > F_60_79
F_40_49	F_60_79	20.5371612354966	5.01268336133799e-94	9.35700894116426e-94	*	F_40_49 > F_60_79
F_50_59	F_60_79	14.9289356836144	1.06824473196518e-50	1.42432630928691e-50	*	F_50_59 > F_60_79
F_20_39	M_20_39	15.3330006555116	2.30112986923711e-53	3.39113875466521e-53	*	F_20_39 > M_20_39
F_40_49	M_20_39	-2.45328611631615	0.00707788470835451	0.00762233737822793	*	M_20_39 > F_40_49
F_50_59	M_20_39	-12.5678178622402	1.58681457195442e-36	2.01958218248744e-36	*	M_20_39 > F_50_59
F_60_79	M_20_39	-24.8187671862291	2.81177165761483e-136	6.05612357024732e-136	*	M_20_39 > F_60_79
F_20_39	M_40_49	28.1694451220617	6.9250089781044e-175	1.93900251386923e-174	*	F_20_39 > M_40_49
F_40_49	M_40_49	8.42523210332345	1.80017917419772e-17	2.01620067510145e-17	*	F_40_49 > M_40_49
F_50_59	M_40_49	-0.653076884297185	0.256853356863537	0.256853356863537	 	M_40_49 > F_50_59
F_60_79	M_40_49	-15.2678648753136	6.26029547938008e-53	8.76441367113212e-53	*	M_40_49 > F_60_79
M_20_39	M_40_49	11.8525648212206	1.0435182037662e-32	1.27036998719363e-32	*	M_20_39 > M_40_49
F_20_39	M_50_59	44.4591201800805	0	0	*	F_20_39 > M_50_59
F_40_49	M_50_59	23.0324190682101	1.10359639042215e-117	2.20719278084431e-117	*	F_40_49 > M_50_59
F_50_59	M_50_59	18.3639312185927	1.27714411760541e-75	2.10353148782067e-75	*	F_50_59 > M_50_59
F_60_79	M_50_59	1.15501778477009	0.12404157178629	0.128635704074671	 	F_60_79 > M_50_59
M_20_39	M_50_59	28.0272580281079	3.78194991046539e-173	9.62678159027554e-173	*	M_20_39 > M_50_59
M_40_49	M_50_59	18.5987557627003	1.64426041918609e-77	2.87745573357566e-77	*	M_40_49 > M_50_59
F_20_39	M_60_79	61.0586419461304	0	0	*	F_20_39 > M_60_79
F_40_49	M_60_79	39.7342527533289	0	0	*	F_40_49 > M_60_79
F_50_59	M_60_79	41.9900008088313	0	0	*	F_50_59 > M_60_79
F_60_79	M_60_79	24.8526889421982	1.2092276005103e-136	2.82153106785737e-136	*	F_60_79 > M_60_79
M_20_39	M_60_79	46.1042168831574	0	0	*	M_20_39 > M_60_79
M_40_49	M_60_79	41.5118484006025	0	0	*	M_40_49 > M_60_79
M_50_59	M_60_79	29.6628095394024	1.15930671579797e-193	4.05757350529291e-193	*	M_50_59 > M_60_79
