Group1	Group2	Z	P.unadj	P.adj	Significant	Direction
F_20_39	F_40_49	12.4871679188027	4.38604757536392e-36	5.58224236864499e-36	*	F_20_39 > F_40_49
F_20_39	F_50_59	26.2430743627276	4.28735802345014e-152	8.57471604690028e-152	*	F_20_39 > F_50_59
F_40_49	F_50_59	11.6974606611645	6.56623326563533e-32	7.99367527990388e-32	*	F_40_49 > F_50_59
F_20_39	F_60_79	46.1525794871864	0	0	*	F_20_39 > F_60_79
F_40_49	F_60_79	31.8408542127022	8.80927012052829e-223	2.24235966704357e-222	*	F_40_49 > F_60_79
F_50_59	F_60_79	26.2157280718343	8.79327395689965e-152	1.64141113862127e-151	*	F_50_59 > F_60_79
F_20_39	M_20_39	21.0768931367678	6.48088883252268e-99	1.06744051359197e-98	*	F_20_39 > M_20_39
F_40_49	M_20_39	8.18084191338365	1.40933748220036e-16	1.57845798006441e-16	*	F_40_49 > M_20_39
F_50_59	M_20_39	-2.53194323818715	0.0056716176020714	0.0056716176020714	*	M_20_39 > F_50_59
F_60_79	M_20_39	-23.8580677701815	4.17541064069937e-126	7.3069686212239e-126	*	M_20_39 > F_60_79
F_20_39	M_40_49	30.7117568641377	1.98271659706112e-207	4.27046651674704e-207	*	F_20_39 > M_40_49
F_40_49	M_40_49	16.4201079644115	6.86610873448827e-61	9.61255222828358e-61	*	F_40_49 > M_40_49
F_50_59	M_40_49	6.27808057262152	1.71389139812612e-10	1.77736885731597e-10	*	F_50_59 > M_40_49
F_60_79	M_40_49	-19.2832060502762	3.71619525490016e-83	5.47649827037918e-83	*	M_40_49 > F_60_79
M_20_39	M_40_49	7.65803124345855	9.44024807784355e-15	1.01664210069084e-14	*	M_20_39 > M_40_49
F_20_39	M_50_59	56.1267811509255	0	0	*	F_20_39 > M_50_59
F_40_49	M_50_59	40.9199328883439	0	0	*	F_40_49 > M_50_59
F_50_59	M_50_59	39.2846309240695	0	0	*	F_50_59 > M_50_59
F_60_79	M_50_59	9.20581939106572	1.6953712252912e-20	1.97793309617306e-20	*	F_60_79 > M_50_59
M_20_39	M_50_59	33.0557429940022	6.43211190459906e-240	1.80099133328774e-239	*	M_20_39 > M_50_59
M_40_49	M_50_59	30.8686039255779	1.57649717997754e-209	3.67849341994759e-209	*	M_40_49 > M_50_59
F_20_39	M_60_79	64.3340085951175	0	0	*	F_20_39 > M_60_79
F_40_49	M_60_79	49.1299989662642	0	0	*	F_40_49 > M_60_79
F_50_59	M_60_79	51.1201730956036	0	0	*	F_50_59 > M_60_79
F_60_79	M_60_79	20.5516412206407	3.72023647530284e-94	5.78703451713775e-94	*	F_60_79 > M_60_79
M_20_39	M_60_79	41.8252995088911	0	0	*	M_20_39 > M_60_79
M_40_49	M_60_79	42.1319540861308	0	0	*	M_40_49 > M_60_79
M_50_59	M_60_79	13.9284640345591	2.12702878768579e-44	2.83603838358105e-44	*	M_50_59 > M_60_79
