Group1	Group2	Z	P.unadj	P.adj	Significant	Direction
F_20_39	F_40_49	4.43730440358067	4.55462156890449e-06	7.08496688496254e-06	*	F_20_39 > F_40_49
F_20_39	F_50_59	5.9176975137684	1.63239842762607e-09	3.26479685525215e-09	*	F_20_39 > F_50_59
F_40_49	F_50_59	1.51835444773035	0.0644625342822837	0.0721980383961577	 	F_40_49 > F_50_59
F_20_39	F_60_79	9.8145427889406	4.87394351425824e-23	4.54901394664102e-22	*	F_20_39 > F_60_79
F_40_49	F_60_79	6.87125154767895	3.1820528230487e-12	7.42478992044697e-12	*	F_40_49 > F_60_79
F_50_59	F_60_79	6.57236991586899	2.47603232927474e-11	5.33299270920714e-11	*	F_50_59 > F_60_79
F_20_39	M_20_39	7.30570917715689	1.37904070584688e-13	3.51028543306478e-13	*	F_20_39 > M_20_39
F_40_49	M_20_39	3.54536630870841	0.000196033908736273	0.000274447472230782	*	F_40_49 > M_20_39
F_50_59	M_20_39	2.52225807823594	0.00583020625176499	0.00709764239345303	*	F_50_59 > M_20_39
F_60_79	M_20_39	-3.42452222481302	0.000307940733856284	0.000410587645141713	*	M_20_39 > F_60_79
F_20_39	M_40_49	10.9069486579269	5.33902546719298e-28	7.47463565407018e-27	*	F_20_39 > M_40_49
F_40_49	M_40_49	8.36504854761081	3.00450893595366e-17	1.20180357438146e-16	*	F_40_49 > M_40_49
F_50_59	M_40_49	8.32620773520261	4.17366358427896e-17	1.46078225449764e-16	*	F_50_59 > M_40_49
F_60_79	M_40_49	2.15116650213384	0.0157315299983719	0.0183534516647672	*	F_60_79 > M_40_49
M_20_39	M_40_49	5.21095714080635	9.39344267887893e-08	1.64385246880381e-07	*	M_20_39 > M_40_49
F_20_39	M_50_59	10.9570745717746	3.07269346441151e-28	8.60354170035222e-27	*	F_20_39 > M_50_59
F_40_49	M_50_59	8.52591213046105	7.58051622061758e-18	4.24508908354584e-17	*	F_40_49 > M_50_59
F_50_59	M_50_59	8.94530290443276	1.85465522539956e-19	1.2982586577797e-18	*	F_50_59 > M_50_59
F_60_79	M_50_59	1.23617919480651	0.108195981205721	0.112203239768896	 	F_60_79 > M_50_59
M_20_39	M_50_59	4.96845504960072	3.37442199901036e-07	5.55787152778176e-07	*	M_20_39 > M_50_59
M_40_49	M_50_59	-1.35498709550836	0.0877108342488714	0.0944578214987846	 	M_50_59 > M_40_49
F_20_39	M_60_79	7.60092664275299	1.47008875289877e-14	4.57360945346285e-14	*	F_20_39 > M_60_79
F_40_49	M_60_79	3.65029333275527	0.000130970498455204	0.000193009155618196	*	F_40_49 > M_60_79
F_50_59	M_60_79	2.55719229738199	0.00527604335550685	0.00671496427064508	*	F_50_59 > M_60_79
F_60_79	M_60_79	-5.27696029221662	6.56721661795853e-08	1.22588043535226e-07	*	M_60_79 > F_60_79
M_20_39	M_60_79	-0.651508458749848	0.257359159275241	0.257359159275241	 	M_60_79 > M_20_39
M_40_49	M_60_79	-7.35568617333602	9.49744044090171e-14	2.65928332345248e-13	*	M_60_79 > M_40_49
M_50_59	M_60_79	-8.41898629733841	1.89877907135961e-17	8.86096899967819e-17	*	M_60_79 > M_50_59
