Group1	Group2	Z	P.unadj	P.adj	Significant	Direction
F_20_39	F_40_49	5.51338076638603	1.76002769232405e-08	2.05336564104473e-08	*	F_20_39 > F_40_49
F_20_39	F_50_59	13.7800323396939	1.68060791398077e-43	5.22855795460683e-43	*	F_20_39 > F_50_59
F_40_49	F_50_59	10.7199801673423	4.10104601616892e-27	7.65528589684865e-27	*	F_40_49 > F_50_59
F_20_39	F_60_79	16.6981940058976	6.75461117282334e-63	2.70184446912933e-62	*	F_20_39 > F_60_79
F_40_49	F_60_79	14.7601363625783	1.32372494702096e-49	4.63303731457337e-49	*	F_40_49 > F_60_79
F_50_59	F_60_79	4.82730912691566	6.91951105183599e-07	7.45178113274645e-07	*	F_50_59 > F_60_79
F_20_39	M_20_39	12.5377826042523	2.31895917256034e-36	4.99468129474534e-36	*	F_20_39 > M_20_39
F_40_49	M_20_39	9.02746785627183	8.78449501288332e-20	1.29455715979333e-19	*	F_40_49 > M_20_39
F_50_59	M_20_39	-1.24046625472412	0.107401494118569	0.107401494118569	 	M_20_39 > F_50_59
F_60_79	M_20_39	-5.65216392910958	7.92201864901683e-09	9.6441966161944e-09	*	M_20_39 > F_60_79
F_20_39	M_40_49	21.787461672718	1.52550098046601e-105	1.42380091510161e-104	*	F_20_39 > M_40_49
F_40_49	M_40_49	21.5711997653148	1.67447495831317e-103	1.17213247081922e-102	*	F_40_49 > M_40_49
F_50_59	M_40_49	13.4641424115123	1.27126523602216e-41	3.23594787351094e-41	*	F_50_59 > M_40_49
F_60_79	M_40_49	9.04439949423021	7.52450166740373e-20	1.17047803715169e-19	*	F_60_79 > M_40_49
M_20_39	M_40_49	13.5700940119008	3.01223586718966e-42	8.43426042813104e-42	*	M_20_39 > M_40_49
F_20_39	M_50_59	19.9566839729612	6.5565052615674e-89	3.67164294647774e-88	*	F_20_39 > M_50_59
F_40_49	M_50_59	19.8145662848597	1.11460234197677e-87	5.2014775958916e-87	*	F_40_49 > M_50_59
F_50_59	M_50_59	10.2410716724076	6.48953275781778e-25	1.06886421893469e-24	*	F_50_59 > M_50_59
F_60_79	M_50_59	4.66986621463541	1.50697977445144e-06	1.56279384017186e-06	*	F_60_79 > M_50_59
M_20_39	M_50_59	10.4623382307183	6.43206338703537e-26	1.12561109273119e-25	*	M_20_39 > M_50_59
M_40_49	M_50_59	-6.18345351600576	3.13571033239053e-10	3.99090405940613e-10	*	M_50_59 > M_40_49
F_20_39	M_60_79	10.7501242226732	2.95909299004454e-27	5.91818598008908e-27	*	F_20_39 > M_60_79
F_40_49	M_60_79	6.4317704001589	6.30630810663059e-11	8.40841080884079e-11	*	F_40_49 > M_60_79
F_50_59	M_60_79	-7.24612874512131	2.14426244051796e-13	3.00196741672514e-13	*	M_60_79 > F_50_59
F_60_79	M_60_79	-13.2245614651167	3.16526887691606e-40	7.38562737947081e-40	*	M_60_79 > F_60_79
M_20_39	M_60_79	-4.96334888757745	3.46439770412746e-07	3.88012542862276e-07	*	M_60_79 > M_20_39
M_40_49	M_60_79	-22.6559973444177	6.08782473195029e-114	8.5229546247304e-113	*	M_60_79 > M_40_49
M_50_59	M_60_79	-23.1235711696323	1.34126953917168e-118	3.7555547096807e-117	*	M_60_79 > M_50_59
