Human_gene_stable_ID	symbol_human
ENSG00000204564	NA
ENSG00000124608	AARS2
ENSG00000135776	ABCB10
ENSG00000131269	ABCB7
ENSG00000197150	ABCB8
ENSG00000144827	ABHD10
ENSG00000106077	ABHD11
ENSG00000136754	NA
ENSG00000278540	NA
ENSG00000111271	ACAD10
ENSG00000131473	ACLY
ENSG00000162836	ACP6
ENSG00000166743	ACSM1
ENSG00000183747	ACSM2A
ENSG00000066813	ACSM2B
ENSG00000183549	ACSM5
ENSG00000063761	ADCK1
ENSG00000147576	ADHFE1
ENSG00000135537	AFG1L
ENSG00000141385	AFG3L2
ENSG00000113492	AGXT2
ENSG00000042286	AIFM2
ENSG00000121057	AKAP1
ENSG00000108599	AKAP10
ENSG00000023330	ALAS1
ENSG00000174606	ANGEL2
ENSG00000101745	NA
ENSG00000169188	NA
ENSG00000213465	ARL2
ENSG00000170632	NA
ENSG00000197785	ATAD3A
ENSG00000166896	NA
ENSG00000167283	ATP5MG
ENSG00000249222	NA
ENSG00000123472	ATPAF1
ENSG00000087088	BAX
ENSG00000119636	NA
ENSG00000083123	BCKDHB
ENSG00000103507	BCKDK
ENSG00000157388	NA
ENSG00000134905	CARS2
ENSG00000143776	NA
ENSG00000154162	NA
ENSG00000164885	NA
ENSG00000115816	NA
ENSG00000151725	NA
ENSG00000121289	CEP89
ENSG00000163528	CHCHD4
ENSG00000170791	CHCHD7
ENSG00000016391	CHDH
ENSG00000005194	NA
ENSG00000125246	CLYBL
ENSG00000256053	COA8
ENSG00000093010	COMT
ENSG00000115520	COQ10B
ENSG00000173085	COQ2
ENSG00000132423	COQ3
ENSG00000006695	COX10
ENSG00000107864	NA
ENSG00000071894	NA
ENSG00000215883	NA
ENSG00000135929	CYP27A1
ENSG00000180902	D2HGDH
ENSG00000132676	DAP3
ENSG00000188215	NA
ENSG00000158796	NA
ENSG00000181192	DHTKD1
ENSG00000119689	DLST
ENSG00000105341	DMAC2
ENSG00000172404	NA
ENSG00000007923	DNAJC11
ENSG00000110011	DNAJC4
ENSG00000087470	DNM1L
ENSG00000167264	DUS2
ENSG00000121310	ECHDC2
ENSG00000132591	ERAL1
ENSG00000117419	NA
ENSG00000139160	ETFBKMT
ENSG00000157036	EXOG
ENSG00000185010	NA
ENSG00000169710	FASN
ENSG00000164896	FASTK
ENSG00000138399	FASTKD1
ENSG00000112234	FBXL4
ENSG00000189283	FHIT
ENSG00000110074	FOXRED1
ENSG00000114416	NA
ENSG00000005436	NA
ENSG00000164347	GFM2
ENSG00000125447	NA
ENSG00000168237	GLYCTK
ENSG00000166123	GPT2
ENSG00000130299	GTPBP3
ENSG00000178605	GTPBP6
ENSG00000112855	HARS2
ENSG00000152240	NA
ENSG00000069998	HDHD5
ENSG00000114735	HEMK1
ENSG00000241935	HOGA1
ENSG00000204228	NA
ENSG00000115317	HTRA2
ENSG00000150782	NA
ENSG00000184903	IMMP2L
ENSG00000132305	IMMT
ENSG00000148384	NA
ENSG00000127054	NA
ENSG00000063241	ISOC2
ENSG00000149474	NA
ENSG00000011376	LARS2
ENSG00000166816	LDHD
ENSG00000168675	NA
ENSG00000165046	LETM2
ENSG00000050426	LETMD1
ENSG00000121897	LIAS
ENSG00000005156	LIG3
ENSG00000115318	NA
ENSG00000214113	LYRM4
ENSG00000180815	NA
ENSG00000138834	NA
ENSG00000160294	NA
ENSG00000116353	MECR
ENSG00000172878	METAP1D
ENSG00000169519	METTL15
ENSG00000143303	NA
ENSG00000177427	NA
ENSG00000158411	NA
ENSG00000151611	MMAA
ENSG00000278619	NA
ENSG00000137547	MRPL15
ENSG00000112110	MRPL18
ENSG00000116221	MRPL37
ENSG00000204316	MRPL38
ENSG00000105364	MRPL4
ENSG00000204822	NA
ENSG00000124532	MRS2
ENSG00000186205	MTARC1
ENSG00000127989	MTERF1
ENSG00000156469	MTERF3
ENSG00000103707	MTFMT
ENSG00000117640	MTFR1L
ENSG00000146410	MTFR2
ENSG00000101181	MTG2
ENSG00000120254	MTHFD1L
ENSG00000163738	MTHFD2L
ENSG00000085760	MTIF2
ENSG00000135297	MTO1
ENSG00000112031	MTRF1L
ENSG00000141027	NA
ENSG00000185633	NA
ENSG00000156170	NDUFAF6
ENSG00000023228	NA
ENSG00000158793	NIT1
ENSG00000172113	NME6
ENSG00000151014	NOCT
ENSG00000101361	NA
ENSG00000078618	NRDC
ENSG00000111696	NT5DC3
ENSG00000151413	NUBPL
ENSG00000166321	NUDT13
ENSG00000170917	NUDT6
ENSG00000141447	OSBPL1A
ENSG00000154814	OXNAD1
ENSG00000148832	NA
ENSG00000132570	PCBD2
ENSG00000186642	PDE2A
ENSG00000168291	PDHB
ENSG00000169340	NA
ENSG00000152256	PDK1
ENSG00000164494	PDSS2
ENSG00000241973	NA
ENSG00000107959	PITRM1
